incident,case_number,date_reported,date_occurred,location,disposition
Theft,2019-0271,10/8/19 16:18,10/8/19 16:00,BLDG 51,Suspended
Drug Investigation,2019-0270,10/8/19 12:55,10/8/19 12:55,Osprey Village,Referred to
Sexual Violence,,10/8/19,10/6/19,On-Campus Housing,Unreported Crime
Assault,2019-0268,10/7/19 22:11,10/7/19 22:11,BLDG 55,Exceptionally
Theft,2019-0230,10/4/19 15:20,,BLDG 10,Unfounded
Theft,2019-0264,10/3/19 21:00,10/1/19 14:00,U N F Dr/Lot 10,Suspended
Theft,2019-0261,9/30/19 15:22,9/30/19 13:10,BLDG 15,Suspended
Grand Theft Vehicle,2019-0260,9/26/19 8:51,10/4/18 12:00,U N F Dr/Lot 100,Cleared by arrest
Driving While License,A0Y5LWP,9/26/19,9/26/19 11:36,UNF Dr/Alumni Rd,Citation Issued
Suspended,,,,,
Fondling,,9/24/19,9/21/19,On-campus,Unreported Crime
Assault,2019-0256,9/22/19 17:11,9/21/19 1:00,1 U N F Dr South Bus,Open
Theft,2019-0253,9/19/19 22:31,9/19/19 15:00,BLDG 50,Suspended
Theft,2019-0249,9/17/19 15:24,9/17/19 10:45,Garage 38,Suspended
Drug Investigation,2019-0246,9/16/19 22:00,9/16/19 22:00,BLDG 41,Cleared by arrest
Theft,2019-0189,9/12/19 9:00,7/3/19 18:30,BLDG 61,Suspended
Sexual Violence,,9/12/19,9/12/19,On campus Housing,Unreported Crime
Burglary to Auto,2019-0238,9/9/19 15:26,9/9/19 13:30,Garage 44,Suspended
Vandalism,2019-0236,9/6/19 18:26,9/6/19 17:00,BLDG 12,Suspended
Theft,2019-0235,9/6/19 16:30,9/2/19 18:00,Lot 44A,Suspended
DUI,2019-0234,8/30/19 2:56,8/30/19 2:56,U N F Dr,Cleared by arrest
Theft,2019-0231,8/28/19 15:39,8/28/19 13:00,The Flats,Suspended
Theft,2019-0230,8/28/19 11:12,4/29/19 12:00,BLDG 10,Open
Bicycle Theft,2019-0226,8/26/19 15:00,8/22/19 15:00,Osprey Fountains,Open
Theft,2019-0221,8/21/19 21:35,8/21/19 10:00,Lot 18,Suspended
Petit Theft,2019-0215,8/21/19 3:22,8/21/19 3:22,BLDG 57,Open
Stalking,,8/20/19,8/19/19,On Campus,Unreported Crime
Theft,2019-0212,8/14/19 15:00,8/14/19 15:00,BLDG 43,Unfounded
Theft,2019-0211,8/7/19 15:42,8/7/19 15:42,BLDG 51,Open
No Crimes Reported,,8/4/19,,,
Vandalism to Auto,2019-0206,7/31/19 8:40,7/31/19 8:40,BLDG 38,Suspended
Vandalism to Vehicle,2019-0202,7/28/19 17:36,7/27/19 17:00,Lot 12,Open
Sexual Violence,,7/19/19 14:00,3/1/19,On-Campus Housing,Unreported Crime
Sexualy Battery,2019-0191,7/5/19 16:30,7/5/19 11:00,Osprey Cove,Open
Theft,2019-0189,7/3/19 20:45,7/3/19 18:30,BLDG 61,Open
Theft,2019-0182,6/26/19 12:30,6/26/19 12:20,BLDG 39,Suspended
Threat,2019-0179,6/24/19 20:40,6/24/19 20:20,THE FLATS,Open
Threatening Phone Call,2019-0178,6/24/19 17:30,6/25/19 15:53,BLDG 53,Closed
Child Abuse/Neglect,2019-0177,6/23/19 21:13,6/23/19 21:13,Osprey Fountains,Open
Theft,2019-0172,6/14/19 18:20,6/14/19 16:30,Building 38,Open
Theft,2019-0169,6/12/19 12:15,5/7/19 8:00,Bldg 45,Suspended
Burglary to Auto,2019-0160,5/30/19 19:00,5/30/19 10:40,,Suspended
Vandalism to Vehicle,2019-0152,5/19/19 20:08,5/19/19 20:15,Lot 5,Suspended
Vandalism to Vehicle,2019-0152,5/19/19 20:08,5/19/19 20:15,,
Theft,2019-0147,5/4/19 21:30,5/3/19 18:00,Bldg 46 Hodges,Suspended
Theft,2019-0145,5/3/19 14:14,5/3/19 12:00,Bldg 42,Suspended
Grand Theft,2019-0142,5/2/19 18:26,5/2/19 13:15,Bldg. 2/Rm 1018,Suspended
Theft,2019-0139,4/29/19 10:10,4/15/19 8:30,BLDG 6,Open
Sexual Violence,,4/29/19,3/19/19,On-campus housing,Unreported Crime
Vandelisom Business,2019-0135,4/26/19 15:15,4/26/19,Osprey Fountains,Suspended
Theft,2019-0136,4/26/19 10:14,4/26/19 7:00,Bldg 12,Suspended
Sexual Assault,,4/25/19 14:07,,On Campus Housing,Unreported Crime
Sexual Assault,,4/25/19 14:07,5/5/18,On Campus Housing,Unreported Crime
Sexual Assault,,4/25/19,,On Campus Housing,Unreported Crime
Extortion,2019-0129,4/23/19 12:20,4/22/19 22:15,Osprey Hall BLDG Z,Open
Vandelism-Business,2019-0127,4/22/19 1:49,4/22/19 1:49,BLDG 50,Suspended
Theft of Bicycle,2019-0112,4/18/19 16:17,4/11/19 18:56,Osprey Crossings,Suspended
Theft of Bicycle,2018-0266,4/17/19 16:06,11/25/18 20:00,Osprey Crossings,Suspended
Vandalism to Vehicle,2019-0123,4/17/19 12:17,4/16/19 18:00,Lot 12,Suspended
Vandalism,2019-0117,4/13/19 23:45,4/13/19 23:36,Bldg 58E,Suspended
Theft,2019-0116,4/12/19 16:41,4/1/19 12:00,BLDG 39,Suspended
Assault,2019-0114,4/11/19 23:06,4/11/19 23:06,Osprey Crossings,Open
Theft,2019-0112,4/11/19 18:56,4/11/19 18:56,Osprey Crossing,Suspended
Theft,2019-0113,4/11/19 18:30,4/11/19 18:30,Osprey Village,Open
Grand Theft Vehicle Parts,2019-0109,4/11/19 16:40,4/6/19 14:30,Parking Lot 17 near,Suspended
Petit Theft-Bicycle,2019-0108,4/11/19 11:00,4/11/19 10:00,BLDG 57,Suspended
Theft,2019-0107,4/9/19 19:51,4/9/19 13:00,1 U N F Dr,Suspended
Assault,2019-0106,4/9/19 16:10,4/5/19 1:00,Osprey Fountains,Suspended
Possession Less Than 20 Gr Marijuana,2019-0100,4/3/19 16:32,4/3/19 16:32,1 U N F Dr/Lot 3,Cleared by arrest
Theft of MV Parts,2019-0097,4/2/19 10:01,3/29/19 14:00,Lot 34,Suspended
Theft,2019-0093,3/30/19 10:30,3/29/19 14:00,BLDG 57,Suspended
Expired Driver's License,,3/15/19 9:48,3/15/19 9:48,1 U N F Dr,Citation Issued
Larc Petit Theft 1st Degree 100 less 300,2019-0089,3/12/19 18:25,3/12/19 18:30,Building 16,Suspended
Burglary to Dwelling,2019-0086,3/12/19 9:40,3/4/19 16:32,Osprey Crossings,
Burglary ,2019-0086,3/11/19 15:45,3/4/19 16:32,Osprey Crossings,Open
Larceny Petit Theft,2019-0085,3/11/19 10:19,3/1/19 14:00,The Flats 4850 First,Suspended
Burglary to Vehicle,2019-0080,3/6/19 23:24,3/6/19 16:30,The Flats,Open
Possess Marijuana,2019-0078,3/6/19 12:25,3/6/19 11:50,The Flats,Cleared by arrest
Dating Violence,,2/27/19,2/26/19,On-Campus Housing,Unreported Crime
Domestic Disturbance,2019-0069,2/20/19 13:10,2/20/19 4:30,Osprey Flats,Cleared by arrest
Larc Petit Theft,2019-0063,2/18/19 15:53,2/16/19,Lot 55,Suspended
POSSESSION OF marijuana,2019-0062,2/13/19 20:30,2/13/19 20:35,OSPREY LANDING,Cleared by arrest
Theft,2019-0059,2/12/19 15:34,2/10/19 14:45,Bldg 61 wellness,Suspended
Resisting Officer w/o Violence To His or Her Person,2019-0058,2/11/19 20:08,2/11/19 19:40,Bldg 38,Cleared by arrest
Burglary to a Dorm,2019-0055,2/11/19 10:00,2/8/19 14:00,Osprey Crossings,Suspended
Grand Theft,2019-0052,2/8/19 8:28,2/7/19 17:30,Bldg 15,Unfounded
Possess Marijuana,2019-0046,2/4/19 18:14,2/4/19 18:14,Osprey Cove,Citation Issued
Possess Marijuana,2019-0045,2/4/19 18:09,2/4/19 18:09,,Citation Issued
Theft,2019-0043,2/4/19 11:48,2/1/19 13:00,Bldg 9,Suspended
Petit Theft,2019-0043,2/1/19 16:03,2/1/19 13:00,Bldg 8,Suspended
Petit Theft,2019-0042,2/1/19 12:35,2/1/19 12:35,Bldg 53,Cleared by arrest
Petit Theft-Bicycle,2019-0038,1/29/19 17:39,1/29/19 13:40,1 U N F Dr Bldg 57,Suspended
Petit Theft-Bicycle,2019-0034,1/27/19 15:17,1/13/19 16:00,The Flats,Suspended
Grand Theft,2019-0033,1/26/19 22:01,1/26/19 22:01,Bldg 45,Suspended
Battery Touch Or,2019-0031,1/26/19 17:28,1/26/19,Osprey Crossings,Open
Petit Theft,2019-0032,1/26/19 17:20,1/3/19 14:50,Bldg 39,Suspended
Grand Theft Cell phone,2019-0018,1/15/19 20:30,1/15/19 20:10,Lake Oneida,Exceptionally
Grand Theft of Fire extinquisher,2019-0015,1/15/19 13:45,1/14/19 9:30,Bldg 44A,Suspended
Sexual Violence,,1/14/19,9/1/17,On-Campus Housing,Unreported Crime
Battery Touch or strike,2019-0009,1/8/19 19:52,1/8/19 20:00,Osprey crossings R,Suspended
Vandalism to Vehicle,2019-0008,1/8/19 12:25,1/7/19 10:30,Lot 38,Suspended
Petit Theft,2019-0007,1/7/19 19:38,1/7/19 19:38,Bldg 16,Suspended
Grand Theft,2019-0005,1/7/19 8:23,1/4/19 14:00,Bldg 64,Suspended
Grand Theft,2019-0001,1/2/19 9:00,12/28/18 9:00,Bldg 44 and 44A,Suspended
Sexual Violence,,1/2/19,9/19/18,On-Campus Housing,Unreported Crime
Fraudulent Use of credit card,2018-0288,12/18/18 11:19,12/18/18 9:48,Bldg 58W,Suspended
Fraud--Illegal Use credit card,2018-0288,12/18/18 11:18,12/18/18 9:48,"1 UNF Drive, Building",Suspended
Petit Theft,2018-0287,12/9/18 21:50,12/9/18 21:50,Osprey Village,Suspended
Theft,2018-0285,12/6/18 3:16,12/4/18 20:00,Lot 11,Suspended
Theft,2018-0281,12/3/18 14:30,11/30/18 17:00,BLDG 50,Open
Possession Marijuana,2018-0279,12/2/18 13:07,12/2/18 13:07,North Entrance,Cleared by arrest
Grand Theft,2018-0275,11/28/18 17:10,11/28/18 14:30,BLDG 39,Suspended
Criminal Mischief,2018-0272,11/27/18 20:41,11/27/18 18:00,BLDG 58,Suspended
DUI,2018-0268,11/27/18 14:25,11/27/18 14:25,St Johns Bluff Rd N,Cleared by arrest
Petit Theft,2018-0271,11/27/18 12:32,11/12/18 12:32,BLDG 51,Suspended
Petit Theft,2018-0270,11/27/18 11:36,11/21/18 15:00,BLDG 51,Suspended
Petit Theft,2018-0269,11/27/18 11:22,11/26/18 13:30,Bldg 12,Suspended
Petit Theft,2018-0270,11/22/18 11:36,11/21/18 15:00,BLDG 51,Suspended
Theft,2018-0264,11/19/18 15:15,11/2/18 15:00,Lot 18,Suspended
Noo Crimes Reporte,,11/19/18,,,
Grand Theft-Bicycle,2018-0251,11/13/18 9:11,11/12/18 17:00,12200 Alumni Dr,Suspended
Possess Marijuana,2018-0248,11/11/18 16:39,11/11/18 16:28,4850 First Coast,Cleared by arrest
Possess Marijuana,2018-0247,11/11/18 14:25,11/11/18 14:25,4654 Osprey Ridge,Cleared by arrest
Possession of Less than 20 gr marijuana,2018-0240,11/5/18 22:00,11/5/18 22:00,11800 U N F Dr # 308,Cleared by arrest
Petit Theft,2018-0180,11/2/18 4:05,11/2/18 4:05,Bldg 15 Rm 3204,Suspended
Theft,2018-0232,10/25/18 11:57,10/23/18 23:00,Osprey Landing X,Case not Cleared--
Possess Marijuana,2018-0227,10/22/18 12:48,10/23/18 12:48,Osprey Cove,Cleared by arrest
Petit Theft,2018-0270,11/27/18 11:36,11/21/18 15:00,BLDG 51,Suspended
Petit Theft,2018-0269,11/27/18 11:22,11/26/18 13:30,Bldg 12,Suspended
Petit Theft,2018-0270,11/22/18 11:36,11/21/18 15:00,BLDG 51,Suspended
Theft,2018-0264,11/19/18 15:15,11/2/18 15:00,Lot 18,Suspended
Noo Crimes Reporte,,11/19/18,,,
Grand Theft-Bicycle,2018-0251,11/13/18 9:11,11/12/18 17:00,12200 Alumni Dr,Suspended
Possess Marijuana,2018-0248,11/11/18 16:39,11/11/18 16:28,4850 First Coast,Cleared by arrest
Possess Marijuana,2018-0247,11/11/18 14:25,11/11/18 14:25,4654 Osprey Ridge,Cleared by arrest
Possession of Less than 20 gr marijuana,2018-0240,11/5/18 22:00,11/5/18 22:00,11800 U N F Dr # 308,Cleared by arrest
Petit Theft,2018-0180,11/2/18 4:05,11/2/18 4:05,Bldg 15 Rm 3204,Suspended
Theft,2018-0232,10/25/18 11:57,10/23/18 23:00,Osprey Landing X,Case not Cleared--
Possess Marijuana,2018-0227,10/22/18 12:48,10/23/18 12:48,Osprey Cove,Cleared by arrest
Grand Theft,2018-0216,10/16/18 12:33,10/4/18 14:59,1 UNF Dr,Suspended
Operating While DL revoked ,2018-0224,10/15/18 19:11,10/15/18 19:11,UNF Dr at Garage 38,Cleared by arrest
Possess Drugs and,2018-0223,10/13/18 17:35,10/13/18 17:35,1 UNF Dr,Cleared by arrest
Vandalism,2018-0222,10/10/18 17:05,10/10/18 17:05,Bldg 51,Suspended
Sexual Violence,,10/10/18,5/1/18,On-Campus Housing,Unreported Crime
Sexual Violence,,10/10/18,5/1/18,On-Campus Housing Unreported Crime,NA
Possess Marijuana,2018-0217,10/5/18 14:07,10/5/18 14:07,Osprey Fountain Cleared by arrest,NA
Grand Theft,2018-0216,10/4/18 14:59,9/25/18,Bldg 12 Open,NA
Domestic Dispute with violence,2018-0213,10/1/18 19:35,9/30/18 23:00,4850 First Coast Tech Open,NA
Bicycle Theft,2018-0207,9/28/18 12:57,9/27/18 23:30,Osprey Crossings Suspended,NA
Vandalism,2018-0204,9/20/18 0:39,9/19/18 18:35,1 UNF Dr/Lot 44 Suspended,NA
POSSESSION OF marijuana,2018-0203,9/19/18 18:04,9/19/18 16:41,Alumni Dr and 1 UNF Cleared by arrest,NA
Vandelism,2018-0201,9/19/18 3:45,9/18/18 17:00,Lot 55 Suspended,NA
Person Injured,2018-0197,9/17/18 18:59,9/17/18 17:30,pathway between Suspended,NA
Theft,2018-0196,9/14/18 7:41,9/14/18 7:41,1 UNF Dr Exceptionally,NA
Petit Theft,2018-0195,9/13/18 9:00,9/12/18 20:50,Lot 18 Suspended,NA
Possess Drug,2018-0194,9/12/18 23:15,9/12/18 23:15,Osprey Fountain S517 Cleared by arrest,NA
Grand Theft,2018-0193,9/12/18 13:00,9/12/18 12:00,Bldg 39/3092 Suspended,NA
Possess Marijuana,2018-0192,9/10/18 23:21,9/10/18 11:21,Osprey Landing Cleared by arrest,NA
Petit Theft,2018-0190,9/8/18 20:45,9/8/18 19:00,Outside Osprey Suspended,NA
Petit Theft,2018-0188,9/4/18 11:16,9/3/18 14:00,Osprey Flats Suspended,NA
Possession of,2018-0186,8/30/18 18:30,8/30/18 18:30,UNF Dr Cleared by arrest,NA
Petit Theft,2018-0183,8/24/18 10:42,8/23/18 18:00,Bldg 10,Open
Possess Controlled substance,2018-0179,8/22/18 13:51,8/22/18 16:42,1 UNF Dr,Cleared by arrest
Vandelism,2018-0178,8/22/18 6:25,8/20/18 8:30,Bldg 57,Suspended
Sexual Violence,,8/22/18,8/19/18,On-Campus Housing,Unreported Crime
Petit Theft,2018-0176,8/21/18 13:36,8/21/18 10:00,Bldg 12,Suspended
Fleeing/Attempt to flee with marijuana,2018-0175,8/20/18 13:22,8/20/18 13:22,U N F Dr @ Eco Rd,Cleared by arrest
Grand Theft,2018-0172,8/9/18 10:54,8/8/18 10:00,Bldg 42,Suspended
Grand Theft,2018-0170,8/2/18 19:19,8/1/18,Bldg 12,Open
Possess Marijuana,2018-0169,7/31/18 9:49,7/31/18 9:49,Osprey Flats,Cleared by arrest
Burglary To Vehicle,2018-0167,7/27/18 18:31,7/26/18 21:30,Osprey Landing Lot,Suspended
Petit Theft,2018-0166,7/27/18 15:38,7/21/18 10:00,Opsrey Cove U113,Suspended
Petit Theft,2018-0165,7/27/18 14:55,7/27/18 14:55,Osprey Cove T206,Citation Issued
POSSESSION OF marijuana,2018-0163,7/26/18 23:10,7/26/18 23:10,Osprey Cove U204,Citation Issued
Petit Theft,2018-0162,7/25/18 10:30,7/24/18 14:30,Bldg 42/Rm 2010,Suspended
Driving While License suspended,A0Y55ZP,7/23/18 15:50,7/23/18 15:50,U N F Dr/Garage 38,Citation Issued
Possess Drugs and,2018-0157,7/21/18 0:05,7/21/18 0:05,Osprey Cove V314,Citation Issued
Possess Drugs and,2018-0156,7/20/18 22:06,7/20/18 22:45,Osprey Landing,Citation Issued
Grand Theft,2018-0155,7/20/18 16:57,7/20/18 16:00,Bldg 14 Suspended,NA
Petit Theft,2018-0154,7/20/18 12:40,7/18/18 15:00,Lot 9 Suspended,NA
Petit Theft,2018-0153,7/20/18 12:12,7/19/18 9:00,Osprey Fountains Unfounded,NA
Possession of Drugs,2018-0148,7/19/18 0:05,7/19/18 0:05,Osprey Landing W215 Cleared by arrest,NA
Video Voyeurism,2018-0146,7/17/18 11:33,7/17/18 11:33,PTDF Cleared by arrest,NA
No Proof of Insurance,A0Y5OAP,7/15/18 17:45,7/15/18 17:45,UNF Lot 15 Osprey Citation Issued,NA
No Valid Driver's license,A0Y5MDP,7/15/18 10:00,7/15/18 10:00,UNF Dr @ Alumni Dr Citation Issued,NA
License,,,,(Lot 11),NA
No Valid Driver's license,A0Y5MDP,7/15/18 10:00,7/15/18 10:00,UN,NA
License,,,,,NA
Expired Driver's license,a0y5gdp,7/14/18 12:55,7/14/18 12:55,1 UNF Dr @ Lot 11 Citation Issued,NA
License,,,,,NA
Criminal Mischief,2018-0142,7/11/18 15:19,7/9/18 12:00,Bldg. 51 Suspended,NA
Information,2018-0140,7/2/18 14:55,6/18/18 14:55,Unknown Closed,NA
Possess Marijuna &,2018-0139,7/2/18 2:20,7/2/18 2:20,Osprey Fountains Cleared by arrest,NA
Paraphernalia,,,,,NA
Battery,2018-0129,6/23/18 12:01,6/15/18 16:45,Bldg. 34 Exceptionally,NA
,,,,Cleared,NA
Burglary,2018-0137,6/22/18 15:40,3/18/18 15:00,Bldg. 39A Suspended,NA
Petit Theft,2018-0136,6/21/18 12:29,6/18/18 14:00,Phys Fac Suspended,NA
Possess Cocaine,2018-0100,6/20/18 10:07,4/26/18 10:15,Bldg 12 Exceptionally,NA
,,,,Cleared,NA
Grand Theft- Bicycle,2018-0134,6/19/18 22:05,6/17/18 14:00,Lot 15 Suspended,NA
Battery,2018-0130,6/16/18 1:25,6/15/18 20:10,UNF Dr near I-295 Exceptionally,NA
Battery,2018-0129,6/15/18 19:26,6/15/18 16:45,Lot 34 Open,NA
Possess Drug,2018-0128,6/14/18 16:30,6/14/18 16:30,The Flats Cleared by arrest,NA
Parphernalia,,,,,NA
Burglary to Vehicle,2018-0125,6/8/18 12:33,6/5/18 8:00,Lot 100 Suspended,NA
Burglary to Vehicle,2018-0125,6/5/18 14:42,6/5/18 8:00,Lot 100 Suspended,NA
Burglary to Vehicle,2018-0124,6/5/18 14:24,6/5/18 9:20,Lot 100 Suspended,NA
Possess Marijuana,2018-123,6/5/18 7:40,6/5/18 11:14,Osprey Fountains Cleared by arrest,NA
Battery,2018-0120,5/30/18 16:08,5/30/18 14:00,Bldg. 34 Suspended,NA
Petit Theft,2018-0117,5/26/18 12:31,5/25/18 11:00,Bldg. 61 Suspended,NA
Burglary to Vehicle,2018-0116,5/25/18 22:50,5/25/18 19:45,Lot 18 Suspended,NA
Possession of a,2018-0100,5/24/18 8:20,4/26/18 10:15,Bldg. 12 Suspended,NA
Controlled Substance,,,,,NA
Grand Theft,2018-0115,5/23/18 16:54,5/21/18 10:00,Bldg. 50 Suspended,NA
Possess Marijuana,2018-0111,5/21/18 21:56,5/21/18 21:56,4654 Osprey Ridge Rd Cleared by arrest,NA
Burglary,2018-0107,5/21/18 9:07,4/10/18 17:00,Bldg. 39 Suspended,NA
Threats to Extort,2018-0110,5/19/18 8:36,10/1/13 0:01,The Flats Open,NA
Money/Compel,,,,,NA
Person,,,,,NA
Petit Theft,2018-0109,5/16/18 17:11,5/11/18 14:00,Bldg. 4 Suspended,NA
Burglary,2018-0107,5/16/18 12:47,4/10/18 17:00,Bldg 39 Suspended,NA
Trespass In Structure,2018-0102,4/30/18 7:18,4/28/18 12:00,Osprey Flats Suspended,NA
or Conveyance,,,,,NA
Burglary To Vehicle,2018-0103,4/29/18 23:08,4/29/18 1:00,Osprey Flats Suspended,NA
Burglary to Vehicle,2018-0103,4/29/18 23:08,4/29/18 1:00,Osprey Flats,NA
Criminal Mischief,2018-0101,4/28/18 10:26,4/28/18 8:00,1 UNF Dr/Bldg 2 Suspended,NA
Possess marijuana,2018-0099,4/24/18 20:45,4/24/18 20:45,Osprey Village,Cleared by arrest
Marijuana/Parapherna,,,,,
lia,,,,,
Grand Theft,2018-0097,4/22/18 16:57,4/22/18 15:25,Bldg. 16,Suspended
Possess Marijuana &,2018-0095,4/16/18 22:20,4/16/18 22:20,Osprey Hall,Cleared by arrest
Paraphernalia,,,,,
Possess Marijuana,2018-0093,4/15/18 3:42,4/15/18 3:42,Osprey Landing,Cleared by arrest
and Paraphernalia,,,,,
Sexual Battery,2018-0090,4/11/18 16:39,4/1/17,Osprey Fountains,Open
Threat of extortion,2018-0088,4/10/18 17:34,4/7/18 16:00,Osprey Fountains,Cleared by arrest
Extortion/Compel,,,,,
Person,,,,,
Threat of extortion,2018-0088,4/9/18 15:42,4/7/18 16:00,Osprey Fountains,Open
Extortion/Compel,,,,,
Person,,,,,
Schemes to Defraud,2018-0052,4/6/18 10:19,3/6/18 15:29,Hicks Hall,Suspended
Possess Marijuana,2018-0082,4/5/18 20:40,4/5/18 20:40,Osprey Village,Cleared by arrest
Petit Theft,2018-0080,4/4/18 20:21,4/4/18 17:40,Bldg 12,Suspended
Petit Theft,2018-0079,4/4/18 19:39,4/4/18 16:00,,Suspended
Petit Theft,2018-0077,4/3/18 13:55,4/1/18 19:15,Bldg 12,Suspended
Posession of,2018-0076,4/3/18 12:46,4/3/18 12:46,Osprey Fountains,Cleared by arrest
Marijuana/Parapherna,,,,,
lia,,,,,
Burglary to Vehicle,2018-0070,3/27/18 14:22,3/27/18 12:00,Lot 100,Open
Petit Theft - Motor vehicle,2018-0064,3/18/18 8:23,3/18/18 0:01,4850 First Coast Tech,Cleared by arrest
Vehicle,,,,Parkway,
Parts/Acessories,,,,,
Grand Theft,2018-0056,3/16/18 9:56,3/13/18 9:30,Bldg 58,Unfounded
Petit Theft,2018-0059,3/14/18 16:29,3/14/18 8:43,Lot 18,Suspended
Criminal Mischief,2018-0058,3/14/18 11:36,3/13/18 16:30,Bldg. 51,Suspended
Grand Theft,2018-0054,3/12/18 15:28,3/12/18 15:00,Lot 44,Open
Grand Theft - From,2018-0054,3/12/18 13:56,3/9/18 15:00,"1 UNF Drive, Lot 44",Cleared by arrest
Motor Vehicle,,,,,
Information,2018-0053,3/11/18 9:51,3/1/18 8:00,Off Campus,Closed
Schemes To Defraud,2018-0052,3/9/18 17:05,3/6/18 15:29,Hicks Hall,Suspended
Petit Theft,2018-0051,3/9/18 15:06,1/26/18 15:00,Osprey Hall,Suspended
Petit Theft,2018-0049,3/9/18 12:46,2/16/18 21:00,Amphitheater,Suspended
Damaged Property,2018-0047,3/8/18 15:44,3/6/18 17:00,Bldg 58,Closed
Grand Theft,2018-0045,3/8/18 0:51,3/6/18 9:00,Bldg. 43,Suspended
Grand Theft,2018-0045,3/7/18 3:02,3/6/18 9:00,Bldg. 43,Suspended
Strong Arm Robbery -,2017-0250,3/6/18 10:47,11/20/17 12:15,Lot 11,Suspended
No Firearms or,,,,,
Weapons,,,,,
Criminal Mischief,2018-0043,3/6/18 9:53,3/2/18 3:00,Bldg. 15,Suspended
Burglary to Structure,2018-0043,3/5/18 10:58,3/2/18 3:00,Bldg. 15,Suspended
Suicide Attempt,2018-0040,3/1/18 22:35,3/1/18 19:04,Osprey Fountain,Closed
Possession of marijuana,2018-0032,2/27/18 23:00,2/27/18 23:00,Osprey Village,Cleared by arrest
Marijuana,,,,,
Petit Theft,2018-0035,2/23/18 6:53,2/22/18 15:00,Bldg 17,Suspended
Indecent Exposure,2018-0036,2/22/18 23:06,2/22/18 20:05,Lot 18,Suspended
