case_number,date_reported,date_occurred,time_occurred,location,time_reported,incident,university
P-14-0115,2020-01-31,2014-01-29,09:25,SCHILLETTER DINING HALL                U             Not Cleared,11:25,13B ASSAULT AND BATTERY,Clemson University
P-14-0117,2020-01-31,2014-01-30,23:00,THORNHILL VILLAGE PARKING AREA         C             Not Cleared,15:35,23H PETIT LARCENY,Clemson University
P-14-0119,2020-01-31,2014-01-31,23:17,E-6 PARKING LOT                        C             Not Cleared,23:20,991 INFORMATION ONLY,Clemson University
P-14-0120,2020-01-31,2014-01-31,23:04,102 SANDERS HALL                       C             Cleared by Arrest,23:04,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0121,2020-02-01,2014-02-01,03:35,DONALDSON HALL (1ST FLOOR LOUNGE)      C             Cleared by Arrest,03:35,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-14-0122,2020-02-01,2014-02-01,01:00,DONALDSON HALL                         C             Not Cleared,15:45,999 LOST PROPERTY,Clemson University
P-14-0123,2020-02-02,2014-02-02,02:15,SC HIGHWAY 93 & COLLEGE AVENUE         C             Cleared by Arrest,02:15,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0124,2020-02-02,2014-01-31,23:00,LIGHTSEY BRIDGE 7 PARKING AREA         C             Not Cleared,17:02,991 INFORMATION ONLY,Clemson University
P-14-0125,2020-02-02,2014-02-02,20:56,905 JOHNSTONE HALL                     C             Not Cleared,20:56,991 INFORMATION ONLY,Clemson University
P-14-0126,2020-02-03,2014-01-30,00:00,POST OFFICE SERVICE ROAD               C             Cleared by Arrest,15:34,240 PETIT LARCENY,Clemson University
P-14-0127,2020-02-03,2014-01-31,09:00,THORNHILL VILLAGE PARKING AREA         A             Not Cleared,16:43,23F PETIT LARCENY,Clemson University
P-14-0128,2020-02-03,2014-02-03,18:47,14-C LIGHTSEY BRIDGE                      C             Not Cleared,18:52,90J TRESPASS OF REAL PROPERTY,Clemson University
P-14-0129,2020-02-04,2014-02-04,05:13,HIGHWAY 93 & CALHOUN DRIVE                C             Cleared by Arrest,05:13,950 DRIVING UNDER SUSPENSION,Clemson University
P-14-0131,2020-02-04,2014-02-04,15:30,AVENUE OF CHAMPIONS & PERIMETER ROAD      U             Not Cleared,16:39,991 INFORMATION ONLY,Clemson University
P-14-0132,2020-02-05,2014-02-05,00:49,734 JOHNSTONE HALL                        C             Cleared by Arrest,00:57,35A SIMPLE POSSESION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0133,2020-02-05,2014-01-24,11:00,LEE HALL III (STUDIO E)                   C             Not Cleared,09:48,23D PETIT LARCENY,Clemson University
P-14-0137,2020-02-05,2014-02-05,13:32,STROM THURMOND INSTITUTE PARKING LOT      C             Not Cleared,13:42,991 INFORMATION ONLY,Clemson University
P-14-0138,2020-02-05,2014-01-29,08:00,REDFERN HEALTH CENTER PARKING LOT         C             Not Cleared,14:41,23F PETIT LARCENY,Clemson University
P-14-0139,2020-02-06,2014-02-03,18:15,FIKE RECREATION HALL                      C             Not Cleared,16:00,991 INFORMATION ONLY,Clemson University
P-14-0143,2020-02-05,2014-02-05,01:00,5A5 BYRNES HALL                           C             Not Cleared,20:58,991 INFORMATION ONLY,Clemson University
P-14-0145,2020-02-07,2014-02-06,17:00,CENTENNIAL BLVD                           C             Not Cleared,11:07,991 INFORMATION ONLY,Clemson University
P-14-0146,2020-02-07,2014-02-07,13:30,HENDRIX STUDENT CENTER LOBBY              A             Not Cleared,14:10,23D PETIT LARCENY,Clemson University
P-14-0147,2020-02-07,2014-02-07,12:00,CALHOUN DRIVE                             C             Cleared by Arrest,15:06,240 PETIT LARCENY,Clemson University
P-14-0148,2020-02-07,2014-02-07,18:15,104 COPE HALL                             C             Cleared by Arrest,18:25,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0149,2020-02-07,2014-02-07,20:48,BYRNES HALL 3RD FLOOR RESTROOM            C             Cleared by Arrest,20:48,90E PUBLIC DISORDERLY CONDUCT 90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0150,2020-02-07,2014-02-07,21:06,212 COPE HALL                                C             Cleared by Arrest,21:06,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0151,2020-02-07,2014-02-07,21:41,408 COPE HALL                                C             Cleared by Arrest,21:41,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0152,2020-02-07,2014-02-07,23:11,208 SANDERS HALL                             C             Cleared by Arrest,23:12,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0153,2020-02-08,2014-02-07,19:00,SIKES HALL PARKING LOT                       C             Not Cleared,01:33,991 INFORMATION ONLY,Clemson University
P-14-0154,2020-02-08,2014-02-08,01:59,MCMILLAN ROAD                                C             Not Cleared,01:59,991 INFORMATION ONLY,Clemson University
P-14-0155,2020-02-08,2014-02-08,02:44,SC HIGHWAY 93 & SIKES HALL                   C             Not Cleared,02:44,991 INFORMATION ONLY,Clemson University
P-14-0156,2020-02-08,2014-02-08,13:46,CHERRY ROAD & PERIMETER ROAD                 C             Cleared by Arrest,13:46,950 DRIVING UNDER SUSPENSION,Clemson University
P-14-0157,2020-02-08,2014-02-08,17:53,N4E CALHOUN COURTS                           C             Cleared by Arrest,17:55,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0158,2020-02-08,2014-02-08,22:41,842 JOHNSTONE HALL                           C             Cleared by Arrest,22:41,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0159,2020-02-08,2014-02-08,23:08,907 JOHNSTONE HALL                           C             Cleared by Arrest,23:08,35A SIMPLE POSSESSION MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0160,2020-02-08,2014-02-08,23:43,SC HIGHWAY 93 & US HIGHWAY 76                C             Cleared by Arrest,23:43,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0161,2020-02-09,2014-02-09,14:30,CLEMSON HOUSE PARKING CIRCLE                 C             Not Cleared,14:50,23H PETIT LARCENY,Clemson University
P-14-0162,2020-02-10,2014-02-07,16:00,AGRICULTURAL SERVICE LABORATORY FENCED AREA A              Not Cleared,09:07,240 GRAND LARCENY,Clemson University
P-14-0163,2020-02-10,2014-02-10,10:34,PERIMETER ROAD                             C             Cleared by Arrest,10:36,950 OPERATING UNINSURED VEHICLE,Clemson University
P-14-0164,2020-02-10,2013-11-01,00:00,200 YOUNG HALL                             C             Not Cleared,19:16,23D PETIT LARCENY,Clemson University
P-14-0165,2020-02-11,2014-02-10,23:00,HARCOMBE DINING HALL                       C             Not Cleared,00:04,991 INFORMATION ONLY (BREACH OF TRUST),Clemson University
P-14-0166,2020-02-11,2014-02-11,02:30,CENTENNIAL BLVD                            C             Not Cleared,03:12,991 INFORMATION ONLY,Clemson University
P-14-0170,2020-02-11,2014-02-11,14:45,KITE HILL                                  C             Cleared by Arrest,14:35,950 RECKLESS DRIVING,Clemson University
P-14-0171,2020-02-11,2014-02-11,15:00,C-7 PARKING LOT                            C             Not Cleared,16:35,290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-14-0172,2020-02-11,2014-02-11,21:07,108 BRADLEY HALL                           C             Cleared by Arrest,21:07,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0173,2020-02-11,2014-02-11,21:39,ALPHA BETA CIRCLE                          C             Cleared by Arrest,21:39,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0174,2020-02-11,2014-02-11,23:20,BRYAN CIRCLE                               C             Cleared by Arrest,23:21,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0175,2020-02-12,2014-02-12,11:30,HIGHWAY 93                                 C             Cleared by Arrest,11:30,950 RECKLESS DRIVING,Clemson University
P-14-0177,2020-02-12,2014-02-12,23:03,CENTENNIAL BLVD & AVENUE OF CHAMPIONS      C             Not Cleared,23:03,991 VEHICLE ACCIDENT,Clemson University
P-14-0178,2020-02-13,2014-02-13,00:53,S3B CALHOUN COURTS                         C             Not Cleared,00:56,991 INFORMATION ONLY,Clemson University
P-14-0179,2020-02-14,2014-02-14,01:05,SC HIGHWAY 93 & HILLCREST AVENUE           C             Cleared by Arrest,01:05,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-14-0180,2020-02-14,2014-02-14,06:55,EDGAR BROWN STUDENT UNION                  C             Not Cleared,07:37,991 INFORMATION ONLY,Clemson University
P-14-0182,2020-02-14,2014-02-14,03:00,MANNING HALL                               C             Cleared by Arrest,12:20,13B ASSAULT AND BATTERY,Clemson University
P-14-0183,2020-02-14,2014-02-11,15:00,SIRRINE HALL LOBBY (LOUNGE)             C             Not Cleared,13:45,23D PETIT LARCENY,Clemson University
P-14-0184,2020-02-14,2014-02-10,17:30,EDGAR BROWN STUDENT UNION               C             Not Cleared,14:40,23D PETIT LARCENY,Clemson University
P-14-0185,2020-02-14,2014-02-14,21:45,1200 TIGER BLVD                         C             Not Cleared,21:45,998 ASSISTING ANOTHER AGENCY,Clemson University
P-14-0187,2020-02-15,2014-02-15,02:10,HIGHWAY 93 & MELL HALL PARKING LOT      C             Cleared by Arrest,02:10,90D DRIVING UNDER THE INFLUENCE 90Z POSSESSION OF FALSE IDENTIFICATION,Clemson University
P-14-0188,2020-02-15,2014-02-15,03:31,107-C CROSSCREEK APARTMENTS             C             Not Cleared,03:31,991 INFORMATION ONLY,Clemson University
P-14-0189,2020-02-15,2014-01-29,17:28,SIKES HALL BICYCLE RACK                 C             Not Cleared,13:21,23H PETIT LARCENY,Clemson University
P-14-0190,2020-02-15,2014-02-15,16:00,CALHOUN COURTS PARKING AREA             C             Not Cleared,19:38,991 INFORMATION ONLY,Clemson University
P-14-0191,2020-02-15,2014-02-15,21:55,202 DONALDSON HALL                      C             Cleared by Arrest,21:55,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0192,2020-02-15,2014-02-14,19:00,324 CLEMSON HOUSE                       C             Exceptional Clearance,21:59,23D PETIT LARCENY,Clemson University
P-14-0195,2020-02-17,2014-02-17,10:50,C-2 PARKING LOT                         C             Not Cleared,13:33,23G PETIT LARCENY,Clemson University
P-14-0198,2020-02-18,2014-02-18,13:40,SCHILLETTER DINING HALL                 C             Not Cleared,14:03,991 INFORMATION ONLY,Clemson University
P-14-0200,2020-02-18,2014-02-18,17:30,616 CLEMSON HOUSE                       C             Not Cleared,17:52,991 INFORMATION ONLY,Clemson University
P-14-0201,2020-02-18,2014-02-18,19:51,312 BOWEN HALL                          C             Not Cleared,19:51,991 INFORMATION ONLY,Clemson University
P-14-0202,2020-02-18,2014-02-18,22:51,HIGHWAY 93 & PERIMETER ROAD             C             Cleared by Arrest,22:51,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0203,2020-02-19,2014-02-19,01:37,115A MILLS ROAD                      C             Cleared by Arrest,01:37,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0205,2020-02-19,2014-02-19,09:11,MCMILLAN RD                          C             Cleared by Arrest,09:11,950 DRIVING UNDER SUSPENSION,Clemson University
P-14-0206,2020-02-19,2014-02-19,14:30,CHERRY RD AND PARKWAY DR             C             Cleared by Arrest,14:30,950 OPERATING UNINSURED VEHICLE,Clemson University
P-14-0207,2020-02-20,2014-02-20,09:43,MCMILLAN ROAD                        C             Cleared by Arrest,09:43,950 DRIVING UNDER SUSPENSION,Clemson University
P-14-0209,2020-02-21,2014-02-21,00:43,SC HIGHWAY 93 & CHERRY ROAD          C             Cleared by Arrest,00:43,950 DRIVING UNDER SUSPENSION,Clemson University
