Burglary,2017-0101-0001,01/01/2017 00:56 A.M.,01/01/2017 00:56 A.M.,MMC,Owa Ehan,Cosed,Open
Conduct Investigation,2017-0112-0002,01/12/2017 10:35 A.M.,01/12/2017 10:35 A.M.,OFF CAMPUS,NE 137TH ST/BAY VISTA,Closed,Unknown
"",,,,,BLVD,,
Theft/Purse,2017-0112-0005,01/12/2017 02:49 P.M.,01/12/2017 02:49 P.M.,BBC,Wolfe University Center,Open,Unknown
Conduct Investigation,2017-0112-0007,01/12/2017 04:00 P.M.,01/12/2017 04:00 P.M.,BBC,Bayview Housing,Closed,Yes
Conduct Investigation,2017-0112-0011,01/12/2017 04:57 P.M.,01/12/2017 04:57 P.M.,BBC,Wolfe University Center,Closed,No
Theft/Unknown,2017-0112-0012,01/12/2017 09:18 P.M.,01/12/2017 09:18 P.M.,MMC,Panther Garage,Open,Unknown
Criminal Mischief,2017-0113-0002,01/13/2017 07:11 A.M.,01/13/2017 07:11 A.M.,MMC,Deuxieme Mason,Open,Unknown
Fraud,2017-0113-0005,01/13/2017 05:16 P.M.,01/13/2017 05:16 P.M.,BBC,Academic One,Open,Yes
Information Report,2017-0113-0007,01/13/2017 07:58 P.M.,01/13/2017 07:58 P.M.,MMC,Ernest R. Graham Center,Closed,Unknown
Conduct Investigation,2017-0113-0008,01/13/2017 07:39 P.M.,01/13/2017 07:39 P.M.,EC,Engineering Center,Open,Yes
"",,,,,(CEAS),,
Hit and Run,2017-0114-0001,01/14/2017 04:36 P.M.,01/14/2017 04:36 P.M.,MMC,11200 SW 8TH ST,Open,Yes
Theft/Iphone 6s,2017-0116-0001,01/16/2017 09:04 P.M.,01/16/2017 09:04 P.M.,MMC,Graham Center,Open,Yes
Theft/Bicycle Seat,2017-0116-0002,01/16/2017 09:34 P.M.,01/16/2017 09:34 P.M.,MMC,Academic Health Center,Open,Yes
"",,,,,4,,
Information Report,2017-0117-0004,01/17/2017 02:00 P.M.,01/17/2017 02:00 P.M.,MMC,Parking Garage 6- Tech,Closed,Unknown
"",,,,,Station,,
Theft/Leather bag/U.S Currency,2017-0117-0006,01/17/2017 08:19 P.M.,01/17/2017 08:19 P.M.,MMC,Graham Center,Open,Yes
Information Report,2017-0118-0001,01/18/2017 06:47 A.M.,01/18/2017 06:47 A.M.,BBC,Bayview Housing,Closed,Yes
Theft/Macbook Pro,2017-0118-0002,01/18/2017 07:14 A.M.,01/18/2017 07:14 A.M.,MMC,Green Library,Open,No
"",,,,,Academic Health Center,,
Traffic Accident,2017-0118-0003,01/18/2017 09:58 A.M.,01/18/2017 09:58 A.M.,MMC,,Closed,Yes
"",,,,,1,,
Fraud,2017-0118-0004,01/18/2017 02:47 P.M.,01/18/2017 02:47 P.M.,MMC,Marketplace Garage,Open,Unknown
"",,,,,Womens Softball/Tennis,,
Assault/Battery,2017-0118-0005,01/18/2017 04:51 P.M.,01/18/2017 04:51 P.M.,MMC,,Closed,Yes
"",,,,,Center,,
"",,,,,Primera Casa-Charles,,
Found Property/U.S Currency,2017-0118-0006,01/18/2017 09:28 P.M.,01/18/2017 09:28 P.M.,MMC,,Closed,Unknown
"",,,,,Perry,,
Found Property/Debit Card,2017-0118-0007,01/18/2017 09:11 P.M.,01/18/2017 09:11 P.M.,MMC,Rafael Diaz-Balart Hall,Closed,Unknown
Found Property/Wallet,2017-0118-0008,01/18/2017 09:06 P.M.,01/18/2017 09:06 P.M.,MMC,University Towers,Closed,Yes
Information Report,2017-0118-0009,01/18/2017 11:40 P.M.,01/18/2017 11:40 P.M.,MMC,Green Library,Closed,Yes
Conduct Investigation,2017-0119-0001,01/19/2017 01:02 A.M.,01/19/2017 01:02 A.M.,MMC,Owa Ehan,Closed,No
Fire Alarm,2017-0119-0002,01/19/2017 10:22 A.M.,01/19/2017 10:22 A.M.,EC,Operations Utility (CEAS),Closed,Unknown
