Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
16-5398,11/30/16,11/30/16,Administrative Information
16-5397,11/30/16,11/30/16,Traffic Crash-Property Damage
16-5396,11/30/16,11/30/16,Administrative Information
16-5395,11/30/16,11/30/16,Traffic Crash-Property Damage
16-5393,11/30/16,11/30/16,Traffic Crash-Property Damage
16-5392,11/30/16,11/27/16,Theft
16-5391,11/30/16,11/30/16,Administrative Information
16-5390,11/30/16,11/30/16,Assist Other Agency
16-5389,11/29/16,11/29/16,Administrative Information
16-5388,11/29/16,11/29/16,Theft
16-5387,11/29/16,11/29/16,Assist Other Agency
16-5386,11/29/16,11/29/16,Administrative Information
16-5385,11/29/16,11/29/16,Criminal Trespass
16-5383,11/29/16,11/29/16,Administrative Information
16-5381,11/29/16,11/26/16,Traffic Crash-Property Damage-Hit Skip
16-5380,11/29/16,11/29/16,Traffic Crash-Property Damage
16-5379,11/29/16,11/29/16,Traffic Crash-Injury
16-5378,11/30/16,11/30/16,Supplement
16-5378,11/29/16,11/29/16,OVI
16-5377,11/29/16,11/29/16,Administrative Information
16-5375,11/28/16,11/28/16,Ill Aided
16-5374,11/28/16,11/26/16,Criminal Simulation
16-5372,11/28/16,11/28/16,Drug Paraphernalia
16-5371,11/28/16,11/28/16,Traffic Crash-Property Damage
16-5370,11/28/16,11/28/16,Theft (Of Bicycle)
16-5369,11/28/16,11/27/16,Administrative Information
16-5368,11/28/16,11/28/16,Attempted Aggravated Murder
16-5368,11/28/16,11/28/16,Attempted Aggravated Murder
16-5365,11/28/16,11/28/16,Extortion
16-5365,11/28/16,11/28/16,Extortion
16-5361,11/27/16,11/27/16,Theft
16-5359,11/27/16,11/27/16,Theft
16-5345,11/27/16,11/20/16,Arson
16-5343,11/27/16,11/26/16,Criminal Simulation
16-5342,11/27/16,11/27/16,OVI
16-5341,11/27/16,11/27/16,OVI
16-5340,11/27/16,11/27/16,Offenses Involving Underage Persons
16-5337,11/27/16,11/27/16,Possession Of Drugs
16-5333,11/27/16,11/27/16,Drug Paraphernalia
16-5331,11/26/16,11/26/16,Theft
16-5331,12/3/16,12/3/16,Supplement
16-5330,11/26/16,11/26/16,Disorderly Conduct
16-5329,11/26/16,11/26/16,Theft (Of Auto)
16-5329,11/27/16,11/27/16,Supplement
16-5328,11/26/16,11/26/16,Disorderly Conduct
16-5327,11/26/16,11/26/16,Theft
16-5326,11/26/16,11/26/16,Criminal Simulation
16-5324,11/26/16,11/26/16,Prohibited Acts
16-5322,11/26/16,11/26/16,Theft
16-5320,11/26/16,11/26/16,Disorderly Conduct
16-5317,11/26/16,11/26/16,Criminal Simulation
16-5316,11/26/16,11/26/16,Possession Of Drugs
16-5315,11/26/16,11/26/16,Criminal Simulation
16-5314,11/26/16,11/26/16,Possession Of Drugs
16-5313,11/26/16,11/26/16,Offenses Involving Underage Persons
16-5312,11/26/16,11/26/16,Traffic Crash-Property Damage
16-5309,11/26/16,11/25/16,Theft
16-5305,11/25/16,11/25/16,Possession Of Drugs
16-5302,11/25/16,11/25/16,Drug Paraphernalia
16-5301,11/25/16,11/25/16,Traffic Crash-Property Damage
16-5299,11/25/16,11/25/16,Administrative Information
16-5296,11/25/16,11/25/16,Driving Under Suspension
16-5295,11/25/16,11/25/16,Theft
16-5294,11/25/16,11/25/16,Traffic Crash-Injury
16-5283,11/22/16,11/22/16,Traffic Crash-Property Damage-Hit Skip
16-5281,11/22/16,11/22/16,Traffic Crash-Property Damage-Hit Skip
16-5280,11/22/16,11/22/16,Theft
16-5279,11/22/16,11/22/16,Assist Other Agency
16-5278,11/22/16,11/22/16,Theft
16-5277,11/22/16,10/27/16,Theft
16-5270,11/21/16,11/21/16,Theft
16-5269,11/21/16,11/21/16,Theft
16-5268,11/21/16,11/21/16,Prohibited Acts
16-5266,11/21/16,11/21/16,Prohibited Acts
16-5265,11/21/16,11/21/16,Administrative Information
16-5264,11/21/16,11/21/16,Possessing Drug Abuse Instruments
16-5262,11/21/16,11/20/16,Administrative Information
16-5260,12/3/16,12/3/16,Ill Aided
16-5256,11/23/16,11/23/16,Supplement
16-5256,11/20/16,11/20/16,Theft
16-5255,11/20/16,11/20/16,Ill Aided
16-5252,11/20/16,11/20/16,Theft
16-5251,11/20/16,11/19/16,Rape
16-5249,11/20/16,11/20/16,Assist Other Agency
16-5248,11/20/16,11/20/16,Possession Of Drugs
16-5247,11/20/16,11/20/16,Disorderly Conduct
16-5246,11/20/16,11/20/16,Offenses Involving Underage Persons
16-5245,11/20/16,11/20/16,Traffic Crash-Property Damage
16-5243,11/19/16,11/19/16,Possession Of Drugs
16-5242,11/19/16,11/19/16,Offenses Involving Underage Persons
16-5241,11/19/16,11/19/16,Possession Of Drugs
16-5240,11/19/16,11/7/16,Rape
16-5239,11/19/16,11/19/16,Ill Aided
16-5238,11/19/16,11/19/16,Drug Paraphernalia
16-5237,11/19/16,11/19/16,Administrative Information
16-5236,11/19/16,11/18/16,Telecommunication Fraud
16-5235,11/19/16,11/18/16,Administrative Information
16-5233,11/19/16,11/19/16,Offenses Involving Underage Persons
16-5230,11/19/16,11/19/16,Offenses Involving Underage Persons
16-5229,11/19/16,11/19/16,Disorderly Conduct
16-5223,11/18/16,11/18/16,Burglary
16-5222,11/18/16,11/5/16,Assault
16-5221,11/18/16,11/18/16,Ill Aided
16-5220,11/18/16,11/18/16,Traffic Crash-Property Damage-Hit Skip
16-5220,11/22/16,11/22/16,Supplement
16-5219,11/18/16,11/18/16,Traffic Crash-Property Damage
16-5218,11/18/16,11/18/16,Traffic Crash-Property Damage-Hit Skip
16-5216,11/18/16,11/11/16,Telecommunication Fraud
16-52 15,11/18/16,11/18/16,Offenses Involving Underage Persons
16-5213,11/18/16,11/18/16,Assist Other Agency
16-52 11,11/18/16,11/18/16,Driving Under Suspension
16-5209,11/17/16,11/17/16,Criminal Damaging
16-52 09,11/17/16,11/17/0002,Criminal Damaging
16-5206,11/17/16,11/12/16,Telecommunications Harassment
16-52 03,11/17/16,11/5/16,Theft
16-5 199,11/17/16,11/16/16,Theft
16-5198,11/17/16,11/17/16,Fire
16-5197,11/17/16,11/17/16,Drug Paraphernalia
16-5192,11/16/16,11/16/16,Ill Aided
16-5191,11/16/16,11/16/16,Administrative Information
16-5190,11/16/16,11/16/16,Administrative Information
16-5179,11/16/16,11/16/16,Theft
16-5177,11/16/16,11/16/16,Telecommunications Harassment
16-5175,11/16/16,11/16/16,Ill Aided
16-5174,11/16/16,11/16/16,Ill Aided
16-5173,11/16/16,11/15/16,Theft
16-5173,11/19/16,11/19/16,Supplement
16-5172,11/16/16,11/16/16,Traffic Crash-Property Damage
16-5170,11/16/16,11/16/16,Ill Aided
16-5168,11/15/16,11/11/16,Possession Of Drugs
16-5167,11/15/16,11/15/16,Administrative Information
16-5167,11/15/16,11/15/16,Rape
16-5158,11/15/16,11/15/16,Traffic Crash-Property Damage-Hit Skip
16-5157,11/15/16,11/15/16,Misuse of Credit Cards
16-5156,11/15/16,11/11/16,Theft
16-5154,11/15/16,3/9/16,Passing Bad Checks
16-5153,11/15/16,8/25/16,Administrative Information
16-5152,11/15/16,11/15/16,Traffic Crash-Property Damage-Hit Skip
16-5151,11/15/16,11/15/16,OVI
16-5150,11/15/16,11/15/16,Traffic Crash-Property Damage
16-5144,11/15/16,11/15/16,Assist Other Agency
16-5143,11/14/16,11/14/16,Ill Aided
16-5142,11/14/16,11/14/16,Ill Aided
16-5139,11/14/16,11/14/16,Possession Of Drugs
16-5138,11/14/16,9/29/16,Administrative Information
16-5136,11/14/16,11/14/16,Drug Paraphernalia
16-5130,11/13/16,11/13/16,Criminal Trespass
16-5127,11/13/16,11/13/16,Traffic Crash-Property Damage
16-5126,11/13/16,11/13/16,Driving Under Suspension
16-5125,11/13/16,11/13/16,Ill Aided
16-5124,11/13/16,11/13/16,Ill Aided
16-5121,11/13/16,11/13/16,Possession Of Drugs
16-5114,11/12/16,11/12/16,Theft
16-5111,11/11/16,11/11/16,Assist Other Agency
16-5109,11/17/16,11/17/16,Criminal Damaging
16-5107,11/12/16,11/12/16,Assist Other Agency
16-5106,11/12/16,11/12/16,Prohibited Acts
16-5105,11/12/16,11/12/16,Offenses Involving Underage Persons
16-5102,11/11/16,11/11/16,Theft
16-5101,11/11/16,11/11/16,Possession Of Drugs
16-5100,11/11/16,11/11/16,Ill Aided
16-5098,11/11/16,11/11/16,Theft
16-5095,11/11/16,11/11/16,Traffic Crash-Property Damage
16-5094,11/11/16,11/11/16,Administrative Information
16-5093,11/11/16,11/11/16,Ill Aided
16-5092,11/11/16,11/7/16,Theft
16-5091,11/11/16,11/11/16,Possession Of Drugs
16-5090,11/11/16,11/11/16,Public indecency
16-5089,11/11/16,11/11/16,Disorderly Conduct
16-5087,11/11/16,11/11/16,Assault
16-5085,11/10/16,11/10/16,Ill Aided
16-5081,11/10/16,11/10/16,Theft (From Auto)
16-5076,11/10/16,11/9/16,Theft
16-5072,11/10/16,11/10/16,Disorderly Conduct
16-5071,11/10/16,11/10/16,Assist Other Agency
16-5069,11/9/16,11/9/16,Possession Of Drugs
16-5068,11/9/16,11/9/16,Unlawful Restraint
16-5066,11/9/14,11/4/16,Administrative Information
16-5065,11/9/16,11/4/16,Traffic Crash-Property Damage-Hit Skip
16-5065,11/10/16,11/10/16,Supplement
16-5064,11/9/16,11/9/16,Traffic Crash-Property Damage-Hit Skip
16-5063,11/9/16,11/9/16,Traffic Crash-Property Damage
16-5062,11/9/16,11/3/16,Theft (Of Bicycle)
16-5060,11/9/16,11/9/16,Assist Other Agency
16-5058,11/9/16,10/29/16,Theft
16-5056,11/9/16,11/9/16,Administrative Information
16-5055,11/9/16,11/8/16,Theft
16-5051,11/9/16,11/9/16,Offenses Involving Underage Persons
16-5050,11/9/16,11/9/16,Ill Aided
16-5045,11/8/16,11/8/16,Administrative Information
16-5044,11/8/16,11/8/16,Traffic Crash-Property Damage
16-5043,11/8/16,11/8/16,Traffic Crash-Property Damage-Hit Skip
16-504 1,11/8/16,11/8/16,Traffic Crash-Property Damage-Hit Skip
16-5039,11/8/16,11/8/16,Ill Aided
16-5038,11/8/16,10/29/20,Theft
16-5038,11/22/16,11/22/16,Supplement
16-5037,11/8/16,11/7/16,Criminal Damaging
16-5036,11/8/16,11/8/16,Traffic Crash-Property Damage
16-5035,11/8/16,11/8/16,Traffic Crash-Injury
16-5034,11/8/16,11/7/16,Criminal Damaging
16-5031,11/8/16,11/8/16,Criminal Trespass
16-5023,11/7/16,11/7/16,Criminal Damaging
16-5023,11/14/16,11/14/16,Supplement
16-5022,11/7/16,11/6/16,Theft
16-5 021,11/7/16,11/6/16,Criminal Damaging
16-5020,11/7/16,11/7/16,Ill Aided
16-5019,11/7/16,11/7/16,Assist Other Agency
16-5018,11/7/16,11/7/16,Ill Aided
16-5015,11/7/16,11/6/16,Disorderly Conduct
16-5014,11/7/16,11/7/16,Criminal Trespass
16-5008,11/7/16,11/6/16,
16-5001,11/6/16,11/5/16,Gross Sexual Imposition
16-4999,11/6/16,11/4/16,Theft (Of Bicycle)
16-4996,11/6/16,11/6/16,Theft
16-4992,11/6/16,11/6/16,Drug Paraphernalia
16-4991,11/6/16,11/6/16,Offenses Involving Underage Persons
16-4990,11/6/16,11/6/16,Obstructing Official Business
16-4988,11/6/16,11/6/16,Offenses Involving Underage Persons
16-4986,11/6/16,11/6/16,Offenses Involving Underage Persons
16-4985,11/6/16,11/6/16,Administrative Information
16-4983,11/6/16,11/6/16,Theft
16-4982,11/5/16,11/5/16,Possession Of Drugs
16-4981,11/5/16,11/5/16,Disorderly Conduct
16-4979,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4978,11/5/16,11/5/16,Theft
16-4975,11/5/16,11/5/16,Assault
16-4975,11/28/16,11/28/16,Supplement
16-4974,11/5/16,11/5/16,Disorderly Conduct
16-4973,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4972,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4971,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4967,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4966,11/05/0216,11/5/16,Theft
16-4966,11/5/16,11/5/16,Theft
16-4695,11/5/16,11/5/16,Open Container
16-4964,11/5/16,11/5/16,Offenses Involving Underage Persons
16-4963,11/5/16,11/5/16,Fire-Working
16-4960,11/5/16,11/5/16,Theft
16-4959,11/5/16,11/5/16,Theft
16-4956,11/5/16,11/5/16,Ill Aided
16-4955,11/5/16,11/5/16,Possession Of Drugs
16-4954,11/5/16,11/5/16,Disorderly Conduct
16-4953,11/5/16,11/5/16,Ill Aided
16-4952,11/5/16,11/5/16,Public Accident
16-4951,11/4/15,11/4/15,Assist Other Agency
16-4944,11/4/15,8/11/16,Administrative Information
16-4942,11/4/15,11/5/16,Assist Other Agency
16-4941,11/4/15,11/4/15,Theft (Of Bicycle)
16-4940,11/4/16,10/31/16,Theft
16-4938,11/4/16,11/3/16,Theft
16-4937,11/4/16,11/3/16,Theft
16-4935,11/4/16,11/3/16,Possession Of Drugs
16-4934,11/4/16,11/4/16,Offenses Involving Underage Persons
16-4930,11/3/16,11/3/16,Theft
16 4928,11/3/16,11/3/16,Administrative Information
16-4922,11/3/16,11/3/16,Theft
16-4921,11/3/16,11/3/16,Theft (Of Bicycle)
16-4920,11/3/16,11/3/16,Prohibited Acts
16-4919,11/3/16,11/3/16,Possessing Drug Abuse Instruments
16-4918,11/3/16,11/3/16,Public Accident
16-4916,11/18/16,11/18/16,Supplement
16-4916,11/3/16,11/3/16,Falsification 
16-4914,11/3/16,11/3/16,Traffic Crash-Property Damage
16-4913,11/3/16,11/3/16,Theft (Of Bicycle)
16-4913,11/3/16,11/3/16,Supplement
16-4913,11/18/16,11/18/16,Supplement
16-4906,11/2/16,11/2/16,Prohibited Acts
16-4904,11/2/16,11/2/16,Ill Aided
16-4903,11/2/16,11/2/16,Traffic Crash-Injury
16-4902,11/2/16,11/1/16,Theft (Of Bicycle)
16-4901,11/2/16,11/2/16,Burglary
16-4901,11/7/16,11/7/16,Supplement
16-4900,11/19/16,11/19/16,Supplement
16-4899,11/2/16,11/2/16,Criminal Damaging
16-4897,11/2/16,11/2/16,Ill Aided
16-4894,11/2/16,11/2/16,Traffic Crash-Property Damage
16-4891,11/2/16,11/2/16,Ill Aided
16-4881,11/2/16,11/1/16,Theft (Of Bicycle)
16-4879,11/1/16,11/1/16,Drug Paraphernalia
16-4878,11/1/16,11/1/16,Assist Other Agency
16-4877,11/1/16,11/1/16,Theft (Of Bicycle)
16-4875,11/1/16,10/27/16,Theft
16-4874,11/1/16,11/1/16,Theft
16-4872,11/1/16,11/01/0002,Theft
16-4870,11/1/16,11/1/16,Traffic Crash-Property Damage
16-4868,11/1/16,11/1/16,Ill Aided
16-4866,11/1/16,11/1/16,Ill Aided
16-4865,11/1/16,11/1/16,Theft
16-4865,11/2/16,11/2/16,Supplement
16-4863,11/1/16,10/31/16,DOA-Death
16-4863,11/1/16,10/31/16,Death
16-4863,11/1/16,10/31/16,Death
16-4858,10/31/16,10/31/16,Ill Aided
16-4855,10/31/16,10/31/16,Drug Paraphernalia
16-4854,10/31/16,10/31/16,Traffic Crash-Property Damage-Hit Skip
16-4853,10/31/16,10/31/16,Theft
16-4852,10/31/16,10/30/16,Theft
16-4851,10/31/16,10/31/16,Traffic Crash-Property Damage
16-4850,10/31/16,10/31/16,Ill Aided
16-4848,10/30/16,10/30/16,Possession Of Drugs
16-4846,10/30/16,10/29/16,Administrative Information
16-4845,10/30/16,10/22/16,Rape
16-4844,10/30/16,10/30/16,Ill Aided
16-4843,10/30/16,10/30/16,Theft (Of Bicycle)
16-4841,10/30/16,10/30/16,Theft (Of Bicycle)
16-4840,10/30/16,10/30/16,Offenses Involving Underage Persons
16-4839,10/30/16,10/30/16,Offenses Involving Underage Persons
16-4838,10/30/16,10/30/16,Disorderly Conduct
16-4837,10/30/16,10/30/16,Offenses Involving Underage Persons
16-4836,10/30/16,10/30/16,Disorderly Conduct
16-4835,10/30/16,10/30/16,Disorderly Conduct
16-4834,10/30/16,10/30/16,Disorderly Conduct
16-4833,10/30/16,10/30/16,OVI
16-4832,10/30/16,10/30/16,Possession Of Drugs
16-4828,10/29/16,10/27/16,Theft (From Auto)
16-4826,10/29/16,10/29/16,Administrative Information
16-4824,10/29/16,10/29/16,Drug Paraphernalia
16-4822,10/29/16,10/29/16,Theft
16-4821,10/29/16,10/29/16,Offenses Involving Underage Persons
16-4820,10/29/16,10/29/16,Offenses Involving Underage Persons
16-4813,10/29/16,10/28/16,Criminal Damaging
16-4812,10/29/16,10/29/16,Assault
16-4811,10/29/16,10/29/16,Criminal Mischief
16-4810,10/29/16,10/29/16,Offenses Involving Underage Persons
16-4808,10/29/16,10/29/16,Disorderly Conduct
16-4807,10/29/16,10/29/16,Disorderly Conduct
16-4806,10/29/16,10/28/16,Criminal Mischief
16-4803,10/28/16,10/28/16,Theft
16-4797,10/28/16,10/28/16,Theft (Of Bicycle)
16-4795,10/28/16,10/27/16,Obstructing Official Business
16-4795,12/22/16,12/22/16,Supplement
16-4794,10/28/16,10/28/16,Violation of Protection Order
16-4793,10/28/16,10/28/16,Possession Of Drugs
16-4792,10/28/16,10/27/16,Theft
