Report Number,Date Reported (Reported on),Time Reported (Reported on),Date  Occurred (Incident From),Time Occurred (Incident From),Incident Type,Location
15469,5/28/14,0:00,5/28/14,0:00,Theft,Doan Hall
15461,5/27/14,0:00,5/21/14,0:00,Theft,University Hospital East
15455,5/26/14,0:00,5/26/14,0:00,Theft,Doan Hall
15444,5/24/14,0:00,5/24/14,0:00,Theft,Harding Hospital
15437,5/24/14,0:00,5/24/14,0:00,Theft,Emergency Department
15430,5/23/14,0:00,5/21/14,0:00,Theft,Harding Hospital
15410,5/21/14,0:00,5/13/14,0:00,Theft,Doan Hall
15399,5/20/14,0:00,5/20/14,0:00,Theft,UHE Emergency Dept.
15374,5/17/14,0:00,5/16/14,0:00,Theft,UHE Tower
15359,5/15/14,0:00,5/6/14,0:00,Theft,Harding Hospital
15347,5/14/14,0:00,5/13/14,0:00,Theft,Ross Heart Hospital
15341,5/13/14,0:00,5/13/14,0:00,Theft,Ross Heart Hospital
15337,5/13/14,0:00,5/13/14,0:00,Theft,Doan Hall
15336,5/13/14,0:00,5/11/14,0:00,Theft,Rhodes Hall
15279,5/6/14,0:00,5/5/14,0:00,Theft,James Cancer Hospital
15278,5/6/14,0:00,5/1/14,0:00,Theft,James Cancer Hospital
15273,5/5/14,0:00,5/4/14,0:00,Theft,Rhodes Hall
15262,5/2/14,0:00,5/2/14,0:00,Theft,Doan Hall
15248,5/1/14,0:00,5/1/14,0:00,Theft,James Cancer Hospital
15245,5/1/14,0:00,4/15/14,0:00,Theft,OSU Medical Center
15229,4/29/14,0:00,4/29/14,0:00,Theft,UHE Tower 8
15204,4/25/14,0:00,4/18/14,0:00,Theft,Ross Heart Hospital
15202,4/25/14,0:00,4/25/14,0:00,Theft,Ross Heart Hospital
15197,4/25/14,0:00,4/24/14,0:00,Theft,Ross Heart Hospital
15191,4/25/14,0:00,4/24/14,0:00,Theft,Emergency Department
15183,4/24/14,0:00,4/22/14,0:00,Theft,James Cancer Hospital
15177,4/23/14,0:00,4/10/14,0:00,Theft,Doan Hall
15156,4/20/14,0:00,4/20/14,0:00,Theft,Ross Heart Hospital
15142,4/17/14,0:00,4/17/14,0:00,Theft,Doan Hall
15133,4/16/14,0:00,4/15/14,0:00,Theft,Doan Hall
15125,4/15/14,0:00,4/15/14,0:00,Theft,UHE Tower
15122,4/15/14,0:00,4/15/14,0:00,Theft,Doan Hall
15117,4/15/14,0:00,4/10/14,0:00,Theft,Rhodes Hall
15115,4/15/14,0:00,4/13/14,0:00,Theft,Harding Hospital
15084,4/10/14,0:00,4/8/14,0:00,Theft,James Cancer Hospital
15078,4/9/14,0:00,4/9/14,0:00,Theft,Doan Hall
15049,4/5/14,0:00,3/26/14,0:00,Theft,Davis Medical Center
15041,4/4/14,0:00,4/4/14,0:00,Theft,Rhodes Hall
15029,4/3/14,0:00,4/3/14,0:00,Theft,James Cancer Hospital
15026,4/2/14,0:00,4/2/14,0:00,Theft,Rhodes Hall
15008,3/31/14,0:00,3/22/14,0:00,Theft,Doan Hall
15002,3/30/14,0:00,3/28/14,0:00,Theft,Emergency Department
14991,3/28/14,0:00,3/28/14,0:00,Theft,Martha Morehouse Hospital
14983,3/27/14,0:00,3/24/14,0:00,Theft,Eye and Ear Institute
14973,3/26/14,0:00,3/24/14,0:00,Theft,Rhodes Hall
14971,3/26/14,0:00,3/25/14,0:00,Theft,Doan Hall
14958,3/25/14,0:00,3/18/14,0:00,Theft,660 Ackerman Rd
14946,3/24/14,0:00,3/22/14,0:00,Theft,Harding Hospital
14923,3/21/14,0:00,3/21/14,0:00,Theft,UHE Tower 10
14921,3/21/14,0:00,3/26/14,0:00,Theft,UHE West 4 ICU
14917,3/20/14,0:00,3/14/14,0:00,Theft,Emergency Department
14889,3/17/14,0:00,3/2/14,0:00,Theft,Wexner Medical Center
14882,3/17/14,0:00,3/16/14,0:00,Theft,UHE Emergency Dept.
14879,3/16/14,0:00,3/16/14,0:00,Theft,Rhodes Hall
14860,3/14/14,0:00,3/14/14,0:00,Theft,Harding Hospital
14858,3/14/14,0:00,3/14/14,0:00,Theft,Ross Heart Hospital
14842,3/12/14,0:00,3/10/14,0:00,Theft,Ross Heart Hospital
14832,3/11/14,0:00,3/9/14,0:00,Theft,Rhodes Hall
14793,3/6/14,0:00,3/6/14,0:00,Theft,Doan Hall
14790,3/5/14,0:00,3/5/14,0:00,Theft,Doan Hall
14750,2/27/14,0:00,2/24/14,0:00,Theft,Rhodes Hall
14748,2/27/14,0:00,2/26/14,0:00,Theft,UHE Tower
14695,2/21/14,0:00,2/21/14,0:00,Theft,UHE Tower
14683,2/20/14,0:00,2/19/14,0:00,Theft,Talbot Hall
14674,2/19/14,0:00,2/17/14,0:00,Theft,Ross Heart Hospital
14657,2/18/14,0:00,2/18/14,0:00,Theft,Emergency Department
14642,2/17/14,0:00,2/17/14,0:00,Theft,James Cancer Hospital
14626,2/15/14,0:00,2/12/14,0:00,Theft,Doan Hall
14584,2/11/14,0:00,2/11/14,0:00,Theft,Rhodes Hall
14547,2/7/14,0:00,2/5/14,0:00,Theft,UHE Tower
14517,2/4/14,0:00,2/3/14,0:00,Theft,Rhodes Hall
14484,1/30/14,0:00,1/30/14,0:00,Theft,UHE Tower
14474,1/9/14,0:00,1/9/14,0:00,Theft,James Cancer Hospital
14474,1/28/14,0:00,1/27/14,0:00,Theft,Emergency Department
14465,1/27/14,0:00,1/27/14,0:00,Theft,Ross Heart Hospital
14463,1/27/14,0:00,1/25/14,0:00,Theft,UHE Tower
14438,1/25/14,0:00,1/24/14,0:00,Theft,James Cancer Hospital
14425,1/23/14,0:00,1/23/14,0:00,Theft,OSU Medical Center - UHE Tower Ground Kitchen
14419,1/23/14,0:00,1/21/14,0:00,Theft,OSU Medical Center - Eye and Ear Institute
14413,1/22/14,0:00,1/22/14,0:00,Theft,OSU Medical Center - The Ross
14384,1/19/14,0:00,1/18/14,0:00,Theft,OSU Medical Center - Doan Hall
14371,1/17/14,0:00,1/17/14,0:00,Theft,OSU Medical Center - Harding
14343,1/14/14,0:00,1/14/14,0:00,Theft,OSU Medical Center - UH East Taylor Property
14336,1/14/14,0:00,1/13/14,0:00,Theft,UHE Tower 3
14325,1/11/14,0:00,1/11/14,0:00,Theft,James Cancer Hospital
14316,1/10/14,0:00,1/10/14,0:00,Theft,Rhodes Hall
14314,1/10/14,0:00,1/10/14,0:00,Theft,James Cancer Hospital
14313,1/10/14,0:00,1/10/14,0:00,Theft,Rhodes Hall
14308,1/10/14,0:00,1/10/14,0:00,Theft,Doan Hall
14300,1/9/14,0:00,1/7/14,0:00,Theft,Eye and Ear Institute
14277,1/7/14,0:00,1/1/14,0:00,Theft,Eye and Ear Institute
14273,1/7/14,0:00,1/2/14,0:00,Theft,Eye and Ear Institute
14264,1/5/14,0:00,1/3/14,0:00,Theft,Rhodes Hall
14256,1/4/14,0:00,12/23/13,0:00,Theft,Rhodes Hall
14057,2/3/14,0:00,1/30/14,0:00,Theft,Doan Hall
14-5099,12/31/14,18:02,12/31/14,16:00,Fire,680 Ashtabula Ct
14-5088,12/30/14,18:16,12/30/14,18:16,Possession of Drugs,Hospital Security
14-5081,12/30/14,N/A,12/29/14,N/A,Criminal Damaging,Schottenstein Arena
14-5080,12/30/14,8:34,12/30/14,8:34,Traffic Crash-Property Damage-Hit Skip,Fawcett Center
14-5079,12/30/14,8:02,12/30/14,8:02,Traffic Crash-Property Damage-Hit Skip,Polo Field lots
14-5078,12/30/14,7:42,12/29/14,18:30,Theft (From Auto),10th and Cannon Parking lot
14-5077,12/30/14,0:56,12/30/14,0:56,Ill Aided,OSU Medical Center ED
14-5076,12/29/14,17:55,12/28/14,18:00,Theft (From Auto),12th Ave Parking Garage
14-5075,12/29/14,17:10,12/29/14,17:10,Failure to Comply With Order of Police Officer,Cannon and John Herrick Dr
14-5074,12/29/14,9:15,12/29/14,9:15,Traffic Crash-Property Damage-Hit Skip,Gateway Garage
14-5073,12/29/14,7:00,12/29/14,4:45,Assault,Rhodes Hall
14-5070,12/27/14,21:21,12/27/14,15:30,Administrative Information,Rhodes Hall
14-5067,12/27/14,11:25,12/27/14,10:58,Missing Person,OSU East
14-5067,12/27/14,17:04,12/27/14,17:04,Supplement,OSU Med Center East
14-5066,12/26/14,20:33,12/26/14,20:33,Ill Aided,Ohio Union
14-5062,12/26/14,N/A,12/26/14,16:57,Ill Aided,Wilce Student Health Center
14-5059,12/26/14,1:46,12/26/14,1:46,Criminal Mischief,Harding Hospital
14-5055,12/24/14,7:47,12/24/14,7:47,Property Impound,Blankenship Hall
14-5054,12/23/14,21:00,12/17/14,21:00,Theft,Rhodes Hall
14-5052,12/23/14,17:22,12/23/14,16:00,Theft (Of Bicycle),RPAC
14-5050,12/23/14,16:07,12/23/14,16:07,Theft,Rhodes Hall
14-5049,12/23/14,12:18,12/23/14,11:00,Theft,Main Library
14-5048,12/23/14,9:30,12/23/14,9:30,Traffic Crash-Property Damage,Martha Morehouse Plaza Parking Lot
14-5046,12/23/14,9:38,12/23/14,9:38,Traffic Crash-Property Damage,Martha Morehouse
14-5042,12/22/14,12:28,12/22/14,12:28,Property Impound,Blankenship Hall
14-5039,12/22/14,10:05,12/22/14,10:05,Drug Paraphernalia,Hospital East
14-5035,12/21/14,16:23,12/21/14,9:45,Theft,James Cancer Tower
14-5035,12/25/14,15:51,12/25/14,15:51,Supplement,James Cancer Tower
14-5034,12/21/14,8:36,12/20/14,8:00,Theft,OSU East Medical Center
14-5030,12/20/14,10:53,12/20/14,10:53,Theft (From Auto),Polo Field Lots
14-5027,12/20/14,9:00,12/20/14,8:30,Robbery,Ramseyer Hall
14-5027,12/20/14,9:00,12/20/14,8:30,Robbery,Ramseyer Hall
14-5026,12/19/14,18:28,12/19/14,14:00,Traffic Crash-Property Damage-Hit Skip,South French Field House Lot
14-5025,12/19/14,16:17,12/19/14,16:17,Traffic Crash-Property Damage,680 Ackerman
14-5024,12/19/14,13:30,12/15/14,18:00,Theft (Of Bicycle),Lazenby Hall
14-5023,12/19/14,10:40,12/18/14,13:00,Theft,Smith Laboratory
14-5022,12/19/14,9:39,12/19/14,9:39,Assist Other Agency,Jones Tower
14-5020,12/19/14,9:39,12/19/14,9:39,Traffic Crash-Property Damage,Jones Tower
14-5019,12/19/14,8:54,12/18/14,18:00,Theft,McCorkle Aquatic Laboratory
14-5018,12/18/14,22:12,12/18/14,13:00,Theft (Of Bicycle),Thompson Library
14-5017,12/18/14,21:24,12/18/14,21:24,OVI,Page Hall
14-5015,12/18/14,20:47,12/18/14,20:47,Criminal Trespass,Ross Heart Hospital
14-5012,N/A,19:28,12/18/14,19:31,Traffic Crash-Property Damage,Doan Hall
14-5005,12/18/14,9:02,12/5/97,9:02,Deception to Obtain Dangerous Drug,Medical Information Management
14-5004,12/18/14,2:14,12/18/14,2:14,Offenses Involving underage persons,Baker Hall West
14-5001,12/17/14,16:53,12/17/14,16:53,Theft,Rhodes Hall
14-5000,12/17/14,18:25,12/17/14,18:37,Criminal Trespass,Graves Hall
14-4995,12/17/14,16:53,12/17/14,16:53,Assist Other Agency,Rhodes Hall
14-4994,12/17/14,16:07,12/5/14,18:00,Theft,RPAC
14-4993,12/17/14,15:30,12/17/14,15:30,Traffic Crash-Property Damage,12th Ave and High St
14-4992,12/17/14,11:46,12/17/14,11:46,Possession of Drugs,Rhodes Hall
14-4990,12/17/14,10:14,11/29/14,14:00,Theft,James Cancer Hospital
14-4989,12/16/14,23:12,12/16/14,23:12,Possession of Drugs,Smith-Steeb Hall
14-4987,12/16/14,21:23,12/16/14,21:23,Possession of Drugs,Taylor Tower
14-4986,12/16/14,17:28,12/16/14,17:28,Theft,Scarlet Ribbon Gift Shop
14-4984,12/16/14,14:10,12/16/14,14:00,Theft,Smith-Steeb Hall
14-4979,12/16/14,2:02,12/5/14,0:01,Rape,Park-Stradley Hall
14-4979,12/16/14,2:02,12/5/14,0:01,Rape,Park-Stradley Hall
14-4977,12/15/14,16:30,12/15/14,16:30,Traffic Crash-Property Damage-Hit Skip,10th and Cannon Parking Lot
14-4970,12/14/14,20:31,12/10/14,12:20,Theft,Thompson Library
14-4969,12/14/14,17:13,12/14/14,0:30,Theft,Dreese Laboratory
14-4968,12/14/14,13:40,12/14/14,3:20,Theft,Jones Tower
14-4966,12/13/14,23:48,12/14/14,23:48,Disorderly Conduct,Gateway Building F North
14-4964,12/13/14,19:50,12/13/14,19:15,Assault,395 W 12th Ave
14-4964,12/26/14,16:46,12/26/14,16:46,Supplement,Blankenship Hall
14-4963,12/13/14,18:50,12/10/14,7:00,Theft,OSU Hospital East
14-4962,12/13/14,3:05,12/13/14,3:05,Offenses Involving underage persons,Morrison Tower
14-4961,12/12/14,N/A,12/12/14,N/A,Drug Abuse,Smith-Steeb Hall
14-4956,12/12/14,13:56,12/12/14,13:56,Traffic Crash-Property Damage,Buckeye Village
14-4953,12/12/14,11:06,12/12/14,11:06,Disorderly Conduct,Bevis Hall
14-4950,12/12/14,11:12,12/11/14,20:33,Telecommunications Harassment,Blankenship Hall
14-4949,12/12/14,9:44,12/11/14,16:30,Criminal Damaging,Mathematics Tower
14-4948,12/12/14,6:54,12/12/14,6:42,Missing Person,OSU Hospitals
14-4947,12/12/14,3:34,12/12/14,3:34,Ill Aided,OSU Medical Center East
14-4947,12/15/14,6:32,12/12/14,3:34,Supplement,OSU Medical Center East
14-4946,12/12/14,2:51,12/12/14,2:51,OVI,Neil Ave/Neil Dr.
14-4945,12/12/14,1:14,12/12/14,1:14,Assist Other Agency,14th/Pearl
14-4944,12/11/14,23:17,12/11/14,23:17,Drug Paraphernalia,Park-Stradley Hall
14-4943,12/11/14,22:49,12/11/14,21:05,Theft,RPAC
14-4937,12/11/14,19:20,12/11/14,19:19,Ill Aided,RPAC
14-4931,12/11/14,N/A,12/11/14,15:55,Fire Working,The PAD
14-4929,12/11/14,11:28,12/3/14,19:00,Theft,Care Point East
14-4928,12/11/14,10:01,12/8/14,23:00,Theft,Ohio Union
14-4927,12/11/14,9:13,12/8/14,13:45,Theft,Hughes Hall
14-4925,12/11/14,9:05,12/11/14,6:30,Theft,Rhodes Hall
14-4924,12/11/14,8:47,12/11/14,8:47,Theft,Mount Hall
14-4923,12/11/14,8:15,12/11/14,6:30,Theft,OSU Hospitals
14-4921,12/10/14,23:12,12/10/14,18:50,Traffic Crash-Property Damage-Hit Skip,12th Ave Parking Garage
14-4921,12/25/14,6:10,12/10/14,18:50,Supplement,12th Ave Parking Garage
14-4916,12/10/14,14:18,12/10/14,14:18,Administrative Information,Ohio Stadium
14-4912,12/10/14,10:34,12/10/14,10:34,Criminal Simulation,Hospital East
14-4912,12/30/14,8:01,12/30/14,8:01,Supplement,Blankenship Hall
14-4906,12/9/14,23:37,12/9/14,23:37,Drug Paraphernalia,Scholars West
14-4903,12/9/14,15:46,12/9/14,11:32,Traffic Crash-Property Damage-Hit Skip,French Field House
14-4902,12/9/14,14:52,12/9/14,14:52,Theft,OSU Bookstore At The Ohio Union
14-4900,12/9/14,11:19,12/9/14,11:19,Traffic Crash-Injury,Carmack 2
14-4899,12/9/14,10:58,11/24/14,15:00,Theft (Of Auto),Sullivan Hall
14-4897,12/8/14,23:12,12/8/14,22:30,Theft,RPAC
14-4896,12/8/14,23:12,12/8/14,22:19,Theft,Worthington Building
14-4894,12/8/14,18:45,12/8/14,18:40,Possession of Drugs,Baker Hall West
14-4893,12/8/14,16:19,12/8/14,16:19,Administrative Information,Kennedy Commons
14-4892,12/8/14,15:02,12/5/14,12:30,Criminal Damaging,Lane Avenue Parking Garage
14-4891,12/8/14,15:26,12/6/14,20:00,Administrative Information,Hamilton Hall
14-4890,12/10/14,20:55,12/8/14,14:52,Traffic Crash-Injury,12th/College
14-4890,12/10/14,20:55,12/8/14,14:52,Traffic Crash-Injury,12th/College
14-4890,12/8/14,14:52,12/8/14,14:52,Traffic Crash-Injury,12th/College
14-4889,12/8/14,14:05,12/8/14,14:05,Traffic Crash-Property Damage,Paterson Hall
14-4888,N/A,12:55,12/8/14,12:20,Defrauding a Livery or Hostelry,Ross Heart Hospital
14-4887,12/8/14,8:42,12/2/14,1:00,Theft,Hughes Hall
14-4881,12/7/14,14:54,12/7/14,14:50,Attempted Theft,Ohio Union
14-4880,12/7/14,13:24,12/7/14,13:24,Possessing Drug Abuse Instruments,Rhodes Hall
14-4877,12/7/14,0:41,12/7/14,0:41,Assist Other Agency,Lane Ave and High St
14-4876,12/6/14,15:34,12/6/14,15:20,Domestic Violence,Main Oval
14-4876,12/8/14,17:15,12/8/14,17:15,Supplement,Blankenship Hall
14-4875,12/6/14,13:42,12/6/14,13:42,Traffic Crash-Property Damage,12th and Cannon Dr
14-4874,12/6/14,13:21,11/30/14,20:30,Criminal Damaging,Buckeye Village
14-4873,12/6/14,11:55,12/6/14,1:00,Theft,Smith-Steeb Hall
14-4862,12/5/14,18:17,12/5/14,16:15,Theft (Of Bicycle),RPAC
14-4860,12/5/14,12:10,12/5/14,12:10,Administrative Information,Lincoln Tower
14-4859,12/5/14,12:00,12/3/14,20:22,Disorderly Conduct,Celeste Laboratory
14-4856,12/5/14,9:06,12/5/14,9:06,Traffic Crash-Property Damage-Hit Skip,Martha Morehouse
14-4853,12/5/14,3:00,12/5/14,3:00,Offenses Involving underage persons,Morrill Tower
14-4852,12/5/14,1:14,12/5/14,1:14,Traffic Crash-Property Damage,Lane Ave
14-4850,12/5/14,1:13,12/4/14,19:15,Theft (From Auto),Ohio Union Parking Garage North
14-4846,12/4/14,17:46,12/4/14,11:17,Theft (Of Bicycle),RPAC
14-4844,12/4/14,15:20,12/4/14,15:00,Ill Aided,Wilce Student Health Center
14-4843,12/4/14,14:41,12/3/14,23:00,Theft,Knowlton Hall
14-4842,12/4/14,14:14,12/4/14,14:14,Menacing,OSU Hospital East
14-4840,12/4/14,13:25,12/4/14,12:00,Theft,Main Library
14-4833,12/4/14,3:50,12/1/14,6:30,Theft,Doan Hall
14-4832,12/4/14,4:01,11/24/14,2:00,Administrative Information,Morrison Tower
14-4829,12/3/14,22:01,12/3/14,22:01,Drug Paraphernalia,11th Ave. Parking Garage
14-4827,12/3/14,17:55,12/3/14,17:55,Traffic Crash-Property Damage,100 W Woodruff Ave
14-4826,12/3/14,N/A,12/3/14,N/A,Theft,Ramseyer Hall
14-4824,12/3/14,12:59,12/3/14,12:59,Traffic Crash-Property Damage,Lane Ave Parking Garage
14-4822,12/3/14,11:26,12/3/14,11:26,Ill Aided,Younkin Success Center
14-4820,11/19/14,14:10,11/14/14,11:00,Breaking and Entering,Biomedical Research Tower
14-4818,12/2/14,22:01,12/2/14,20:00,Administrative Information,Emergency Department
14-4817,12/2/14,20:18,12/2/14,19:15,Theft,RPAC
14-4817,12/13/14,20:25,12/13/14,20:25,Supplement,Blankenship Hall
14-4811,12/2/14,17:31,12/2/14,9:30,Theft (Of Bicycle),Lazenby Hall
14-4810,12/2/14,16:04,12/2/14,16:04,Ill Aided,Younkin Success Center
14-4809,12/2/14,16:03,12/2/14,16:03,Traffic Crash-Injury,Woody Hayes Drive
14-4807,12/2/14,13:17,10/2/13,0:01,Telecommunications Harassment,Blankenship Hall
14-4806,12/2/14,12:11,12/2/14,11:45,Theft,Jennings Hall
14-4805,12/2/14,10:35,12/1/14,11:00,Theft,Celeste Lab
14-4804,12/2/14,N/A,12/1/14,N/A,Property Impound,Physics Research Building
14-4803,12/1/14,22:51,12/1/14,20:30,Theft,RPAC
14-4801,12/1/14,18:!2,12/1/14,18:12,Possession of Drugs,Hospitals Security
14-4799,12/1/14,16:17,11/25/14,12:00,Theft (Of Bicycle),Lane Avenue Residence Hall
14-4798,12/1/14,16:08,11/23/14,13:30,Theft (Of Bicycle),Taylor Tower
14-4797,12/1/14,15:38,12/1/14,15:00,Drug Paraphernalia,OSU ED
14-4795,12/1/14,11:05,12/1/14,11:05,Traffic Crash-Property Damage,Care Pointe
14-4794,12/1/14,8:52,11/26/14,0:01,Theft,Mirror Lake
14-4793,11/30/14,22:16,11/30/14,22:16,Drug Paraphernalia,Baker Hall West
14-4792,11/30/14,15:22,11/29/14,22:27,Telecommunications Harassment,Drackett Tower
14-4791,11/30/14,12:33,11/30/14,12:33,Ill Aided,Smith-Steeb Hall
14-4789,11/30/14,0:35,11/30/14,0:35,Disorderly Conduct,John Herrick Bridge
14-4788,11/29/14,21:01,11/29/14,12:45,Rape,Independence Hall
14-4787,11/29/14,21:07,11/29/14,21:07,Drug Paraphernalia,Mirror Lake
14-4784,11/29/14,18:00,11/29/14,18:00,Drug Paraphernalia,Rhodes Hall
14-4783,11/29/14,18:48,11/29/14,16:00,Theft (Of Bicycle),RPAC
14-4782,11/29/14,15:36,11/29/14,15:36,Disorderly Conduct,Canfield Hall
14-4781,11/29/14,14:35,11/29/14,14:35,Disorderly Conduct,Ohio Stadium
14-4780,11/29/14,13:18,11/29/14,13:18,Disorderly Conduct,French Field House
14-4779,11/29/14,14:00,11/29/14,14:00,Disorderly Conduct,Ohio Stadium
14-4778,11/29/14,14:09,11/29/14,12:00,Property Impound,12th and College
14-4777,11/29/14,13:01,11/29/14,13:01,Criminal Mischief,Denney Hall
14-4776,11/29/14,13:05,11/29/14,13:05,Disorderly Conduct,Ohio Stadium
14-4775,11/29/14,12:54,11/29/14,12:54,Offenses Involving underage persons,RPAC
14-4774,11/29/14,13:00,11/29/14,13:00,Disorderly Conduct,Ohio Stadium
14-4773,11/29/14,12:31,11/29/14,12:31,Administrative Information,Woody Hayes Bridge
14-4772,11/29/14,11:50,11/29/14,11:50,Offenses Involving underage persons,Buckeye Lots
14-4771,N/A,11:46,11/29/14,11:46,Offenses Involving underage persons,RPAC
14-4770,11/29/14,11:46,11/29/14,11:46,Offenses Involving underage persons,Northwest Stadium Lot
14-4768,11/29/14,11:35,11/29/14,11:35,Offenses Involving underage persons,West Stadium Lot
14-4767,11/29/14,11:15,11/29/14,11:15,AdministrativeInformation,12th and Cannon Lot
14-4766,11/29/14,10:35,11/29/14,10:35,Open Container,Vivian Hall Parking Lot
14-4763,11/29/14,9:20,11/29/14,9:20,Open Container,Ag Admin Parking Lot
14-4762,11/29/14,9:05,11/29/14,9:05,Open Container,Ag Admin Parking Lot
14-4761,11/29/14,8:43,11/29/14,8:43,Drug Paraphernalia,Gateway Building
14-4760,11/29/14,8:35,11/29/14,8:35,Offenses Involving underage persons,Vivian Hall Parking Lot
14-4757,11/29/14,1:09,11/29/14,1:09,Possession of Drugs,Paterson Hall
14-4754,11/28/14,14:02,11/28/14,14:02,Theft,RPAC
14-4753,11/28/14,13:09,11/28/14,13:09,Criminal Damaging,Carmack Lot 5
14-4752,11/27/14,20:07,11/27/14,20:07,Drug Paraphernalia,Hospitals East
14-4750,11/24/14,19:56,11/24/14,7:30,Theft (Of Bicycle),Smith Laboratory
14-4749,11/26/14,13:30,11/26/14,0:01,Theft,Mirror Lake
14-4748,11/26/14,11:54,11/26/14,0:01,Theft,Mirror Lake
14-4747,11/26/14,6:10,11/26/14,6:10,Property Impound,Blankenship Hall
14-4746,11/26/14,3:29,11/26/14,3:29,Offenses Involving underage persons,Neliwood Gables
14-4745,11/26/14,3:22,11/26/14,3:22,Property Impound,Mirror Lake
14-4742,11/25/14,23:06,11/25/14,23:06,Drug Paraphernalia,OSU Medical Center
14-4741,11/26/14,1:12,11/26/14,1:12,Offenses Involving underage persons,Smith-Steeb Hall
14-4739,11/26/14,0:11,11/26/14,0:11,Disorderly Conduct,Baker Systems
14-4738,11/26/14,0:20,11/26/14,0:20,Disorderly Conduct,Paterson Hall
14-4735,11/25/14,23:56,11/25/14,23:50,Theft,South Oval
14-4734,11/25/14,23:45,11/25/14,23:30,Disorderly Conduct,Mirror Lake
14-4733,11/25/14,22:57,11/25/14,22:57,Assist Other Agency,Neil Ave/ 9th Ave
14-4730,11/25/14,19:20,11/25/14,19:20,Drug Paraphernalia,Park-Stradley Hall
14-4729,11/24/14,12:26,11/23/14,23:00,Theft,Faculty dub
14-4728,11/25/14,18:30,11/25/14,18:15,Theft,0/S  Pharmacy
14-4726,11/25/14,16:51,11/21/14,23:50,Theft,RPAC
14-4725,11/25/14,16:13,11/25/14,16:13,Possession of Drugs,OSU East
14-4724,11/25/14,16:13,11/25/14,16:13,Traffic Crash-Property Damage,10th and Cannon
14 4723,11/25/14,15:43,11/25/14,12:30,Theft (From Auto),afe Auto Garage
14-4722,11/25/14,14:58,11/25/14,11:15,Traffic Crash-Property Damage-Hit Skip,Woody Hayes Athletic Facility
14-4721,11/25/14,14:07,11/25/14,14:07,Property Impound,Blankenship Hall
14-4720,11/25/14,7:11,11/25/14,7:11,Obstructing Official Business,OSU Hospital East
14-4717,11/24/14,21:04,11/24/0201,21:04,Traffic Crash-Property Damage-Hit Skip,Carmack 3 Parking Lot
14-4716,11/24/14,18:52,11/16/14,16:30,Menacing,Lane Ave Residence Hall
14-4715,11/24/14,18:34,11/24/14,9:10,Administrative Information,Plumb Hall
14-4710,11/24/14,17:20,11/23/14,20:00,Theft,Ohio Union
14-4708,11/24/14,15:38,11/24/14,15:38,Traffic Crash-Property Damage,Emergency Department
14-4707,11/24/14,14:33,11/24/14,14:33,Traffic Crash-Property Damage,John Herrick/Woody Hayes
14-4706,11/24/14,13:46,11/24/14,13:35,Public Accident,Doan Hall
