Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
15-5045,12/10/15,12/10/15,Drug Paraphernalia
15-5044,12/10/15,12/10/15,Identity Fraud
15-5037,12/10/15,12/10/15,Drug Paraphernalia
15-5036,12/10/15,12/10/15,Theft
15-5029,12/9/15,12/8/15,Theft
15-5028,12/9/15,12/9/15,Theft
15-5027,12/9/15,12/9/15,Menacing
15-5026,12/9/15,12/9/15,Traffic Crash-Property Damage
15-5019,12/9/15,12/8/15,Theft (From Auto)
15-5016,12/8/15,12/8/15,Drug Paraphernalia
15-5011,12/8/15,12/8/15,Ill Aided
15-5010,12/8/15,12/8/15,Possession of Drugs
15-5009,12/8/15,12/8/15,Theft
15-5008,12/8/15,12/8/15,Theft
15-5007,12/8/15,12/8/15,Assist Other Agency
15-5005,12/8/15,12/8/15,Traffic Crash-Property Damage
15-5001,12/8/15,12/8/15,Property Impound
15-5000,12/7/15,12/7/15,Assist Other Agency
15-4999,12/7/15,12/7/15,Disorderly Conduct
15-4998,12/7/15,12/7/15,Theft (Of Bicycle)
15-4995,12/7/15,12/4/15,Theft (Of Bicycle)
15-4994,12/7/15,12/7/15,Assist Other Agency
15-4993,12/7/15,12/7/15,Theft
15-4992,12/7/15,12/7/15,Traffic Crash-Property Damage
15-4991,12/7/15,11/20/15,Theft
15-4990,12/7/15,12/7/15,Assist Other Agency
15-4989,12/7/15,12/7/15,Menacing
15-4988,12/7/15,12/7/15,Ill Aided
15-4981,12/6/15,10/9/15,Breaking and Entering
15-4980,12/6/15,12/6/15,Theft
15-4979,12/6/15,12/6/15,Criminal Damaging
15-4978,12/6/15,12/6/15,Disorderly Conduct
15-4977,12/6/15,12/6/15,Offenses involving underage persons
15-4972,12/5/15,12/5/15,Possession of Drugs
15-4971,12/5/15,12/4/15,Theft
15-4971,12/5/15,12/5/15,Supplement
15-4970,12/5/15,12/5/15,Theft
15-4961,12/4/15,12/4/15,Burglary
15-4960,12/4/15,11/30/15,Theft (Of Bicycle)
15-4959,12/4/15,12/4/15,Theft
15-4958,12/4/15,12/4/15,Administrative Information
15-4957,12/4/15,12/4/15,Administrative Information
15-4956,12/4/15,12/4/15,Traffic Crash-Property Damage
15-4955,12/4/15,12/4/15,Traffic Crash-Property Damage
15-4954,12/4/15,12/4/15,Ill Aided
15-4953,12/4/15,12/4/15,Assist Other Agency
15-4952,12/4/15,12/4/15,Ill Aided
15-4951,12/4/15,12/4/15,Traffic Crash-Property Damage
15-4949,12/3/15,12/3/15,Possession of Drugs
15-4948,12/3/15,12/3/15,Ill Aided
15-4947,12/3/15,12/2/15,Administrative Information
15-4946,12/3/15,12/3/15,Ill Aided
15-4945,12/3/15,12/3/15,Theft (Of Bicycle)
15-4944,12/3/15,12/3/15,Traffic Crash-Injury
15-4942,12/3/15,12/3/15,Missing Person
15-4942,12/8/15,12/8/15,Supplement
15-4941,12/3/15,12/3/15,Administrative Information
15-4937,12/3/15,12/2/15,Theft
15-4935,12/2/15,12/2/15,Theft
15-4934,12/2/15,12/2/15,Traffic Crash-Property Damage
15-4932,12/2/15,12/2/15,Traffic Crash-Property Damage
15-4931,12/2/15,12/2/15,Possession of Drugs
15-4930,12/2/15,12/2/15,Ill Aided
15-4929,12/2/15,12/2/15,Assist Other Agency
15-4928,12/2/15,12/1/15,Criminal Mischief
15-4926,12/1/15,12/1/15,Theft
15-4925,12/1/15,11/29/15,Rape
15-4924,12/1/15,11/20/15,Theft (Of Bicycle)
15-4923,12/1/15,12/1/15,Traffic Crash-Property Damage
15-4922,12/1/15,12/1/15,Administrative Information
15-4920,12/1/15,11/24/15,Theft
15-4919,12/1/15,12/1/15,Theft
15-4917,12/1/15,11/30/05,Theft (Of Bicycle)
15-4916,11/30/15,11/30/15,Ill Aided
15-4914,11/30/15,11/30/15,Drug Paraphernalia
15-4913,11/30/15,11/24/15,Theft (Of Bicycle)
15-4912,11/30/15,11/30/15,Theft
15-4911,11/30/15,11/30/15,Identity Fraud
15-4907,11/30/15,11/30/15,Criminal Damaging
15-4906,11/30/15,11/30/15,Sexual Imposition
15-4902,11/29/15,11/29/15,Drug Paraphernalia
15-4901,11/29/15,11/29/15,Man with a Gun
15-4901,11/29/15,11/29/15,Kidnapping
15-4900,11/28/15,11/28/15,Possessing Drug Abuse Instruments
15-4899,11/28/15,11/25/15,Theft
15-4898,11/28/15,11/28/15,Possession of Drugs
15-4897,11/28/15,11/28/15,Assist Other Agency
15-4896,11/28/15,11/28/15,Assist Other Agency
15-4895,11/26/15,11/26/15,Traffic Crash-Property Damage-Hit Skip
15-4894,11/27/15,11/27/15,Assist Other Agency
15-4893,11/27/15,11/27/15,Assist Other Agency
15-4892,11/27/15,11/26/15,Telecommunications Harassment
15-4886,11/26/15,11/26/15,Assist Other Agency
15-4884,11/25/15,11/25/15,Ill Aided
15-4883,11/25/15,11/18/15,Theft (Of Bicycle)
15-4882,11/25/15,11/25/15,Ill Aided
15-4881,11/25/15,11/25/15,Disorderly Conduct
15-4878,11/25/15,11/25/15,Ill Aided
15-4876,11/25/15,11/25/15,Ill Aided
15-4871,11/24/15,11/24/15,Drug Paraphernalia
15-4870,11/24/15,11/24/15,Possession of Drugs
15-4867,11/24/15,11/24/15,Theft (Of Bicycle)
15-4866,11/24/15,11/24/15,Possession of Drugs
15-4863,11/24/15,11/24/15,Possession of Drugs
15-4862,11/24/15,11/24/15,Theft
15-4861,11/24/15,11/24/15,Traffic Crash-Property Damage-Hit Skip
15-4860,11/24/15,11/23/15,Theft
15-4859,11/24/15,11/24/15,Traffic Crash-Property Damage
15-4855,11/24/15,11/24/15,Ill Aided
15-4853,11/24/15,11/24/15,Traffic Crash-Property Damage
15-4849,11/23/15,11/21/15,Theft
15-4849,11/23/15,11/21/15,Theft
15-4844,11/23/15,11/23/15,Theft (From Auto)
15-4841,11/23/15,11/23/15,Assist Other Agency
15-4840,11/23/15,11/23/15,Rape
15-4840,11/23/15,11/23/15,Supplement
15-4840,11/23/15,11/21/15,Rape
15-4839,11/23/15,11/20/15,Traffic Crash-Property Damage
15-4837,11/22/15,11/21/15,Theft (From Auto)
15-4836,11/22/15,11/22/15,Possession of Drugs
15-4835,11/22/15,11/22/15,Drug Paraphernalia
15-4834,11/22/15,11/22/15,Assault
15-4834,12/10/15,12/10/15,Supplement
15-4833,11/22/15,11/22/15,Assist Other Agency
15-4830,11/22/15,11/22/15,Rape
15-4830,11/22/15,12/31/69,Rape
15-4829,11/22/15,11/22/15,Assist Other Agency
15-4827,11/22/15,11/21/15,Burglary
15-4825,11/21/15,11/21/15,Disorderly Conduct
15-4824,11/21/15,11/21/15,Possession of Drugs
15-4823,11/21/15,11/21/15,Theft
15-4823,12/9/15,12/9/15,Supplement
15-4822,11/21/15,11/21/15,Possession of Drugs
15-4820,11/21/15,11/21/15,Disorderly Conduct
15-4819,11/21/15,11/21/15,Disorderly Conduct
15-4818,11/21/15,11/21/15,Offenses involving underage persons
15-4817,11/21/15,11/21/15,Disorderly Conduct
15-4815,11/21/15,11/21/15,Disorderly Conduct
15-4814,11/21/15,11/20/15,Administrative Information
15-4813,11/21/15,11/21/15,Offenses involving underage persons
15-4811,11/21/15,11/21/15,Open Container
15-4810,11/21/15,11/21/15,Open Container
15-4808,11/21/15,11/21/15,Offenses involving underage persons
15-4807,11/21/15,11/21/15,Open Container
15-4806,11/21/15,11/21/15,Open Container
15-4805,11/21/15,11/21/15,Open Container
15-4804,11/21/15,11/21/15,Open Container
15-4803,11/21/15,11/21/15,Offenses involving underage persons
15-4802,11/21/15,11/21/15,Offenses involving underage persons
15-4801,11/21/15,11/21/15,Open Container
15-4798,11/21/15,11/20/15,Theft
15-4794,11/21/15,11/21/15,Disorderly Conduct
15-4792,11/20/15,11/20/15,Offenses involving underage persons
15-4786,11/20/15,11/20/15,Traffic Crash-Property Damage
15-4785,11/20/15,11/20/15,Theft
15-4783,11/20/15,11/20/15,Traffic Crash-Property Damage-Hit Skip
154781,11/20/15,3/28/21,Traffic Crash-Property Damage
15-4780,11/20/15,11/20/15,Theft (Of Bicycle)
15-4779,11/20/15,11/20/15,Traffic Crash-Property Damage
15-4778,11/20/15,11/19/15,Theft
15-4776,11/20/15,11/20/15,Inducing Panic
15-4775,11/20/15,9/1/15,Theft (Of Bicycle)
15-4775,12/3/15,12/3/15,Supplement
15-4774,11/20/15,11/18/15,Theft
15-4774,12/23/15,12/23/15,Supplement
15-4771,11/20/15,11/20/15,Disorderly Conduct
15-4769,11/19/15,11/19/15,Possession of Drugs
15-4762,11/19/15,11/19/15,Theft
15-4757,11/19/15,11/19/15,Ill Aided
15-4754,11/19/15,11/13/15,Theft
15-4753,11/19/15,11/19/15,Assist Other Agency
15-4750,11/18/15,11/17/15,Theft
15-4749,11/18/15,11/18/15,Traffic Crash-Property Damage
15-4744,11/18/15,11/18/15,Ill Aided
15-4742,11/18/15,11/16/15,Criminal Damaging
15-4740,11/17/15,11/17/15,Sexual Imposition
15-4739,11/17/15,11/17/15,Theft
15-4738,11/17/15,11/16/15,Traffic Crash-Property Damage-Hit Skip
15-4735,11/17/15,11/12/15,Traffic Crash-Property Damage
15-4734,11/17/15,11/17/15,Traffic Crash-Property Damage
15-4732,11/17/15,11/17/15,Drug Paraphernalia
15-4731,11/17/15,11/17/15,Ill Aided
15-4730,11/17/15,11/17/15,Possession of Drugs
15-4728,11/16/15,11/16/15,Theft
15-4727,11/16/15,11/16/15,Traffic Crash-Property Damage
15-4726,11/16/15,11/16/15,Traffic Crash-Property Damage
15-4724,11/16/15,11/16/15,Theft
15-4723,11/16/15,11/16/15,Theft
15-4719,11/16/15,11/15/15,Theft
15-4719,11/16/15,11/15/15,Theft
15-4718,11/16/15,11/15/15,Theft
15-4714,11/15/15,11/15/15,Possession of Drugs
15-4713,11/15/15,11/15/15,Ill Aided
15-4712,11/16/15,11/16/15,Supplement
15-4712,11/15/15,11/14/15,Theft
15-4706,11/14/15,11/14/15,Possession of Drugs
15-4704,11/14/15,11/14/15,Drug Paraphernalia
15-4704,11/15/15,11/15/15,Supplement
15-4967,11/13/15,11/13/15,Ill Aided
15-4696,11/13/15,11/13/15,Administrative Information
15-4695,11/13/15,11/13/15,Possession of Drugs
15-4694,11/13/15,11/13/15,Disorderly Conduct
15-4690,11/12/15,11/12/15,Ill Aided
15-4689,11/12/15,11/12/15,Criminal Trespass
15-4688,11/12/15,11/12/15,Traffic Crash-Property Damage-Hit Skip
15-4687,11/12/15,11/12/15,Criminal Trespass
15-4686,11/12/15,11/12/15,Disorderly Conduct
15-4685,11/12/15,11/5/15,Administrative Information
15-4683,11/12/15,11/12/15,Ill Aided
15-4682,11/12/15,11/12/15,Traffic Crash-Property Damage-Hit Skip
15-4679,11/12/15,11/12/15,Ill Aided
15-4678,11/12/15,11/12/15,Ill Aided
15-4672,11/11/15,11/11/15,Criminal Damaging
15-4671,11/10/15,11/10/15,Possession of Drugs
15-4670,11/10/15,11/10/15,Assist Other Agency
15-4669,11/10/15,11/10/15,Theft
15-4667,11/10/15,11/9/15,Theft
15-4667,11/17/15,11/17/15,Supplement
15-4666,11/10/15,11/10/15,Ill Aided
15-4665,11/10/15,11/10/15,Traffic Crash-Property Damage
15-4663,11/9/15,11/1/15,Identity Fraud
15-4663,12/8/15,12/8/15,Supplement
15-4662,11/9/15,11/9/15,Theft
15-4661,11/9/15,11/9/15,Theft
15-4660,11/10/15,11/10/15,Supplement
15-4660,11/9/15,11/9/15,Theft
15-4658,11/9/15,11/9/15,Administrative Information
15-4654,11/9/15,11/9/15,Assist Other Agency
15-4653,11/9/15,11/9/15,Possession of Drugs
15-4652,11/9/15,11/9/15,Traffic Crash-Property Damage
15-4651,11/8/15,11/8/15,Carrying Concealed Weapon
15-4651,11/30/15,11/8/15,Supplement
15-4650,11/8/15,11/8/15,Theft
15-4644,11/8/15,11/8/15,Possessing Drug Abuse Instruments
15-4643,11/08/0215,11/8/15,Disorderly Conduct
15-4640,11/7/15,11/7/15,Offenses involving underage persons
15-4638,11/7/15,11/7/15,Offenses involving underage persons
15-4636,11/7/15,11/7/15,Possession of Drugs
15-4635,11/7/15,11/7/15,Open Container
15-4633,11/7/15,11/7/15,Open Container
15-4632,11/7/15,11/7/15,Open Container
15-4631,11/7/15,11/7/15,Open Container
15-4628,11/7/15,11/7/15,Open Container
15-4627,11/7/15,11/7/15,Open Container
15-4625,11/7/15,11/7/15,Open Container
15-4624,11/7/15,11/7/15,Open Container
15-4623,11/7/15,11/7/15,Administrative Information
15-4622,11/7/15,11/7/15,Disorderly Conduct
15-4614,11/6/15,11/6/15,Ill Aided
15-4613,11/6/15,11/6/15,Possession of Drugs
15-4611,11/6/15,11/6/15,Failure to Comply With Order of Police Officer
15-4610,11/6/15,10/14/15,Theft
15-4609,11/6/15,11/5/15,Theft
15-4596,11/5/15,11/5/15,Drug Paraphernalia
15-4595,11/5/15,11/5/15,Theft
15-4594,11/5/15,11/3/15,Theft
15-4590,11/5/15,11/4/15,Theft (Of Bicycle)
15-4588,11/5/15,11/5/15,Ill Aided
15-4587,11/5/15,11/5/15,Assault
15-4586,11/5/15,10/17/15,Unlawful Restraint
15-4583,11/5/15,11/5/15,Assist Other Agency
15-4582,11/5/15,7/21/15,Public Accident
15-4575,11/5/15,11/5/15,Assist Other Agency
15-4573,11/5/15,11/4/15,Theft
15-4573,11/5/15,11/4/15,Theft
15-4571,11/4/15,11/4/15,Rape
15-4568,11/4/15,11/4/15,Criminal Trespass
15-4566,11/4/15,11/4/15,Theft (From Auto)
15-4565,11/4/15,10/29/15,Theft (Of Bicycle)
15-4563,11/4/15,11/4/15,Assist Other Agency
15-4562,11/4/15,11/4/15,Administrative Information
15-4560,11/4/15,11/4/15,Criminal Trespass
15-4557,11/3/15,10/27/15,Theft (Of Bicycle)
l15-4556   ,11/3/15,11/3/15,Telecommunications Harassment
15-4555,11/3/15,11/3/15,Traffic Crash-Property Damage-Hit Skip
15-4554,11/3/15,11/3/15,Possessing Criminal Tools
15-4550,11/2/15,11/2/15,Possession of Drugs
15-4549,11/2/15,11/1/15,Rape
15-4548,11/2/15,11/2/15,Assist Other Agency
15-4546,11/2/15,10/19/15,Criminal Mischief
15-4545,11/2/15,11/2/15,Assault
15-4544,11/2/15,11/2/15,Theft
15-4544,11/8/15,11/2/15,Supplement
15-4540,11/2/15,11/2/15,Traffic Crash-Property Damage
15-4539,11/2/15,11/2/15,Ill Aided
15-4537,11/2/15,11/2/15,Ill Aided
15-4536,11/2/15,11/2/15,Possession of Drugs
15-4534,11/1/15,11/1/15,Theft
15-4531,11/1/15,11/1/15,Drug Paraphernalia
15-4529,11/7/15,11/7/15,Open Container
15-4528,11/1/15,11/1/15,Drug Paraphernalia
15-4527,11/1/15,11/1/15,Assist Other Agency
15-4524,11/1/15,11/1/15,Ill Aided
15-4523,11/1/15,11/1/15,Administrative Information
15-4522,11/1/15,11/1/15,Offenses involving underage persons
15-4519,11/1/15,11/1/15,Disorderly Conduct
15-4515,11/1/15,11/1/15,Offenses involving underage persons
15-4513,10/31/15,10/31/15,Possession of Drugs
15-4511,10/31/15,10/31/15,Traffic Crash-Property Damage-Hit Skip
15-4510,10/31/15,10/31/15,Administrative Information
15-4509,10/31/15,10/31/15,Theft
15-4503,10/31/15,10/31/15,Possession of Drugs
15-4497,10/30/15,10/30/15,Theft
15-4496,10/30/15,10/30/15,Menacing
15-4493,10/30/15,10/30/15,Traffic Crash-Property Damage-Hit Skip
15-4490,10/30/15,10/30/15,Administrative Information
15-4488,10/30/15,10/30/15,Ill Aided
15-4487,10/30/15,10/29/15,Burglary
15-4487,10/30/15,10/29/15,Burglary
15-4486,10/30/15,10/30/15,Traffic Crash-Injury-Hit Skip
15-4485,10/30/15,10/30/15,Theft
15-4476,10/29/15,10/29/15,Assault
15-4476,11/23/15,11/23/15,Supplement
15-4475,10/29/15,10/29/15,Ill Aided
15-4474,10/29/15,10/29/15,Administrative Information
15-4473,10/29/15,10/29/15,Criminal Trespass
15-4464,10/29/15,10/29/15,Criminal Trespass
15-4462,10/28/15,10/28/15,Traffic Crash-Property Damage
15-4459,10/28/15,10/28/15,Theft
15-4459,10/30/15,10/30/15,Supplement
15-4458,10/28/15,10/28/15,Criminal Trespass
15-4457,10/28/15,10/28/15,Administrative Information
15-4455,10/28/15,10/28/15,Possession of Drugs
15-4454,10/28/15,10/28/15,Ill Aided
15-4453,10/28/15,10/28/15,Traffic Crash-Property Damage
15-4452,10/28/15,10/28/15,Disorderly Conduct
15-4450,10/29/15,10/28/15,Traffic Crash-Property Damage
15-4449,10/27/15,10/27/15,Administrative Information
15-4448,10/27/15,10/27/15,Ill Aided
15-4447,10/27/15,10/27/15,Theft
15-4445,10/27/15,10/27/15,Traffic Crash-Property Damage
15-4442,10/27/15,10/27/15,Administrative Information
15-4441,10/27/15,10/27/15,Ill Aided
15-4440,10/27/15,10/27/15,Administrative Information
15-4439,10/27/15,10/27/15,Criminal Damaging
15-4435,10/26/15,10/26/15,Criminal Trespass
15-4433,10/26/15,10/26/15,Theft
15-4432,10/26/15,10/26/15,Inducing Panic
15-4432,10/26/15,10/26/15,Inducing Panic
15-4430,10/26/15,10/26/15,Possession of Drugs
15-4429,10/26/15,10/23/15,Theft
15-4426,10/26/15,10/26/15,Assist Other Agency
15-4425,10/26/15,10/26/15,Administrative Information
15-4423,10/26/15,10/23/15,Theft
15-4419,10/26/15,10/26/15,Traffic Crash-Property Damage
15-4418,10/26/15,10/26/15,Traffic Crash-Property Damage
15-4413,10/25/15,10/25/15,Assist Other Agency
15-4412,10/25/15,10/25/15,Theft (Of Bicycle)
15-4405,10/25/15,10/24/15,Theft
15-4401,10/24/15,10/24/15,Theft
15-4394,10/18/15,10/18/15,Assist Other Agency
15-4392,10/23/15,10/23/15,Assist Other Agency
15-4391,10/24/15,10/24/15,Prohibited Acts
15-4390,10/24/15,10/24/15,Criminal Trespass
15-4389,10/24/15,10/24/15,Theft
15-4387,10/23/15,10/23/15,Possession of Drugs
15-4386,10/23/15,10/23/15,Theft
15-4384,10/23/15,10/23/15,Possession of Drugs
15-4378,10/23/15,10/22/15,Theft
15-4371,10/23/15,10/23/15,Assist Other Agency
15-4370,10/23/15,10/20/15,Theft
15-4369,10/23/15,10/23/15,Criminal Trespass
15-4368,10/23/15,10/23/15,Ill Aided
15-4367,10/23/15,10/23/15,Ill Aided
15-4366,10/23/15,10/16/15,Administrative Information
15-4364,10/23/15,10/23/15,Assist Other Agency
15-4361,10/23/15,10/23/15,Theft
15-4359,10/22/15,10/22/15,Possession of Drugs
15-4357,10/22/15,10/22/15,Ill Aided
15-4356,10/22/15,10/22/15,Carrying Concealed Weapon
15-4355,10/22/15,10/22/15,Telecommunications Harassment
15-4354,10/12/15,9/18/15,Sexual Imposition
15-4353,10/22/15,10/22/15,Traffic Crash-Property Damage
15-4344,10/21/15,10/19/15,Theft (Of Bicycle)
15-4343,10/21/15,10/21/15,Criminal Damaging
15-4342,10/21/15,9/10/15,Theft (Of Bicycle)
15-4341,10/21/15,10/19/15,Traffic Crash-Property Damage-Hit Skip
15-4340,10/21/15,10/21/15,Traffic Crash-Property Damage-Hit Skip
15-4339,10/21/15,10/19/15,Theft (Of Bicycle)
15-4338,10/21/15,10/21/15,Property Impound
15-4337,10/21/15,10/21/15,Ill Aided
15-4334,10/21/15,10/21/15,Theft
15-4331,10/21/15,10/21/15,Ill Aided
15-4329,10/21/15,10/21/15,Assist Other Agency
15-4327,10/20/15,10/20/15,Menacing By Stalking
15-4326,10/20/15,10/20/15,Assist Other Agency
15-4326,11/7/15,11/7/15,Open Container
15-4325,10/20/15,10/20/15,Possession of Drugs
15-4324,10/20/15,10/20/15,Criminal Damaging
15-4320,10/20/15,10/20/15,Theft
15-4319,10/20/15,10/20/15,Assist Other Agency
15-4318,10/20/15,9/29/15,Theft
15-4312,10/20/15,10/20/15,Telecommunications Harassment
15-4310,10/20/15,10/20/15,Criminal Damaging
15-4307,10/19/15,10/19/15,Ill Aided
15-4306,10/19/15,10/19/15,Theft
15-4305,10/19/15,10/19/15,Assist Other Agency
15-4303,10/19/15,10/19/15,Traffic Crash-Property Damage-Hit Skip
15-4299,10/19/15,10/26/13,Theft
15-4299,10/26/15,10/26/15,Supplement
15-4297,10/19/15,10/12/15,Robbery
15-4297,10/19/15,10/12/15,Robbery
15-4290,10/20/15,10/20/15,Supplement
15-4289,10/19/15,10/19/15,Criminal Trespass
15-4288,10/19/15,10/19/15,Administrative Information
15-4281,10/19/15,10/19/15,Theft
15-4280,10/19/15,10/19/15,Traffic Crash-Property Damage
15-4279,10/19/15,10/16/15,Theft
15-4274,10/18/15,10/18/15,Criminal Damaging
15-4273,10/18/15,10/17/15,Assault
15-4272,10/18/15,10/17/15,Theft
15-4269,10/18/15,10/18/15,Disorderly Conduct
15-4265,10/17/15,10/17/15,Traffic Crash-Property Damage
15-4264,10/18/15,10/17/15,Prohibited Acts
16-4263,10/17/15,10/17/15,Prohibited Acts
15-4263,10/21/15,10/21/15,Supplement
15-4261,10/17/15,10/21/15,OVI
15-4259,10/17/15,10/17/15,Disorderly Conduct
15-4258,10/17/15,10/17/15,Disorderly Conduct
15-4256,10/17/15,10/17/15,Public Accident
15-4255,10/17/15,10/17/15,Offenses involving underage persons
15-4252,10/17/15,10/17/15,Disorderly Conduct
15-4249,10/17/15,10/17/15,Traffic Crash-Property Damage
15-4246,10/17/15,10/17/15,Offenses involving underage persons
15-4245,10/17/15,10/17/15,Open Container
15-4242,10/17/15,10/17/15,Open Container
15-4241,10/17/15,10/17/15,Offenses involving underage persons
15-4240,10/17/15,10/17/15,Open Container
15-4239,10/17/15,10/17/15,Open Container
15-4238,10/17/15,10/17/15,Traffic Crash-Property Damage
15-4236,10/17/15,10/17/15,Open Container
