Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
17-6122,12/17/17,12/17/17,Assist Other Agency
17-6120,12/17/17,12/17/17,Offenses involving underage persons
17-6119,12/16/17,12/16/17,Sexual Imposition
17-6118,12/16/17,12/16/17,Traffic Crash-Injury
17-6117,12/16/17,12/16/17,
17-6114,12/16/17,12/16/17,Prohibited Acts
17-6113,12/16/17,12/16/17,Possession Of Drugs
17-6112,12/16/17,12/16/17,Criminal Trespass
17-6111,12/16/17,12/16/17,Criminal Damaging
17-6100,12/15/17,12/15/17,Prohibited Acts
17-6099,12/15/17,12/15/17,Theft
17-6095,12/15/17,12/15/17,Theft
17-6092,12/15/17,12/13/17,Theft
17-6091,12/15/17,12/15/17,Assault
17-6080,12/14/17,12/14/17,Theft
17-6076,12/14/17,12/14/17,Traffic Crash-Property Damage
17-6075,12/14/17,12/14/17,Possessing Drug Abuse Instruments
17-6073,12/14/17,8/22/17,Administrative Information
17-6071,12/14/17,12/11/17,Administrative Information
17-6068,12/14/17,12/14/17,Possessing Drug Abuse Instruments
17-6067,12/14/17,12/13/17,Possession Of Drugs
17-6066,12/13/17,12/13/17,Possession Of Drugs
17-6065,12/13/17,12/13/17,Driving Under Suspension
17-6061,12/13/17,12/8/17,Theft
17-6060,12/13/17,12/11/17,Theft
17-6059,12/13/17,12/13/17,Theft
17-6058,12/13/17,12/13/17,DOA-Death
17-6057,12/13/17,12/12/17,Theft
17-6056,12/13/17,12/13/17,Offenses involving underage persons
17-6051,12/12/17,5/8/16,Theft
17-6050,12/12/17,12/12/17,Ill Aided
17-6049,12/12/17,12/12/17,Drug Paraphernalia
17-6048,12/12/17,12/9/17,Theft
17-6047,12/30/17,12/30/17,Supplement
17-6047,12/12/17,12/11/17,Rape
17-6045,12/12/17,7/23/17,Telecommunications Harassment
17-6045,12/13/17,12/13/17,Supplement
17-6045,12/15/17,12/15/17,Menacing by Stalking
17-6044,12/12/17,12/12/17,Theft
17-6043,12/12/17,12/12/17,Criminal Trespass
17-6042,12/12/17,12/12/17,Criminal Damaging
17-6035,12/12/17,12/12/17,Ill Aided
17-6034,12/11/17,12/11/17,Drug Paraphernalia
17-6033,12/11/17,12/11/17,Telecommunications Harassment
17-6032,12/11/17,12/11/17,Theft
17-6031,12/11/17,11/22/17,Theft
17-6030,12/11/17,12/7/17,Theft
17-6029,12/11/17,11/24/17,Sexual Imposition
17-6028,12/11/17,12/11/17,Possessing Drug Abuse Instruments
17-6025,12/11/17,12/11/17,Drug Paraphernalia
17-6024,12/11/17,12/11/17,Theft
17-6024,12/12/17,12/12/17,Supplement
17-6023,12/11/17,12/10/17,Administrative Information
17-6023,12/11/17,12/10/17,Offenses involving underage persons
17-6022,12/11/17,12/11/17,Ill Aided
17-6021,12/10/17,12/10/17,Carrying Concealed Weapon
17-6020,12/10/17,12/10/17,Drug Paraphernalia
17-6019,12/10/17,12/10/17,Administrative Information
17-6015,12/10/17,12/8/17,Theft
17-6014,12/10/17,12/10/17,Administrative Information
17-6012,12/10/17,12/10/17,Ill Aided
17-6010,12/10/17,12/10/17,Offenses involving underage persons
17-6009,12/10/17,12/10/17,Disorderly Conduct
17-6006,12/9/17,12/09/0002,Prohibited Acts
17-6004,12/9/17,12/9/17,Theft
17-6003,12/9/17,12/9/17,Telecommunications Harassment
17-6002,12/9/17,12/8/17,Traffic Crash-Property Damage
17-6000,12/9/17,12/9/17,Prohibited Acts
17-5998,12/9/17,12/9/17,Gross Sexual Imposition
17-5998,12/11/17,12/9/17,Gross Sexual Imposition
17-5998,12/13/17,12/9/17,Assist Other Agency
17-5997,12/11/17,12/9/17,Offenses involving underage persons
17-5997,12/9/17,12/9/17,Assist Other Agency
17-5995,12/9/17,12/9/17,Disorderly Conduct
17-5993,12/9/17,12/9/17,Ill Aided
17-5991,12/9/17,12/9/17,Ill Aided
17-5988,12/8/17,12/8/17,Traffic Crash-Property Damage
17-5980,12/8/17,9/1/17,Theft
17-5975,12/8/17,12/8/17,Criminal Trespass
17-5974,12/8/17,10/30/17,Criminal Mischief
17-5971,12/8/17,12/8/17,Possession Of Drugs
17-5970,12/8/17,12/8/17,Traffic Crash-Property Damage-Hit Skip
17 -597 0,12/18/0201,12/18/0201,Supplement
17-5969,12/8/17,12/8/17,Criminal Damaging
17 -5969,12/12/17,12/12/17,Supplement
17-5968,12/7/17,12/7/17,Theft
17-5967,12/7/17,12/7/17,Open Container
17-5964,12/7/17,12/7/17,Assist Other Agency
17-5964,12/11/17,12/7/17,Assist Other Agency
17-5962,12/7/17,12/7/17,Ill Aided
17-5961,12/7/17,12/7/17,Property Impound
17-5960,12/7/17,12/7/17,Administrative Information
17-5959,12/7/17,12/7/17,Unauthorized Use of Property
17-5958,12/7/17,12/2/17,Administrative Information
17-5947,12/6/17,12/6/17,Drug Paraphernalia
17-5946,12/6/17,11/29/17,Theft
17-5945,12/6/17,11/28/17,Assault
17-5945,12/8/17,12/8/17,Supplement
17-5944,12/6/17,12/5/17,Rape
17-5943,12/6/17,12/6/17,Administrative Information
17-5941,12/6/17,12/6/17,Missing Person
17-5939,12/6/17,12/6/17,Possessing Drug Abuse Instruments
17-5935,12/2/17,12/2/17,Theft
17-5928,12/5/17,12/5/17,Drug Paraphernalia
17-5926,12/5/17,12/5/17,Possession Of Drugs
17-5923,12/5/17,12/1/17,Telecommunications Harassment
17-5922,12/5/17,12/5/17,Traffic Crash-Property Damage
17-5921,12/5/17,11/13/17,Theft
17-5920,12/5/17,12/5/17,Administrative Information
17-5918,12/5/17,12/5/17,Traffic Crash-Property Damage
17-5915,12/5/17,12/5/17,Theft
17-5915,12/5/17,12/5/17,Supplement
17-5908,12/4/17,12/4/17,Ill Aided
17-5906,12/4/17,12/4/17,Assault
17-5905,12/4/17,12/4/17,Prohibited Acts
17-5903,12/4/17,12/4/17,Theft
17-5902,12/4/17,12/4/17,Ill Aided
17-5901,12/4/17,12/3/17,Telecommunications Harassment
17-5899,12/4/17,11/1/17,Administrative Information
17-5897,12/4/17,12/4/17,Menacing
17-5896,12/4/17,12/4/17,Administrative Information
17-5895,12/4/17,12/3/17,Prohibited Acts
17-5894,12/4/17,11/8/17,Theft
17-5892,12/4/17,12/4/17,Public Indecency
17-5890,12/4/17,12/4/17,Drug Paraphernalia
17-5889,12/4/17,12/4/17,Criminal Trespass
17-5887,12/3/17,12/3/17,Prohibited Acts
17-5885,12/3/17,12/3/17,Possession Of Drugs
17-5881,12/3/17,12/3/17,Theft
17-5880,12/3/17,12/3/17,Ill Aided
17-5876,12/3/17,12/3/17,Theft
17-5875,12/3/17,12/3/17,Theft
17-5873,12/3/17,12/2/17,Theft (From Auto)
17-5871,12/3/17,13/03/2017,Public Accident
17-5870,12/3/17,12/3/17,Prohibited Acts
17-5869,12/3/17,12/3/17,Telecommunications Harassment
17-5865,12/3/17,12/3/17,Driving Under Suspension
17-5864,12/3/17,12/3/17,Prohibited Acts
17-5858,12/2/17,12/2/17,Possession Of Drugs
17-5854,12/2/17,12/2/17,Theft
17-5850,12/2/17,4/3/17,Theft
17-5849,12/2/17,12/2/17,Offenses involving underage persons
17-5848,12/2/17,12/2/17,Defrauding a Livery or Hostelry
17-5847,12/2/17,12/2/17,Ill Aided
17-5846,12/2/17,12/2/17,OVI
17-5845,12/2/17,12/2/17,Assist Other Agency
17-5841,12/1/17,12/1/17,Drug Paraphernalia
17-5839,12/1/17,11/30/17,Theft
17-5838,12/1/17,12/1/17,Ill Aided
17-5837,12/1/17,12/1/17,Administrative Information
17-5836,12/1/17,12/1/17,Administrative Information
17-5834,12/1/17,11/28/17,Theft (From Auto)
17-5833,12/1/17,12/1/17,Traffic Crash-Property Damage-Hit Skip
17-5832,12/1/17,12/1/17,Traffic Crash-Property Damage
17-5831,12/1/17,11/30/17,Vandalism
17-5830,12/1/17,12/1/17,Prohibited Acts
17-5829,12/1/17,12/1/17,Offenses involving underage persons
17-5828,12/1/17,12/1/17,Offenses involving underage persons
17-5827,12/1/17,12/1/17,Offenses involving underage persons
17-5825,12/1/17,12/1/17,Offenses involving underage persons
17-5820,11/30/17,11/30/17,Disorderly Conduct
17-5819,11/30/17,11/30/17,Ill Aided
17-5818,11/30/17,11/30/17,Possession Of Drugs
17-5817,11/30/17,11/30/17,Carrying Concealed Weapon
17-5814,11/30/17,11/12/17,Assault
17-5813,11/30/17,11/30/17,Ill Aided
17-5812,11/30/17,11/27/17,Vandalism
17-5809,11/30/17,11/29/17,Administrative Information
17-5806,11/30/17,11/30/17,Traffic Crash-Property Damage
17-5804,11/30/17,11/30/17,Vehicle Impound
17-5801,11/29/17,1/1/17,Gambling
17-5796,11/30/17,11/30/17,Drug Paraphernalia
17-5793,11/30/17,11/30/17,Ill Aided
17-5791,11/29/17,11/29/17,Assist Other Agency
17-5790,11/29/17,11/29/17,Driving Under Suspension
17-5789,11/29/17,8/24/17,Unauthorized Use of Property
17-5788,11/29/17,11/29/17,Ill Aided
17-5778,11/29/17,11/29/17,Theft
17-5776,11/29/17,11/28/17,Theft (From Auto)
17-5775,11/29/17,11/29/17,Public Accident
17-5774,11/28/17,11/28/17,Property Impound
17-5773,11/29/17,11/29/17,Theft (From Auto)
17-5770,11/29/17,11/29/17,Prohibited Acts
17-5769,11/28/17,11/28/17,Traffic Crash-Injury-Hit Skip
17-5768,11/28/17,11/28/17,Domestic Violence
17-5760,12/1/17,12/1/17,Supplement
17-5760,11/28/17,11/28/17,Traffic Crash-Property Damage-Hit Skip
17-5759,11/28/17,11/28/17,Possessing Drug Abuse Instruments
17-5758,11/28/17,11/28/17,Traffic Crash-Property Damage-Hit Skip
17-5758,11/29/17,11/29/17,Supplement
17-5756,11/28/17,11/22/17,Theft
17-5752,11/28/17,10/30/17,Soliciting
17-5751,11/28/17,11/28/17,Traffic Crash-Property Damage
17-5750,11/28/17,11/28/17,Possession Of Drugs
17-5749,11/28/17,11/28/17,Vehicle Impound
17-5749,11/28/17,11/28/17,Vehicle Impound
17-5747,11/28/17,11/28/17,Criminal Trespass
17-5744,11/27/17,11/26/17,Theft
17-5744,11/29/17,11/29/17,Supplement
17-5743,11/29/17,11/29/17,Supplement
17-5743,11/27/17,11/21/17,Administrative Information
17-5723,11/27/17,11/27/17,Ill Aided
17-5722,11/27/17,11/26/17,Traffic Crash-Property Damage-Hit Skip
17-5721,11/27/17,11/27/17,Ill Aided
17-5719,11/27/17,11/27/17,Public Accident
17-5718,11/27/17,11/27/17,Traffic Crash-Property Damage
17-5717,11/27/17,11/27/17,Traffic Crash-Property Damage
17-5716,11/27/17,11/27/17,Theft (From Auto)
17-5700,11/27/17,11/27/17,Assist Other Agency
17-5694,11/26/17,11/25/17,Theft (Of Auto)
17-5694,11/27/17,11/27/17,Supplement
17-5693,11/26/17,11/26/17,Theft
17-5692,11/26/17,11/26/17,Assist Other Agency
17-5688,11/26/17,11/26/17,Carrying Concealed Weapon
17-5687,11/26/17,11/26/17,Administrative Information
17-5684,11/26/17,11/26/17,Criminal Trespass
17-5682,11/25/17,11/25/17,Drug Paraphernalia
17-5681,11/25/17,11/25/17,Assist Other Agency
17-5680,11/25/17,11/25/17,Administrative Information
17-5679,11/25/17,11/25/17,Obstructing Official Business
17-5676,11/25/17,11/25/17,Possession Of Drugs
17-5675,11/25/17,11/18/17,Traffic Crash-Property Damage-Hit Skip
17-5671,11/25/17,11/25/17,Assist Other Agency
17-5666,11/24/17,11/24/17,Theft
17-5663,11/24/17,399/716,Possession Of Drugs
17-5662,11/24/17,11/24/17,Public Accident
17-5659,11/24/17,11/24/17,Traffic Crash-Property Damage-Hit Skip
17-5657,11/24/17,11/23/17,Criminal Damaging
17-5654,11/23/17,11/23/17,Possession Of Drugs
17-5648,11/22/17,11/21/17,Menacing
17-5647,11/22/17,11/22/17,Traffic Crash-Property Damage
17-5646,11/22/17,11/21/17,Theft
17-5646,11/22/17,11/21/17,Supplement
17-5643,11/22/17,11/22/17,Assist Other Agency
17-5642,11/22/17,11/20/17,Theft
17-5642,11/22/17,11/20/17,Supplement
17-5642,11/22/17,11/20/17,Supplement
17-5640,11/22/17,11/22/17,Administrative Information
17-5639,11/22/17,11/21/17,Telecommunications Harassment
17-5637,11/22/17,11/21/17,Criminal Mischief
17-5636,11/22/17,11/22/17,Disorderly Conduct
17-5635,11/21/17,11/21/17,Prohibited Acts
17-5634,11/21/17,11/9/17,Administrative Information
17-5633,11/21/17,11/21/17,Theft (From Auto)
17-5632,11/21/17,11/21/17,Traffic Crash-Property Damage-Hit Skip
17-5631,11/21/17,11/21/17,Assist Other Agency
17-5629,11/21/17,11/21/17,Obstructing Official Business
17-5628,11/21/17,11/21/17,Telecommunications Harassment
17-5626,11/21/17,11/21/17,Assist Other Agency
17-5625,11/21/17,11/21/17,Breaking and Entering
17-5624,11/21/17,11/21/17,Disorderly Conduct
17-5623,11/20/17,11/20/17,Theft
17-5622,11/20/17,11/20/17,Possession Of Drugs
17-5609,11/20/17,11/20/17,Carrying Concealed Weapon
17-5607,11/20/17,11/20/17,Menacing
17-5606,11/20/17,11/20/17,Theft
17-5603,11/20/17,11/19/17,Theft (From Auto)
17-5602,11/20/17,9/1/17,Menacing By Stalking
17-5601,11/20/17,11/18/17,Criminal Mischief
17-5600,11/20/17,11/20/17,Administrative Information
17-5599,11/20/17,11/17/17,Prohibited Acts
17-5598,11/20/17,11/20/17,Ill Aided
17-5597,11/20/17,11/20/17,Traffic Crash-Property Damage-Hit Skip
17-5596,11/20/17,11/20/17,Traffic Crash-Property Damage
17-5595,11/20/17,11/20/17,Administrative Information
17-5591,11/20/17,11/20/17,Ill Aided
17-5588,11/20/17,11/20/17,Prohibited Acts
17-5587,11/20/17,11/20/17,Possession Of Drugs
17-5584,11/19/17,11/15/17,Theft
17-5583,11/19/17,11/18/17,Traffic Crash-Injury-Hit Skip
17-5582,11/19/17,11/19/17,Theft (Of Bicycle)
17-5581,11/19/17,11/19/17,Public Accident
17-5575,11/19/17,11/19/17,Traffic Crash-Property Damage-Hit Skip
17-5570,11/19/17,11/18/17,Theft
17-5570,11/20/17,11/18/17,Supplement
17-5566,11/19/17,11/19/17,Property Impound
17-5564,11/19/17,11/19/17,Theft
17-5563,11/19/17,11/19/17,Offenses involving underage persons
17-5562,11/19/17,11/19/17,Disorderly Conduct
17-5560,11/19/17,11/19/17,Offenses involving underage persons
17-5559,11/18/17,11/18/17,Offenses involving underage persons
17-5558,11/18/17,10/29/17,Rape
17-5558,11/18/17,10/29/17,Supplement
17-5556,11/18/17,11/18/17,Drug Paraphernalia
17-5552,11/18/17,11/18/17,Offenses involving underage persons
17-5551,11/18/17,11/18/17,Offenses involving underage persons
17-5548,11/18/17,11/18/17,Ill Aided
17-5546,11/18/17,11/18/17,Offenses involving underage persons
17-5545,11/18/17,10/28/17,CSA Report: Rape
17-5544,11/18/17,11/18/17,Offenses involving underage persons
17-5543,11/18/17,11/18/17,Disorderly Conduct
17-5540,11/18/17,11/18/17,Offenses involving underage persons
17-5538,11/18/17,11/18/17,Offenses involving underage persons
17-5537,11/18/17,11/18/17,Prohibited Acts
17-5536,11/17/17,11/17/17,Possession Of Drugs
17-5535,11/17/17,11/17/17,Ill Aided
17-5532,11/17/17,11/17/17,Theft
17-5532,11/25/17,11/25/17,Supplement
17-5532,12/3/17,12/3/17,Supplement
17-5531,11/17/17,11/17/17,Administrative Information
17-5530,11/17/17,11/17/17,Theft
17-5529,11/17/17,11/17/17,Assist Other Agency
17-5527,11/17/17,11/17/17,Prohibited Acts
17-5526,11/17/17,11/17/17,Theft (Of Bicycle)
17-5524,11/17/17,11/8/17,Menacing
17-5523,11/17/17,11/17/17,Prohibited Acts
17-5522,11/17/17,11/15/17,Disorderly Conduct
17-5521,11/17/17,11/17/17,Prohibited Acts
17-5519,11/17/17,11/12/17,Theft
17-5512,11/17/17,11/17/17,Driving Under Suspension
17-5510,11/16/17,11/16/17,Theft
17-5509,11/16/17,9/22/17,Gross Sexual Imposition
17-5509,12/30/17,12/30/17,Supplement
17-5507,11/16/17,11/16/17,Theft
17-5504,11/16/17,11/16/17,Telecommunications Harassment
17-5500,11/16/17,11/16/17,Criminal Damaging
17-5499,11/16/17,11/16/17,Property Impound
17-5498,11/16/17,11/16/17,Theft
17-5497,11/16/17,11/16/17,Traffic Crash-Property Damage
17-5492,11/16/17,11/16/17,Vehicle Impound
17-5481,11/15/17,11/15/17,Possession Of Drugs
17-5478,11/15/17,11/15/17,Traffic Crash-Property Damage-Hit Skip
17-5477,11/15/17,11/15/17,Traffic Crash-Property Damage-Hit Skip
17-5475,11/15/17,11/15/17,Traffic Crash-Property Damage-Hit Skip
17-5474,11/15/17,11/15/17,Theft
17-5473,11/15/17,11/15/17,Criminal Mischief
17-5472,11/15/17,10/25/17,Theft
17-5471,11/15/17,10/28/17,Theft
17-5458,11/14/17,9/1/17,CSA Report: Rape
17-5457,11/14/17,11/14/17,Disorderly Conduct
17-5456,11/14/17,11/14/17,Possessing Drug Abuse Instruments
17-5454,11/14/17,11/14/17,Possession Of Drugs
17-5452,11/14/17,11/4/17,Rape
17-5447,11/14/17,11/14/17,Carrying Concealed Weapon
17-5442,11/15/17,11/14/17,Supplement
17-5442,11/14/17,11/14/17,Traffic Crash-Property Damage
17-5439,11/14/17,11/14/17,Administrative Information
17-5438,11/14/17,11/10/17,Criminal Mischief
17-5434,11/14/17,11/14/17,Assist Other Agency
17-5431,11/13/17,11/13/17,Disorderly Conduct
17-5424,11/13/17,11/13/17,CSA Report: Rape
17-5423,11/13/17,11/13/17,Administrative Information
17-5418,11/13/17,11/11/17,Theft (Of Bicycle)
17-5417,11/13/17,11/13/17,Possession Of Drugs
17-5415,11/12/17,11/12/17,Possession Of Drugs
17-5414,11/12/17,11/12/17,Theft
17-5411,11/12/17,11/12/17,Traffic Crash-Property Damage
17-5410,11/12/17,11/11/17,Traffic Crash-Property Damage-Hit Skip
17-5407,11/12/17,11/12/17,Assist Other Agency
17-5402,11/12/17,11/12/17,Offenses involving underage persons
17-5401,11/12/17,11/11/17,Theft
17-5399,11/11/17,11/11/17,Ill Aided
17-5398,11/11/17,11/11/17,Missing Person
17-5398,11/11/17,11/11/17,Supplement
17-5397,11/11/17,11/11/17,Theft
17-5396,11/11/17,11/11/17,Theft (Of Bicycle)
17-5395,11/11/17,11/11/17,Domestic Violence
17-5394,11/11/17,11/11/17,Theft
17-5390,11/11/17,11/11/17,Criminal Simulation
17-5389,11/11/17,11/11/17,Disorderly Conduct
17-5388,11/11/17,11/11/17,Possession Of Drugs
17-5387,11/11/17,11/11/17,Criminal Simulation
17-5387,11/18/17,11/18/17,Supplement
17-5382,11/11/17,11/11/17,Traffic Crash-Property Damage
17-5381,11/11/17,11/11/17,Ill Aided
17-5379,11/11/17,11/11/17,Assist Other Agency
17-5377,11/11/17,11/11/17,Criminal Damaging
17-5376,11/11/17,11/11/17,Possession Of Drugs
17-5375,11/11/17,11/11/17,Drug Paraphernalia
17-5369,11/11/17,11/11/17,Ill Aided
17-5368,11/10/17,11/10/17,Rape
17-5368,11/10/17,11/10/17,Rape
17-5367,11/10/17,11/10/17,Recovered Property
17-5365,11/10/17,11/10/17,Offenses involving underage persons
17-5365,11/15/17,11/15/17,Supplement
17-5351,11/10/17,11/10/17,Possession Of Drugs
17-5350,11/10/17,11/10/17,Offenses involving underage persons
17-5347,11/10/17,11/10/17,Theft
17-5345,1109/2017,11/9/17,Administrative Information
17-5343,11/9/17,11/9/17,Traffic Crash-Property Damage-Hit Skip
17-5336,11/9/17,11/9/17,Theft
17-5331,11/9/17,11/9/17,Criminal Damaging
17-5319,11/9/17,11/9/17,Theft
17-5313,11/9/17,11/9/17,Theft
17-5312,11/9/17,11/9/17,Traffic Crash-Property Damage
17-5311,11/9/17,11/9/17,
17-5304,11/8/17,11/8/17,Theft
17 5300,11/8/17,11/6/17,Theft
17-5293,11/8/17,11/8/17,Administrative Information
17-5291,11/8/17,10/27/17,Theft
17-5290,11/8/17,11/8/17,Administrative Information
17-5289,11/8/17,11/7/17,Administrative Information
17-5287,11/8/17,11/8/17,Administrative Information
17-5286,11/8/17,11/8/17,Ill Aided
17-5285,11/8/17,11/8/17,Possession Of Drugs
17-5283,11/8/17,11/8/17,Administrative Information
17-5282,11/7/17,11/7/17,Traffic Crash-Property Damage
17-5281,11/7/17,11/6/17,Traffic Crash-Property Damage-Hit Skip
17-5279,11/7/17,11/7/17,Traffic Crash-Property Damage
17-5278,11/7/17,11/7/17,Theft (From Auto)
17-5276,11/7/17,11/7/17,Possession Of Drugs
17-5274,11/7/17,11/7/17,Traffic Crash-Property Damage
17-5273,11/7/17,11/7/17,Traffic Crash-Property Damage
17-5272,11/7/17,11/7/17,Traffic Crash-Property Damage-Hit Skip
17-5271,11/7/17,11/7/17,Possession Of Drugs
17-5270,11/7/17,11/7/17,Criminal Simulation
17-5269,11/7/17,11/7/17,Driving Under Suspension
17-5266,11/7/17,11/7/17,Criminal Mischief
17-5265,11/7/17,11/7/17,Breaking and Entering
17-5261,11/6/17,11/6/17,Drug Paraphernalia
17-5260,11/6/17,11/6/17,Traffic Crash-Property Damage
17-5259,11/6/17,4/15/17,Administrative Information
17-5256,11/6/17,10/30/17,Telecommunications Harassment
17-5254,11/6/17,11/1/17,Theft
17-5254,11/14/17,11/14/17,Supplement
17-5251,12/10/17,12/10/17,Supplement
17-5251,11/5/17,11/5/17,Assault
17-5249,11/5/17,11/5/17,Ill Aided
17-5248,11/5/17,11/5/17,Criminal Damaging
17-5245,11/5/17,11/4/17,Traffic Crash-Property Damage-Hit Skip
17-5244,11/5/17,11/4/17,Theft (Of Bicycle)
17-5242,11/5/17,11/5/17,OVI
17-5240,11/5/17,11/5/17,Offenses involving underage persons
17-5239,11/5/17,11/5/17,Offenses involving underage persons
17-5238,11/5/17,11/5/17,Prohibited Acts
17-5237,11/5/17,11/5/17,Prohibited Acts
17-5236,11/4/17,11/4/17,Disorderly Conduct
17-5235,11/4/17,11/4/17,Possession Of Drugs
17-5234,11/4/17,11/4/17,Possession Of Drugs
17-5232,11/4/17,11/4/17,Administrative Information
17-5231,11/4/17,11/4/17,Assault
17-5230,11/4/17,10/28/17,Criminal Damaging
17-5229,11/4/17,11/4/17,Assist Other Agency
17-5226,11/4/17,11/4/17,Drug Paraphernalia
17-5224,11/4/17,11/4/17,Criminal Damaging
17-5220,11/4/17,11/3/17,Traffic Crash-Property Damage-Hit Skip
17-5220,11/3/17,11/3/17,Supplement
17-5219,11/3/17,11/3/17,Prohibited Acts
17-5218,11/3/17,11/2/17,Ill Aided
17-5217,11/3/17,11/1/17,Theft
17-5216,11/3/17,11/3/17,Assist Other Agency
17-5212,11/3/17,11/3/17,Traffic Crash-Property Damage
17-5209,11/3/17,11/3/17,Traffic Crash-Property Damage-Hit Skip
17-5208,11/3/17,11/2/17,Menacing By Stalking
17-5207,11/3/17,11/3/17,Public Accident
17-5206,11/3/17,11/3/17,Offenses involving underage persons
17-5205,11/3/17,11/3/17,Offenses involving underage persons
17-5198,11/2/17,11/2/17,Theft
17-5197,11/2/17,11/2/17,Traffic Crash-Property Damage
17-5196,11/2/17,11/2/17,Ill Aided
17-5195,11/2/17,10/24/17,Aggravated Menacing
17-5194,11/2/17,11/2/17,Theft
17-5193,11/2/17,11/2/17,Administrative Information
17-5192,11/2/17,11/2/17,Disorderly Conduct
17-5190,11/2/17,11/2/17,Drug Paraphernalia
17-5189,11/1/17,11/1/17,Assault
17-5187,11/2/17,11/2/17,Traffic Crash-Property Damage
17-5185,11/2/17,11/2/17,Disorderly Conduct
17-5184,11/2/17,11/2/17,Assist Other Agency
17-5183,11/1/17,10/31/17,Theft
17-5182,11/1/17,10/26/17,Theft
17-5181,11/1/17,11/1/17,Possessing Drug Abuse Instruments
17-5180,11/1/17,11/1/17,Burglary
17-5178,11/1/17,11/1/17,Traffic Crash-Property Damage-Hit Skip
17-5175,11/1/17,9/9/17,Theft
17-5174,11/1/17,11/1/17,Theft
17-5172,11/1/17,10/28/17,Felonious Assault
17-5172,11/8/17,11/8/17,Supplement
17-5171,11/1/17,11/1/17,Aggravated Menacing
17-517  0,11/1/17,11/1/17,Disorderly Conduct
17-5169,11/1/17,11/1/17,Disorderly Conduct
17-5168,11/1/17,11/1/17,Public Accident
17-5163,11/1/17,11/1/17,Offenses involving underage persons
17-5162,11/1/17,11/1/17,Ill Aided
17-5161,11/1/17,11/1/17,Criminal Trespass
17-5160,10/31/17,10/31/17,Administrative Information
17-5159,10/31/17,10/31/17,Theft
