case_number,date_reported,incident,date_occurred,time_occurred,location,university,time_reported
1904108,2019-12-04,"Criminal Trespass, Property Damage",2019-12-04,19:02,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904080,2019-12-02,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-12-02,14:00,"Callaway Center, 537 Kilgo Cir, Atlanta 30322",Emory University,NA
1904060,2019-12-01,Simple Assault,2019-12-01,12:00,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904052,2019-11-30,"Arrest for Other Agency (Chamblee Police Dept, Failure to Appear)",2019-11-30,10:30,"Gambrell Hall, 1301 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904050,2019-11-30,"Arrest: Restrictions on Registered Sex Offenders; Giving False Name, Address, or Date of Birth; Loitering or Prowling",2019-11-30,01:32,"Children's Healthcare of Atlanta-Egleston Hospital, 1405 Clifton Rd NE, Atlanta 30329",Emory University,NA
1904045,2019-11-28,"Criminal Trespass, Property Damage",2019-11-28,15:26,"Children's Healthcare of Atlanta-Egleston Hospital, 1405 Clifton Rd NE, Atlanta 30329",Emory University,NA
1904030,2019-11-26,"Criminal Trespass, Property Damage",2019-11-26,19:07,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904029,2019-11-26,Affray,2019-11-26,18:00,"Park Bldg, 1578 Avenue Pl, Atlanta 30329",Emory University,NA
1903997,2019-11-24,Public Indecency (Misdemeanor),2019-11-24,22:09,"Webster Dr at Desmond Dr, Decatur 30033",Emory University,NA
1903981,2019-11-22,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-11-22,14:00,"Emory Univ Hospital, Asbury Court, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903972,2019-11-22,Entering an Auto; Criminal Trespass-Property Damage,2019-11-22,11:00,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1903948,2019-11-20,Family Violence Simple Battery,2019-11-20,20:33,"Mason Guest House, 1555 Shoup Ct, Atlanta 30322",Emory University,NA
1903947,2019-11-20,Entering an Auto; Criminal Trespass-Property Damage,2019-11-20,10:25,"East Parking Deck, 1579 Avenue Pl, Atlanta 30329",Emory University,NA
1903945,2019-11-20,Entering an Auto; Criminal Trespass-Property Damage,2019-11-20,10:30,"North Parking Lot, 1762 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903942,2019-11-20,Impersonating a Public Official,2019-11-20,12:02,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1903941,2019-11-20,Entering an Auto; Criminal Trespass-Property Damage,2019-11-20,12:14,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1903937,2019-11-20,Arrest: Disorderly Conduct,2019-11-20,09:56,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903919,2019-11-18,Possession of One Ounce or Less of Marijuana,2019-11-18,23:42,"Woodruff Residential Center, 1495 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903918,2019-11-18,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-18,22:30,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903917,2019-11-18,Arrest: Public Drunkenness,2019-11-18,21:38,"O.W. Rollins Research Center Parking Lot, 1510 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903913,2019-11-18,Impersonating a Public Official,2019-11-15,10:33,"Rich Bldg, 1602 Fishburne Dr, Atlanta 30322",Emory University,NA
1903911,2019-11-18,"Theft by Taking (Other, Valued Over $1500)",2019-10-22,17:00,"Emory Conference Center Hotel, South Parking Garage, 1615 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903899,2019-11-17,Peeping Tom,2019-11-17,01:30,"Clairmont URC, Bldg C, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1903885,2019-11-16,Stalking,2019-11-16,15:30,"Campus Crossings at Briarcliff, Parking Deck, 1649-1659 Briarcliff Rd NE, Atlanta 30306",Emory University,NA
1903869,2019-11-15,Reckless Driving,2019-11-15,14:30,"1700 block Uppergate Dr, Atlanta 30329",Emory University,NA
1903868,2019-11-15,"Burglary, Second Degree, Non-Forcible Entry",2019-11-06,12:30,"Woodruff Health Sciences Administration Bldg, 1440 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903847,2019-11-14,"Theft by Taking (From Bldg, Valued Over $1500)",2019-11-12,13:30,"School of Medicine, 100 Woodruff Cir, Atlanta 30322",Emory University,NA
1903834,2019-11-13,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-01,14:00,"Woodruff Memorial Bldg, 101 Woodruff Cir, Atlanta 30322",Emory University,NA
1903830,2019-11-13,Sexual Battery,2019-10-01,00:00,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1903821,2019-11-12,"Burglary, First Degree, Non-Forcible Entry",2019-11-09,10:00,"Thomas Hall, 1310 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903817,2019-11-12,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-11,10:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903814,2019-11-12,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-02,00:00,"Budd Terrace, 1833 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903807,2019-11-11,Possession of One Ounce or Less of Marijuana,2019-11-11,22:22,"Thomas Hall, 1310 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903802,2019-11-11,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-11,13:00,"Emory Student Center, 605 Asbury Cir, Atlanta 30322",Emory University,NA
1903801,2019-11-11,Possession of One Ounce or Less of Marijuana,2019-11-11,18:00,"Woodruff Health Sciences Administration Bldg, 1440 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903797,2019-11-11,"Burglary, Second Degree, Forcible Entry",2016-11-11,06:15,"Peavine North Parking Deck, 27 Eagle Row, Atlanta 30322",Emory University,NA
1903793,2019-11-11,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-11-09,03:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903789,2019-11-10,Possession of One Ounce or Less of Marijuana,2019-11-10,22:20,"Few Hall, 4 Eagle Row, Atlanta 30322",Emory University,NA
1903784,2019-11-10,Arrest: Driving Under the Influence of Alcohol or Drugs,2019-11-10,05:10,"Clifton Rd NE at Old Briarcliff Rd NE, Atlanta 30329",Emory University,NA
1903782,2019-11-10,Arrest: Criminal Trespass-Individual,2019-11-10,02:16,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903772,2019-11-08,"Criminal Damage to Property, Second Degree",2019-11-07,22:57,"Emory Conference Center Hotel, North Parking Deck, 1615 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903755,2019-11-07,Financial Transaction Card Theft,2019-11-05,09:00,"Emory Children's Center, 2015 Uppergate Dr, Atlanta 30322",Emory University,NA
1903744,2019-11-06,Theft by Deception ($1500 or Less),2019-11-06,16:30,"Clairmont Tower, 2425 Dooley Dr, Atlanta 30322",Emory University,NA
1903743,2019-11-06,"Burglary, Second Degree, Non-Forcible Entry",2019-11-06,11:30,"Woodruff Health Sciences Administration Bldg, 1440 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903736,2019-11-06,Entering an Auto,2019-11-06,07:35,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1903725,2019-11-05,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-11-03,19:30,"Starvine Way at Dooley Dr, Atlanta 30322",Emory University,NA
1903722,2019-11-04,"Criminal Trespass, Property Damage",2019-11-04,23:51,"Emory Univ Hospital Tower, 1365J Clifton Rd NE, Atlanta 30322",Emory University,NA
1903706,2019-11-03,Entering an Auto,2019-11-03,12:40,"Hahn Woods, 866 Houston Mill Rd NE, Atlanta 30322",Emory University,NA
1903704,2019-11-03,Rape,2019-10-26,23:00,"Fraternity House, 17 Eagle Row, Atlanta 30308",Emory University,NA
1903697,2019-11-02,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-11-01,23:30,"Fraternity House, 10 Eagle Row, Atlanta 30322",Emory University,NA
1903668,2019-10-31,"Theft by Taking (From Bldg, Valued Over $1500)",2019-10-30,17:30,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903664,2019-10-30,Entering an Auto,2019-10-30,14:00,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903660,2019-10-30,Harassing Communications,2015-01-01,00:01,"Psychology and Interdisciplinary Studies, 36 Eagle Row, Atlanta 30322",Emory University,NA
1903651,2019-10-29,Theft by Deception ($1500 or Less),2019-10-24,16:00,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1903650,2019-10-29,Theft by Pocket-Picking (Valued $1500 or Less); Financial Transaction Card Theft,2019-10-25,20:00,"McDonough Field, 616 Asbury Cir, Atlanta 30322",Emory University,NA
1903640,2019-10-28,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-28,15:40,"Miller-Ward Alumni House, 815 Houston Mill Rd NE, Atlanta 30322",Emory University,NA
1903635,2019-10-28,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-27,01:30,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903634,2019-10-28,"Burglary, Second Degree, Forcible Entry",2019-10-22,15:30,"Winship Cancer Clinic, 1711 Uppergate Dr NE, Atlanta 30322",Emory University,NA
1903632,2019-10-28,"Criminal Trespass, Property Damage",2019-10-26,16:00,"Candler Mansion, 1260 Briarcliff Rd NE, Atlanta 30322",Emory University,NA
1903630,2019-10-27,Rape,2019-01-15,00:00,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1903615,2019-10-26,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-25,22:00,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",Emory University,NA
1903606,2019-10-25,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-25,09:50,"Starbucks, Oxford Road Bldg, 1390 Oxford Rd NE, Atlanta 30322",Emory University,NA
1903605,2019-10-25,Arrest: Simple Battery,2019-10-25,12:20,"Clifton Rd NE at Uppergate Dr NE, Atlanta 30329",Emory University,NA
1903595,2019-10-24,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-23,11:45,"Winship Cancer Clinic, 1711 Uppergate Dr NE, Atlanta 30322",Emory University,NA
1903578,2019-10-23,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-22,18:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903577,2019-10-24,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-24,00:30,"Clairmont Tower, 2425 Dooley Dr, Atlanta 30322",Emory University,NA
1903565,2019-10-22,Simple Battery; Criminal Trespass-Property Damage,2019-10-22,16:00,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903558,2019-10-22,Entering an Auto,2019-10-21,15:15,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903554,2019-10-21,"Burglary, Second Degree, Forcible Entry",2019-10-20,23:20,"Tin Lizzy's, 1540 Avenue Pl, Atlanta 30329",Emory University,NA
1903545,2019-10-19,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-14,20:00,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903506,2019-10-17,Harassing Communications,2018-10-01,08:00,"Goizueta Business School, 1300 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903477,2019-10-15,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-06,06:00,"Emory Univ Hospital Tower, 1365 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903475,2019-10-15,Entering an Auto,2019-10-14,08:30,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1903472,2019-10-15,Battery,2019-10-15,00:45,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903470,2019-10-14,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-14,08:35,"Emory Univ Hospital Tower, 1365 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903467,2019-10-14,Entering an Auto,2019-10-14,09:00,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1903459,2019-10-12,Entering an Auto,2019-10-12,16:10,"Hahn Woods, 866 Houston Mill Rd, Atlanta 30322",Emory University,NA
1903448,2019-10-11,Battery,2019-10-11,20:50,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903442,2019-10-11,Theft by Deception ($1500 or Less),2019-10-10,06:57,"Miller-Ward Alumni House, 815 Houston Mill Rd NE, Atlanta 30322",Emory University,NA
1903440,2019-10-11,Terroristic Threats,2019-10-10,17:00,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903439,2019-10-11,Entering an Auto,2019-10-10,07:15,"CRC Parking Deck, 2445 Dooley Dr, Atlanta 30322",Emory University,NA
1903438,2019-10-11,Rape,2019-04-01,00:00,"Harris Hall, 1340 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903437,2019-10-11,Rape,2019-04-01,00:00,"Fraternity House, 8 Eagle Row, Atlanta 30322",Emory University,NA
1903429,2019-10-10,"Criminal Trespass, Property Damage",2019-10-10,14:00,"Trustees Parking Lot, 200 Dowman Dr, Atlanta 30322",Emory University,NA
1903414,2019-10-09,Stalking,2019-10-09,17:39,"Clairmont URC, Bldg A, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1903398,2019-10-09,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-09,03:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903387,2019-10-08,Theft by Deception (Over $1500),2019-10-01,12:30,"1429 Willow Lake Dr, Atlanta 30329",Emory University,NA
1903386,2019-10-08,"Theft by Taking (Other, Value $1500 or Less)",2019-10-08,14:15,"Emory West Campus, 1256 Briarcliff Rd NE, Atlanta 30322",Emory University,NA
1903346,2019-10-05,"Arrest for Other Agency (Forsyth County Sheriff's Office, Obstruction of a Law Enforcement Officer)",2019-10-05,16:53,"Tin Lizzy's, 1540 Avenue Pl, Atlanta 30329",Emory University,NA
1903330,2019-10-05,Possession of Controlled Substances,2019-10-05,02:10,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903321,2019-10-04,Entering an Auto,2019-10-03,19:30,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903314,2019-10-04,Identity Fraud,2019-10-02,17:00,"Winship Cancer Clinic, 1711 Uppergate Dr NE, Atlanta 30322",Emory University,NA
1903288,2019-10-02,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-10-02,10:00,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903287,2019-10-02,Theft by Taking (Motor Vehicle - Other Vehicles),2019-10-02,17:10,"Callaway Center, 537 Kilgo Cir, Atlanta 30322",Emory University,NA
1903285,2019-10-02,Financial Transaction Card Fraud,2019-10-02,08:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903283,2019-10-02,Theft by Extortion (Value Over $1500); Impersonating an Officer,2019-10-01,09:00,"Fraternity House, 6 Eagle Row, Atlanta 30322",Emory University,NA
1903281,2019-10-02,Theft by Deception (Over $1500),2019-10-02,09:00,"Fraternity House, 20 Eagle Row, Atlanta 30322",Emory University,NA
1903279,2019-10-02,Simple Battery; Criminal Damage to Property Second Degree,2019-09-29,17:30,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903275,2019-10-02,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-10-02,13:00,"Kaldi's Coffee, The Depot; 1 Eagle Row, Atlanta 30322",Emory University,NA
1903273,2019-10-02,"Criminal Damage to Property, Second Degree",2019-10-02,09:35,"S. Kilgo Cir at Mizell Bridge, Atlanta 30322",Emory University,NA
1903272,2019-10-02,Rape; Aggravated Assault; Theft by Taking; Criminal Trespass-Property Damage,2019-10-02,08:00,"855 Emory Point Dr, Atlanta 30329",Emory University,NA
1903245,2019-10-01,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-30,21:00,"Gambrell Hall, 1301 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903238,2019-09-30,Terroristic Threats,2019-09-24,11:00,"Children's Healthcare of Atlanta-Egleston Hospital, 1405 Clifton Rd NE, Atlanta 30329",Emory University,NA
1903218,2019-09-28,Entering an Auto,2019-09-28,16:20,"Wesley Woods Towers, Parking Lot, 1825 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903192,2019-09-27,Possession of Controlled Substances,2019-09-27,08:20,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903149,2019-09-23,"Arrest for Other Agency (DeKalb County Sheriff's Office, Probation Violation)",2019-09-23,21:49,"Clifton Rd NE at Haygood Dr NE, Atlanta 30307",Emory University,NA
1903139,2019-09-23,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-09-09,09:00,"Woodruff Circle, Atlanta 30322",Emory University,NA
1903137,2019-09-23,Theft by Shoplifting ($500 or Less),2019-09-23,11:00,"Gift Shop, Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903136,2019-09-23,Aggravated Assault,2019-09-14,00:00,"Raoul Hall, 2 Eagle Row, Atlanta 30322",Emory University,NA
1903135,2019-09-23,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-09-22,23:30,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903130,2019-09-22,Entering an Auto,2019-09-22,16:30,"Hahn Woods, 866 Houston Mill Rd, Atlanta 30322",Emory University,NA
1903096,2019-09-19,"Criminal Damage to Property, Second Degree",2019-09-19,22:27,"Emory West Campus, 1256 Briarcliff Rd NE, Atlanta 30322",Emory University,NA
1903093,2019-09-19,Possession of Controlled Substances,2019-09-19,20:38,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903087,2019-09-19,Entering an Auto,2019-09-19,10:30,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903068,2019-09-18,"Criminal Trespass, Property Damage",2019-09-07,18:00,"West Parking Deck, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1903062,2019-09-18,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-09-17,00:30,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903061,2019-09-18,"Exploiting Disabled Adults, Elder Persons, or Nursing Home Residents",2019-09-16,07:00,"Wesley Woods Towers, 1825 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903059,2019-09-18,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-10,15:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903049,2019-09-17,"Criminal Trespass, Individual",2019-09-14,12:45,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1903041,2019-09-17,"Burglary, Second Degree, Forcible Entry",2019-09-11,12:00,"Emory Children's Center, 2015 Uppergate Dr, Atlanta 30322",Emory University,NA
1903027,2019-09-16,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-16,13:30,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903025,2019-09-16,Harassing Communications,2019-09-13,17:30,"Tarbutton Hall, 1555 Dickey Dr, Atlanta 30322",Emory University,NA
1903019,2019-09-15,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-15,21:30,"Candler Library, 550 Asbury Cir, Atlanta 30322",Emory University,NA
1903017,2019-09-15,Harassing Communications,2019-09-15,19:12,"Emory Rehabilitation Hospital, 1441 Clifton Rd NE, Atlanta 30322",Emory University,NA
1903009,2019-09-14,Simple Battery,2019-09-14,17:05,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1902998,2019-09-13,"Criminal Trespass, Property Damage",2019-09-13,18:00,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1902989,2019-09-13,Terroristic Threats,2019-08-29,08:28,"Grace Crum Rollins School of Public Health, 1518 Clifton Rd NE, Atlanta 30322",Emory University,NA
1902985,2019-09-13,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-06,00:00,"Claudia Nance Rollins School of Public Health, 401 Rollins Way, Atlanta 30322",Emory University,NA
1902978,2019-09-12,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-09-09,00:00,"Rollins Research Bldg, 1510 Clifton Rd, Atlanta 30322",Emory University,NA
