CFS #,Case #,Date Reported,Date Occurred,Address,Incident,Disposition
CFS15-01-17-000431,UPD-150042,1/17/15 21:59,1/17/15 21:59,45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: NEAR FIRE GATE,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-17-000434,UPD,1/17/15 22:53,,88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE Location Detail: NEAR UNIVERSITY TERRACE,DISORDERLY CONDUCT OFFENSES,
CFS15-01-18-000438,UPD-150043,1/18/15 0:20,1/18/15 0:20,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: BY PORTER HALL,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-18-000439,UPD-150044,1/18/15 0:38,1/18/15 0:38,EAST UNION STREET Common Name: PUTNAM HALL Location Detail: BETWEEN PUTNAM AND LINCOLN HALL,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-18-000440,UPD-150045,1/18/15 0:51,1/18/15 0:51,60 E.GREEN DR. Common Name: TIFFIN HALL Location Detail: EAST OF,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,CONVERSION OUPD CLOSED
CFS15-01-18-000442,UPD,1/18/15 2:00,,MILL STREET Common Name: MILL STREET Location Detail: BEHIND CHRIST THE KING CHURCH,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,
CFS15-01-18-000443,UPD-150046,1/18/15 2:02,1/18/15 2:02,UNION STREET Common Name: UNION STREET Location Detail: FRONT OF JEFFERSON HALL,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-01-18-000445,UPD,1/18/15 2:15,,VAN VORHEES & RACE Common Name: MORTON HALL,CONVERSION_TRAFFIC SIGNALING STOPS/TURNS 4511.39,
CFS15-01-18-000446,UPD,1/18/15 2:27,,UNION STREET Common Name: UNION STREET Location Detail: JEFF HILL,DISORDERLY CONDUCT OFFENSES,
CFS15-01-18-000447,UPD,1/18/15 2:30,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 232,POSSESSION OF  CONTROLLED SUBSTANCES,Gone On Arrival (GOA)/Unable to Locate (UATL)
CFS15-01-18-000448,UPD,1/18/15 2:31,,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: @ RACE,DISORDERLY CONDUCT OFFENSES,
CFS15-01-18-000449,UPD-150047,1/18/15 2:53,1/18/15 2:53,PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: FRONT ENTRANCE AREA,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-18-000450,UPD,1/18/15 2:58,,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: EAST OF,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-18-000451,UPD-150048,1/18/15 3:05,1/18/15 3:05,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: NEW PASS GATE,DRUG OFFENSES,CONVERSION OUPD CLOSED
CFS15-01-18-000459,UPD,1/18/15 11:27,,47 EAST GREEN STREET Common Name: JOHNSON HALL Location Detail: ROOM 129,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-18-000460,UPD-150049,1/18/15 13:22,1/18/15 13:22,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: NEAR RIVERPARK/SMITH HOUSE,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-18-000468,UPD,1/18/15 23:13,,MORTON HALL LOT Common Name: PARKING LOT 90,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-18-000470,UPD,1/18/15 23:53,,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @ SHAFER ST.,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-19-000471,UPD-150050,1/19/15 0:23,1/19/15 0:23,47 EAST GREEN STREET Common Name: JOHNSON HALL Location Detail: BENCH,CONVERSION_JUSTICE & PUB. ADMIN. TAMPERING WITH EVIDENCE 2921.12,CONVERSION OUPD CLOSED
CFS15-01-19-000473,UPD,1/19/15 1:28,,DAIRY LANE Common Name: DAIRY LANE Location Detail: ENT TO SUMMITT,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-01-19-000477,UPD,1/19/15 4:00,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: OUTER RING,NOISE COMPLAINT,
CFS15-01-19-000493,UPD,1/19/15 17:05,,MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50 Location Detail: RUFUS STREET,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-01-19-000499,UPD,1/19/15 19:27,,UNION STREET Common Name: UNION STREET Location Detail: WEST UNION/FACTORY,TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12,
CFS15-01-19-000501,UPD-150052,1/19/15 20:39,1/19/15 20:39,132 SOUTH GREEN DRIVE Common Name: TRUE HOUSE Location Detail: ROOM #437,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-20-000506,UPD,1/20/15 8:01,,EAST UNION STREET Common Name: SCHOONOVER CENTER,FIRE ALARM,
CFS15-01-20-000509,UPD-150053,1/20/15 9:31,1/20/15 9:31,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT LOT 134,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,CONVERSION OUPD CLOSED
CFS15-01-20-000510,UPD-150054,1/20/15 12:06,1/19/15 18:00,LOWER SEIGFRED Common Name: PARKING LOT 40,DESTRUCTION OF PROPERTY,CONVERSION OUPD CLOSED
CFS15-01-20-000512,UPD-150055,1/20/15 12:51,1/20/15 12:51,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT ATKINSON,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-20-000519,UPD,1/20/15 15:09,,48 EAST GREEN STREET Common Name: READ HALL Location Detail: HALF OF BUILDING,FIRE ALARM,
CFS15-01-20-000520,UPD-150056,1/20/15 16:23,1/20/15 16:23,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT RIVERPARK APTS,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-20-000525,UPD-150057,1/20/15 18:15,1/19/15 9:30,Common Name: GENERAL CAMPUS LOCATION,TELECOMMUNICATIONS HARASSMENT,CONVERSION OUPD CLOSED
CFS15-01-20-000530,UPD,1/20/15 21:35,,51 EAST GREEN STREET Common Name: BIDDLE Location Detail: OUTSIDE BETWEEN BRYAN,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-21-000534,UPD-150058,1/21/15 2:05,1/21/15 2:05,E.UNION ST. Common Name: MUSIC BUILDING Location Detail: UNDERNEAT BUILDING,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-21-000539,UPD,1/21/15 8:26,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT SMITH HOUSE,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-01-21-000541,UPD-150059,1/21/15 11:18,1/21/15 11:18,SOUTH GREEN DRIVE - INTRAMURAL FD. Common Name: PARKING LOT 55,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-21-000554,UPD,1/21/15 15:15,,SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL Location Detail: OUTSIDE NEAR,ANIMAL COMPLAINT,
CFS15-01-21-000561,UPD,1/21/15 19:23,,UNION STREET Common Name: UNION STREET Location Detail: AT NE CORNER OF STEWART ST,PROPERTY DAMAGE,
CFS15-01-21-000560,UPD,1/21/15 19:23,,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT MEMAUD,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-21-000564,UPD-150060,1/21/15 21:18,1/21/15 21:18,UNION STREET Common Name: UNION STREET Location Detail: AND EAST GREEN DRIVE,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",CONVERSION OUPD CLOSED
CFS15-01-22-000568,UPD-150061,1/22/15 0:32,1/22/15 0:32,,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,CONVERSION OUPD CLOSED
CFS15-01-22-000569,UPD,1/22/15 1:03,,SHAFER STREET Common Name: SHAFER STREET Location Detail: BINGHAM HOUSE,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-22-000570,UPD,1/22/15 1:28,,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: FRONT OF CONVO,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-22-000572,UPD,1/22/15 2:09,,UNION STREET Common Name: UNION STREET Location Detail: WEST UNION/ROBERTS,TRAFFIC LANES OF TRAVEL 4511.25,
CFS15-01-22-000581,UPD-150062,1/22/15 12:22,1/22/15 8:00,SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-01-22-000588,UPD,1/22/15 16:45,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT OXBOW TRAIL,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-01-22-000598,UPD,1/22/15 20:38,,UNION STREET Common Name: UNION STREET Location Detail: AT COLLEGE ST,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-22-000599,UPD,1/22/15 21:15,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT ADAMS HALL,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-22-000604,UPD,1/22/15 23:37,,136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE Location Detail: ADAMS SIDE OF THE BUILDING,DISORDERLY CONDUCT OFFENSES,
CFS15-01-23-000605,UPD,1/23/15 0:37,,Common Name: RIVERPARK TOWERS APTS. Location Detail: PARKING LOT,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,
CFS15-01-23-000606,UPD,1/23/15 1:00,,COURT STREET Common Name: COURT STREET Location Detail: S COURT STREET,TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13,
CFS15-01-23-000615,UPD-150063,1/23/15 9:02,1/23/15 8:30,SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-01-23-000617,UPD-150064,1/23/15 11:28,1/23/15 11:25,SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL,CONVERSION_PUBLIC PEACE DISTURBING LAWFUL MEETING 2917.12,CONVERSION OUPD CLOSED
CFS15-01-23-000625,UPD,1/23/15 16:11,,46 EAST GREEN STREET Common Name: JEFFERSON HALL Location Detail: ROOM 278,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,
