Report Date,Report Time,Location,Offense Description,Earliest Date,Latest Date,Status,Incident
1/9/13 14:00,1/9/13 14:00,Marion Berry,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE,1/9/13 13:00,1/9/13 13:42,Closed,13-00026
1/9/13 15:51,1/9/13 15:51,101 N Caraway Road,LOST ARTICLE/PROPERTY,1/7/13 8:00,1/9/13 14:00,Unfounded,13-00027
1/10/13 13:10,1/10/13 13:10,330 University Loop West,Fire Alarm,1/10/13 12:35,1/10/13 12:35,Closed,13-00028
1/10/13 21:35,1/10/13 21:35,330 University Loop West,Fire Alarm,1/10/13 21:35,1/10/13 21:35,Closed,13-00029
1/12/13 17:14,1/12/13 17:14,1115 University Loop East Building #4,ACCIDENT-PARKING LOT,1/12/13 15:38,1/12/13 15:38,Closed,13-00030
1/12/13 21:29,1/12/13 21:29,2407 Quapaw Way,Fire Alarm,1/12/13 21:29,1/12/13 21:29,Closed,13-00031
1/13/13 4:18,1/13/13 4:18,2509 Aggie Road,University Referral - Alcohol Violation,1/13/13 2:10,1/13/13 2:35,Closed,13-00032
1/14/13 13:46,1/14/13 13:46,Marion Berry Parkway,STOP SIGNS AND YIELD SIGNS,1/14/13 7:00,1/14/13 9:46,Closed,13-00033
1/14/13 13:46,1/14/13 13:46,Marion Berry Parkway,TERRORISTIC THREATENING - 2ND DEGREE/THREATENS PROPERTY DAMAGE,1/14/13 7:00,1/14/13 9:46,Closed,13-00033
1/14/13 13:46,1/14/13 13:46,Marion Berry Parkway,DISORDERLY CONDUCT,1/14/13 7:00,1/14/13 9:46,Closed,13-00033
1/14/13 13:46,1/14/13 13:46,Marion Berry Parkway,DWI (UNLAWFUL ACT),1/14/13 7:00,1/14/13 9:46,Closed,13-00033
1/14/13 13:46,1/14/13 13:46,Marion Berry Parkway,PNG Issued on this person for the ASU Campus,1/14/13 7:00,1/14/13 9:46,Closed,13-00033
1/15/13 4:08,1/15/13 4:08,120 Dean  ST,Sick or Injured person,1/15/13 3:37,1/15/13 3:38,Closed,13-00034
1/15/13 19:40,1/15/13 19:40,1115 University Loop East Building #4,University Referral - Drug Violation,1/15/13 19:00,1/15/13 19:15,Closed,13-00035
1/16/13 12:58,1/16/13 12:58,Driver ST,Found Article/Property,1/16/13 12:58,1/16/13 12:58,Closed,13-00036
1/16/13 13:50,1/16/13 13:50,2604 Quapaw Way,The Arkansas Clean Air on Campus Act of 2009,1/16/13 12:10,1/16/13 12:10,Closed,13-00037
1/16/13 16:15,1/16/13 16:15,101 N Caraway Road,Sick or Injured person,1/16/13 13:05,1/16/13 13:26,Closed,13-00038
1/16/13 21:05,1/16/13 21:05,2730 Iroquois ST,Accident - Hit and Run,1/16/13 21:05,1/16/13 21:05,Closed,13-00039
1/17/13 2:03,1/17/13 2:03,Eldridge / Marion Berry Pkwy,POSSESSION OF DRUG PARAPHERNALIA - MISDEMEANOR,1/17/13 1:00,1/17/13 1:45,Closed,13-00040
1/17/13 2:03,1/17/13 2:03,Eldridge / Marion Berry Pkwy,University Referral - Drug Violation,1/17/13 1:00,1/17/13 1:45,Closed,13-00040
1/17/13 9:42,1/17/13 9:42,119 Dean ST,Fire Alarm,1/17/13 9:22,1/17/13 9:35,Closed,13-00041
1/17/13 11:29,1/17/13 11:29,125 Dean  ST,"THEFT $1,000 OR LESS - FROM BUILDING",1/16/13 21:40,1/17/13 22:00,Unfounded,13-00042
1/17/13 14:01,1/17/13 14:01,101 N Caraway Road,CRIMINAL TRESPASS IN OR ON A VEHICLE OR STRUCTURE / PREMISES,1/17/13 12:46,1/17/13 13:53,Closed,13-00043
1/18/13 2:43,1/18/13 2:43,113 Dean ST,The Arkansas Clean Air on Campus Act of 2009,1/18/13 1:43,1/18/13 1:43,Closed,13-00044
1/18/13 2:56,1/18/13 2:56,904 University Loop East,University Referral - Alcohol Violation,1/18/13 2:20,1/18/13 2:20,Closed,13-00045
1/18/13 3:35,1/18/13 3:35,2509 Aggie Road,University Referral - Alcohol Violation,1/18/13 1:45,1/18/13 2:35,Closed,13-00046
1/18/13 8:14,1/18/13 8:14,2407 Quapaw Way,Found Article/Property,1/17/13 11:50,1/17/13 12:00,Closed,13-00047
1/18/13 9:19,1/18/13 9:19,330 University Loop West,"THEFT $1,000 OR LESS - PURSE SNATCHING",1/16/13 15:00,1/16/13 16:45,Closed,13-00048
1/18/13 13:47,1/18/13 13:47,101 N Caraway RD,Burglary Alarm,1/18/13 7:18,1/18/13 7:24,Closed,13-00049
1/18/13 23:20,1/18/13 23:20,1002 University Loop East,University Referral - Alcohol Violation,1/18/13 23:20,1/18/13 23:20,Closed,13-00059
1/19/13 0:04,1/19/13 0:04,904 University Loop East,University Referral - Alcohol Violation,1/19/13 0:04,1/19/13 0:04,Closed,13-00060
1/19/13 3:30,1/19/13 3:30,500 N Caraway RD #5,Sick or Injured person,1/19/13 1:00,1/19/13 1:00,Closed,13-00050
1/19/13 4:24,1/19/13 4:24,2509 Aggie Road,RAPE / SEXUAL INTERCOURSE / FORCIBLE COMPLUSION,1/19/13 3:00,1/19/13 3:33,Unfounded,13-00051
1/19/13 5:56,1/19/13 5:56,333 Stadium BLVD,Burglary Alarm,1/19/13 5:48,1/19/13 5:48,Closed,13-00052
1/20/13 2:38,1/20/13 2:38,2206 E Johnson AVE,DWI (UNLAWFUL ACT),1/20/13 2:21,1/20/13 2:21,Closed,13-00053
1/20/13 2:38,1/20/13 2:38,2206 E Johnson AVE,University Referral - Alcohol Violation,1/20/13 2:21,1/20/13 2:21,Closed,13-00053
1/20/13 5:00,1/20/13 5:00,2405 Aggie Way,Fire Alarm,1/20/13 0:37,1/20/13 5:00,Closed,13-00054
1/20/13 5:13,1/20/13 5:13,2509 Aggie Road,University Referral - Residence Hall Violation,1/20/13 5:13,1/20/13 5:13,Closed,13-00055
1/20/13 21:57,1/20/13 21:57,2505 Aggie Road,Found Article/Property,12/14/12 6:00,1/20/13 21:45,Closed,13-00056
1/21/13 4:09,1/21/13 4:09,2509 Aggie Road,University Referral - Residence Hall Violation,1/21/13 2:00,1/21/13 4:09,Closed,13-00057
1/21/13 4:47,1/21/13 4:47,2509 Aggie Road,University Referral - Residence Hall Violation,1/21/13 2:30,1/21/13 2:39,Closed,13-00058
1/21/13 10:24,1/21/13 10:24,1006 University Loop East,Found Article/Property,1/21/13 10:24,1/21/13 10:24,Closed,13-00061
1/21/13 20:42,1/21/13 20:42,2301 U ST,Accident - Hit and Run,1/19/13 14:30,1/19/13 21:00,Closed,13-00062
1/22/13 7:52,1/22/13 7:52,101 N Caraway Road,Burglary Alarm,1/22/13 7:44,1/22/13 7:52,Closed,13-00063
1/22/13 16:54,1/22/13 16:54,1115 University Loop East Building #3,Accident - Hit and Run,1/22/13 16:54,1/22/13 16:54,Closed,13-00064
1/22/13 18:31,1/22/13 18:31,125 Dean  ST,University Referral - Theft,1/22/13 18:00,1/22/13 18:31,Closed,13-00065
1/23/13 0:02,1/23/13 0:02,101 N Caraway Road,Damaged Property not criminal in nature,1/22/13 20:45,1/22/13 20:45,Closed,13-00066
1/23/13 6:22,1/23/13 6:22,2509 Aggie Road,Fire Alarm,1/23/13 5:48,1/23/13 5:48,Closed,13-00067
1/23/13 12:32,1/23/13 12:32,1115 University Loop East Building #5,University Referral - Fail To Comply,1/21/13 14:15,1/23/13 14:44,Closed,13-00068
1/23/13 16:59,1/23/13 16:59,106 N Caraway Road,"THEFT $1,000 OR LESS - FROM BUILDING",1/23/13 11:50,1/23/13 14:00,Closed,13-00069
1/23/13 16:59,1/23/13 16:59,106 N Caraway Road,THEFT OF PROPERTY CREDIT/DEBIT CARDS,1/23/13 11:50,1/23/13 14:00,Closed,13-00069
1/23/13 18:09,1/23/13 18:09,1115 University Loop East Building #1,LOST ARTICLE/PROPERTY,1/23/13 18:09,1/23/13 18:09,Closed,13-00070
1/23/13 18:25,1/23/13 18:25,322 University Loop West CRC,Fire Alarm,1/23/13 18:25,1/23/13 18:25,Closed,13-00071
1/23/13 18:29,1/23/13 18:29,2505 Aggie Road,DISORDERLY CONDUCT / UNREASONABLE OR EXCESSIVE BEHAVIOR,1/23/13 18:29,1/23/13 18:29,Closed,13-00072
1/24/13 16:24,1/24/13 16:24,University Loop,University Referral - Disorderly Conduct,1/24/13 16:00,1/24/13 16:10,Closed,13-00073
1/25/13 0:17,1/25/13 0:17,Danner Ave.,Vehicle Tow,1/24/13 23:54,1/25/13 0:31,Closed,13-00074
1/25/13 1:35,1/25/13 1:35,1002 University Loop East,University Referral - Excessive Noise,1/25/13 0:38,1/25/13 0:38,Closed,13-00075
1/25/13 1:35,1/25/13 1:35,1002 University Loop East,University Referral -,1/25/13 0:38,1/25/13 0:38,Closed,13-00075
1/25/13 2:04,1/25/13 2:04,1006 University Loop East,University Referral -,1/25/13 1:05,1/25/13 1:05,Closed,13-00076
1/25/13 2:04,1/25/13 2:04,1006 University Loop East,University Referral - Excessive Noise,1/25/13 1:05,1/25/13 1:05,Closed,13-00076
1/25/13 4:29,1/25/13 4:29,2509 Aggie Road,University Referral - Alcohol Violation,1/25/13 2:30,1/25/13 2:30,Closed,13-00077
1/25/13 4:41,1/25/13 4:41,2509 Aggie Road,University Referral - Alcohol Violation,1/25/13 2:40,1/25/13 2:40,Closed,13-00078
1/25/13 4:41,1/25/13 4:41,2509 Aggie Road,University Referral - Residence Hall Violation,1/25/13 2:40,1/25/13 2:40,Closed,13-00078
1/25/13 5:01,1/25/13 5:01,1006 University Loop East,University Referral - Alcohol Violation,1/25/13 1:00,1/25/13 5:01,Closed,13-00079
1/25/13 15:16,1/25/13 15:16,119 Dean ST,University Referral - Alcohol Violation,1/24/13 22:00,1/24/13 22:16,Closed,13-00080
1/25/13 21:03,1/25/13 21:03,2412 Quapaw Way Road,ACCIDENT-PARKING LOT,1/25/13 21:03,1/25/13 21:03,Closed,13-00081
1/25/13 21:28,1/25/13 21:28,2604 Quapaw Way,"THEFT $1,000 OR LESS - ALL OTHERS",1/25/13 21:28,1/25/13 21:28,Closed,13-00082
1/26/13 0:45,1/26/13 0:45,N. Caraway Rd. near Collegiate Park entrance,PUBLIC INTOXICATION - DRINKING IN PUBLIC,1/26/13 0:35,1/26/13 0:35,Closed,13-00083
1/26/13 0:45,1/26/13 0:45,N. Caraway Rd. near Collegiate Park entrance,University Referral - Alcohol Violation,1/26/13 0:35,1/26/13 0:35,Closed,13-00083
1/26/13 22:17,1/26/13 22:17,2509 Aggie Road,University Referral - Residence Hall Violation,1/26/13 21:17,1/26/13 21:18,Closed,13-00084
1/26/13 22:36,1/26/13 22:36,2509 Aggie Road,University Referral - Residence Hall Violation,1/26/13 22:36,1/26/13 22:36,Closed,13-00085
1/27/13 3:25,1/27/13 3:25,1115 University Loop,DWI (UNLAWFUL ACT),1/27/13 3:00,1/27/13 3:00,Closed,13-00086
1/27/13 3:25,1/27/13 3:25,1115 University Loop,CARELESS AND PROHIBITED DRIVING,1/27/13 3:00,1/27/13 3:00,Closed,13-00086
1/27/13 3:25,1/27/13 3:25,1115 University Loop,University Referral - Alcohol Violation,1/27/13 3:00,1/27/13 3:00,Closed,13-00086
1/27/13 3:25,1/27/13 3:25,1115 University Loop,REFUSAL TO SUBMIT,1/27/13 3:00,1/27/13 3:00,Closed,13-00086
1/27/13 18:59,1/27/13 18:59,2611 Cherokee ST,University Referral - Excessive Noise,1/27/13 18:40,1/27/13 18:59,Closed,13-00087
1/27/13 19:26,1/27/13 19:26,1115 University Loop East Building #2,"CRIMINAL MISCHIEF - 1ST DEGREE / PROPERTY OF ANOTHER W/VALUE OF $1,000 OR LESS",1/24/13 14:00,1/27/13 17:00,Closed,13-00088
1/28/13 11:44,1/28/13 11:44,114 Cooley  DR,Found Article/Property,1/28/13 10:00,1/28/13 10:05,Closed,13-00089
1/28/13 15:00,1/28/13 15:00,2604 Quapaw Way,The Arkansas Clean Air on Campus Act of 2009,1/28/13 15:00,1/28/13 15:00,Closed,13-00093
1/28/13 22:11,1/28/13 22:11,503 S Robinson ST,Found Article/Property,1/24/13 6:30,1/24/13 14:30,Closed,13-00090
1/29/13 8:02,1/29/13 8:02,113 Dean ST,Found Article/Property,1/29/13 7:50,1/29/13 8:03,Closed,13-00091
1/29/13 8:29,1/29/13 8:29,2301 U ST,Found Article/Property,1/29/13 7:45,1/29/13 7:55,Closed,13-00092
1/29/13 11:36,1/29/13 11:36,Aggie Road,Found Article/Property,1/29/13 11:15,1/29/13 11:20,Closed,13-00094
1/29/13 13:16,1/29/13 13:16,111 N Caraway Road,ACCIDENT-PARKING LOT,1/29/13 12:36,1/29/13 13:11,Closed,13-00095
1/30/13 8:39,1/30/13 8:39,,,1/30/13 8:39,1/30/13 8:39,Closed,13-00096
1/30/13 9:51,1/30/13 9:51,113 Dean ST,ACCIDENT-PARKING LOT,1/29/13 10:20,1/29/13 10:30,Closed,13-00097
1/30/13 14:48,1/30/13 14:48,113 Dean ST,Accident - Hit and Run,1/29/13 17:30,1/30/13 14:10,Closed,13-00098
1/30/13 20:18,1/30/13 20:18,2509 Aggie Road,University Referral - Residence Hall Violation,1/30/13 20:03,1/30/13 20:03,Closed,13-00099
1/31/13 3:30,1/31/13 3:30,500 N Caraway RD,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE,1/31/13 2:20,1/31/13 3:30,Closed,13-00101
1/31/13 12:51,1/31/13 12:51,315 University Loop West CRC,LOST ARTICLE/PROPERTY,1/31/13 9:00,1/31/13 12:51,Closed,13-00102
1/31/13 18:12,1/31/13 18:12,114 Cooley  DR,PNG Issued on this person for the ASU Campus,1/31/13 15:17,1/31/13 15:25,Closed,13-00103
1/31/13 18:12,1/31/13 18:12,114 Cooley  DR,OUT OF TOWN WARRANT/ASSIST,1/31/13 15:17,1/31/13 15:25,Closed,13-00103
1/31/13 22:04,1/31/13 22:04,Grassy area West of U Loop / East of N-5E,Found Article/Property,1/31/13 21:15,1/31/13 21:15,Closed,13-00104
2/1/13 1:21,2/1/13 1:21,121 N Caraway Road,University Referral - Alcohol Violation,2/1/13 1:21,2/1/13 1:21,Closed,13-00116
2/1/13 1:21,2/1/13 1:21,121 N Caraway Road,University Referral - Residence Hall Violation,2/1/13 1:21,2/1/13 1:21,Closed,13-00116
2/1/13 1:21,2/1/13 1:21,121 N Caraway Road,University Referral -,2/1/13 1:21,2/1/13 1:21,Closed,13-00116
2/1/13 7:23,2/1/13 7:23,333  Stadium BLVD A,Burglary Alarm,2/1/13 6:48,2/1/13 6:49,Closed,13-00105
2/1/13 10:02,2/1/13 10:02,306 Marion Berry Parkway,LOST ARTICLE/PROPERTY,1/30/13 10:02,2/1/13 10:02,Closed,13-00106
2/1/13 12:55,2/1/13 12:55,322 University Loop West CRC,Found Article/Property,2/1/13 12:55,2/1/13 12:55,Closed,13-00107
2/1/13 16:34,2/1/13 16:34,101 N Caraway Road,"THEFT $1,000 OR LESS - ALL OTHERS",2/1/13 16:34,2/1/13 16:34,Closed,13-00108
2/2/13 2:58,2/2/13 2:58,101 N Caraway Road,Sick or Injured person,2/1/13 22:00,2/1/13 22:27,Closed,13-00109
2/2/13 3:26,2/2/13 3:26,2505 Aggie Road,Found Article/Property,2/2/13 3:26,2/2/13 3:26,Closed,13-00111
2/2/13 4:31,2/2/13 4:31,125 Dean  ST,DISORDERLY CONDUCT,2/1/13 22:20,2/1/13 23:00,Closed,13-00110
2/2/13 4:31,2/2/13 4:31,125 Dean  ST,University Referral - Disorderly Conduct,2/1/13 22:20,2/1/13 23:00,Closed,13-00110
2/2/13 4:31,2/2/13 4:31,125 Dean  ST,PUBLIC INTOXICATION - DRINKING IN PUBLIC,2/1/13 22:20,2/1/13 23:00,Closed,13-00110
2/2/13 4:31,2/2/13 4:31,125 Dean  ST,University Referral - Alcohol Violation,2/1/13 22:20,2/1/13 23:00,Closed,13-00110
2/2/13 9:05,2/2/13 9:05,2515 Danner Building 1 ST,University Referral - Disorderly Conduct,2/1/13 12:20,2/1/13 12:35,Closed,13-00112
2/2/13 12:24,2/2/13 12:24,1006 University Loop East,University Referral - Fail To Comply,2/1/13 22:00,2/2/13 8:44,Closed,13-00113
2/2/13 14:25,2/2/13 14:25,1115 University Loop East Building #3,LOST ARTICLE/PROPERTY,2/1/13 20:00,2/2/13 6:00,Closed,13-00114
2/3/13 2:11,2/3/13 2:11,201 Olympic  DR,University Referral - Alcohol Violation,2/3/13 1:45,2/3/13 2:00,Closed,13-00115
2/3/13 4:07,2/3/13 4:07,Parking Lot Ne-8 / University Loop,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR",2/3/13 1:39,2/3/13 1:39,Closed,13-00117
2/3/13 4:07,2/3/13 4:07,Parking Lot Ne-8 / University Loop,University Referral - Alcohol Violation,2/3/13 1:39,2/3/13 1:39,Closed,13-00117
2/3/13 15:47,2/3/13 15:47,2319 U  ST,Accident - Hit and Run,2/2/13 14:00,2/3/13 14:00,Closed,13-00118
2/3/13 22:54,2/3/13 22:54,2509 Aggie  Road,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS,2/3/13 21:45,2/3/13 22:45,Closed,13-00119
2/4/13 1:47,2/4/13 1:47,2509 Aggie Road,University Referral - Residence Hall Violation,2/3/13 23:30,2/3/13 23:30,Closed,13-00120
2/4/13 9:14,2/4/13 9:14,111 N Caraway Road,Accident - Hit and Run,2/4/13 7:45,2/4/13 9:00,Closed,13-00121
2/4/13 12:29,2/4/13 12:29,101 N Caraway Road,Found Article/Property,2/4/13 9:30,2/4/13 9:30,Closed,13-00122
2/4/13 21:29,2/4/13 21:29,2505 Aggie Road,Sick or Injured person,2/4/13 20:55,2/4/13 20:55,Closed,13-00123
2/4/13 22:09,2/4/13 22:09,2509 Aggie Road 125,Fire Alarm,2/4/13 21:42,2/4/13 21:42,Closed,13-00124
2/6/13 0:39,2/6/13 0:39,1007 University Loop East,"THEFT $1,000 OR LESS - ALL OTHERS",2/5/13 20:00,2/6/13 0:05,Closed,13-00125
2/6/13 13:16,2/6/13 13:16,,OUT OF TOWN WARRANT/ASSIST,2/6/13 11:00,2/6/13 11:05,Closed,13-00126
2/6/13 13:16,2/6/13 13:16,,OBSTRUCTING GOVERNMENTAL OPERATIONS / REFUSES TO PROVIDE INFORMATION FOR A,2/6/13 11:00,2/6/13 11:05,Closed,13-00126
2/6/13 13:16,2/6/13 13:16,,PNG Issued on this person for the ASU Campus,2/6/13 11:00,2/6/13 11:05,Closed,13-00126
2/6/13 14:18,2/6/13 14:18,104 N Caraway Road,LOST ARTICLE/PROPERTY,2/6/13 14:18,2/6/13 14:18,Closed,13-00127
2/6/13 20:19,2/6/13 20:19,2108 Aggie  Road,LOST ARTICLE/PROPERTY,2/6/13 20:19,2/6/13 20:19,Closed,13-00128
2/6/13 21:11,2/6/13 21:11,114 Cooley  DR,ACCIDENT-PARKING LOT,2/6/13 14:15,2/6/13 14:15,Closed,13-00129
2/7/13 4:38,2/7/13 4:38,320 University Loop West CRC,Burglary Alarm,2/7/13 3:08,2/7/13 3:08,Closed,13-00130
2/7/13 10:34,2/7/13 10:34,2412 Quapaw Way Road,LOST ARTICLE/PROPERTY,2/6/13 13:00,2/7/13 10:34,Closed,13-00131
2/7/13 13:25,2/7/13 13:25,101 N Caraway Road,Found Article/Property,2/7/13 13:25,2/7/13 14:25,Closed,13-00132
2/7/13 15:04,2/7/13 15:04,Aggie / Stadium,Abandoned Vehicle,2/7/13 14:40,2/7/13 15:15,Closed,13-00133
2/7/13 15:04,2/7/13 15:04,Aggie / Stadium,Vehicle Tow,2/7/13 14:40,2/7/13 15:15,Closed,13-00133
2/7/13 15:52,2/7/13 15:52,111 N Caraway Road,Found Article/Property,2/7/13 15:52,2/7/13 15:52,Closed,13-00134
2/7/13 22:08,2/7/13 22:08,2509 Aggie Road 307,University Referral - Residence Hall Violation,2/7/13 21:54,2/7/13 21:55,Closed,13-00135
2/8/13 1:35,2/8/13 1:35,113 Dean ST,AGGRAVATED ASSAULT,2/8/13 1:06,2/8/13 1:13,Closed,13-00136
2/8/13 1:35,2/8/13 1:35,113 Dean ST,TERRORISTIC THREATENING - 1ST DEGREE / THREATENS PROPERTY DAMAGE,2/8/13 1:06,2/8/13 1:13,Closed,13-00136
2/8/13 1:35,2/8/13 1:35,113 Dean ST,PNG Issued on this person for the ASU Campus,2/8/13 1:06,2/8/13 1:13,Closed,13-00136
2/8/13 2:24,2/8/13 2:24,121 N Caraway Road,University Referral - Drug Violation,2/7/13 22:45,2/8/13 0:10,Closed,13-00137
2/8/13 2:24,2/8/13 2:24,121 N Caraway Road,OUT OF TOWN WARRANT/ASSIST,2/7/13 22:45,2/8/13 0:10,Closed,13-00137
2/8/13 2:24,2/8/13 2:24,904 University Loop,DWI (UNLAWFUL ACT),2/8/13 0:30,2/8/13 0:30,Closed,13-00138
2/8/13 2:24,2/8/13 2:24,904 University Loop,University Referral - Alcohol Violation,2/8/13 0:30,2/8/13 0:30,Closed,13-00138
2/8/13 2:36,2/8/13 2:36,2730 Iroquois ST,COMMUNICATING A FALSE ALARM / CAUSE EVACUATION,2/8/13 2:01,2/8/13 2:01,Closed,13-00139
2/8/13 2:36,2/8/13 2:36,2730 Iroquois ST,Fire Alarm,2/8/13 2:01,2/8/13 2:01,Closed,13-00139
2/8/13 3:34,2/8/13 3:34,2509 Aggie Road,Fire Alarm,2/8/13 3:20,2/8/13 3:20,Closed,13-00140
2/8/13 3:34,2/8/13 3:34,2509 Aggie Road,COMMUNICATING A FALSE ALARM / CAUSE EVACUATION,2/8/13 3:20,2/8/13 3:20,Closed,13-00140
2/8/13 9:57,2/8/13 9:57,UNKNOWN,Financial Identity Fraud-Non Financial Identity Fraud,2/13/13 13:00,2/13/13 13:00,Closed,13-00142
2/8/13 12:50,2/8/13 12:50,2713 Pawnee ST A,ACCIDENT-PARKING LOT,2/8/13 12:12,2/8/13 12:50,Closed,13-00143
2/8/13 21:23,2/8/13 21:23,2509 Aggie Road 216,University Referral - Disorderly Conduct,2/8/13 21:23,2/8/13 21:23,Closed,13-00144
2/8/13 21:23,2/8/13 21:23,2509 Aggie Road 216,University Referral - Residence Hall Violation,2/8/13 21:23,2/8/13 21:23,Closed,13-00144
2/9/13 2:08,2/9/13 2:08,904 University Loop East,University Referral - Disorderly Conduct,2/9/13 0:23,2/9/13 0:23,Closed,13-00145
2/9/13 2:21,2/9/13 2:21,1115 University Loop,University Referral - Drug Violation,2/9/13 1:19,2/9/13 1:19,Closed,13-00146
2/9/13 2:21,2/9/13 2:21,1115 University Loop,The Arkansas Clean Air on Campus Act of 2009,2/9/13 1:19,2/9/13 1:19,Closed,13-00146
2/9/13 3:42,2/9/13 3:42,1115 University Loop 1,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR",2/9/13 3:10,2/9/13 4:00,Closed,13-00147
2/9/13 4:17,2/9/13 4:17,1115 University Loop ST,The Arkansas Clean Air on Campus Act of 2009,2/9/13 3:15,2/9/13 3:10,Closed,13-00148
2/10/13 1:29,2/10/13 1:29,Caraway Road / Matthews,DWI - DRUGS (UNLAWFUL ACT),2/9/13 23:15,2/9/13 23:20,Closed,13-00150
2/10/13 5:58,2/10/13 5:58,1115 University Loop 1,University Referral - Residence Hall Violation,2/10/13 5:15,2/10/13 5:25,Closed,13-00151
2/10/13 11:16,2/10/13 11:16,330 University Loop West,Fire Alarm,2/10/13 9:03,2/10/13 9:33,Closed,13-00152
2/10/13 11:16,2/10/13 11:16,330 University Loop West,COMMUNICATING A FALSE ALARM / CAUSE EVACUATION,2/10/13 9:03,2/10/13 9:33,Closed,13-00152
