date_reported,time_reported,location,date_occurred,time_occurred,case_number,university,incident
2013-01-17,11:29,125 Dean  ST,2013-01-16,21:40,13-00042,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2013-01-17,14:01,101 N Caraway Road,2013-01-17,12:46,13-00043,Arkansas State University-Main Campus,CRIMINAL TRESPASS IN OR ON A VEHICLE OR STRUCTURE / PREMISES
2013-01-18,02:43,113 Dean ST,2013-01-18,01:43,13-00044,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-01-18,02:56,904 University Loop East,2013-01-18,02:20,13-00045,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-18,03:35,2509 Aggie Road,2013-01-18,01:45,13-00046,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-18,08:14,2407 Quapaw Way,2013-01-17,11:50,13-00047,Arkansas State University-Main Campus,Found Article/Property
2013-01-18,09:19,330 University Loop West,2013-01-16,15:00,13-00048,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - PURSE SNATCHING"
2013-01-18,13:47,101 N Caraway RD,2013-01-18,07:18,13-00049,Arkansas State University-Main Campus,Burglary Alarm
2013-01-18,23:20,1002 University Loop East,2013-01-18,23:20,13-00059,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-19,00:04,904 University Loop East,2013-01-19,00:04,13-00060,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-19,03:30,500 N Caraway RD #5,2013-01-19,01:00,13-00050,Arkansas State University-Main Campus,Sick or Injured person
2013-01-19,04:24,2509 Aggie Road,2013-01-19,03:00,13-00051,Arkansas State University-Main Campus,RAPE / SEXUAL INTERCOURSE / FORCIBLE COMPLUSION
2013-01-19,05:56,333 Stadium BLVD,2013-01-19,05:48,13-00052,Arkansas State University-Main Campus,Burglary Alarm
2013-01-20,02:38,2206 E Johnson AVE,2013-01-20,02:21,13-00053,Arkansas State University-Main Campus,DWI (UNLAWFUL ACT) University Referral - Alcohol Violation
2013-01-20,05:00,2405 Aggie Way,2013-01-20,00:37,13-00054,Arkansas State University-Main Campus,Fire Alarm
2013-01-20,05:13,2509 Aggie Road,2013-01-20,05:13,13-00055,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-20,21:57,2505 Aggie Road,2012-12-14,06:00,13-00056,Arkansas State University-Main Campus,Found Article/Property
2013-01-21,04:09,2509 Aggie Road,2013-01-21,02:00,13-00057,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-21,04:47,2509 Aggie Road,2013-01-21,02:30,13-00058,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-21,10:24,1006 University Loop East,2013-01-21,10:24,13-00061,Arkansas State University-Main Campus,Found Article/Property
2013-01-21,20:42,2301 U ST,2013-01-19,14:30,13-00062,Arkansas State University-Main Campus,Accident - Hit and Run
2013-01-22,07:52,101 N Caraway Road,2013-01-22,07:44,13-00063,Arkansas State University-Main Campus,Burglary Alarm
2013-01-22,16:54,1115 University Loop East Building #3,2013-01-22,16:54,13-00064,Arkansas State University-Main Campus,Accident - Hit and Run
2013-01-22,18:31,125 Dean  ST,2013-01-22,18:00,13-00065,Arkansas State University-Main Campus,University Referral - Theft
2013-01-23,00:02,101 N Caraway Road,2013-01-22,20:45,13-00066,Arkansas State University-Main Campus,Damaged Property not criminal in nature
2013-01-23,06:22,2509 Aggie Road,2013-01-23,05:48,13-00067,Arkansas State University-Main Campus,Fire Alarm
2013-01-23,12:32,1115 University Loop East Building #5,2013-01-21,14:15,13-00068,Arkansas State University-Main Campus,University Referral - Fail To Comply
2013-01-23,16:59,106 N Caraway Road,2013-01-23,11:50,13-00069,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING THEFT OF PROPERTY CREDIT/DEBIT CARDS"
2013-01-23,18:09,1115 University Loop East Building #1,2013-01-23,18:09,13-00070,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-01-23,18:25,322 University Loop West CRC,2013-01-23,18:25,13-00071,Arkansas State University-Main Campus,Fire Alarm
2013-01-23,18:29,2505 Aggie Road,2013-01-23,18:29,13-00072,Arkansas State University-Main Campus,DISORDERLY CONDUCT / UNREASONABLE OR EXCESSIVE BEHAVIOR
2013-01-24,16:24,University Loop,2013-01-24,16:00,13-00073,Arkansas State University-Main Campus,University Referral - Disorderly Conduct
2013-01-25,00:17,Danner Ave.,2013-01-24,23:54,13-00074,Arkansas State University-Main Campus,Vehicle Tow
2013-01-25,01:35,1002 University Loop East,2013-01-25,00:38,13-00075,Arkansas State University-Main Campus,University Referral - Excessive Noise University Referral -
2013-01-25,02:04,1006 University Loop East,2013-01-25,01:05,13-00076,Arkansas State University-Main Campus,University Referral - University Referral - Excessive Noise
2013-01-25,04:29,2509 Aggie Road,2013-01-25,02:30,13-00077,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-25,04:41,2509 Aggie Road,2013-01-25,02:40,13-00078,Arkansas State University-Main Campus,University Referral - Alcohol Violation University Referral - Residence Hall Violation
2013-01-25,05:01,1006 University Loop East,2013-01-25,01:00,13-00079,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-25,15:16,119 Dean ST,2013-01-24,22:00,13-00080,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-25,21:03,2412 Quapaw Way Road,2013-01-25,21:03,13-00081,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-01-25,21:28,2604 Quapaw Way,2013-01-25,21:28,13-00082,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2013-01-26,00:45,N. Caraway Rd. near Collegiate Park entrance,2013-01-26,00:35,13-00083,Arkansas State University-Main Campus,PUBLIC INTOXICATION - DRINKING IN PUBLIC University Referral - Alcohol Violation
2013-01-26,22:17,2509 Aggie Road,2013-01-26,21:17,13-00084,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-26,22:36,2509 Aggie Road,2013-01-26,22:36,13-00085,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-27,03:25,1115 University Loop,2013-01-27,03:00,13-00086,Arkansas State University-Main Campus,DWI (UNLAWFUL ACT) CARELESS AND PROHIBITED DRIVING University Referral - Alcohol Violation REFUSAL TO SUBMIT
2013-01-27,18:59,2611 Cherokee ST,2013-01-27,18:40,13-00087,Arkansas State University-Main Campus,University Referral - Excessive Noise
2013-01-27,19:26,1115 University Loop East Building #2,2013-01-24,14:00,13-00088,Arkansas State University-Main Campus,"CRIMINAL MISCHIEF - 1ST DEGREE / PROPERTY OF ANOTHER W/VALUE OF $1,000 OR LESS"
2013-01-28,11:44,114 Cooley  DR,2013-01-28,10:00,13-00089,Arkansas State University-Main Campus,Found Article/Property
2013-01-28,15:00,2604 Quapaw Way,2013-01-28,15:00,13-00093,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-01-28,22:11,503 S Robinson ST,2013-01-24,06:30,13-00090,Arkansas State University-Main Campus,Found Article/Property
2013-01-29,08:02,113 Dean ST,2013-01-29,07:50,13-00091,Arkansas State University-Main Campus,Found Article/Property
2013-01-29,08:29,2301 U ST,2013-01-29,07:45,13-00092,Arkansas State University-Main Campus,Found Article/Property
2013-01-29,11:36,Aggie Road,2013-01-29,11:15,13-00094,Arkansas State University-Main Campus,Found Article/Property
2013-01-29,13:16,111 N Caraway Road,2013-01-29,12:36,13-00095,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-01-30,08:39,NA,2013-01-30,08:39,13-00096,Arkansas State University-Main Campus,"NA"
2013-01-30,09:51,113 Dean ST,2013-01-29,10:20,13-00097,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-01-30,14:48,113 Dean ST,2013-01-29,17:30,13-00098,Arkansas State University-Main Campus,Accident - Hit and Run
2013-01-30,20:18,2509 Aggie Road,2013-01-30,20:03,13-00099,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-01-31,03:30,500 N Caraway RD,2013-01-31,02:20,13-00101,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2013-01-31,12:51,315 University Loop West CRC,2013-01-31,09:00,13-00102,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-01-31,18:12,114 Cooley  DR,2013-01-31,15:17,13-00103,Arkansas State University-Main Campus,PNG Issued on this person for the ASU Campus OUT OF TOWN WARRANT/ASSIST
2013-01-31,22:04,Grassy area West of U Loop / East of N-5E,2013-01-31,21:15,13-00104,Arkansas State University-Main Campus,Found Article/Property
2013-02-01,01:21,121 N Caraway Road,2013-02-01,01:21,13-00116,Arkansas State University-Main Campus,University Referral - Alcohol Violation University Referral - Residence Hall Violation University Referral -
2013-02-01,07:23,333  Stadium BLVD A,2013-02-01,06:48,13-00105,Arkansas State University-Main Campus,Burglary Alarm
2013-02-01,10:02,306 Marion Berry Parkway,2013-01-30,10:02,13-00106,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-01,12:55,322 University Loop West CRC,2013-02-01,12:55,13-00107,Arkansas State University-Main Campus,Found Article/Property
2013-02-01,16:34,101 N Caraway Road,2013-02-01,16:34,13-00108,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2013-02-02,02:58,101 N Caraway Road,2013-02-01,22:00,13-00109,Arkansas State University-Main Campus,Sick or Injured person
2013-02-02,03:26,2505 Aggie Road,2013-02-02,03:26,13-00111,Arkansas State University-Main Campus,Found Article/Property
2013-02-02,04:31,125 Dean  ST,2013-02-01,22:20,13-00110,Arkansas State University-Main Campus,DISORDERLY CONDUCT University Referral - Disorderly Conduct PUBLIC INTOXICATION - DRINKING IN PUBLIC University Referral - Alcohol Violation
2013-02-02,09:05,2515 Danner Building 1 ST,2013-02-01,12:20,13-00112,Arkansas State University-Main Campus,University Referral - Disorderly Conduct
2013-02-02,12:24,1006 University Loop East,2013-02-01,22:00,13-00113,Arkansas State University-Main Campus,University Referral - Fail To Comply
2013-02-02,14:25,1115 University Loop East Building #3,2013-02-01,20:00,13-00114,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-03,02:11,201 Olympic  DR,2013-02-03,01:45,13-00115,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-02-03,04:07,Parking Lot Ne-8 / University Loop,2013-02-03,01:39,13-00117,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR University Referral - Alcohol Violation"
2013-02-03,15:47,2319 U  ST,2013-02-02,14:00,13-00118,Arkansas State University-Main Campus,Accident - Hit and Run
2013-02-03,22:54,2509 Aggie  Road,2013-02-03,21:45,13-00119,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS
2013-02-04,01:47,2509 Aggie Road,2013-02-03,23:30,13-00120,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-04,09:14,111 N Caraway Road,2013-02-04,07:45,13-00121,Arkansas State University-Main Campus,Accident - Hit and Run
2013-02-04,12:29,101 N Caraway Road,2013-02-04,09:30,13-00122,Arkansas State University-Main Campus,Found Article/Property
2013-02-04,21:29,2505 Aggie Road,2013-02-04,20:55,13-00123,Arkansas State University-Main Campus,Sick or Injured person
2013-02-04,22:09,2509 Aggie Road 125,2013-02-04,21:42,13-00124,Arkansas State University-Main Campus,Fire Alarm
2013-02-06,00:39,1007 University Loop East,2013-02-05,20:00,13-00125,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2013-02-06,13:16,NA,2013-02-06,11:00,13-00126,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST OBSTRUCTING GOVERNMENTAL OPERATIONS / REFUSES TO PROVIDE INFORMATION FOR A PNG Issued on this person for the ASU Campus
2013-02-06,14:18,104 N Caraway Road,2013-02-06,14:18,13-00127,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-06,20:19,2108 Aggie  Road,2013-02-06,20:19,13-00128,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-06,21:11,114 Cooley  DR,2013-02-06,14:15,13-00129,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-02-07,04:38,320 University Loop West CRC,2013-02-07,03:08,13-00130,Arkansas State University-Main Campus,Burglary Alarm
2013-02-07,10:34,2412 Quapaw Way Road,2013-02-06,13:00,13-00131,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-07,13:25,101 N Caraway Road,2013-02-07,13:25,13-00132,Arkansas State University-Main Campus,Found Article/Property
2013-02-07,15:04,Aggie / Stadium,2013-02-07,14:40,13-00133,Arkansas State University-Main Campus,Abandoned Vehicle Vehicle Tow
2013-02-07,15:52,111 N Caraway Road,2013-02-07,15:52,13-00134,Arkansas State University-Main Campus,Found Article/Property
2013-02-07,22:08,2509 Aggie Road 307,2013-02-07,21:54,13-00135,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-08,01:35,113 Dean ST,2013-02-08,01:06,13-00136,Arkansas State University-Main Campus,AGGRAVATED ASSAULT TERRORISTIC THREATENING - 1ST DEGREE / THREATENS PROPERTY DAMAGE PNG Issued on this person for the ASU Campus
2013-02-08,02:24,121 N Caraway Road,2013-02-07,22:45,13-00137,Arkansas State University-Main Campus,University Referral - Drug Violation OUT OF TOWN WARRANT/ASSIST
2013-02-08,02:24,904 University Loop,2013-02-08,00:30,13-00138,Arkansas State University-Main Campus,DWI (UNLAWFUL ACT) University Referral - Alcohol Violation
2013-02-08,02:36,2730 Iroquois ST,2013-02-08,02:01,13-00139,Arkansas State University-Main Campus,COMMUNICATING A FALSE ALARM / CAUSE EVACUATION Fire Alarm
2013-02-08,03:34,2509 Aggie Road,2013-02-08,03:20,13-00140,Arkansas State University-Main Campus,Fire Alarm COMMUNICATING A FALSE ALARM / CAUSE EVACUATION
2013-02-08,09:57,UNKNOWN,2013-02-13,13:00,13-00142,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-08,12:50,2713 Pawnee ST A,2013-02-08,12:12,13-00143,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-02-08,21:23,2509 Aggie Road 216,2013-02-08,21:23,13-00144,Arkansas State University-Main Campus,University Referral - Disorderly Conduct University Referral - Residence Hall Violation
2013-02-09,02:08,904 University Loop East,2013-02-09,00:23,13-00145,Arkansas State University-Main Campus,University Referral - Disorderly Conduct
2013-02-09,02:21,1115 University Loop,2013-02-09,01:19,13-00146,Arkansas State University-Main Campus,University Referral - Drug Violation The Arkansas Clean Air on Campus Act of 2009
2013-02-09,03:42,1115 University Loop 1,2013-02-09,03:10,13-00147,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR"
2013-02-09,04:17,1115 University Loop ST,2013-02-09,03:15,13-00148,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-02-10,01:29,Caraway Road / Matthews,2013-02-09,23:15,13-00150,Arkansas State University-Main Campus,DWI - DRUGS (UNLAWFUL ACT)
2013-02-10,05:58,1115 University Loop 1,2013-02-10,05:15,13-00151,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-10,11:16,330 University Loop West,2013-02-10,09:03,13-00152,Arkansas State University-Main Campus,Fire Alarm COMMUNICATING A FALSE ALARM / CAUSE EVACUATION
2013-02-10,20:52,2505 Aggie Road,2013-02-10,18:05,13-00153,Arkansas State University-Main Campus,Sick or Injured person
2013-02-11,00:35,2509 Aggie Road,2013-02-11,00:35,13-00154,Arkansas State University-Main Campus,University Referral - Drug Violation
2013-02-11,13:12,Side Walk On Johnson Adjacent To College Park.,2013-02-11,07:26,13-00155,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-02-11,20:56,102 N Caraway Road,2013-02-11,18:40,13-00156,Arkansas State University-Main Campus,Accident - Hit and Run
2013-02-11,23:58,2206 E Johnson AVE,2013-02-11,23:30,13-00157,Arkansas State University-Main Campus,University Referral - Drug Violation
2013-02-12,05:55,1115 University Loop East Building #3,2013-02-12,04:55,13-00158,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2013-02-12,11:02,2412 Quapaw Way Road,2013-02-11,16:00,13-00149,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-12,20:17,101 N Caraway Road,2013-02-12,12:00,13-00159,Arkansas State University-Main Campus,University Referral - Harassment
2013-02-13,00:42,2509 Aggie Road 410,2013-02-13,00:03,13-00160,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-13,02:53,125 Dean  ST,2013-02-13,01:39,13-00161,Arkansas State University-Main Campus,"CRIMINAL TRESPASS IN OR ON A VEHICLE OR STRUCTURE / VEHICLE OBSTRUCTING GOVERNMENTAL OPERATIONS / OBSTRUCTS, IMPAIRS, HINDERS, THE PER Vehicle Tow"
2013-02-13,09:27,University Loop,2013-02-13,07:37,13-00162,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST
2013-02-13,11:33,119 Dean ST,2013-02-13,09:45,13-00164,Arkansas State University-Main Campus,Welfare Concern
2013-02-13,11:33,"Grass along Stadium Blvd,",2013-08-30,10:33,13-00163,Arkansas State University-Main Campus,Found Article/Property
2013-02-13,12:59,Unknown,2013-02-13,12:59,13-00165,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-13,13:00,Unknown,2013-02-13,13:00,13-00141,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-13,13:26,217 Olympic DR,2013-02-13,12:14,13-00166,Arkansas State University-Main Campus,Sick or Injured person
2013-02-13,13:35,2405 Aggie Way,2013-02-13,08:00,13-00167,Arkansas State University-Main Campus,Found Article/Property
2013-02-13,13:58,Unknown,2013-02-13,13:58,13-00168,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-14,01:59,Eldridge St. / Marion Berry Parkway,2013-02-13,23:50,13-00169,Arkansas State University-Main Campus,"OUT OF TOWN WARRANT/ASSIST OUT OF TOWN WARRANT/ASSIST OUT OF TOWN WARRANT/ASSIST PUBLIC INTOXICATION - DRINKING IN PUBLIC OBSTRUCTING GOVERNMENTAL OPERATIONS / OBSTRUCTS, IMPAIRS, HINDERS, THE PER"
2013-02-14,09:38,UNKNOWN,2013-02-14,09:38,13-00170,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-14,12:28,UNKNOWN,2013-02-14,12:28,13-00171,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-14,19:54,111 N Caraway Road,2013-02-14,19:30,13-00172,Arkansas State University-Main Campus,Found Article/Property
2013-02-14,20:19,4000 Legends CT,2013-02-14,19:19,13-00173,Arkansas State University-Main Campus,Welfare Concern
2013-02-14,22:30,Unknown,2013-02-14,22:30,13-00174,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-15,00:29,1115 University Loop #1213,2013-02-14,23:35,13-00175,Arkansas State University-Main Campus,University Referral - Drug Violation
2013-02-15,13:12,504 University Loop East,2013-02-15,12:15,13-00176,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-02-15,15:06,Unknown,2013-02-15,15:06,13-00177,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-15,15:11,Unknown,2013-02-15,15:11,13-00178,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-15,15:28,Unknown,2013-02-15,15:28,13-00179,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-15,15:44,315 University Loop West CRC,2013-02-15,15:44,13-00180,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2013-02-15,18:45,101 N Caraway Road,2013-02-15,18:45,13-00181,Arkansas State University-Main Campus,University Referral - Assault University Referral - Disorderly Conduct
2013-02-16,04:53,2509 Aggie Road,2013-02-16,04:29,13-00182,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-16,05:13,2509 Aggie Road,2013-02-16,05:13,13-00183,Arkansas State University-Main Campus,"CRIMINAL MISCHIEF - 1ST DEGREE / PROPERTY OF ANOTHER W/VALUE OF $1,000 OR LESS"
2013-02-16,05:16,Johnson / Marion Berry,2013-02-16,04:52,13-00184,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE University Referral - Alcohol Violation"
2013-02-16,09:59,1115 University Loop East Building #3,2013-02-16,06:50,13-00185,Arkansas State University-Main Campus,PUBLIC INTOXICATION - DRINKING IN PUBLIC University Referral - Disorderly Conduct University Referral - Alcohol Violation
2013-02-16,13:17,Danner / University Loop,2013-02-16,13:03,13-00186,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-02-16,14:08,1203 University Loop East Bldg 2 ST,2013-02-16,14:08,13-00187,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-02-16,17:50,2623 Cherokee ST,2013-02-14,21:30,13-00188,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / PURPOSELY TAMPERS
2013-02-17,00:29,2509 Aggie Road,2013-02-16,23:54,13-00189,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-17,00:40,2509 Aggie Road,2013-02-16,23:58,13-00190,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2013-02-17,03:27,119 Dean ST,2013-02-17,03:27,13-00191,Arkansas State University-Main Campus,University Referral - Alcohol Violation Sick or Injured person
2013-02-17,12:37,Marion Berry Parkway,2013-02-17,09:01,13-00192,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-02-18,08:08,320 University Loop West CRC,2013-02-18,07:50,13-00193,Arkansas State University-Main Campus,Burglary Alarm
2013-02-18,09:30,Unknown,2013-02-05,08:00,13-00194,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
2013-02-18,10:26,Unknown,2013-02-12,10:26,13-00195,Arkansas State University-Main Campus,Financial Identity Fraud-Non Financial Identity Fraud
