date_occurred,time_occurred,date_reported,case_number,incident,location,time_reported,university
2019-07-16,NA,2019-07-17,19020338,Fraud,"University Police Department‐Lobby",NA,Texas State University
2019-07-15,NA,2019-07-15,19020039,Public Intoxication,Comanche Street,NA,Texas State University
2019-07-15,NA,2019-07-15,19020089,Burglary ‐ Building,Tennis Center,NA,Texas State University
2019-07-13,NA,2019-07-18,19020478,"Duty on StrikingUnattended Vehicle",Bobcat Stadium Parking Lot,NA,Texas State University
2019-07-13,NA,2019-07-13,19019871,"CriminalMischief>=$100<$750",Nueces Parking Lot,NA,Texas State University
2019-07-12,NA,2019-07-12,19019673,"Duty on StrikingUnattended Vehicle",Student Center Drive,NA,Texas State University
2019-07-12,NA,2019-07-12,19019727,"Theft ‐ Property>=$100<$750",Sewell Park,NA,Texas State University
2019-07-11,NA,2019-07-12,19019676,"Duty on StrikingUnattended Vehicle",N LBJ Drive,NA,Texas State University
2019-07-11,NA,2019-07-11,19019400,Public Intoxication,Performing Arts Center,NA,Texas State University
2019-07-10,NA,2019-07-10,19019226,Public Intoxication,Charles Austin Drive,NA,Texas State University
2019-07-08,NA,2019-07-08,19019089,"Possession of DrugParaphernalia",Meadows Center,NA,Texas State University
2019-07-06,NA,2019-07-06,19018798,Graffiti,Read St.,NA,Texas State University
2019-07-06,NA,2019-07-06,19018871,"Criminal TrespassWarning",Ingram Hall,NA,Texas State University
2019-07-05,NA,2019-07-05,19018715,Fraud,Flowers Hall,NA,Texas State University
2019-07-04,NA,2019-07-04,19018645,Regent Rule Violation,Sewell Park,NA,Texas State University
2019-07-03,NA,2019-07-03,19018426,"Driving WhileIntoxicated",Wood Street Parking Garage,NA,Texas State University
2019-07-03,NA,2019-07-03,19018522,"Credit Card or DebitCard Abuse",Jones Dining Complex,NA,Texas State University
2019-07-03,NA,2019-07-03,19018490,Disturbance,LBJ Student & Visitor Center,NA,Texas State University
2019-07-03,NA,2019-07-03,19018538,"Theft of Service ‐Under $100",LBJ Parking Garage,NA,Texas State University
2019-07-03,NA,2019-07-03,19018568,"Possession of DrugParaphernalia","Charles Austin @ AquarenaSprings Dr.",NA,Texas State University
2019-07-02,NA,2019-07-15,19020087,Burglary ‐ Building,Encino Hall,NA,Texas State University
2019-07-02,NA,2019-07-02,19018308,Warrant Service,Jackson Hall Parking Lot,NA,Texas State University
2019-06-27,NA,2019-06-27,19017667,POCS Group 3,Wood Street,NA,Texas State University
2019-06-26,NA,2019-06-26,19017618,"Possession ofMarijuana",Thorpe Lane,NA,Texas State University
2019-06-26,NA,2019-06-26,19017604,"Possession of DrugParaphernalia",Lindsey Street,NA,Texas State University
2019-06-26,NA,2019-06-26,19017623,Assault ‐ Contact,San Marcos River,NA,Texas State University
2019-06-22,NA,2019-06-22,2019‐17251,POCS Group 1,Moore Street,NA,Texas State University
2019-06-21,NA,2019-06-21,2019‐17155,Fraud,Hill House,NA,Texas State University
2019-06-21,NA,2019-06-21,2019‐17116,Public Intoxication,Fam & Con Sci Bldg,NA,Texas State University
2019-06-20,NA,2019-06-20,2019‐17086,"Theft ‐ Property>=$100<$750","Undergradute AdmissionsCenter",NA,Texas State University
2019-06-18,NA,2019-06-18,2019‐16807,Public Intoxication,Quad,NA,Texas State University
2019-06-16,NA,2019-06-16,2019‐16691,MIP‐Alcohol,Llano Circle,NA,Texas State University
2019-06-14,NA,2019-06-14,2019‐16430,Public Intoxication,Guadalupe Street,NA,Texas State University
2019-06-11,NA,2019-06-11,2019‐16149,Public Intoxication,N LBJ Drive,NA,Texas State University
2019-06-11,NA,2019-06-11,2019‐16193,"Possession of DrugParaphernalia",Chautauqua,NA,Texas State University
2019-06-11,NA,2019-06-11,2019‐16188,Warrant Service,Nueces Bldg,NA,Texas State University
2019-06-08,NA,2019-06-08,2019‐15905,Public Intoxication,Student Health Center,NA,Texas State University
2019-06-06,NA,2019-06-06,2019‐15709,"Criminal Mischief>=$20K<$100K",Coliseum Parking Lot,NA,Texas State University
2019-06-05,NA,2019-06-05,2019‐15638,"Theft ‐ Property>=$100<$750",San Jacinto Hall,NA,Texas State University
2019-06-01,NA,2019-06-01,2019‐15246,"Driving Without aLicense (when",Aquarena Springs Drive,NA,Texas State University
2019-05-30,NA,2019-05-30,2019‐15040,"Theft Property>=$2500<$30K",Jowers Center,NA,Texas State University
2019-05-30,NA,2019-05-30,2019‐15083,Disturbance,University Events Center,NA,Texas State University
2019-05-23,NA,2019-05-23,2019‐14421,Public Intoxication,Matthew Street Garage,NA,Texas State University
2019-05-22,NA,2019-05-22,2019‐14392,"Possession of DrugParaphernalia",Warden Street,NA,Texas State University
2019-05-22,NA,2019-05-22,2019‐14330,"Possession of DrugParaphernalia",Peques Commuter Parking Lot,NA,Texas State University
2019-05-22,NA,2019-05-22,2019‐14355,"Theft ‐ Property>=$100<$750",Music Bldg,NA,Texas State University
2019-05-20,NA,2019-05-20,2019‐14067,Burglary ‐ Building,"Bobcat Stadium End ZoneComplex",NA,Texas State University
2019-05-18,NA,2019-05-18,2019‐13932,"Possession ofMarijuana",Sewell Park Outdoor Center,NA,Texas State University
2019-05-18,NA,2019-05-18,2019‐13997,POCS Group 2,San Antonio Street (West),NA,Texas State University
2019-05-17,NA,2019-05-17,2019‐13906,Warrant Service,Guadalupe Street,NA,Texas State University
2019-05-15,NA,2019-05-15,2019‐13652,"Weapon ‐ UnlawfulCarrying",Bobcat Village Parking Lot,NA,Texas State University
2019-05-14,NA,2019-05-14,2019‐13522,Burglary of Vehicle,Bobcat Village Apartments,NA,Texas State University
2019-05-14,NA,2019-05-14,2019‐13468,"Possession ofMarijuana",Hopkins Street,NA,Texas State University
2019-05-13,NA,2019-05-13,2019‐13424,Theft Under $100,LBJ Parking Garage,NA,Texas State University
2019-05-11,NA,2019-05-11,2019‐13264,"Possession of DrugParaphernalia",Chautauqua,NA,Texas State University
2019-05-11,NA,2019-05-15,2019‐13422,Robbery Aggravated,Bobcat Village Apartments,NA,Texas State University
2019-05-10,NA,2019-05-10,2019‐13200,"Theft Property>=$2500<$30K",Music Bldg,NA,Texas State University
2019-05-10,NA,2019-05-10,2019‐1302,"Theft ‐ Property>=$750>$2,500",Nueces Bldg,NA,Texas State University
2019-05-10,NA,2019-05-10,2019‐13207,"Criminal TrespassWarning",Nueces Bldg,NA,Texas State University
2019-05-10,NA,2019-05-10,2019‐13194,"Theft ‐ Property>=$100<$750",Music Bldg,NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13123,"Criminal Mischief>=$20K<$100K",Mitte Parking Lot,NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13101,"Criminal Mischief>=$750<$2500",Peques Commuter Parking Lot,NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13103,"Theft ‐ Property>=$100<$750","University Press/WestWarehouse",NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13143,"Theft ‐ Property>=$100<$750",San Marcos Hall,NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13129,"Theft ‐ Property>=$750>$2,500",Music Bldg,NA,Texas State University
2019-05-09,NA,2019-05-09,2019‐13103,Graffiti ‐ Under $1500,Alkek Library,NA,Texas State University
2019-05-08,NA,2019-05-08,2019‐13026,"Theft of Service ‐under $500",LBJ Parking Garage,NA,Texas State University
2019-05-08,NA,2019-05-08,2019‐13002,Theft Under $100,Student Recreation Center,NA,Texas State University
2019-05-08,NA,2019-05-08,2019‐13019,Theft‐Under $50,Evans Liberal Arts Building,NA,Texas State University
2019-05-07,NA,2019-05-07,2019‐12853,"Theft ‐ Property>=$100<$750",Joann Cole Mitte Art Bldg,NA,Texas State University
2019-05-05,NA,2019-05-05,2019‐12641,"Theft ‐ Property>=$750>$2,500",Music Bldg,NA,Texas State University
2019-05-04,NA,2019-05-04,2019‐12564,MIP‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2019-05-04,NA,2019-05-04,2019‐12633,"Theft Property>=$2500<$30K",Music Bldg,NA,Texas State University
2019-05-04,NA,2019-05-04,2019‐12609,Burglary of Vehicle,Speck Parking Lot,NA,Texas State University
2019-05-04,NA,2019-05-04,2019‐12581,Burglary of Vehicle,Speck Parking Lot,NA,Texas State University
2019-05-04,NA,2019-05-04,2019‐12603,Assault ‐ Aggravated,Chautauqua,NA,Texas State University
2019-05-03,NA,2019-05-03,2019‐12501,POCS Group 3,San Marcos Hall,NA,Texas State University
2019-05-02,NA,2019-05-02,2019‐12409,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2019-05-01,NA,2019-05-01,2019‐12280,Theft Under $100,Lantana Hall,NA,Texas State University
2019-05-01,NA,2019-05-01,2019‐12307,Theft Under $100,LBJ Parking Garage,NA,Texas State University
2019-05-01,NA,2019-05-01,2019‐12280,"Theft ‐ Property>=$100<$750",Lantana Hall,NA,Texas State University
2019-05-01,NA,2019-05-01,2019‐12270,"Theft ‐ Property>=$100<$750",Music Bldg,NA,Texas State University
2019-05-01,NA,2019-05-01,2019‐12283,"Theft ‐ Property>=$750>$2,500",Student Recreation Center,NA,Texas State University
2019-05-01,NA,2019-05-01,19‐12307,Theft Under $100,LBJ Parking Garage,NA,Texas State University
2019-04-30,NA,2019-04-30,2019‐12135,Burglary ‐ Building,Housing and Res Life Building,NA,Texas State University
2019-04-27,NA,2019-04-27,2019‐11893,"Possession of DrugParaphernalia",Baptist Student Center,NA,Texas State University
2019-04-27,NA,2019-04-27,2019‐11861,"Possession of DrugParaphernalia",Angelina Hall,NA,Texas State University
2019-04-27,NA,2019-04-27,2019‐11823,"Assault ‐ DatingViolence",College Inn,NA,Texas State University
2019-04-27,NA,2019-04-27,2019‐11898,POCS Group 1,Bobcat Stadium,NA,Texas State University
2019-04-26,NA,2019-04-26,2019‐11755,Theft Under $100,Student Recreation Center,NA,Texas State University
2019-04-26,NA,2019-04-26,2019‐11795,"Possession of DrugParaphernalia",Blanco Garage,NA,Texas State University
2019-04-26,NA,2019-04-26,2019‐11700,Burglary ‐ Habitation,San Jacinto Hall,NA,Texas State University
2019-04-25,NA,2019-04-29,2019‐12045,Burglary ‐ Habitation,The Tower Hall,NA,Texas State University
2019-04-25,NA,2019-04-25,2019‐11609,Theft Under $100,"J.C. Kellam AdministrationBuilding",NA,Texas State University
2019-04-24,NA,2019-04-24,2019‐11571,"Theft ‐ Property>=$750>$2,500",Joann Cole Mitte Art Bldg,NA,Texas State University
2019-04-23,NA,2019-04-23,2019‐11448,MIP‐Alcohol,Bobcat Baseball Fields,NA,Texas State University
2019-04-23,NA,2019-04-23,2019‐11467,"Theft ‐ Property>=$750>$2,500",Alkek Library,NA,Texas State University
2019-04-22,NA,2019-04-22,2019‐11349,"Possession of DrugParaphernalia",Sterry Hall,NA,Texas State University
2019-04-21,NA,2019-04-21,2019‐11200,Public Intoxication,Blanco Hall,NA,Texas State University
2019-04-21,NA,2019-04-21,2019‐11201,Public Intoxication,"Angelina San Gabriel HousingComplex",NA,Texas State University
2019-04-20,NA,2019-04-20,2019‐11125,"Possession of DrugParaphernalia",Butler Hall,NA,Texas State University
2019-04-20,NA,2019-04-20,2019‐11149,"Possession of DrugParaphernalia",Bobcat Village Parking Lot,NA,Texas State University
2019-04-19,NA,2019-04-19,2019‐11118,MIP‐Alcohol,Moore Street,NA,Texas State University
2019-04-18,NA,2019-04-18,2019‐11003,"Possession of DrugParaphernalia",Meadows Center,NA,Texas State University
2019-04-18,NA,2019-04-18,2019‐10957,Sexual Assault,Falls Hall,NA,Texas State University
2019-04-16,NA,2019-04-16,2019‐10762,Sexual Assault,Brogdon Hall,NA,Texas State University
2019-04-16,NA,2019-04-16,2019‐10789,"Theft ‐ Property>=$100<$750",Butler Hall,NA,Texas State University
2019-04-16,NA,2019-04-16,2019‐10761,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2019-04-16,NA,2019-04-16,2019‐10767,"Theft Property>=$2500<$30K",Music Bldg,NA,Texas State University
2019-04-14,NA,2019-04-14,2019‐10518,Burglary of Vehicle,Speck Parking Lot,NA,Texas State University
2019-04-14,NA,2019-04-14,2019‐10556,Burglary of Vehicle,N LBJ Drive,NA,Texas State University
2019-04-13,NA,2019-04-13,2019‐10481,MIP‐Alcohol,Bobcat Stadium Parking Lot,NA,Texas State University
2019-04-13,NA,2019-04-13,2019‐10510,Burglary of Vehicle,Bobcat Stadium Parking Lot,NA,Texas State University
2019-04-13,NA,2019-04-13,2019‐10429,Public Intoxication,Bobcat Stadium,NA,Texas State University
2019-04-13,NA,2019-04-13,2019‐10479,MIP‐Alcohol,Bobcat Stadium Parking Lot,NA,Texas State University
2019-04-12,NA,2019-04-12,2019‐10327,"Theft ‐ Property>=$100<$750",The Tower Hall,NA,Texas State University
2019-04-11,NA,2019-04-11,2019‐10282,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2019-04-11,NA,2019-04-11,2019‐10262,Fire,Bobcat Village Apartments,NA,Texas State University
2019-04-11,NA,2019-04-11,2019‐10216,Public Intoxication,Quad,NA,Texas State University
2019-04-10,NA,2019-04-10,2019‐10211,Assault ‐ Contact,The Tower Parking Garage,NA,Texas State University
2019-04-10,NA,2019-04-10,2019‐10198,"Theft ‐ Property>=$750>$2,500",Nueces Bldg,NA,Texas State University
2019-04-10,NA,2019-04-10,2019‐10183,"Assault ‐ Causes BodilyInjury",College Inn Parking Lot,NA,Texas State University
2019-04-09,NA,2019-04-09,2019‐10102,Burglary of Vehicle,San Jacinto Hall,NA,Texas State University
2019-04-08,NA,2019-04-08,2019‐10016,"Theft ‐ Property>=$100<$750",Nueces Bldg,NA,Texas State University
2019-04-08,NA,2019-04-08,2019‐10040,"Possession of DrugParaphernalia",Saltgrass Steak House,NA,Texas State University
2019-04-08,NA,2019-04-08,2019‐10027,"Theft ‐ Property>=$750>$2,500",LBJ Student & Visitor Center,NA,Texas State University
2019-04-05,NA,2019-04-05,2019‐09787,"Fraudulent Use orPossession of IDInformation",Bobcat Village Apartments,NA,Texas State University
2019-04-05,NA,2019-04-05,2019‐09798,"Possession ofMarijuana",Sessom Drive (West),NA,Texas State University
2019-04-04,NA,2019-04-04,2019‐9648,Theft‐Under $50,LBJ Student & Visitor Center,NA,Texas State University
2019-04-03,NA,2019-04-03,2019‐9628,Assault ‐ Aggravated,Derrick Hall,NA,Texas State University
2019-04-02,NA,2019-04-02,2019‐9547,"Furnishing Alcohol to aMinor",Bobcat Baseball Fields,NA,Texas State University
2019-04-02,NA,2019-04-02,2019‐9551,Burglary of Vehicle,Bobcat Stadium Parking Lot,NA,Texas State University
2019-04-02,NA,2019-04-02,2019‐9547,MIP‐Alcohol,Bobcat Baseball Fields,NA,Texas State University
2019-04-01,NA,2019-04-01,2019‐9456,Assault ‐ Contact,Alkek Library,NA,Texas State University
2019-04-01,NA,2019-04-01,2019‐9485,"Possession ofMarijuana",San Jacinto Hall Parking Garage,NA,Texas State University
2019-03-31,NA,2019-03-31,2019‐9405,Burglary ‐ Building,"Bobcat Stadium End ZoneComplex",NA,Texas State University
2019-03-30,NA,2019-03-30,2019‐9324,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2019-03-30,NA,2019-03-30,2019‐9336,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2019-03-30,NA,2019-03-30,2019‐9362,"Assault ‐ FamilyViolence",The Tower Hall,NA,Texas State University
2019-03-29,NA,2019-03-29,2019‐9196,POCS Group 2,San Jacinto Hall Parking Garage,NA,Texas State University
2019-03-29,NA,2019-03-29,2019‐9205,"Criminal Trespass:Property, Building, orAircraft",Lantana Hall,NA,Texas State University
2019-03-28,NA,2019-03-28,2019‐9094,POCS Group 1,Jackson Hall,NA,Texas State University
2019-03-28,NA,2019-02-28,2019‐06311,"Possession of DrugParaphernalia",Sessom Drive (East),NA,Texas State University
2019-03-27,NA,2019-03-27,2019‐8933,"Possession ofMarijuana",Sewell Park Outdoor Center,NA,Texas State University
2019-03-26,NA,2019-03-26,2019‐8861,Theft Under $100,Sewell Park Outdoor Center,NA,Texas State University
2019-03-25,NA,2019-03-25,2019‐8694,"CriminalMischief>=$100<$750",Jowers Center,NA,Texas State University
2019-03-25,NA,2019-03-25,2019‐8749,Sexual Assault,Chautauqua,NA,Texas State University
2019-03-22,NA,2019-03-22,2019‐8439,Robbery,Sewell Park,NA,Texas State University
2019-03-21,NA,2019-03-21,2019‐8367,Sexual Assault,Chautauqua,NA,Texas State University
2019-03-16,NA,2019-03-16,2019‐07848,MIC‐Alcohol,Chautauqua,NA,Texas State University
2019-03-15,NA,2019-03-15,2019‐07774,Public Intoxication,Pat Garrison Street,NA,Texas State University
2019-03-14,NA,2019-03-14,2019‐7647,"Possession of DrugParaphernalia",Blanco Garage,NA,Texas State University
2019-03-14,NA,2019-03-14,2019‐7738,"Theft ‐ Property>=$100<$750",Bexar Hall,NA,Texas State University
2019-03-14,NA,2019-03-14,2019‐7745,"Theft ‐ Property>=$100<$750",Derrick Hall,NA,Texas State University
2019-03-13,NA,2019-03-13,2019‐07579,POCS Group 1,Saltgrass Steak House,NA,Texas State University
2019-03-13,NA,2019-03-13,2019‐07564,"Possession ofMarijuana",Bobcat Village Apartments,NA,Texas State University
2019-03-12,NA,2019-03-12,2019‐07520,"Possession of DrugParaphernalia",Fall Sayers Housing Complex,NA,Texas State University
2019-03-12,NA,2019-03-12,2019‐07494,"Possession of DrugParaphernalia",Chautauqua,NA,Texas State University
2019-03-11,NA,2019-03-11,2019‐7421,"Theft ‐ Property>=$100<$750",Theatre Arts Building,NA,Texas State University
2019-03-09,NA,2019-03-09,2019‐7259,"Possession of DrugParaphernalia",Commons Hall,NA,Texas State University
2019-03-09,NA,2019-03-09,2019‐7294,MIP‐Alcohol,San Jacinto Hall,NA,Texas State University
2019-03-08,NA,2019-03-08,2019‐7102,POCS Group 2,San Jacinto Hall Parking Garage,NA,Texas State University
2019-03-08,NA,2019-03-08,2019‐7047,"Possession of DrugParaphernalia",Retama Hall,NA,Texas State University
2019-03-07,NA,2019-03-07,2019‐7018,"Theft ‐ Property>=$100<$750",Beretta Hall,NA,Texas State University
2019-03-07,NA,2019-03-07,2019‐6942,"Possession ofMarijuana",Sterry Hall,NA,Texas State University
2019-03-07,NA,2019-03-07,2019‐7023,"Possession ofMarijuana",The Tower Hall,NA,Texas State University
2019-03-06,NA,2019-03-06,2019‐6844,"Criminal Mischief>=$20K<$100K",Edward Gary Garage,NA,Texas State University
2019-03-06,NA,2019-03-06,2019‐6878,Burglary ‐ Building,Gloria and Bruce Ingram Hall,NA,Texas State University
2019-03-05,NA,2019-03-05,2019‐6743,"Theft ‐ Property>=$100<$750",The Tower Hall,NA,Texas State University
2019-03-05,NA,2019-03-05,2019‐6772,"Assault ‐ Causes BodilyInjury",Bus Lane,NA,Texas State University
2019-03-05,NA,2019-03-05,2019‐6810,Assault ‐ Aggravated,Butler Hall,NA,Texas State University
2019-03-05,NA,2019-03-05,2019‐6767,Burglary ‐ Building,Harris Dining Hall,NA,Texas State University
2019-03-04,NA,2019-03-04,2019‐6697,"Theft ‐ Property>=$100<$750",Gaillardia Hall,NA,Texas State University
2019-03-03,NA,2019-03-03,2019‐6600,Sexual Assault,Falls Hall,NA,Texas State University
2019-03-03,NA,2019-03-03,2019‐6604,"Criminal Mischief>=$20K<$100K",Bobcat Village Apartments,NA,Texas State University
2019-03-02,NA,2019-03-02,2019‐6454,Public Intoxication,Blanco Hall Drive,NA,Texas State University
2019-03-02,NA,2019-03-02,2019‐6458,Public Intoxication,Bobcat Village Apartments,NA,Texas State University
2019-03-02,NA,2019-03-02,2019‐6456,MIC‐Alcohol,Wood Street,NA,Texas State University
2019-03-01,NA,2019-03-01,2019000063,"Student Code ofConduct Violation",Bexar Hall Parking Garage,NA,Texas State University
2019-02-28,NA,2019-02-28,2019‐06284,"Possession of DrugParaphernalia",Moon Street,NA,Texas State University
2019-02-27,NA,2019-02-27,2019‐06175,Public Intoxication,Wood Street,NA,Texas State University
2019-02-27,NA,2019-02-27,2019‐06212,"Theft ‐ Property>=$100<$750","University Police Department‐Lobby",NA,Texas State University
2019-02-24,NA,2019-02-24,2019‐05859,Public Intoxication,Bobcat Village Apartments,NA,Texas State University
2019-02-23,NA,2019-02-23,2019‐05843,MIP‐Alcohol,The Tower Hall,NA,Texas State University
2019-02-23,NA,2019-02-23,2019‐05770,MIP‐Alcohol,San Marcos Hall,NA,Texas State University
2019-02-23,NA,2019-02-23,2019‐05848,MIP‐Alcohol,The Tower Hall,NA,Texas State University
2019-02-23,NA,2019-02-23,2019‐05791,Failure to ID,Zunker Street,NA,Texas State University
2019-02-23,NA,2019-02-23,2019‐05742,"Possession of DrugParaphernalia",Matthew Street Garage,NA,Texas State University
2019-02-22,NA,2019-02-22,2019‐05601,MIP‐Alcohol,N LBJ Drive,NA,Texas State University
2019-02-21,NA,2019-02-21,2019‐05515,Warrant Service,Edward Gary Street,NA,Texas State University
2019-02-21,NA,2019-02-21,2019‐05528,"Duty on StrikingUnattended Vehicle",Hill House,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05421,"Possession of DrugParaphernalia",Edward Gary Garage,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05443,"Possession of DrugParaphernalia",Edward Gary Garage,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05277,Robbery Aggravated,Bobcat Village Apartments,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05327,MIP‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05325,"Possession of DrugParaphernalia",San Jacinto Hall,NA,Texas State University
2019-02-20,NA,2019-02-20,2019‐05282,POCS Group 1,Hines Academic Center,NA,Texas State University
2019-02-19,NA,2019-02-19,2019‐05229,Burglary ‐ Habitation,Arnold Hall,NA,Texas State University
2019-02-17,NA,2019-02-17,2019‐4953,Theft Under $100,Bobcat Baseball Fields,NA,Texas State University
2019-02-16,NA,2019-02-16,2019‐4737,MIP‐Alcohol,Sessom Drive (East),NA,Texas State University
2019-02-16,NA,2019-02-16,2019‐4795,"Possession of DrugParaphernalia",Pat Garrison Street,NA,Texas State University
2019-02-16,NA,2019-02-16,2019‐4865,MIP‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2019-02-15,NA,2019-02-15,2019‐4607,"Possession ofMarijuana",San Marcos Hall Parking Garage,NA,Texas State University
2019-02-14,NA,2019-02-14,2019‐4547,"Driving While LicenseInvalid",LBJ Street,NA,Texas State University
2019-02-14,NA,2019-02-14,2019‐4497,"Possession of DrugParaphernalia",College Inn,NA,Texas State University
