case_number,date_occurred,date_reported,incident,location,university,time_occurred,time_reported
U13‐23408,2013-12-13,2013-12-14,THEFT: MISDEMEANOR,1815 NAISMITH,University of Kansas,NA,NA
U13‐23330,2013-12-10,2013-12-13,DAMAGE BY GRAFFITI,1251 WESCOE HALL,University of Kansas,NA,NA
U13‐23332,2013-11-13,2013-12-13,SEXUAL BATTERY,1815 NAISMITH,University of Kansas,NA,NA
U13‐23367,2013-12-13,2013-12-13,CRIMINAL TRESPASS,1506 LILAC,University of Kansas,NA,NA
U13‐23436,2013-12-15,2013-12-15,DUI (ARREST),MEMORIAL,University of Kansas,NA,NA
U13‐23492,2013-12-15,2013-12-15,POSSESSION OF FAKE DL,SUNFLOWER,University of Kansas,NA,NA
U13‐23507,2013-12-14,2013-12-16,SEXUAL BATTERY,1122 JRP,University of Kansas,NA,NA
U13‐23521,2013-12-16,2013-12-16,KU MISCELLANEOUS (INFO),3005 WESTBROOKE,University of Kansas,NA,NA
U13‐23457,2013-12-14,2013-12-15,KU MISCELLANEOUS (INFO),1515 ENGEL,University of Kansas,NA,NA
U13‐23610,2013-12-13,2013-12-17,THEFT: MISDEMEANOR,1734 ENGEL,University of Kansas,NA,NA
U13‐23688,2013-12-19,2013-12-19,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U13‐23706,2013-12-18,2013-12-19,KU MISCELLANEOUS (INFO),1440 JAYHAWK,University of Kansas,NA,NA
U13‐23799,2013-12-21,2013-12-21,KU MEDICAL EMERGENCY,1555 IRVING HILL,University of Kansas,NA,NA
U13‐23937,2013-12-23,2013-12-23,DISORDERLY CONDUCT,1425 JAYHAWK,University of Kansas,NA,NA
U13‐24189,2013-12-27,2013-12-30,KU MISCELLANEOUS (INFO),1323 OHIO,University of Kansas,NA,NA
U13‐23525,2013-12-16,2013-12-16,THEFT: LOST‐MISLAID PROPERTY,1815 NAISMITH,University of Kansas,NA,NA
U13‐23737,2013-12-20,2013-12-20,STOP SIGN; FAIL TO STOP,500 11TH,University of Kansas,NA,NA
U13‐23757,2013-12-19,2013-12-20,CRIMINAL DAMAGE TO PROPERTY: MIS ,0 11TH,University of Kansas,NA,NA
U13‐23760,2013-12-20,2013-12-20,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U13‐23801,2013-12-21,2013-12-21,KU MISCELLANEOUS (INFO),1475 JAYHAWK,University of Kansas,NA,NA
U13‐23254,2013-12-11,2013-12-11,KU MISCELLANEOUS (INFO),1445 JAYHAWK,University of Kansas,NA,NA
U13‐24229,2013-12-30,2013-12-30,KU MEDICAL EMERGENCY,1651 NAISMITH,University of Kansas,NA,NA
U13‐24039,2013-12-27,2013-12-27,THEFT: MISDEMEANOR,2099 CONSTANT,University of Kansas,NA,NA
U13‐24079,2013-12-26,2013-12-28,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐24234,2013-12-30,2013-12-30,THEFT: MISDEMEANOR,1651 NAISMITH,University of Kansas,NA,NA
U13‐24261,2013-12-17,2013-12-31,The of property or services; Value less ,15 NAISMITH,University of Kansas,NA,NA
U14‐00396,2013-12-20,2014-01-08,BURGLARY; NON‐DWELLING TO COMM ,05 IRVING HILL,University of Kansas,NA,NA
U14‐00500,2013-12-02,2014-01-10,THEFT: MISDEMEANOR,1530 15TH,University of Kansas,NA,NA
U13‐21759,2013-11-16,2013-11-16,KU MEDICAL EMERGENCY,1101 MISSISSIPPI,University of Kansas,NA,NA
U13‐21793,2013-11-17,2013-11-17,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U13‐21796,2013-11-17,2013-11-17,KU MEDICAL EMERGENCY,420 11TH,University of Kansas,NA,NA
U13‐21164,2013-11-08,2013-11-08,KU MENTAL,1734 ENGEL,University of Kansas,NA,NA
U13‐21192,2013-11-08,2013-11-08,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U13‐21240,2013-11-09,2013-11-09,KU MISCELLANEOUS (INFO),1734 ENGEL,University of Kansas,NA,NA
U13‐21221,2013-11-08,2013-11-08,POSSESSION OF FAKE DL,1734 ENGEL,University of Kansas,NA,NA
U13‐21235,2013-11-09,2013-11-09,KU MISCELLANEOUS (INFO),1404 ALUMNI,University of Kansas,NA,NA
U13‐21393,2013-11-11,2013-11-11,POSSESSION OF DRUG PARAPHERNALIA ,00 ENGEL RD,University of Kansas,NA,NA
U13‐21312,2013-11-10,2013-11-10,POSSESSION OF FAKE DL,1734 ENGEL,University of Kansas,NA,NA
U13‐21206,2013-11-08,2013-11-08,POSSESSION OF MARIJUANA AND THC ,00 ENGEL,University of Kansas,NA,NA
U13‐21252,2013-11-08,2013-11-09,CRIMINAL DAMAGE TO PROPERTY: MIS ,00 ELLIS,University of Kansas,NA,NA
U13‐21256,2013-11-09,NA,MISDEMEANOR,1251 WESCOE HALL,University of Kansas,NA,NA
U13‐21317,2013-11-10,2013-11-10,DUI (ARREST),12TH,University of Kansas,NA,NA
U13‐21311,2013-11-10,2013-11-10,KU MEDICAL EMERGENCY,420 11TH,University of Kansas,NA,NA
U13‐21310,2013-11-10,2013-11-10,KU MEDICAL EMERGENCY,1101 MISSISSIPPI,University of Kansas,NA,NA
U13‐21473,2013-11-11,2013-11-12,THEFT: MISDEMEANOR,1301 JAYHAWK,University of Kansas,NA,NA
U13‐21474,2013-11-11,2013-11-12,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U13‐21560,2013-11-13,2013-11-13,KU FIRES,1603 15TH,University of Kansas,NA,NA
U13‐21604,2013-11-12,2013-11-14,KU MISCELLANEOUS (INFO),2095 CONSTANT,University of Kansas,NA,NA
U13‐21721,2013-11-16,2013-11-16,SEAT BELT VIOLATION,IRVING HILL,University of Kansas,NA,NA
U13‐21726,2013-11-16,2013-11-16,KU MEDICAL EMERGENCY,1405 JAYHAWK,University of Kansas,NA,NA
U13‐21820,2013-11-17,2013-11-17,POSSESSION OF MARIJUANA AND THC ,01 MISSISSIPPI,University of Kansas,NA,NA
U13‐21871,2013-11-15,2013-11-18,,40 WATKINS CENTER,University of Kansas,NA,NA
U13‐21559,2013-11-13,2013-11-13,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐21563,2013-11-13,2013-11-13,KU OTHER AGENCY ASSIST,15TH,University of Kansas,NA,NA
U13‐21996,2013-11-19,2013-11-19,THEFT: LOST‐MISLAID PROPERTY,1530 NAISMITH,University of Kansas,NA,NA
U13‐22063,2013-11-20,2013-11-20,KU MEDICAL EMERGENCY,1001 SUNNYSIDE,University of Kansas,NA,NA
U13‐22080,2013-11-13,2013-11-20,THEFT BY DECEPTION; VALUE UNKNOW,500 11TH,University of Kansas,NA,NA
U13‐22080,2013-11-13,2013-11-20,THEFT BY DECEPTION; MISDEMEANOR,500 11TH,University of Kansas,NA,NA
U13‐22118,2013-11-21,2013-11-21,KU MEDICAL EMERGENCY,1404 ALUMNI,University of Kansas,NA,NA
U13‐21735,2013-11-16,2013-11-16,CRIMINAL DAMAGE TO PROPERTY: MIS,1261 OREAD,University of Kansas,NA,NA
U13‐21786,2013-11-16,2013-11-16,"DISTRIBUTE OPIATES, OPIUM, NARCOTI",1800 ENGEL,University of Kansas,NA,NA
U13‐21716,2013-11-15,2013-11-15,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐21791,2013-11-17,2013-11-17,KU MEDICAL EMERGENCY,1425 JAYHAWK,University of Kansas,NA,NA
U13‐21857,2013-11-18,2013-11-18,THEFT: MISDEMEANOR,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U13‐21836,2013-11-17,2013-11-17,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U13‐21889,2013-11-18,2013-11-18,KU MEDICAL EMERGENCY,1415 JAYHAWK,University of Kansas,NA,NA
U13‐21717,2013-11-16,2013-11-16,KU MEDICAL EMERGENCY,1632 ENGEL,University of Kansas,NA,NA
U13‐21919,2013-11-18,2013-11-18,KU MISCELLANEOUS (INFO),1734 ENGEL,University of Kansas,NA,NA
U13‐21896,2013-10-01,2013-11-18,STALKING; RECKLESS CONDUCT CAUSIN ,34 ENGEL,University of Kansas,NA,NA
U13‐21921,2013-11-18,2013-11-18,KU MEDICAL EMERGENCY,1251 WESCOE HALL,University of Kansas,NA,NA
U13‐21962,2013-11-19,2013-11-19,KU MENTAL,1200 SCHWEGLER,University of Kansas,NA,NA
U13‐22057,2013-11-20,2013-11-20,KU MISCELLANEOUS (INFO),1301 JAYHAWK,University of Kansas,NA,NA
U13‐22073,2013-11-15,2013-11-20,THEFT: LOST‐MISLAID PROPERTY,14TH,University of Kansas,NA,NA
U13‐22445,2013-11-25,2013-11-26,CRIMINAL DAMAGE TO PROPERTY: MIS,500 11TH,University of Kansas,NA,NA
U13‐22458,2013-11-26,2013-11-26,DUTY OF DRIVER TO REPORT ACCIDENT ,30 BECKER,University of Kansas,NA,NA
U13‐22512,2013-11-27,2013-11-27,KU MISCELLANEOUS (INFO),1460 JAYHAWK,University of Kansas,NA,NA
U13‐22894,2013-12-05,2013-12-05,Giving a false alarm; No fiy fire departm ,03 15TH,University of Kansas,NA,NA
U13‐23027,2013-12-07,2013-12-07,DOMESTIC BATTERY; KNOWING RUDE P ,03 15TH,University of Kansas,NA,NA
U13‐23089,2013-12-08,2013-12-08,KU MEDICAL EMERGENCY,1600 STEWART,University of Kansas,NA,NA
U13‐23206,2013-12-10,2013-12-10,KU MISCELLANEOUS (INFO),1425 JAYHAWK,University of Kansas,NA,NA
U13‐23217,2013-12-07,2013-12-10,KU MISCELLANEOUS (INFO),1312 LOUISIANA,University of Kansas,NA,NA
U13‐23263,2013-12-09,2013-12-11,THEFT: LOST‐MISLAID PROPERTY,1445 JAYHAWK,University of Kansas,NA,NA
U13‐23043,2013-12-07,2013-12-07,BURGLARY; VEHICLE TO COMMIT FELON ,00 NAISMITH,University of Kansas,NA,NA
U13‐22327,2013-11-24,2013-11-24,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐22320,2013-11-24,2013-11-24,POSSESSION OF MARIJUANA AND THC ,00 ENGEL,University of Kansas,NA,NA
U13‐22292,2013-11-23,2013-11-23,BATTERY,1800 ENGEL,University of Kansas,NA,NA
U13‐21637,2013-11-15,2013-11-15,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U13‐22181,2013-11-22,2013-11-22,KU MENTAL,1603 15TH,University of Kansas,NA,NA
U13‐22208,2013-11-22,2013-11-22,THEFT OF PROPERTY OR SERVICES; VALU ,0 WEST 11TH,University of Kansas,NA,NA
U13‐22208,2013-11-22,2013-11-22,THEFT OF PROPERTY OR SERVICES; VALU ,0 WEST 11TH,University of Kansas,NA,NA
U13‐22240,2013-11-22,2013-11-22,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U13‐22211,2013-11-22,2013-11-22,KU MEDICAL EMERGENCY,14TH,University of Kansas,NA,NA
U13‐22256,2013-11-23,2013-11-23,DUI (ARREST),15TH,University of Kansas,NA,NA
U13‐21893,2013-11-18,2013-11-18,KU FIRES,1001 SUNNYSIDE,University of Kansas,NA,NA
U13‐22206,2013-11-22,2013-11-22,KU MENTAL,1301 JAYHAWK,University of Kansas,NA,NA
U13‐22204,2013-11-22,2013-11-22,KU MISCELLANEOUS (INFO),1261 OREAD,University of Kansas,NA,NA
U13‐22271,2013-11-22,2013-11-23,CRIMINAL DAMAGE TO PROPERTY: MIS,1734 ENGEL,University of Kansas,NA,NA
U13‐21922,2013-11-16,2013-11-18,KU MISCELLANEOUS (INFO),515 14TH,University of Kansas,NA,NA
U13‐22293,2013-11-22,2013-11-23,CRIMINAL DAMAGE TO PROPERTY; WIT,1530 NAISMITH,University of Kansas,NA,NA
U13‐22307,2013-11-23,2013-11-23,FAILURE TO APPEAR‐TRAFFIC VIOLATIO,11TH,University of Kansas,NA,NA
U13‐22325,2013-11-24,2013-11-24,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐22250,2013-11-23,2013-11-23,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U13‐22336,2013-11-24,2013-11-24,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐22323,2013-11-24,2013-11-24,CRIMINAL DAMAGE TO PROPERTY: MIS ,15 NAISMITH,University of Kansas,NA,NA
U13‐22457,2013-11-26,2013-11-26,POSSESSION OF MARIJUANA AND THC ,34 ENGEL,University of Kansas,NA,NA
U13‐22616,2013-11-30,2013-11-30,KU MEDICAL EMERGENCY,1101 MISSISSIPPI,University of Kansas,NA,NA
U13‐22649,2013-11-26,2013-11-30,CRIMINAL DAMAGE TO PROPERTY; VAL,1443 LOT 107,University of Kansas,NA,NA
U13‐22649,2013-11-26,2013-11-30,CRIMINAL DAMAGE TO PROPERTY; MIS,1443 LOT 107,University of Kansas,NA,NA
U13‐22649,2013-11-26,2013-11-30,ATTEMPTED CRIMINAL DAMAGE TO PR,1443 LOT 107,University of Kansas,NA,NA
U13‐22649,2013-11-26,2013-11-30,CONSPIRACY CRIMINAL DAMAGE TO PR ,43 LOT 107,University of Kansas,NA,NA
U13‐22649,2013-11-26,2013-11-30,SOLICITATION CRIMINAL DAMAGE TO P,1443 LOT 107,University of Kansas,NA,NA
U13‐22691,2013-12-01,2013-12-01,DISORDERLY CONDUCT,1815 NAISMITH,University of Kansas,NA,NA
U13‐22513,2013-11-27,2013-11-27,KU OTHER AGENCY ASSIST,2500 PETEFISH,University of Kansas,NA,NA
U13‐22808,2013-12-03,2013-12-03,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U13‐22314,2013-11-24,2013-11-24,KU MEDICAL EMERGENCY,1603 15TH,University of Kansas,NA,NA
U13‐23057,2013-12-08,2013-12-08,KU MEDICAL EMERGENCY,1426 ALUMNI,University of Kansas,NA,NA
U13‐23063,2013-12-07,2013-12-08,KU MEDICAL EMERGENCY,420 11TH,University of Kansas,NA,NA
U13‐23050,2013-12-07,2013-12-07,"FIREWORKS; POSSESSION, MANUFACTU ",03 15TH,University of Kansas,NA,NA
U13‐23052,2013-12-07,2013-12-07,CRIMINAL DAMAGE TO PROPERTY: MIS ,0 11TH,University of Kansas,NA,NA
U13‐22712,2013-12-02,2013-12-02,KU MEDICAL EMERGENCY,1632 ENGEL,University of Kansas,NA,NA
U13‐22797,2013-12-03,2013-12-03,BURGLARY; NON‐DWELLING WITH INTE ,00 SUNNYSIDE,University of Kansas,NA,NA
U13‐22829,2013-12-04,2013-12-04,KU MEDICAL EMERGENCY,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U13‐22932,2013-12-04,2013-12-05,THEFT: LOST‐MISLAID PROPERTY,1800 NAISMITH,University of Kansas,NA,NA
U13‐22967,2013-12-06,2013-12-06,FAILURE TO APPEAR‐TRAFFIC VIOLATIO,IRVING HILL,University of Kansas,NA,NA
U13‐22957,2013-12-05,2013-12-05,DAMAGE BY GRAFFITI,1415 JAYHAWK,University of Kansas,NA,NA
U13‐22732,2013-11-26,2013-12-02,THEFT: MISDEMEANOR,1734 ENGEL,University of Kansas,NA,NA
U13‐22919,2013-10-31,2013-12-05,THEFT: MISDEMEANOR,1518 LILAC,University of Kansas,NA,NA
U13‐23107,2013-12-08,2013-12-08,KU MEDICAL EMERGENCY,1720 ELLIS,University of Kansas,NA,NA
U13‐23111,2013-12-08,2013-12-08,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐23141,2013-12-08,2013-12-09,KU OTHER AGENCY ASSIST,1501 CRESTLINE,University of Kansas,NA,NA
U13‐23165,2013-12-09,2013-12-09,KU WELFARE CHECK,1815 NAISMITH,University of Kansas,NA,NA
U13‐22887,2013-12-05,2013-12-05,Giving a false alarm; No fiy fire departm ,03 15TH,University of Kansas,NA,NA
U13‐22824,2013-12-03,2013-12-03,"FIREWORKS; POSSESSION, MANUFACTU ",03 15TH,University of Kansas,NA,NA
U13‐22980,2013-12-06,2013-12-06,KU MISCELLANEOUS (INFO),1301 JAYHAWK,University of Kansas,NA,NA
U13‐23151,2013-12-09,2013-12-09,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U13‐23189,2013-12-07,2013-12-10,CRIMINAL DAMAGE TO PROPERTY: MIS ,15 JAYHAWK,University of Kansas,NA,NA
U13‐23197,2013-12-10,2013-12-10,DAMAGE BY GRAFFITI,1415 JAYHAWK,University of Kansas,NA,NA
U13‐23255,2013-12-07,2013-12-11,KU MISCELLANEOUS (INFO),1312 LOUISIANA,University of Kansas,NA,NA
U13‐21104,2013-11-07,2013-11-07,KU VEHICLE TOWS,1301 MISSISSIPPI,University of Kansas,NA,NA
U13‐21079,2013-11-07,2013-11-07,KU MEDICAL EMERGENCY,500 11TH,University of Kansas,NA,NA
U13‐21761,2013-11-16,2013-11-16,KU MENTAL,1515 ENGEL,University of Kansas,NA,NA
U13‐21777,2013-11-16,2013-11-16,KU MEDICAL EMERGENCY,1101 MISSISSIPPI,University of Kansas,NA,NA
U13‐20277,2013-10-27,2013-10-27,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U13‐20262,2013-10-27,2013-10-27,MIP: CMB‐ALCOHOL,.    11TH,University of Kansas,NA,NA
U13‐20350,2013-10-26,2013-10-28,CRIMINAL DAMAGE TO PROPERTY: MIS,1530 15TH,University of Kansas,NA,NA
U13‐20162,2013-10-25,2013-10-25,DISTRIBUTE CERTAIN HALLUCINOGENIC,1603 15TH,University of Kansas,NA,NA
U13‐20278,2013-10-27,2013-10-27,THEFT: MISDEMEANOR,1323 OHIO,University of Kansas,NA,NA
U13‐20279,2013-10-27,2013-10-27,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U13‐20274,2013-10-27,2013-10-27,DUI (ARREST),11TH,University of Kansas,NA,NA
U13‐20241,2013-10-26,2013-10-26,CRIMINAL DAMAGE TO PROPERTY; WIT ,50 MEMORIAL,University of Kansas,NA,NA
U13‐20362,2013-10-28,2013-10-28,KU MEDICAL EMERGENCY,1301 SUNNYSIDE,University of Kansas,NA,NA
U13‐20377,2013-10-20,2013-10-28,STALKING; RECKLESS CONDUCT CAUSIN ,0 11TH,University of Kansas,NA,NA
U13‐20357,2013-10-28,2013-10-28,KU MISCELLANEOUS (INFO),1735 WESTBROOKE,University of Kansas,NA,NA
U13‐20572,2013-10-31,2013-10-31,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U13‐20574,2013-10-31,2013-10-31,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U13‐20387,2013-10-28,2013-10-28,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐20393,2013-10-28,2013-10-28,POSSESSION OF MARIJUANA AND THC ,22 WEST CAMPUS,University of Kansas,NA,NA
U13‐20400,2013-10-28,2013-10-28,KU MISCELLANEOUS (INFO),1734 ENGEL,University of Kansas,NA,NA
U13‐20434,2013-10-29,2013-10-29,POSSESSION OF MARIJUANA AND THC ,15 NAISMITH,University of Kansas,NA,NA
U13‐20504,2013-10-30,2013-10-30,KU MISCELLANEOUS (INFO),1734 ENGEL,University of Kansas,NA,NA
U13‐20468,2013-10-29,2013-10-29,CRIMINAL DAMAGE TO PROPERTY: MIS ,05 PETEFISH,University of Kansas,NA,NA
U13‐20591,2013-10-17,2013-10-31,KU MISSING PERSONS,1415 JAYHAWK,University of Kansas,NA,NA
U13‐20583,2013-10-15,2013-10-31,THEFT: MISDEMEANOR,1450 JAYHAWK,University of Kansas,NA,NA
U13‐20598,2013-10-31,2013-10-31,KU MISCELLANEOUS (INFO),1200 SUNNYSIDE,University of Kansas,NA,NA
U13‐20637,2013-11-01,2013-11-01,POSSESSION OF MARIJUANA AND THC,11TH,University of Kansas,NA,NA
U13‐20571,2013-10-31,2013-10-31,THEFT: MISDEMEANOR,420 11TH,University of Kansas,NA,NA
U13‐20575,2013-10-31,2013-10-31,KU FIRES,1460 JAYHAWK,University of Kansas,NA,NA
U13‐20700,2013-11-01,2013-11-01,KU MEDICAL EMERGENCY,1475 JAYHAWK,University of Kansas,NA,NA
U13‐20736,2013-11-02,2013-11-02,THEFT OF PROPERTY OR SERVICES; VALU ,0 11TH,University of Kansas,NA,NA
U13‐20736,2013-11-02,2013-11-02,THEFT OF PROPERTY OR SERVICES; VALU ,0 11TH,University of Kansas,NA,NA
U13‐20639,2013-11-01,2013-11-01,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐20663,2013-10-31,2013-11-01,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐20672,2013-11-01,2013-11-01,KU MEDICAL EMERGENCY,1440 JAYHAWK,University of Kansas,NA,NA
U13‐20678,2013-10-31,2013-11-01,KU MISCELLANEOUS (INFO),1301 HOCH AUDITORIA,University of Kansas,NA,NA
U13‐20826,2013-11-01,2013-11-03,CRIMINAL DAMAGE TO PROPERTY: MIS ,50 NAISMITH,University of Kansas,NA,NA
U13‐20674,2013-10-31,2013-11-01,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐20799,2013-11-03,2013-11-03,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐20952,2013-11-05,2013-11-05,KU MEDICAL EMERGENCY,1455 JAYHAWK,University of Kansas,NA,NA
U13‐20961,2013-11-05,2013-11-05,KU WELFARE CHECK,1465 JAYHAWK,University of Kansas,NA,NA
U13‐20975,2013-11-05,2013-11-05,KU MISCELLANEOUS (INFO),1455 JAYHAWK,University of Kansas,NA,NA
U13‐20957,2013-11-05,2013-11-05,KU OTHER AGENCY ASSIST,1450 JAYHAWK,University of Kansas,NA,NA
U13‐21035,2013-11-06,2013-11-06,AGGRAVATED BURGLARY,1530 ENGEL,University of Kansas,NA,NA
U13‐21057,2013-11-06,2013-11-06,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U13‐21096,2013-11-06,2013-11-07,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U13‐21020,2013-11-01,2013-11-06,CRIMINAL DAMAGE TO PROPERTY: MIS ,01 HOCH AUDITORIA,University of Kansas,NA,NA
U13‐21114,2013-10-22,2013-11-07,THEFT: LOSS <$,00; INTENT TO PERMA 1450 JAYHAWK,University of Kansas,NA,NA
U13‐21106,2013-11-07,2013-11-07,KU MEDICAL EMERGENCY,1530 NAISMITH,University of Kansas,NA,NA
U13‐21149,2013-11-07,2013-11-07,KU MEDICAL EMERGENCY,1740 WATKINS CENTER,University of Kansas,NA,NA
U13‐20632,2013-10-31,2013-10-31,KU MEDICAL EMERGENCY,500 WEST 11TH,University of Kansas,NA,NA
U13‐21370,2013-11-10,2013-11-10,KU MISCELLANEOUS (INFO),1530 ENGEL,University of Kansas,NA,NA
U13‐21469,2013-11-08,2013-11-12,THEFT: MISDEMEANOR,1530 15TH,University of Kansas,NA,NA
U13‐22155,2013-11-21,2013-11-21,KU WARRANT SERVICE(USE KSAR),1200 SUNNYSIDE,University of Kansas,NA,NA
U13‐22182,2013-11-22,2013-11-22,KU MENTAL,420 11TH,University of Kansas,NA,NA
U13‐22183,2013-11-22,2013-11-22,URINATING‐DEFACATING IN PUBLIC,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U13‐20381,2013-10-28,2013-10-28,LEAV THE SCENE ACCID: ATTENDED (AR ,00 KU LOT 90,University of Kansas,NA,NA
U13‐18293,2013-09-29,2013-09-29,DUI (ARREST),1602 15TH,University of Kansas,NA,NA
U13‐18300,2013-09-29,2013-09-29,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U13‐18292,2013-09-29,2013-09-29,POSSESSION OF FAKE DL,14TH,University of Kansas,NA,NA
U13‐18291,2013-09-28,2013-09-28,URINATING‐DEFACATING IN PUBLIC,1300 LOUISIANA,University of Kansas,NA,NA
U13‐18294,2013-09-29,2013-09-29,KU MISCELLANEOUS (INFO),1335 LOUISIANA,University of Kansas,NA,NA
U13‐18302,2013-09-29,2013-09-29,MIP: CMB‐ALCOHOL,18TH,University of Kansas,NA,NA
U13‐18418,2013-09-26,2013-09-30,THEFT: MISDEMEANOR,1920 CONSTANT,University of Kansas,NA,NA
U13‐18449,2013-09-30,2013-09-30,KU MEDICAL EMERGENCY,1740 WATKINS CENTER,University of Kansas,NA,NA
U13‐18460,2013-09-30,2013-09-30,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U13‐18484,2013-09-30,2013-10-01,KU MISCELLANEOUS (INFO),1301 JAYHAWK,University of Kansas,NA,NA
U13‐18741,2013-10-04,2013-10-04,KU MEDICAL EMERGENCY,1651 NAISMITH,University of Kansas,NA,NA
U13‐18752,2013-10-04,2013-10-04,The of property or services; Value less,1800 NAISMITH,University of Kansas,NA,NA
U13‐18821,2013-10-05,2013-10-05,KU MEDICAL EMERGENCY,1800 NAISMITH,University of Kansas,NA,NA
