incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
ACCIDENT - INJURY,13-000428,07:51,2013-01-07,"BIGELOW BLVD AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-000430,08:25,2013-01-07,"BIGELOW BLVD AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000437,09:20,2013-01-07,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000440,09:57,2013-01-07,"LAWRENCE HALL - 3942 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
REPORT ISSUED IN ERROR,13-000444,12:47,2013-01-07,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000448,13:45,2013-01-07,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000465,18:05,2013-01-07,"5TH AVE AND LOTHROP ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000470,21:04,2013-01-07,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-000495,03:16,2013-01-08,"WPIC - 3811 O'HARA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000510,08:11,2013-01-08,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000513,09:24,2013-01-08,"OFF CAMPUS - OFF CAMPUS PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-000524,14:06,2013-01-08,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - BURGLARY,13-000525,14:08,2013-01-08,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-000617,11:10,2013-01-09,"BARCO LAW BUILDING - 3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000622,12:48,2013-01-09,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISTURBANCE,13-000623,13:21,2013-01-09,"BELLEFIELD HALL - 315 SOUTH BELLEFIELD AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000625,13:29,2013-01-09,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-000627,14:05,2013-01-09,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ASSAULT,13-000629,14:35,2013-01-09,"COLTART ST AND LOUISA ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000632,15:14,2013-01-09,"BOUQUET GARDENS J - 315 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000640,18:11,2013-01-09,"ALUMNI HALL - 4227 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
CARRYING FALSE ID,13-000676,00:50,2013-01-10,"SCHENLEY QUAD - HOUSING ADMIN - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000689,02:15,2013-01-10,"ROBERTO CLEMENTE DR PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000693,03:05,2013-01-10,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000711,08:28,2013-01-10,"OFF CAMPUS - OFF CAMPUS PITTSBURGH,",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000720,10:31,2013-01-10,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000722,10:53,2013-01-10,"DARRAGH STREET LOT (CONSOLIDATED INTO DSAC) - 351 DARRAGH ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-000726,12:28,2013-01-10,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - INJURY,13-000727,12:34,2013-01-10,"OC LOT - ALLEQUIPPA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000734,14:41,2013-01-10,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSAULT,13-000744,16:26,2013-01-10,"SUTHERLAND HALL - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-000779,22:58,2013-01-10,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
CONFISCATION,13-000782,23:24,2013-01-10,"SC LOT - UNIVERSITY DRIVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-000800,01:07,2013-01-11,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
INTOXICATED PERSON,13-000805,01:23,2013-01-11,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-000809,01:50,2013-01-11,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-000812,02:10,2013-01-11,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000813,02:13,2013-01-11,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000836,09:33,2013-01-11,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000844,11:43,2013-01-11,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000846,12:08,2013-01-11,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000847,12:20,2013-01-11,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-000849,12:51,2013-01-11,"PARKVALE BUILDING - 200 MEYRAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000851,14:10,2013-01-11,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DRUG ACTIVITY,13-000864,15:48,2013-01-11,"209 ATWOOD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-000865,16:13,2013-01-11,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-000866,16:32,2013-01-11,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-000891,21:16,2013-01-11,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-000904,23:29,2013-01-11,"S BOUQUET ST AND FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-000907,23:50,2013-01-11,"FRATERNITY HOUSING COMPLEX - UNIVERSITY PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000909,23:51,2013-01-11,"BAYARD ST AND N. CRAIG ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-000912,00:12,2013-01-12,"250 SOUTH BOUQUET STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-000916,00:37,2013-01-12,"FORBES AVE AND BIGELOW BLVD PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-000917,00:39,2013-01-12,"FRATERNITY HOUSING COMPLEX - UNIVERSITY PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
INTOXICATED PERSON,13-000924,01:21,2013-01-12,"O'HARA STUDENT CENTER - 4024 O'HARA STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-000930,01:44,2013-01-12,"OHARA ST AND THACKERAY ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-000932,02:09,2013-01-12,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SMELL OF MARIJUANA,13-000933,02:10,2013-01-12,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000934,02:24,2013-01-12,"LOUISA ST AND MCKEE PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-000947,06:24,2013-01-12,"200 LYTTON AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000953,09:29,2013-01-12,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000955,10:01,2013-01-12,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TICKETING VEHICLES,13-000958,10:34,2013-01-12,"3550 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-000960,11:22,2013-01-12,"OC LOT - ALLEQUIPPA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000962,13:35,2013-01-12,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-000965,15:39,2013-01-12,"SUTHERLAND DR AND ALLEQUIPPA ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000972,16:54,2013-01-12,"PANTER HALLOW LAKE - PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001000,22:46,2013-01-12,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001001,22:54,2013-01-12,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001002,23:06,2013-01-12,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001022,00:34,2013-01-13,"3826 PIER ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001023,01:26,2013-01-13,"UPMC PRESBYTERIAN - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RESISTING ARREST,13-001027,02:20,2013-01-13,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - HIT & RUN,13-001058,13:22,2013-01-13,"3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001059,14:08,2013-01-13,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
DRUG ACTIVITY,13-001070,17:27,2013-01-13,"5TH AVE AT THE I-376 ON RAMP PITTSBRUGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001071,18:30,2013-01-13,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001073,22:11,2013-01-13,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001104,08:20,2013-01-14,"KEYSTONE BUILDING - 3520 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
INTERNAL INVESTIGATION,13-001106,08:36,2013-01-14,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001108,08:47,2013-01-14,"200 MEYRAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001120,13:43,2013-01-14,"FORBES AVE AND BIGELOW BLVD PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001122,14:24,2013-01-14,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001123,15:00,2013-01-14,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001126,15:14,2013-01-14,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-001127,15:37,2013-01-14,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001134,16:32,2013-01-14,"UPMC MONTEFIORE - 3459 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001149,20:08,2013-01-14,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001152,21:54,2013-01-14,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-001153,22:50,2013-01-14,"UNIVERSITY CLUB - 123 UNIVERSITY PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001192,11:21,2013-01-15,"FALK SCHOOL - 4060 ALLEQUIPPA ST PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001195,11:31,2013-01-15,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001197,12:17,2013-01-15,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-001200,14:26,2013-01-15,"3401 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSAULT,13-001201,14:27,2013-01-15,"FRAT 6 (PHI KAPPA ALPHA) - 3731 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001202,15:12,2013-01-15,"TOWERS - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001240,19:15,2013-01-15,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001244,21:03,2013-01-15,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-001290,10:52,2013-01-16,"200 PARKMAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001291,10:56,2013-01-16,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-001292,11:00,2013-01-16,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001294,11:17,2013-01-16,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001295,11:22,2013-01-16,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001300,15:18,2013-01-16,"PARKMAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001307,16:46,2013-01-16,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001316,21:12,2013-01-16,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001364,09:39,2013-01-17,"VICTORIA BUILDING - 3500 VICTORIA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001377,11:33,2013-01-17,"PETERSEN EVENTS CENTER - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001384,13:33,2013-01-17,"PENNSYLVANIA HALL - 3825 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001385,13:36,2013-01-17,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ADMINISTRATIVE DETAIL,13-001387,14:23,2013-01-17,"MCB - , PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISSING PERSON-ADULT,13-001404,18:01,2013-01-17,"WPIC - 3811 O'HARA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-001407,18:43,2013-01-17,"ARBY'S - FORBES AVE PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-001408,19:15,2013-01-17,"FORBES AVE AND OAKLAND AVE PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
RESISTING ARREST,13-001430,00:10,2013-01-18,"BRACKENRIDGE HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001437,00:54,2013-01-18,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
INDECENT EXPOSURE,13-001444,01:26,2013-01-18,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-001463,08:39,2013-01-18,"FORBES PAVILION - 3525 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001475,11:18,2013-01-18,"OC LOT - ALLEQUIPPA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001483,13:11,2013-01-18,"SCAIFE HALL - 3550 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001485,14:06,2013-01-18,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
