location,case_number,date_occurred,time_occurred,date_reported,time_reported,university,incident
100 crouse dr,00059758,2016-11-17,03:50,2016-11-17,03:50,Syracuse University,intx-intoxicated person     
100 CROUSE DR,14-145928,2014-02-05,15:00,2014-02-06,08:57,Syracuse University,BURG-Burglary
100 CROUSE DR,14-154250,2014-02-13,01:00,2014-02-13,02:17,Syracuse University,SUSP-Suspicious Person
100 CROUSE DR,14-437180,2014-09-03,12:45,2014-09-03,12:48,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,14-493447,2014-10-13,18:30,2014-10-14,13:47,Syracuse University,LARC-Larceny
100 CROUSE DR,14-564399,2014-12-08,21:30,2014-12-09,01:47,Syracuse University,CMIS- Criminal Mischief
100 CROUSE DR,15-179803,2015-02-26,11:00,2015-03-03,12:04,Syracuse University,HARR-Harassment
100 CROUSE DR,15-213630,2015-03-28,17:45,2015-03-28,18:01,Syracuse University,DISP- Verbal Dispute
100 CROUSE DR,15-22895,2015-05-09,16:50,2015-05-09,16:52,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,15-439682,2015-09-01,21:15,2015-09-01,21:15,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,15-459788,2015-09-15,07:45,2015-09-15,12:31,Syracuse University,LARC-Larceny
100 CROUSE DR,15-466251,2015-09-19,10:30,2015-09-19,11:56,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,15-530308,2015-11-03,10:45,2015-11-04,10:47,Syracuse University,LARC-Larceny
100 CROUSE DR,17-123641,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,17-218117,NA,NA,NA,NA,Syracuse University,CMIS- Criminal Mischief
100 CROUSE DR,17-239452,NA,NA,NA,NA,Syracuse University,PDAM-Property Damage
100 CROUSE DR,19-125972,2019-01-19,21:30,2019-01-19,21:49,Syracuse University,PINJ-Personal Injury/Injury
100 CROUSE DR,19-220665,2019-03-31,18:15,2019-03-31,18:23,Syracuse University,TRES-Trespassing
100 CROUSE DR,NA,2014-12-11,23:00,2014-12-11,23:04,Syracuse University,PINJ-Personal Injury/Injury
100 E ONONDAGA ST,19-250669,NA,NA,2019-04-22,10:35,Syracuse University,HARR-Harassment
100 euclid ave,00043527,NA,00:17,NA,00:17,Syracuse University,found property          
100 farm acre rd,00040570,NA,00:26,NA,00:26,Syracuse University,stop-vehicle and traffic stop   
100 FARM ACRE RD,15-240608,NA,NA,2015-04-17,18:37,Syracuse University,Motor Vehicle Accident
100 FARM ACRE RD,17-169473,NA,NA,NA,NA,Syracuse University,DRUG-CSC Sanction Only
100 FARM ACRE RD,19-129129,2019-01-22,15:22,2019-01-22,15:22,Syracuse University,DRUG-CSC Sanction Only
100 FINEVIEW PL,14-335995,2014-06-22,19:11,2014-06-22,19:11,Syracuse University,INFO-Police Information
100 GREENWOOD PL,15-333462,2015-06-22,00:51,2015-06-22,00:51,Syracuse University,INFO-Police Information
100 JUDSON ST,19-496444,2019-10-14,22:32,2019-10-14,22:32,Syracuse University,LARC-Larceny
100 lambreth ln,00004296,NA,02:00,NA,04:03,Syracuse University,burg-burglary            
100 LAMBRETH LN,15-322019,2015-06-13,23:45,2015-06-13,23:58,Syracuse University,INFO-Police Information
100 LAMBRETH LN,15-536515,2015-11-06,15:00,2015-11-08,19:28,Syracuse University,BURG-Burglary
100 LAMBRETH LN,19-510246,2019-10-25,13:23,2019-10-25,14:09,Syracuse University,INFO-Police Information
100 LAMBRETH LN,19-539026,2019-11-16,18:20,2019-11-16,18:28,Syracuse University,Motor Vehicle Accident
100 LEXINGTON AVE,14-257941,2014-04-28,23:57,2014-04-28,23:57,Syracuse University,INFO-Police Information
100 marshall st,00002062,NA,03:30,NA,03:30,Syracuse University,intx-intoxicated person      
100 marshall st,00014280,NA,07:02,NA,07:02,Syracuse University,susi-suspicious event/incident  
100 marshall st,00050511,2016-10-07,03:28,2016-10-07,03:28,Syracuse University,intx-intoxicated person      
100 marshall st,00050746,2016-10-09,00:21,2016-10-09,00:21,Syracuse University,city ordin viol-open cont    
100 MARSHALL ST,14-161728,2014-02-19,02:53,2014-02-19,02:53,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 MARSHALL ST,14-270043,2014-05-07,03:00,2014-05-07,03:23,Syracuse University,INFO-Police Information INFO-Police Information INFO-Police Information
100 MARSHALL ST,14-439585,2014-09-04,22:30,2014-09-04,23:54,Syracuse University,LARC-Larceny
100 MARSHALL ST,14-449673,2014-09-12,00:10,2014-09-12,00:12,Syracuse University,INTX-Intoxicated Person
100 MARSHALL ST,15-195444,2015-03-14,23:00,2015-03-14,23:10,Syracuse University,HARR-Harassment HARR-Harassment HARR-Harassment HARR-Harassment HARR-Harassment
100 MARSHALL ST,15-464059,2015-09-18,01:29,2015-09-18,01:29,Syracuse University,INTX-Intoxicated Person
100 MARSHALL ST,15-484420,2015-10-02,02:38,2015-10-02,02:38,Syracuse University,INTX-Intoxicated Person
100 MARSHALL ST,15-569372,2015-12-03,23:08,2015-12-03,23:08,Syracuse University,INTX-Intoxicated Person
100 MARSHALL ST,17-165256,NA,NA,NA,NA,Syracuse University,SHOT-Shots fired
100 MARSHALL ST,17-244488,NA,NA,NA,NA,Syracuse University,INTX-Intoxicated Person
100 MARSHALL ST,17-247014,NA,NA,NA,NA,Syracuse University,Motor Vehicle Accident
100 MARSHALL ST,19-219870,2019-03-31,01:15,2019-03-31,01:15,Syracuse University,DIST-Disturbance
100 MARSHALL ST,19-246405,2019-04-19,00:45,2019-04-19,00:59,Syracuse University,PINJ-Personal Injury/Injury
100 MARSHALL ST,DR 15-131344,2015-01-25,01:56,2015-01-25,01:56,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 mount olympus dr,00001921,NA,04:20,NA,06:11,Syracuse University,harr-harassment            
100 mount olympus dr,00002488,NA,02:50,NA,02:56,Syracuse University,drug-csc sanction only        
100 mount olympus dr,00002967,NA,03:50,NA,03:50,Syracuse University,intx-intoxicated person     
100 mount olympus dr,00003056,NA,02:33,NA,07:47,Syracuse University,burg-burglary           
100 mount olympus dr,00003396,NA,08:06,NA,08:06,Syracuse University,astp-assist police agency     
100 mount olympus dr,00004198,NA,00:17,NA,00:15,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00004379,NA,NA,NA,NA,Syracuse University,NA NA NA NA NA NA NA
100 mount olympus dr,00004958,NA,01:23,NA,00:57,Syracuse University,cmis- criminal mischief      
100 mount olympus dr,00005494,NA,00:20,NA,00:20,Syracuse University,drug-csc sanction only        drug-csc sanction only        drug-csc sanction only       
100 mount olympus dr,00006722,NA,NA,NA,NA,Syracuse University,"NA"
100 mount olympus dr,00007595,NA,00:23,NA,00:23,Syracuse University,ment- emot. disturbed person   
100 mount olympus dr,00008757,NA,04:24,NA,04:24,Syracuse University,harr-harassment            harr-harassment            harr-harassment            harr-harassment           
100 mount olympus dr,00008801,NA,NA,NA,NA,Syracuse University,"NA"
100 mount olympus dr,00011019,NA,01:18,NA,01:18,Syracuse University,intx-intoxicated person      intx-intoxicated person      intx-intoxicated person      intx-intoxicated person     
100 mount olympus dr,00014301,NA,02:30,NA,08:42,Syracuse University,larc-larceny            
100 mount olympus dr,00014694,NA,08:38,NA,08:38,Syracuse University,pinj-personal injury/injury    
100 mount olympus dr,00014761,NA,01:08,NA,01:08,Syracuse University,intx-intoxicated person        intx-intoxicated person        intx-intoxicated person       
100 mount olympus dr,00014778,NA,03:02,NA,03:02,Syracuse University,intx-intoxicated person        intx-intoxicated person        intx-intoxicated person       
100 mount olympus dr,00016317,NA,03:27,NA,03:25,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00017491,NA,04:00,NA,04:19,Syracuse University,ment- emot. disturbed person   
100 mount olympus dr,00017778,NA,02:45,NA,02:47,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00017786,NA,03:09,NA,03:09,Syracuse University,drug-csc sanction only         drug-csc sanction only         drug-csc sanction only        
100 mount olympus dr,00018069,NA,02:00,NA,01:31,Syracuse University,susi-suspicious event/incident  
100 mount olympus dr,00018453,NA,07:00,NA,09:43,Syracuse University,motor vehicle accident      
100 mount olympus dr,00019262,NA,03:44,NA,03:44,Syracuse University,intx-intoxicated person    intx-intoxicated person    intx-intoxicated person    intx-intoxicated person   
100 mount olympus dr,00019267,NA,04:16,NA,04:16,Syracuse University,intx-intoxicated person    intx-intoxicated person    intx-intoxicated person   
100 mount olympus dr,00020219,NA,03:24,NA,03:24,Syracuse University,drug-csc sanction only        
100 mount olympus dr,00021035,NA,00:35,NA,00:35,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00022148,NA,04:01,NA,04:01,Syracuse University,intx-intoxicated person     
100 mount olympus dr,00022435,NA,04:20,NA,04:20,Syracuse University,harr-harassment            
100 mount olympus dr,00024288,NA,03:20,NA,03:20,Syracuse University,cmis- criminal mischief      
100 mount olympus dr,00032809,NA,04:15,NA,04:21,Syracuse University,motor vehicle accident      
100 mount olympus dr,00033945,NA,06:00,NA,00:44,Syracuse University,motor vehicle accident      
100 mount olympus dr,00037912,NA,04:00,NA,00:03,Syracuse University,larc-larceny            
100 mount olympus dr,00041422,NA,01:51,NA,01:47,Syracuse University,pinj-personal injury/injury    
100 mount olympus dr,00041811,NA,02:30,NA,02:30,Syracuse University,intx-intoxicated person     
100 mount olympus dr,00043019,NA,02:20,NA,02:22,Syracuse University,pinj-personal injury/injury  
100 mount olympus dr,00043628,NA,03:15,NA,03:15,Syracuse University,intx-intoxicated person     
100 mount olympus dr,00043840,NA,02:55,NA,02:21,Syracuse University,pinj-personal injury/injury   
100 mount olympus dr,00044161,NA,05:33,NA,05:33,Syracuse University,domv- domestic verbal        
100 mount olympus dr,00045524,NA,02:16,NA,02:16,Syracuse University,found property           
100 mount olympus dr,00045566,NA,02:00,NA,02:02,Syracuse University,intx-intoxicated person       intx-intoxicated person       intx-intoxicated person       intx-intoxicated person      
100 mount olympus dr,00047095,NA,01:42,NA,01:42,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00047315,NA,01:55,NA,01:26,Syracuse University,disp- verbal dispute        
100 mount olympus dr,00048945,2016-10-02,00:42,2016-10-02,00:42,Syracuse University,intx-intoxicated person       intx-intoxicated person       intx-intoxicated person      
100 mount olympus dr,00051154,2016-10-10,09:30,2016-10-10,00:15,Syracuse University,astc-assist citizen        
100 mount olympus dr,00052010,2016-10-03,03:00,2016-10-14,03:16,Syracuse University,csc violation           csc violation           csc violation           csc violation           csc violation          
100 mount olympus dr,00052278,2016-10-15,01:15,2016-10-15,01:55,Syracuse University,burg-burglary            burg-burglary           
100 mount olympus dr,00052697,2016-10-16,03:05,2016-10-16,03:05,Syracuse University,bias - case report        
100 mount olympus dr,00053170,2016-10-18,01:00,2016-10-18,01:06,Syracuse University,pinj-personal injury/injury   
100 mount olympus dr,00055216,NA,NA,NA,NA,Syracuse University,NA NA NA
100 mount olympus dr,00055262,2016-10-28,03:47,2016-10-28,03:47,Syracuse University,intx-intoxicated person      intx-intoxicated person     
100 mount olympus dr,00055677,2016-10-29,02:54,2016-10-29,02:54,Syracuse University,motor vehicle accident      
100 mount olympus dr,00055684,2016-10-29,03:38,2016-10-29,03:40,Syracuse University,harr-harassment           
100 mount olympus dr,00055701,2016-10-30,00:42,2016-10-30,00:43,Syracuse University,intx-intoxicated person      intx-intoxicated person      intx-intoxicated person      intx-intoxicated person     
100 mount olympus dr,00057035,2016-11-04,02:31,2016-11-04,02:31,Syracuse University,alcohol violation        
100 mount olympus dr,00057068,2016-11-05,00:52,2016-11-05,00:52,Syracuse University,domv- domestic verbal        
100 mount olympus dr,00057290,2016-11-06,01:17,2016-11-06,01:17,Syracuse University,found property           
100 mount olympus dr,00057343,2016-11-06,08:13,2016-11-06,08:13,Syracuse University,cmis- criminal mischief      
100 mount olympus dr,00058302,2016-11-11,01:23,2016-11-11,01:23,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00061532,2016-11-27,02:50,2016-11-27,03:07,Syracuse University,drug-csc sanction only        drug-csc sanction only        drug-csc sanction only        drug-csc sanction only       
100 mount olympus dr,00061837,2016-11-29,08:00,2016-11-29,02:27,Syracuse University,pdam-property damage         
100 mount olympus dr,00062639,2016-12-03,01:28,2016-12-03,01:10,Syracuse University,intx-intoxicated person      intx-intoxicated person      intx-intoxicated person     
100 mount olympus dr,00062690,2016-12-03,05:20,2016-12-03,05:20,Syracuse University,intx-intoxicated person      intx-intoxicated person     
100 mount olympus dr,00065366,2016-12-16,00:49,2016-12-16,00:49,Syracuse University,intx-intoxicated person      
100 mount olympus dr,00065575,2016-12-17,00:19,2016-12-17,00:19,Syracuse University,intx-intoxicated person     
100 mount olympus dr,00065580,2016-12-17,00:19,2016-12-17,00:48,Syracuse University,intx-intoxicated person     
100 mount olympus dr,2016,NA,01:23,NA,00:57,Syracuse University,00004958      cmis- criminal mischief     
100 MOUNT OLYMPUS DR,#17-127546,NA,NA,NA,NA,Syracuse University,CMIS- Criminal Mischief
100 MOUNT OLYMPUS DR,14-121561,2014-01-17,11:19,2014-01-17,11:41,Syracuse University,PDAM-Property Damage
100 MOUNT OLYMPUS DR,14-152738,2014-02-11,19:06,2014-02-11,19:06,Syracuse University,MENT- Emot. Disturbed Person
100 MOUNT OLYMPUS DR,14-154530,2014-02-13,07:15,2014-02-13,09:17,Syracuse University,PINJ-Personal Injury/Injury
100 MOUNT OLYMPUS DR,14-156939,2014-02-15,00:01,2014-02-15,02:01,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-167220,2014-02-23,01:00,2014-02-23,11:30,Syracuse University,CMIS- Criminal Mischief CMIS- Criminal Mischief
100 MOUNT OLYMPUS DR,14-182342,2014-02-24,02:31,2014-03-02,01:00,Syracuse University,CSC Violation
100 MOUNT OLYMPUS DR,14-195337,2014-03-12,12:46,2014-03-12,12:46,Syracuse University,Motor Vehicle Accident
100 MOUNT OLYMPUS DR,14-210131,2014-03-23,22:30,2014-03-23,23:40,Syracuse University,MENT- Emot. Disturbed Person
100 MOUNT OLYMPUS DR,14-218169,2014-03-30,02:35,2014-03-30,02:38,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-227448,2014-04-05,22:28,2014-04-05,22:28,Syracuse University,Alcohol Violation Alcohol Violation
100 MOUNT OLYMPUS DR,14-229854,2014-04-07,21:30,2014-04-07,21:52,Syracuse University,HARR-Harassment HARR-Harassment HARR-Harassment HARR-Harassment
100 MOUNT OLYMPUS DR,14-236502,2014-04-12,02:30,2014-04-12,16:57,Syracuse University,Bias - Case Report Bias - Case Report Bias - Case Report
100 MOUNT OLYMPUS DR,14-243856,2014-04-18,00:36,2014-04-18,00:36,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-244491,2014-04-17,21:00,2014-04-18,12:47,Syracuse University,CMIS- Criminal Mischief
100 MOUNT OLYMPUS DR,14-253550,2014-04-25,14:27,2014-04-25,14:27,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-265192,2014-04-29,13:57,2014-05-04,10:57,Syracuse University,LARC-Larceny
100 MOUNT OLYMPUS DR,14-267341,2014-05-06,02:24,2014-05-06,02:24,Syracuse University,PDAM-Property Damage
100 MOUNT OLYMPUS DR,14-348071,2014-07-01,08:25,2014-07-01,11:20,Syracuse University,Motor Vehicle Accident
100 MOUNT OLYMPUS DR,14-421674,2014-08-23,02:10,2014-08-23,02:15,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-421784,2014-08-23,05:17,2014-08-23,05:17,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-429394,2014-08-28,18:47,2014-08-28,18:47,Syracuse University,DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM
100 MOUNT OLYMPUS DR,14-431229,2014-08-30,00:25,2014-08-30,00:50,Syracuse University,INFO-Police Information INFO-Police Information INFO-Police Information
100 MOUNT OLYMPUS DR,14-448623,2014-09-10,22:00,2014-09-11,09:06,Syracuse University,LARC-Larceny
100 MOUNT OLYMPUS DR,14-452565,2014-09-14,02:58,2014-09-14,02:58,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-459297,2014-09-19,02:02,2014-09-19,02:02,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-460814,2014-09-19,19:00,2014-09-20,01:08,Syracuse University,LARC-Larceny
100 MOUNT OLYMPUS DR,14-460831,2014-09-20,01:32,2014-09-20,01:32,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-470659,2014-09-27,02:42,2014-09-27,02:42,Syracuse University,FGHT-Fight No Injuries FGHT-Fight No Injuries FGHT-Fight No Injuries FGHT-Fight No Injuries
100 MOUNT OLYMPUS DR,14-475933,2014-10-01,01:42,2014-10-01,01:42,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-476984,2014-10-01,20:00,2014-10-01,20:04,Syracuse University,PINJ-Personal Injury/Injury
100 MOUNT OLYMPUS DR,14-479939,2014-10-04,00:56,2014-10-04,00:56,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-479942,2014-10-04,01:13,2014-10-04,01:13,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-481075,2014-10-05,00:26,2014-10-05,00:26,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-484113,2014-09-28,19:52,2014-10-07,12:31,Syracuse University,LARC-Larceny
100 MOUNT OLYMPUS DR,14-489146,2014-10-11,00:48,2014-10-11,00:48,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-489985,2014-10-11,18:35,2014-10-11,18:35,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-490438,2014-10-12,01:20,2014-10-12,01:21,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-492113,2014-10-13,14:55,2014-10-13,14:55,Syracuse University,PDAA-Prop. Damage Auto Accident
100 MOUNT OLYMPUS DR,14-515609,2014-10-31,01:19,2014-10-31,01:19,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-526223,2014-11-08,01:59,2014-11-08,01:59,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-531602,2014-11-12,13:10,2014-11-12,13:10,Syracuse University,DRUG-CSC Sanction Only DRUG-CSC Sanction Only DRUG-CSC Sanction Only DRUG-CSC Sanction Only
100 MOUNT OLYMPUS DR,14-535493,2014-11-15,13:30,2014-11-15,13:53,Syracuse University,HARR-Harassment HARR-Harassment HARR-Harassment HARR-Harassment
100 MOUNT OLYMPUS DR,14-536193,2014-11-16,01:08,2014-11-16,01:09,Syracuse University,CSC Violation CSC Violation CSC Violation CSC Violation
100 MOUNT OLYMPUS DR,14-542305,2014-11-21,00:48,2014-11-21,00:48,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,14-542364,2014-11-21,01:59,2014-11-21,01:59,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-138507,2015-01-25,16:00,2015-01-30,13:59,Syracuse University,LARC-Larceny
100 MOUNT OLYMPUS DR,15-141289,2015-02-01,23:50,2015-02-01,23:50,Syracuse University,DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM
100 MOUNT OLYMPUS DR,15-157058,2015-02-14,02:14,2015-02-14,02:14,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-165018,2015-02-20,04:05,2015-02-20,04:07,Syracuse University,INFO-Police Information
100 MOUNT OLYMPUS DR,15-166423,2015-02-20,23:00,2015-02-20,23:18,Syracuse University,DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM
100 MOUNT OLYMPUS DR,15-174405,2015-02-27,02:56,2015-02-27,02:56,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-176971,2015-02-28,15:30,2015-02-28,22:59,Syracuse University,SUSI-Suspicious Event/Incident
100 MOUNT OLYMPUS DR,15-203731,2015-03-21,01:18,2015-03-21,01:18,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-203732,2015-03-21,01:34,2015-03-21,01:34,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-208516,2015-03-24,20:27,2015-03-24,20:28,Syracuse University,DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM DRUG Law Violation-UPM
100 MOUNT OLYMPUS DR,15-210070,2015-03-26,02:40,2015-03-26,02:44,Syracuse University,INTX-Intoxicated Person
100 MOUNT OLYMPUS DR,15-213961,2015-03-29,01:00,2015-03-29,01:15,Syracuse University,INTX-Intoxicated Person
