incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Larceny from Vehicle,C13-0001538.A22,2013-01-24,2013-01-24,17:40,Unknown Location,Marshall University,NA
Shoplifting,C13-0001582.A25,2013-01-25,2013-01-18,10:59,Bookstore,Marshall University,NA
Robbery,C13-0001704.A34,2013-01-27,2013-01-27,00:41,Maple Ave / 18th Street,Marshall University,NA
Capias,C13-0001742.A27,2013-01-27,2013-01-27,21:35,Memorial Student Center,Marshall University,NA
Petit Larceny,C13-0001885.A35,2013-01-29,2013-01-01,16:35,Science Building,Marshall University,NA
Petit Larceny,C13-0001886.A27,2013-01-29,2013-01-29,21:00,Twin Towers East,Marshall University,NA
Larceny from Building,C13-0001991.A22,2013-01-30,2013-01-30,23:13,Twin Towers East,Marshall University,NA
DUI 1st Offense,C13-0002135.A27,2013-02-01,2013-02-01,22:37,500 Block of 20th Street,Marshall University,NA
Underage Consumption,C13-0002136.A24,2013-02-01,2013-02-01,21:00,500 Block / 19th Street,Marshall University,NA
DUI 1st Offense,C13-0002205.A27,2013-02-02,2013-02-02,22:51,1700 Block of 6th Ave,Marshall University,NA
Larceny from Building,C13-0002229.A24,2013-02-01,2013-02-01,15:13,Drinko Library,Marshall University,NA
Capias,C13-0002328.A27,2013-02-05,2013-02-05,02:01,2000 Block / 5th Ave,Marshall University,NA
Destruction of Property,C13-0002383.A35,2013-02-05,2013-02-04,19:35,Student Lot 5th Ave,Marshall University,NA
Destruction of Property,C13-0002462.A17,2013-02-06,2013-02-06,18:22,Student Center Plaza,Marshall University,NA
Consumption of Minor,C13-0002543.A30,2013-02-08,2013-02-08,01:04,John Marshall Drive,Marshall University,NA
Consumption of Minor,C13-0002619.A27,2013-02-09,2013-02-09,02:07,400 Block / 16th Street,Marshall University,NA
Underage Drinking,C13-0002623.A17,2013-02-09,2013-02-09,05:38,Wellman Hall,Marshall University,NA
Consumption of Minor,C13-0002674.A27,2013-02-10,2013-02-10,02:15,John Marshall Drive,Marshall University,NA
Execute State Warrant,C13-0002812.A25,2013-02-12,2013-02-12,12:49,1400 Block / 5th Ave,Marshall University,NA
Striking Unattended Vehicle,C13-0002880.A16,2013-02-13,2013-02-13,11:07,1600 Block / Commerce Ave,Marshall University,NA
Battery,C13-0002899.A28,2013-02-13,2013-02-10,19:40,Gullickson Hall,Marshall University,NA
Underage Drinking,C13-0003039.A27,2013-02-16,2013-02-16,02:49,John Marshall Drive,Marshall University,NA
Underage Drinking,C13-0003048.A27,2013-02-16,2013-02-16,00:13,Twin Towers West,Marshall University,NA
Execute State Warrant,C13-0003208.A27,2013-02-18,2013-02-18,21:10,Recreation Center,Marshall University,NA
Obtaining Money under False Pretense,C13-0003292.A24,2013-02-20,2013-02-16,09:00,Marshall Artist Series,Marshall University,NA
Petit Larceny,C13-0003360.A25,2013-02-20,2013-02-02,13:40,Drinko Library,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0003472.A25,2013-02-23,2013-02-17,14:42,3rd Ave Parking Garaage,Marshall University,NA
Stalking,C13-0003602.A30,2013-02-25,2013-02-25,13:31,Recreation Center,Marshall University,NA
Petit Larceny,C13-0003666.A25,2013-02-26,2013-02-22,11:30,Myers Hall,Marshall University,NA
Larceny from Auto,C13-0003692.A22,2013-02-26,2013-02-26,09:19,South Student Lot,Marshall University,NA
Petit Larceny,C13-0003782.A25,2013-02-28,2013-02-27,13:00,Harris Hall,Marshall University,NA
Possession of Marijuana,C13-0003818.A33,2013-03-01,2013-03-01,00:22,Twin Towers West,Marshall University,NA
Battery on a Police Officer,C13-0004321.A35,2013-03-08,2013-03-08,16:20,Student Center,Marshall University,NA
Striking Unattended Vehicle,C13-0004528.A30,2013-03-11,2013-03-07,14:45,Stadium Lot,Marshall University,NA
Accident,C13-0004765.A33,2013-03-15,2013-03-15,00:15,E lot,Marshall University,NA
Grand Larceny,C13-0005398.A16,2013-03-25,2013-03-25,12:45,Twin Towers West,Marshall University,NA
Grand Larceny,C13-0005401.A23,2013-03-25,2013-03-25,14:14,Forensics Bldg,Marshall University,NA
Harassment,C13-0005455.A25,2013-03-26,2013-03-14,11:05,Twin Towers East,Marshall University,NA
Fraudulant Use of Access Device,C13-0005596.A25,2013-03-28,2013-01-11,13:19,Recreation Center,Marshall University,NA
Underage Consumption,C13-0005631.A30,2013-03-28,2013-03-28,22:30,1600 Block / 4th Ave,Marshall University,NA
Possession of Marijuana,C13-0005664.A24,2013-03-29,2013-03-29,12:02,Holderby Hall,Marshall University,NA
Computer Harassment,C13-0005667.A25,2013-03-29,2013-01-01,13:16,Marshall University Campus,Marshall University,NA
Battery on a Police Officer,C13-0005696.A35,2013-03-29,2013-03-29,18:05,Student Center,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0005912.A25,2013-04-02,2013-03-29,13:47,1800 Block / Maple Ave,Marshall University,NA
Assault,C13-0005914.A25,2013-04-02,2013-04-02,15:13,1600 Block / College Ave,Marshall University,NA
Petit Larceny,C13-0006013.A22,2013-04-03,2013-04-03,21:42,Recreation Center,Marshall University,NA
Battery,C13-0006098.A33,2013-04-05,2013-04-05,02:26,Memorial Student Center Plaza,Marshall University,NA
Assault,C13-0006122.A24,2013-04-05,2013-04-04,11:21,North Residence Hall,Marshall University,NA
Underage Drinking,C13-0006231.A29,2013-04-07,2013-04-07,03:58,Fine Arts,Marshall University,NA
B & E,C13-0006278.A34,2013-04-08,2013-04-08,13:24,Softball Field Parking Lot,Marshall University,NA
Petit Larceny,C13-0006414.A30,2013-04-09,2013-04-09,19:37,Shewey Building,Marshall University,NA
Stalking & Harassing,C13-0006479.A35,2013-04-10,2012-10-10,20:17,North Residence Hall,Marshall University,NA
Burglary,C13-0006586.A25,2013-04-12,2013-04-12,14:32,Twin Towers West,Marshall University,NA
Petit Larceny,C13-0006601.A30,2013-04-12,2013-04-12,17:03,16th Street / 4th Ave,Marshall University,NA
Domestic Assault,C13-0006703.A24,2013-04-14,2013-04-14,13:53,South Residence Hall,Marshall University,NA
Underage Drinking,C13-0006729.A27,2013-04-14,2013-04-14,23:12,North Residence Hall,Marshall University,NA
Underage Drinking,C13-0006730.A27,2013-04-14,2013-04-14,23:41,Twin Towers East,Marshall University,NA
Drug Violation,C13-0006734.A29,2013-04-15,2013-04-15,00:27,Twin Towers West,Marshall University,NA
Larceny from Building,C13-0006991.A22,2013-04-18,2013-04-18,21:40,Smith Music Hall,Marshall University,NA
Underage Drinking Sting,C13-0006993.A27,2013-04-18,2013-04-18,21:00,City Of Huntington,Marshall University,NA
Telephone Harassment,C13-0007028.A30,2013-04-19,2013-04-19,13:03,Resident Halls,Marshall University,NA
Execute Warrant,C13-0007035.A30,2013-04-19,2013-04-19,18:27,Old Main,Marshall University,NA
Buskirk Hall,C13-0007062.A35,2013-04-19,2013-04-19,21:26,Buskirk Hall,Marshall University,NA
Possession of Marijuana,C13-0007123.A27,2013-04-20,2013-04-20,18:53,Holderby Hall,Marshall University,NA
Petit Larceny,C13-0007130.A35,2013-04-20,2013-04-20,23:25,Memorial Student Center,Marshall University,NA
Capias Warrant,C13-0007148.A29,2013-04-21,2013-04-21,14:40,1900 Block / Maple Ave,Marshall University,NA
1st Offense Shoplifting,C13-0007218.A23,2013-04-22,2013-04-22,13:14,Memorial Student Center,Marshall University,NA
Destruction of Property,C13-0007295.A30,2013-04-23,2013-04-23,12:01,Stadium Lot,Marshall University,NA
Possession of a Controlled Substance,C13-0007414.A14,2013-04-25,2013-04-25,11:47,18th Street / College Ave,Marshall University,NA
Threatening Communications by Cell Phone,C13-0007694.A27,2013-04-29,2013-04-29,19:39,South Residence Hall,Marshall University,NA
Possession of Marijuana,C13-0007772.A33,2013-05-01,2013-05-01,00:29,Twin Towers West,Marshall University,NA
Unassigned Incident,C13-0007796.A24,2013-05-01,2013-04-30,10:55,Biotechnology Building,Marshall University,NA
Larceny from Building,C13-0007802.A24,2013-05-01,2013-05-01,14:00,Drinko Library,Marshall University,NA
Larceny from Building,C13-0007881.A31,2013-05-02,2013-05-02,16:50,Twin Towers West,Marshall University,NA
Entering w/o Breaking Auto,C13-0007890.A35,2013-05-02,2013-05-02,17:13,F Lot Parking,Marshall University,NA
Entering w/o Breaking Auto,C13-0007899.A35,2013-05-02,2013-05-02,20:05,Stadium Parking Lot,Marshall University,NA
Larceny from Building,C13-0007901.A22,2013-05-02,2013-05-02,23:10,Memorial Student Center,Marshall University,NA
Execute Warrant,C13-0007950.A30,2013-05-04,2013-05-04,14:08,2000 Block / 5th Ave,Marshall University,NA
Unassigned Incident,C13-0007955.A25,2013-05-03,2013-05-03,15:25,Twin Towers East,Marshall University,NA
Possession/Consumption of Alcohol by a Minor,C13-0008036.A27,2013-05-04,2013-05-04,19:30,Student Lot South,Marshall University,NA
Battery,C13-0008093.A27,2013-05-05,2013-05-05,20:48,Twin Towers East,Marshall University,NA
Petit Larceny,C13-0008213.A27,2013-05-07,2013-05-07,18:20,Wellman Hall,Marshall University,NA
Petit Larceny,C13-0008307.A24,2013-05-09,2013-05-08,08:34,Soccer Complex,Marshall University,NA
Petit Larceny,C13-0008596.A25,2013-05-14,2013-05-14,12:47,Physical Plant,Marshall University,NA
Accident Free Text,C13-0008920.A23,2013-05-20,2013-05-19,11:00,Fine Arts Parking Lot West,Marshall University,NA
Burglary,C13-0008951.A27,2013-05-20,2013-05-20,19:10,Twin Towers West,Marshall University,NA
Destruction of Property,C13-0008979.A25,2013-05-21,2013-05-20,09:06,2000 Block / Buffington,Marshall University,NA
Grand Larceny,C13-0009029.A24,2013-05-22,2013-05-21,08:56,Soccer Complex,Marshall University,NA
Larceny from Building,C13-0009090.A25,2013-05-23,2013-05-22,08:33,Soccer Complex,Marshall University,NA
Larceny from Building,C13-0009464.A35,2013-05-28,2013-05-28,18:59,Henderson Center,Marshall University,NA
Larceny,C13-0009530.A32,2013-05-30,2013-05-30,07:28,Fitness Center,Marshall University,NA
DUI 2nd Offense,C13-0009575.A33,2013-05-31,2013-05-31,01:50,1800 Block / 5th Ave,Marshall University,NA
Larceny from Building,C13-0009793.A16,2013-06-04,2013-06-04,15:18,Myers Hall,Marshall University,NA
Driving Revoked for DUI,C13-0010010.A16,2013-06-08,2013-06-08,12:56,18th Street / 5th Ave,Marshall University,NA
Larceny,C13-0010183.A30,2013-06-11,2013-06-11,12:48,Memorial Student Center,Marshall University,NA
Destruction of Property,C13-0010538.A30,2013-06-17,2013-06-15,11:42,3rd Ave Parking Garage,Marshall University,NA
Larceny from Building,C13-0010962.A30,2013-06-25,2013-04-01,15:44,Buskirk Basement,Marshall University,NA
Damage Property,C13-0011014.A24,2013-06-26,2013-06-26,12:46,Employee F Lot,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0011032.A22,2013-06-26,2013-06-26,17:33,Employee Parking Lot South West,Marshall University,NA
Injure or Tamper with Vehicle,C13-0011115.A24,2013-06-28,2013-06-28,09:00,Athletic Facility Construction Site,Marshall University,NA
Beer Consumption Under 21,C13-0011309.A17,2013-07-02,2013-07-02,01:45,Twin Towers West,Marshall University,NA
Grand Larceny,C13-0011482.A24,2013-07-05,2013-07-05,15:45,Twin Towers West,Marshall University,NA
Petit Larceny,C13-0011694.A16,2013-07-09,2013-07-08,15:20,Twin Towers West,Marshall University,NA
Larceny from Building,C13-0011757.A24,2013-07-10,2013-07-10,14:22,Big Green Scholarship,Marshall University,NA
Leaving the Scene of an Accident,C13-0011804.A24,2013-07-11,2013-07-11,13:44,F Lot 6th Ave,Marshall University,NA
1st Offense DUI,C13-0011956.A27,2013-07-13,2013-07-13,23:01,1900 Block / 5 1/2 Alley,Marshall University,NA
Disorderly Conduct,C13-0012073.A22,2013-07-15,2013-07-15,23:38,Drinko Library,Marshall University,NA
Larceny from Building,C13-0012190.A24,2013-07-18,2013-07-18,13:31,Drinko Library,Marshall University,NA
Petit Larceny,C13-0012311.A27,2013-07-20,2013-07-20,15:51,Drinko Library,Marshall University,NA
Striking Unattended Vehicle,C13-0012680.A27,2013-07-27,2013-07-25,18:41,Student South Lot,Marshall University,NA
Destruction of Property,C13-0012579.A16,2013-07-29,2013-07-26,11:03,Laidley Hall,Marshall University,NA
Larceny from Building,C13-0012806.A25,2013-07-30,2013-07-30,10:33,Recreation Center,Marshall University,NA
Speeding,C13-0012845.A27,2013-07-30,2013-07-30,18:25,1900 Block / 6th Ave,Marshall University,NA
Petit Larceny,C13-0012847.A22,2013-07-30,2013-07-30,18:30,Drinko Library,Marshall University,NA
1st Offense DUI,C13-0013039.A33,2013-08-04,2013-08-04,03:14,1600 Block / 5th Ave,Marshall University,NA
Suicide Attempt,C13-0013256.A27,2013-08-07,2013-08-07,16:11,Twin Towers West,Marshall University,NA
Petit Larceny,C13-0013657.A25,2013-08-11,2013-08-11,12:49,Holderby Hall,Marshall University,NA
Fraudulant Use of Access Card,C13-0013722.A25,2013-08-14,2013-08-04,13:40,School of Medicine,Marshall University,NA
Damaged Property,C13-0014019.A21,2013-08-19,2013-08-15,09:00,Graduate College,Marshall University,NA
Circuit Court Warrant,C13-0014228.A25,2013-08-22,2013-08-22,09:34,Recreation Center,Marshall University,NA
Report of Injury,C13-0014314.A24,2013-08-23,2013-08-23,11:29,Henderson Center,Marshall University,NA
SRL DUI 1st,C13-0014658.A30,2013-08-28,2013-08-28,08:36,1600 Block / 2nd Street,Marshall University,NA
Harassing Text Messages,C13-0014586.A25,2013-08-27,2013-08-27,13:21,MU Campus,Marshall University,NA
Disorderly Conduct,C13-0014672.A25,2013-08-28,2013-08-28,12:41,Harless Café,Marshall University,NA
Receiving Tranferring Stolen Property,C13-0014674.A24,2013-08-28,2013-08-28,13:54,Memorial Student Center,Marshall University,NA
Petit Larceny,C13-0014707.A35,2013-08-28,2013-08-28,19:23,Recreation Center,Marshall University,NA
Battery w/o Serious Injury,C13-0014709.A35,2013-08-28,2013-08-28,23:37,Twin Towers East,Marshall University,NA
Unlawful Drinking Under 21,C13-0014715.A33,2013-08-29,2013-08-29,00:25,Wellman Hall,Marshall University,NA
Possession of Marijuana,C13-0014716.A30,2013-08-29,2013-08-29,00:02,Twin Towers West,Marshall University,NA
B&E Auto,C13-0014740.A23,2013-08-29,2013-08-29,08:26,6th Ave Student Lot,Marshall University,NA
Underage Consumption,C13-0014789.A24,2013-08-29,2013-08-29,11:52,1900 Block / Buffington Ave,Marshall University,NA
Petit Larceny,C13-0014830.A25,2013-08-30,2013-08-30,14:04,Memorial Student Center,Marshall University,NA
Suicide Threats,C13-0014867.A33,2013-08-31,2013-08-30,15:00,Twin Towers West,Marshall University,NA
Destruction of Property,C13-0014931.A27,2013-09-01,2013-09-01,16:18,Sorrell Maintenance,Marshall University,NA
Underage Consumption,C13-0014958.A30,2013-09-02,2013-09-02,02:00,Myers Hall,Marshall University,NA
Information Only,C13-0015036.A25,2013-09-03,2013-09-03,09:21,Memorial Student Center,Marshall University,NA
Petit Larceny,C13-0015042.A25,2013-09-03,2013-09-03,15:03,Gibson Hall,Marshall University,NA
Underage Consumption,C13-0015203.A24,2013-09-06,2013-09-05,21:00,1900 Block / 3rd Ave,Marshall University,NA
Leaving the Scene of an Accident,C13-0015255.A28,2013-09-06,2013-09-05,13:37,6th Ave Parking Garage,Marshall University,NA
Larceny from Building,C13-0015328.A24,2013-09-07,2013-09-06,11:02,Wellman Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0015337.A28,2013-09-07,2013-09-07,17:02,1900 Block / 3 1/2 Alley,Marshall University,NA
Public Intoxication,C13-0015338.A28,2013-09-07,2013-09-07,21:30,Stadium Parking Lot,Marshall University,NA
Threats-Verbal Assault,C13-0015347.A33,2013-09-08,2013-09-08,02:25,Twin Towers East,Marshall University,NA
Endangering Public Safety,C13-0015354.A30,2013-09-08,2013-09-07,16:32,3rd Ave Parking Garage,Marshall University,NA
Destruction of Property,C13-0015446.A28,2013-09-09,2013-09-07,17:16,Gullickson Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0015496.A25,2013-09-10,2013-09-08,12:43,1800 Block / Maple Ave,Marshall University,NA
Petit Larceny,C13-0015504.A25,2013-09-10,2013-09-09,15:43,Twin Towers East,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0015600.A18,2013-09-11,2013-09-11,18:50,F Lot,Marshall University,NA
Larceny,C13-0015645.A23,2013-09-12,2013-09-12,11:00,Drinko Library,Marshall University,NA
Petit Larceny,C13-0015675.A27,2013-09-12,2013-09-12,17:42,Prichard Hall,Marshall University,NA
Battery,C13-0015682.A27,2013-09-12,2013-09-09,19:06,Twin Towers East,Marshall University,NA
Petit Larceny,C13-0015838.A27,2013-09-15,2013-09-15,16:01,Drinko Library,Marshall University,NA
Shoplifting 1st Offense,C13-0015885.A23,2013-09-14,2013-09-14,12:30,Bookstore,Marshall University,NA
Destruction of Property,C13-0015957.A25,2013-09-17,2013-09-15,12:44,Stadium Parking Lot,Marshall University,NA
Domestic Battery,C13-0015959.A16,2013-09-17,2013-09-17,13:10,Drinko Library,Marshall University,NA
Stalking,C13-0016024.A24,2013-09-18,2013-09-01,09:00,University Physicians,Marshall University,NA
Criminal Invasion of Privacy,C13-0016103.A25,2013-09-19,2013-02-01,10:01,North Residence Hall,Marshall University,NA
Petit Larceny,C13-0016104.A25,2013-09-19,2013-09-18,10:35,Twin Towers East,Marshall University,NA
Leaving the Scene of an Accident,C13-0016109.A24,2013-09-19,2013-09-19,11:35,1040 13th Ave Huntington,Marshall University,NA
Harassment,C13-0016117.A31,2013-09-19,2013-09-19,16:38,Wellman Hall,Marshall University,NA
Petit Larceny,C13-0016180.A24,2013-09-20,2013-09-19,12:30,Memorial Student Center,Marshall University,NA
Petit Larceny,C13-0016181.A25,2013-09-20,2013-09-13,12:48,Willis Hall,Marshall University,NA
Striking Unattended Vehicle,C13-0016216.A27,2013-09-20,2013-09-20,22:30,Stadium Parking Lot,Marshall University,NA
Unassigned Incident,C13-0016229.A33,2013-09-21,2013-09-21,01:09,Holderby Hall,Marshall University,NA
Possession of Marijuana,C13-0016398.A27,2013-09-23,2013-09-23,18:12,South Residence Hall,Marshall University,NA
Crash Involving Personal Injuries,C13-0016401.A27,2013-09-23,2013-09-23,23:38,1321 16th Street Huntington,Marshall University,NA
Petit Larceny,C13-0016431.A25,2013-09-21,2013-09-21,13:01,Gibson Hall,Marshall University,NA
Petit Larceny,C13-0016465.A27,2013-09-24,2013-09-24,18:30,Memorial Student Center,Marshall University,NA
Larceny from Building,C13-0016574.A23,2013-09-26,2013-09-26,13:21,Prichard Hall,Marshall University,NA
Petit Larceny,C13-0016642.A25,2013-09-27,2013-09-25,14:24,Myers Hall,Marshall University,NA
Public Intoxication,C13-0016683.A33,2013-09-28,2013-09-28,03:22,Harless Cafeteria,Marshall University,NA
Sexual Assault,C13-0016696.A24,2013-09-28,2013-09-28,14:50,Wellman Hall,Marshall University,NA
Underage Consumption,C13-0016733.A27,2013-09-29,2013-09-29,02:32,John Marshall Drive,Marshall University,NA
Possession of Marijuana,C13-0016838.A31,2013-09-30,2013-09-30,21:56,Twin Towers East,Marshall University,NA
Petit Larceny,C13-0016927.A25,2013-10-02,2013-10-01,NA,Smith Hall,Marshall University,NA
Grand Larceny,C13-0017082.A24,2013-10-04,2013-09-17,NA,Morrow Library,Marshall University,NA
Underage Consumption,C13-0017161.A30,2013-10-06,2013-10-05,NA,Wellman Hall,Marshall University,NA
Public Intoxication,C13-0017192.A30,2013-10-06,2013-10-06,NA,Myers Hall,Marshall University,NA
Unassigned Incident,C13-0017214.A17,2013-10-07,2013-10-07,NA,Twin Towers East,Marshall University,NA
Petit Larceny,C13-0017233.A16,2013-10-07,2013-10-06,NA,1800 Block / College Ave,Marshall University,NA
Petit Larceny,C13-0017246.A16,2013-10-07,2013-10-04,NA,Twin Towers West,Marshall University,NA
Larceny from Building,C13-0017247.A23,2013-10-07,2013-10-03,NA,Myers Hall,Marshall University,NA
Petit Larceny,C13-0017336.A16,2013-10-09,2013-10-09,NA,Twin Towers East,Marshall University,NA
Damage Property,C13-0017453.A24,2013-10-11,2013-10-11,NA,C Lot,Marshall University,NA
Harassment,C13-0017466.A25,2013-10-11,2013-08-01,NA,Recreation Field,Marshall University,NA
Destruction of Property,C13-0017775.A35,2013-10-16,2013-10-16,NA,Stadium Lot,Marshall University,NA
Petit Larceny,C13-0017852.A24,2013-10-18,2013-10-18,NA,Shipping & Receiving,Marshall University,NA
Violation of Domestic Violation Petition,C13-0017866.A31,2013-10-18,2013-10-18,NA,Drinko Library,Marshall University,NA
Unlawful Drinking Under 21,C13-0017976.A32,2013-10-20,2013-10-20,NA,Haymaker Hall,Marshall University,NA
Larceny,C13-0018092.A22,2013-10-21,2013-10-19,NA,Twin Towers East,Marshall University,NA
Unassigned Incident,C13-0018174.A25,2013-10-23,2013-10-23,11:15,Stadium Lot,Marshall University,NA
Petit Larceny,C13-0018338.A35,2013-10-25,2013-10-25,NA,Buskirk / Prichard,Marshall University,NA
Petit Larceny,C13-0018386.A16,2013-10-26,2013-10-26,NA,Smith Hall,Marshall University,NA
Battery,C13-0018460.A25,2013-10-27,2013-10-27,NA,John Marshall Drive,Marshall University,NA
Possesion of Marijuana,C13-0018523.A29,2013-10-28,2013-10-27,NA,Haymaker Hall,Marshall University,NA
Petit Larceny,C13-0018548.A27,2013-10-28,2013-10-25,NA,Corbly Hall,Marshall University,NA
Underage Consumption,C13-0018752.A25,2013-10-31,2013-10-31,NA,MU & Surrounding Areas,Marshall University,NA
Possession of Marijuana,C13-0018809.A24,2013-11-01,2013-11-01,15:16,Bias Property,Marshall University,NA
Burglary-Daytime,C13-0018889.A28,2013-11-02,2013-10-29,12:12,Twin Towers East,Marshall University,NA
Possession of Marijuana,C13-0018905.A28,2013-11-02,2013-11-02,21:29,Twin Towers West,Marshall University,NA
Destruction of Property,C13-0018935.A33,2013-11-03,2013-11-03,07:30,Forensic Science,Marshall University,NA
Petit Larceny,C13-0018967.A31,2013-11-03,2013-10-01,15:45,Prichard Hall,Marshall University,NA
Petit Larceny,C13-0018985.A27,2013-11-03,2013-11-03,17:54,South Residence,Marshall University,NA
Petit Larceny,C13-0019013.A31,2013-11-04,2013-11-04,10:47,South Residence,Marshall University,NA
Destruction of Property,C13-0019168.A23,2013-11-06,2013-11-06,12:59,F Lot 3rd Ave,Marshall University,NA
Burglary,C13-0019546.A16,2013-11-12,2013-11-12,19:08,Stadium,Marshall University,NA
Harassment,C13-0019617.A24,2013-11-13,2013-11-12,10:52,7/11 Convienient Store,Marshall University,NA
Grand Larceny from Building,C13-0019690.A23,2013-11-14,2013-11-04,09:11,Twin Towers West,Marshall University,NA
Possession of Marijuana,C13-0019696.A24,2013-11-14,2013-11-14,14:43,Haymaker Hall,Marshall University,NA
Petit Larceny,C13-0019730.A35,2013-11-14,2013-11-14,19:52,Twin Towers East,Marshall University,NA
Seized Marijuana,C13-0019791.A22,2013-11-15,2013-11-15,19:02,Gibson Hall,Marshall University,NA
Possession of Marijuana,C13-0019818.A33,2013-11-16,2013-11-16,00:14,Twin Towers West,Marshall University,NA
Petit Larceny,C13-0019961.A16,2013-11-18,2013-11-17,12:00,Holderby Hall,Marshall University,NA
Larceny,C13-0020120.A29,2013-11-20,2013-11-15,15:46,Gullickson Hall,Marshall University,NA
Unlawful Drinking Under 21,C13-0020232.A30,2013-11-22,2013-11-22,00:48,1800 Block / 5 1/2 Alley,Marshall University,NA
Underage Consumption,C13-0020262.A30,2013-11-22,2013-11-22,03:27,1800 Block / 5th Ave,Marshall University,NA
Leaving the Scene of Accident,C13-0020566.A24,2013-11-27,2013-11-27,09:28,Stadium,Marshall University,NA
Destruction of Property,C13-0020767.A28,2013-12-01,2013-11-15,20:00,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C13-0020862.A16,2013-12-03,2013-11-05,07:45,Smith Music Hall,Marshall University,NA
Possession of Marijuana,C13-0020829.A22,2013-12-02,2013-12-02,23:15,Holderby Hall,Marshall University,NA
Larceny,C13-0020947.A29,2013-12-04,2013-12-04,18:34,Smith Hall,Marshall University,NA
Shoplifting 1st Offense,C13-0020985.A23,2013-12-05,2013-12-05,12:47,Memorial Student Center,Marshall University,NA
Unlawful Drinking Under 21,C13-0021025.A33,2013-12-06,2013-12-06,01:07,Twin Towers East,Marshall University,NA
Grand Larceny Auto,C13-0021049.A21,2013-12-06,2013-12-05,10:00,MU Graduate College,Marshall University,NA
Striking Unattended Vehicle,C13-0021252.A23,2013-12-10,2013-12-10,13:35,Henderson Center,Marshall University,NA
Unlawful Drinking Under 21,C13-0021281.A32,2013-12-11,2013-12-11,00:01,Wellman Hall,Marshall University,NA
Leaving the Scene,C13-0021300.A35,2013-12-10,2013-12-10,16:00,1800 Block / Maple Ave,Marshall University,NA
Petit Larceny,C13-0021303.A35,2013-12-11,2013-12-11,16:05,Drinko Library,Marshall University,NA
Petit Larceny,C13-0021359.A24,2013-12-12,2013-12-08,14:00,1800 Block / Maple Ave,Marshall University,NA
Larceny,C13-0021367.A22,2013-12-12,2013-12-12,17:00,Gullickson,Marshall University,NA
Underage Consumption,C13-0021468.A30,2013-12-14,2013-12-14,02:29,North Residence Hall,Marshall University,NA
Possession of Marijuana,C13-0021473.A35,2013-12-14,2013-12-14,16:18,Twin Towers East,Marshall University,NA
Underage Drinking,C13-0021558.A16,2013-12-16,2013-12-16,09:02,Twin Towers East,Marshall University,NA
Destruction of Property,C13-0021566.A23,2013-12-16,2013-12-16,11:37,Henderson Center,Marshall University,NA
Larceny,C13-0021568.A31,2013-12-16,2013-12-09,10:30,Gullickson,Marshall University,NA
Larceny,C13-0021710.A23,2013-12-18,2013-12-17,14:39,Henderson Center,Marshall University,NA
Unassigned Incident,C14-0000624.A24,2014-01-11,2014-01-10,14:51,Drinko Library,Marshall University,NA
