case_number,incident,date_reported,location,date_occurred,time_occurred,time_reported,university
1400437,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-30,20 EAGLE ROW,NA,NA,NA,Emory University
1400442,ATLANTA ORDINANCE:  AGGRESSIVE SOLICITATION,2014-01-30,Linden Parking Lot,NA,NA,NA,Emory University
1400445,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-01-30,8 EAGLE ROW,NA,NA,NA,Emory University
1400455,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-31,"GRADY CAMPUS, WOODRUFF EXTENSION BUILDING",NA,NA,NA,Emory University
1400473,FINANCIAL TRANSACTION CARD FRAUD,2014-02-01,OFF CAMPUS,NA,NA,NA,Emory University
1400482,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-02,ELIZER HALL,NA,NA,NA,Emory University
1400505,VGCSA - SCHEDULE II SUBSTANCES,2014-02-03,"MEDICAL OFFICE TOWER, EMORY UNIV HOSPITAL MIDTOWN",NA,NA,NA,Emory University
1400506,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-03,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400515,POSSESSION DISPLAY OR USE OF FALSE ID DOCUMENT,2014-02-04,"MEDICAL OFFICE TOWER, EMORY UNIV HOSPITAL MIDTOWN",NA,NA,NA,Emory University
1400519,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-04,CANDLER SCHOOL OF THEOLOGY (RITA ANNE ROLLINS BUILDING),NA,NA,NA,Emory University
1400524,ENTERING AN AUTO,2014-02-04,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400528,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-04,OXFORD COLLEGE,NA,NA,NA,Emory University
1400531,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-02-04,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400540,"BURGLARY, SECOND DEGREE, FORCIBLE ENTRY",2014-02-05,RICH BUILDING,NA,NA,NA,Emory University
1400561,HARASSING COMMUNICATIONS,2014-02-06,CLIFTON SCHOOL (CLAIRMONT CAMPUS),NA,NA,NA,Emory University
1400562,HARASSING COMMUNICATIONS,2014-02-07,1599 CLIFTON RD BUILDING,NA,NA,NA,Emory University
1400573,MISC STOLEN/RECOVERED VEHICLE,2014-02-07,EMORY UNIVERSITY HOSPITAL LOADING DOCK,NA,NA,NA,Emory University
1400593,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-09,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1400595,ENTERING AN AUTO,2014-02-09,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400598,CRIMINAL ATTEMPT - ENTERING AUTO,2014-02-10,PEAVINE II PARKING DECK (NORTH),NA,NA,NA,Emory University
1400599,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-02-10,HOUSTON MILL HOUSE,NA,NA,NA,Emory University
1400602,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-10,MATH-SCIENCE CENTER,NA,NA,NA,Emory University
1400611,ENTERING AN AUTO,2014-02-11,WOODRUFF RESIDENTIAL CENTER,NA,NA,NA,Emory University
1400625,RAPE,2014-02-11,DOWMAN DR,NA,NA,NA,Emory University
1400627,SEXUAL BATTERY,2014-02-12,10 EAGLE ROW,NA,NA,NA,Emory University
1400637,CRIMINAL ATTEMPT - ENTERING AUTO,2014-02-13,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400643,ENTERING AN AUTO,2014-02-13,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400659,FINANCIAL TRANSACTION CARD FRAUD,2014-02-14,DOMINOS PIZZA,NA,NA,NA,Emory University
1400660,ENTERING AN AUTO,2014-02-14,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400661,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-14,GRACE CRUM ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1400671,ENTERING AN AUTO,2014-02-14,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400737,"BURGLARY, FIRST DEGREE, NON-FORCIBLE ENTRY",2014-02-17,CLAIRMONT CRC BLDG E,NA,NA,NA,Emory University
1400741,"BURGLARY, FIRST DEGREE, NON-FORCIBLE ENTRY",2014-02-17,CLAIRMONT CRC BLDG E,NA,NA,NA,Emory University
1400752,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-18,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400768,"CRIMINAL TRESPASS, INDIVIDUAL",2014-02-19,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400775,"THEFT BY TAKING (BICYCLE, VALUED $1500 OR LESS)",2014-02-19,WOODRUFF MEMORIAL BUILDING,NA,NA,NA,Emory University
1400777,HARASSING COMMUNICATIONS,2014-02-19,EMORY CLINIC A,NA,NA,NA,Emory University
1400810,SIMPLE BATTERY,2014-02-20,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400838,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-02-20,EAGLE ROW AT PEAVINE II DECK,NA,NA,NA,Emory University
1400839,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-02-20,PEAVINE II PARKING DECK (NORTH),NA,NA,NA,Emory University
1400848,"CRIMINAL DAMAGE TO PROPERTY, SECOND DEGREE",2014-02-21,HAYGOOD PARKING LOT,NA,NA,NA,Emory University
1400850,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-21,WOODRUFF MEMORIAL BUILDING,NA,NA,NA,Emory University
1400859,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-02-21,AUTISM CENTER,NA,NA,NA,Emory University
1400869,"THEFT BY TAKING (BICYCLE, VALUED $1500 OR LESS)",2014-02-22,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400887,ENTERING AN AUTO,2014-02-22,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400918,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-02-24,DOOLEYS TAVERN,NA,NA,NA,Emory University
1400922,DEKALB ORDINANCE:  DISORDERLY CONDUCT,2014-02-24,WOODRUFF CIRCLE,NA,NA,NA,Emory University
1400940,ENTERING AN AUTO,2014-02-25,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400943,ENTERING AN AUTO,2014-02-25,WINSHIP CLINIC VALET PARKING,NA,NA,NA,Emory University
1400948,ENTERING AN AUTO,2014-02-25,F LOT,NA,NA,NA,Emory University
1400950,ENTERING AN AUTO,2014-02-25,F LOT,NA,NA,NA,Emory University
1400952,FINANCIAL TRANSACTION CARD FRAUD,2014-02-25,DOMINOS PIZZA,NA,NA,NA,Emory University
1400967,ENTERING AN AUTO,2014-02-26,F LOT,NA,NA,NA,Emory University
1400968,ENTERING AN AUTO,2014-02-26,F LOT,NA,NA,NA,Emory University
1400976,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-26,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1400987,PUBLIC DRUNKENNESS,2014-02-27,12 EAGLE ROW,NA,NA,NA,Emory University
1400991,ENTERING AN AUTO,2014-02-27,Lowergate Parking Deck,NA,NA,NA,Emory University
1400995,HARASSING COMMUNICATIONS,2014-02-27,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401004,THEFT OF LOST OR MISLAID PROPERTY (OVER $500),2014-02-28,WINSHIP CANCER CLINIC,NA,NA,NA,Emory University
1401005,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-02-28,PEDIATRICS CLINIC (EMORY CHILDRENS CENTER),NA,NA,NA,Emory University
1401010,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-02-28,22 EAGLE ROW PARKING LOT,NA,NA,NA,Emory University
1401015,"OBSTRUCTION OBSTRUCTING A LAW ENFORCEMENT OFFICER, MISDEMEANOR",2014-03-01,PIERCE ST at Asbury St,NA,NA,NA,Emory University
NA,OXFORD ORDINANCE:  PUBLIC DRUNKENNESS,2014-03-01,PIERCE ST at Asbury St,NA,NA,NA,Emory University
1401026,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-01,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401029,"GIVING FALSE NAME, ADDRESS, OR DATE OF BIRTH",2014-03-02,Dobbs University Center (C),NA,NA,NA,Emory University
1401038,SIMPLE BATTERY,2014-03-02,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
NA,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-02,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401048,ARREST FOR OTHER AGENCY,2014-03-03,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401052,TERRORISTIC THREATS,2014-03-03,GOIZUETA BUSINESS SCHOOL FOUNDATION CENTER,NA,NA,NA,Emory University
1401069,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-04,QUAD ENERGY PLANT (C),NA,NA,NA,Emory University
1401071,FINANCIAL TRANSACTION CARD FRAUD,2014-03-04,EMORY UNIVERSITY,NA,NA,NA,Emory University
1401076,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-03-04,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401079,BATTERY (VISIBLE BODILY HARM TO ANOTHER),2014-03-04,WESLEY WOODS HOSPITAL,NA,NA,NA,Emory University
1401100,FINANCIAL TRANSACTION CARD FRAUD,2014-03-05,OXFORD COLLEGE,NA,NA,NA,Emory University
1401106,THEFT BY SHOPLIFTING ($300 OR LESS),2014-03-05,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401108,CRIMINAL ATTEMPT - THEFT BY TAKING,2014-03-05,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1401110,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-05,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401111,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-05,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1401113,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-05,COX HALL (C),NA,NA,NA,Emory University
1401115,BATTERY (VISIBLE BODILY HARM TO ANOTHER),2014-03-06,1462 CLIFTON RD (DENTAL SCHOOL BLDG),NA,NA,NA,Emory University
1401127,"BURGLARY, FIRST DEGREE, NON-FORCIBLE ENTRY",2014-03-06,CLAIRMONT TOWER,NA,NA,NA,Emory University
1401131,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-06,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401134,BATTERY (VISIBLE BODILY HARM TO ANOTHER),2014-03-07,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401141,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-07,WINSHIP CANCER CLINIC,NA,NA,NA,Emory University
1401170,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-10,WOODRUFF MEMORIAL BUILDING,NA,NA,NA,Emory University
1401171,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-10,WOODRUFF MEMORIAL BUILDING,NA,NA,NA,Emory University
1401172,THEFT BY SHOPLIFTING ($300 OR LESS),2014-03-10,OXFORD ROAD BUILDING,NA,NA,NA,Emory University
1401207,"THEFT BY TAKING (MV PARTS/ACCESSORIES, EXTERIOR)",2014-03-12,CRC PARKING DECK,NA,NA,NA,Emory University
1401236,THEFT BY SHOPLIFTING ($300 OR LESS),2014-03-13,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401249,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-14,GRACE CRUM ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1401252,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-14,CLAUDIA NANCE ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1401254,SIMPLE ASSAULT,2014-03-14,"MEDICAL OFFICE TOWER, EMORY UNIV HOSPITAL MIDTOWN",NA,NA,NA,Emory University
1401262,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-15,ALABAMA HALL (C),NA,NA,NA,Emory University
1401269,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-03-15,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401285,THEFT BY SHOPLIFTING ($300 OR LESS),2014-03-17,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401295,TERRORISTIC THREATS,2014-03-17,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401308,STALKING (MISDEMEANOR),2014-03-18,"MEDICAL OFFICE TOWER, EMORY UNIV HOSPITAL MIDTOWN",NA,NA,NA,Emory University
1401310,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-18,GOIZUETA BUSINESS SCHOOL,NA,NA,NA,Emory University
1401323,STALKING (MISDEMEANOR),2014-03-19,N DECATUR BUILDING,NA,NA,NA,Emory University
1401329,"THEFT BY TAKING (FROM BLDG, VALUED OVER $1500)",2014-03-19,FLEMING HALL,NA,NA,NA,Emory University
1401333,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-19,BUDD TERRACE,NA,NA,NA,Emory University
1401358,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-21,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401362,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-21,GRACE CRUM ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1401392,ENTERING AN AUTO,2014-03-22,BUDD TERRACE,NA,NA,NA,Emory University
1401410,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-03-23,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401420,FINANCIAL TRANSACTION CARD FRAUD,2014-03-24,PEDIATRICS CLINIC (EMORY CHILDRENS CENTER),NA,NA,NA,Emory University
1401422,INFORMATION REPORT (WILLFUL KILLING-GUN),2014-03-21,46 ARMSTRONG ST SE,NA,NA,NA,Emory University
1401425,"THEFT BY TAKING (FROM BLDG, VALUED OVER $1500)",2014-03-24,ATWOOD HALL,NA,NA,NA,Emory University
1401426,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-24,ATWOOD HALL,NA,NA,NA,Emory University
1401430,DEKALB ORDINANCE:  UNAUTHORIZED PERSONS ENTERING VACANT BUILDINGS,2014-03-31,CANDLER MANSION (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1401452,AGGRAVATED SODOMY,2014-03-25,EAGLE ROW,NA,NA,NA,Emory University
1401453,SEXUAL BATTERY,2014-03-25,OXFORD COLLEGE,NA,NA,NA,Emory University
1401454,RAPE,2014-03-25,EAGLE ROW,NA,NA,NA,Emory University
1401455,RAPE,2014-03-25,CLAIRMONT CAMPUS,NA,NA,NA,Emory University
1401457,SIMPLE BATTERY,2014-03-25,UNKNOWN - MAIN CAMPUS,NA,NA,NA,Emory University
1401459,AGGRAVATED SEXUAL BATTERY,2014-03-25,OXFORD COLLEGE,NA,NA,NA,Emory University
1401460,SEXUAL BATTERY,2014-03-25,OXFORD COLLEGE,NA,NA,NA,Emory University
1401462,RAPE,2014-03-25,HARRIS HALL,NA,NA,NA,Emory University
1401463,SEXUAL BATTERY,2014-03-25,EAGLE ROW,NA,NA,NA,Emory University
1401475,SEXUAL BATTERY,2014-03-25,BUDD TERRACE,NA,NA,NA,Emory University
1401488,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-26,WOODRUFF PHYSICAL EDUCATION CENTER (C),NA,NA,NA,Emory University
1401489,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-26,EMORY CLINIC B,NA,NA,NA,Emory University
1401495,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-27,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401516,"THEFT BY TAKING (FROM BLDG, VALUED OVER $1500)",2014-03-28,GRACE CRUM ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1401518,PROPERTY DAMAGE CRIMINAL VANDALISM TO A PLACE OF WORSHIP,2014-03-28,DAY CHAPEL,NA,NA,NA,Emory University
1401525,"BURGLARY, FIRST DEGREE, NON-FORCIBLE ENTRY",2014-03-28,CLAIRMONT TOWER,NA,NA,NA,Emory University
1401528,SEXUAL BATTERY,2014-03-26,DOBBS HALL (C),NA,NA,NA,Emory University
1401529,SEXUAL BATTERY,2014-03-26,DOBBS HALL (C),NA,NA,NA,Emory University
1401537,VGCSA (POSSESSION OF CONTROLLED SUBSTANCES),2014-03-28,Branham Hall,NA,NA,NA,Emory University
1401548,"THEFT BY TAKING (MV PARTS/ACCESSORIES, EXTERIOR)",2014-03-29,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1401549,"THEFT BY TAKING (MV PARTS/ACCESSORIES, EXTERIOR)",2014-03-29,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1401553,FINANCIAL TRANSACTION CARD THEFT,2014-03-30,OX GRILL (CAFETERIA),NA,NA,NA,Emory University
1401558,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-30,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401567,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-31,CLIFTON SCHOOL (CLAIRMONT CAMPUS),NA,NA,NA,Emory University
1401570,"THEFT BY TAKING (MV PARTS/ACCESSORIES, EXTERIOR)",2014-03-31,Lowergate Parking Deck,NA,NA,NA,Emory University
1401576,THEFT OF LOST OR MISLAID PROPERTY ($500 OR LESS),2014-03-31,CLIFTON RD AT EMORY POINT DR,NA,NA,NA,Emory University
1401577,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-03-31,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401579,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-04-01,PEAVINE II PARKING DECK (NORTH),NA,NA,NA,Emory University
1401581,HARASSING COMMUNICATIONS,2014-04-01,GRACE CRUM ROLLINS SCHOOL OF PUBLIC HEALTH,NA,NA,NA,Emory University
1401586,HARASSING COMMUNICATIONS,2014-04-01,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401587,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-01,WOODRUFF MEMORIAL BUILDING,NA,NA,NA,Emory University
1401590,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-01,WINSHIP CANCER CLINIC,NA,NA,NA,Emory University
1401597,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-04-02,RESIDENCE HALLS COMPLEX,NA,NA,NA,Emory University
1401600,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-02,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1401603,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-02,Dobbs University Center (C),NA,NA,NA,Emory University
1401608,THEFT OF LOST OR MISLAID PROPERTY ($500 OR LESS),2014-04-02,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401612,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-04-03,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401634,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-04,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401660,FINANCIAL TRANSACTION CARD FRAUD,2014-04-05,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1401661,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-05,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401689,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-04-06,TARBUTTON FINE ARTS BUILDING,NA,NA,NA,Emory University
1401700,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-04-06,HEALTH SCIENCES LIBRARY,NA,NA,NA,Emory University
1401702,ENTERING AN AUTO,2014-04-06,Linden Parking Lot,NA,NA,NA,Emory University
1401735,FINANCIAL TRANSACTION CARD FRAUD,2014-04-08,WINSHIP CANCER CLINIC,NA,NA,NA,Emory University
1401742,BATTERY (VISIBLE BODILY HARM TO ANOTHER),2014-04-09,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1401743,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-04-09,1599 CLIFTON RD BUILDING,NA,NA,NA,Emory University
1401746,AGGRAVATED SODOMY,2014-04-08,WOODRUFF RESIDENTIAL CENTER,NA,NA,NA,Emory University
1401747,RAPE,2014-04-08,CLAIRMONT CAMPUS,NA,NA,NA,Emory University
1401748,RAPE,2014-04-08,10 EAGLE ROW,NA,NA,NA,Emory University
1401749,AGGRAVATED SODOMY,2014-04-08,FEW HALL (C),NA,NA,NA,Emory University
1401750,SIMPLE BATTERY,2014-04-08,GAMBRELL HALL (SCHOOL OF LAW),NA,NA,NA,Emory University
