date_reported,case_number,incident,location,date_occurred,time_occurred,time_reported,university
2014-01-07,14-00043,ALL OTHER OFFENSES--WARRANT ARREST,TOLMAN HALL,2014-01-07,11:23,NA,University of California-Berkeley
2014-01-07,14-00044,LARCENY/THEFT--PETTY THEFT -REPORT,LBNL-64,2013-12-10,17:00,NA,University of California-Berkeley
2014-01-07,14-00045,SUSPICIOUS EVENT--SUSPICIOUS PERSON,UPPER SPROUL PLAZA,2014-01-07,12:59,NA,University of California-Berkeley
2014-01-07,14-00046,MEDICAL EVENT--INJURY OR ILLNESS,LBNL-4,2014-01-07,13:22,NA,University of California-Berkeley
2014-01-07,14-00047,BURGLARY--BURGLARY -REPORT,WURSTER HALL,2014-01-06,17:40,NA,University of California-Berkeley
2014-01-07,14-00048,MISC. SERVICE--FOUND PROPERTY,UCPD,2014-01-02,19:00,NA,University of California-Berkeley
2014-01-07,14-00049,MISC. SERVICE--CIVIL ADVICE,UCPD,2013-11-02,9:00,NA,University of California-Berkeley
2014-01-07,14-00050,FORGERY AND--FRAUDULENT USE OF CREDIT,UCPD,2013-09-02,0:00,NA,University of California-Berkeley
2014-01-07,14-00051,ALL OTHER OFFENSES--DRIVING ON SUSPENDED,HASTE TELE,2014-01-07,21:02,NA,University of California-Berkeley
2014-01-07,14-00052,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,HAAS BUSINESS SCHOOL,2014-01-07,17:15,NA,University of California-Berkeley
2014-01-08,12-03482,SUPPLEMENT--SUPPLEMENT,2175 KITTREDGE,2014-01-08,13:13,NA,University of California-Berkeley
2014-01-08,14-00053,DRUG VIOLATIONS--CULTIVATING MARIJUANA,5925 E 16TH ST,2014-01-08,5:35,NA,University of California-Berkeley
2014-01-08,14-00054,MEDICAL EVENT--INJURY OR ILLNESS,ENERGY BIOSCIENCES,2014-01-08,8:50,NA,University of California-Berkeley
2014-01-08,14-00055,OUTSIDE ASSIST--OUTSDE ASSIST BPD COVER,BANC TELE,2014-01-08,13:37,NA,University of California-Berkeley
2014-01-08,14-00056,HAZARD--HAZARDOUS CONDITION,BIRGE HALL,2014-01-08,10:34,NA,University of California-Berkeley
2014-01-08,14-00057,OUTSIDE ASSIST--OUTSDE ASSIST BPD COVER,BANC E BARROWS,2014-01-08,17:30,NA,University of California-Berkeley
2014-01-09,14-00058,MISC. SERVICE--PROPERTY DAMAGE,MCCONE HALL,2014-01-09,7:48,NA,University of California-Berkeley
2014-01-09,14-00059,FORGERY AND--FRAUDULENT USE OF CREDIT,1608 4TH ST,2013-12-21,0:00,NA,University of California-Berkeley
2014-01-09,14-00060,TOW--EXPIRED REGISTRATION OVER,STRUCTURE D,2014-01-09,11:42,NA,University of California-Berkeley
2014-01-09,14-00062,LARCENY/THEFT--GRAND THEFT -REPORT,MINOR HALL,2014-01-08,9:00,NA,University of California-Berkeley
2014-01-09,14-00061,MEDICAL EVENT--INJURY OR ILLNESS,LAWRENCE HALL OF,2014-01-09,13:18,NA,University of California-Berkeley
2014-01-09,14-00063,ALL OTHER OFFENSES--TAMPER WITH FIRE ALARM,REC SPRT FAC,2014-01-09,19:37,NA,University of California-Berkeley
2014-01-09,14-00064,MEDICAL EVENT--INJURY OR ILLNESS,ALUMNI HOUSE,2014-01-09,21:18,NA,University of California-Berkeley
2014-01-09,14-00065,DRUG VIOLATIONS--POSSESSION OF CANNABIS,EAST ASIAN LIBRARY,2014-01-09,22:11,NA,University of California-Berkeley
2014-01-10,14-00066,OTHER ASSAULTS--BATTERY,PEOPLES PARK,2014-01-10,9:00,NA,University of California-Berkeley
2014-01-10,14-00067,MISC. SERVICE--LOST UC KEYS,UC CAMPUS,2014-01-09,9:00,NA,University of California-Berkeley
2014-01-10,14-00068,WELFARE CHECK--WELFARE CHECK,1040 JACKSON STREET,2014-01-10,12:30,NA,University of California-Berkeley
2014-01-10,14-00069,HEALTH AND SAFETY--HEALTH AND SAFETY CODE,PEOPLES PARK,2014-01-10,14:19,NA,University of California-Berkeley
2014-01-10,14-00070,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,PEOPLES PARK,2014-01-10,14:52,NA,University of California-Berkeley
2014-01-10,14-00071,MEDICAL EVENT--INJURY OR ILLNESS,CENTENNIAL DR,2014-01-10,18:05,NA,University of California-Berkeley
2014-01-11,14-00072,ALL OTHER OFFENSES--EXCLUSION FROM CAMPUS,PEOPLES PARK,2011-01-11,11:40,NA,University of California-Berkeley
2014-01-11,14-00073,ROBBERY--ROBBERY - ATTEMPT,PEOPLES PARK,2014-01-11,16:20,NA,University of California-Berkeley
2014-01-11,14-00074,ALL OTHER OFFENSES--TAMPER WITH FIRE ALARM,REC SPRT FAC,2014-01-11,19:32,NA,University of California-Berkeley
2014-01-11,14-00075,LARCENY/THEFT--PETTY THEFT -REPORT,REC SPRT FAC,2014-01-11,21:00,NA,University of California-Berkeley
2014-01-12,14-00076,TRAFFIC--ACCIDENT / NO INJURIES,GAYLEY/RIM WAY,2014-01-12,12:08,NA,University of California-Berkeley
2014-01-12,14-00077,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,CROSSROADS,2014-01-12,9:36,NA,University of California-Berkeley
2014-01-12,14-00078,DRUG VIOLATIONS--POSS OF PARAPHERNALIA,PEOPLES PARK,2014-01-12,11:54,NA,University of California-Berkeley
2014-01-12,14-00079,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,HAAS PAVILION,2014-01-12,15:30,NA,University of California-Berkeley
2014-01-13,13-02589,SUPPLEMENT--SUPPLEMENT,UCPD,2014-01-13,10:10,NA,University of California-Berkeley
2014-01-13,14-00080,ALL OTHER OFFENSES--RULE VIOLATION,CKC-7,2014-01-13,1:49,NA,University of California-Berkeley
2014-01-13,14-00081,MISC. SERVICE--PROPERTY DAMAGE,BERKELEY WAY LOT,2014-01-13,8:55,NA,University of California-Berkeley
2014-01-13,14-00082,MISC. SERVICE--CIVIL ADVICE,3RD AND WASHINGTON,2014-01-09,19:30,NA,University of California-Berkeley
2014-01-13,14-00083,OUTSIDE ASSIST--OUTSIDE ASSIST - BPD,GILMAN ST,2014-01-13,8:10,NA,University of California-Berkeley
2014-01-13,14-00084,MEDICAL EVENT--INJURY OR ILLNESS,605 OHLONE AVE,2014-01-13,12:22,NA,University of California-Berkeley
2014-01-13,14-00085,MISC. SERVICE--LOST UC KEYS,BANWAY,2013-12-20,0:01,NA,University of California-Berkeley
2014-01-13,14-00086,MISC. SERVICE--PROPERTY CONFISCATION,SIGNPOST-15,2014-01-13,14:11,NA,University of California-Berkeley
2014-01-13,14-00087,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,PEOPLES PARK,2014-01-13,15:35,NA,University of California-Berkeley
2014-01-13,14-00088,LARCENY/THEFT--PETTY THEFT -REPORT,LATIMER HALL,2014-01-13,14:30,NA,University of California-Berkeley
2014-01-13,14-00089,MEDICAL EVENT--INJURY OR ILLNESS,PEOPLES PARK,2014-01-13,16:25,NA,University of California-Berkeley
2014-01-13,14-00091,BURGLARY--BURGLARY -REPORT,CKC-24,2014-01-10,17:00,NA,University of California-Berkeley
2014-01-13,14-00090,MEDICAL EVENT--INJURY OR ILLNESS,LBNL-90,2014-01-13,16:35,NA,University of California-Berkeley
2014-01-13,14-00092,TRAFFIC--ACCIDENT / MINOR INJURIES,CENTENNIAL DR,2014-01-13,18:47,NA,University of California-Berkeley
2014-01-14,14-00093,MEDICAL EVENT--INJURY OR ILLNESS,755 OHLONE AVE,2014-01-14,5:35,NA,University of California-Berkeley
2014-01-14,14-00094,WEAPONS VIOLATIONS--POSS KNIFE ON UNIV,UNIT-3 NORTON HALL,2014-01-14,9:11,NA,University of California-Berkeley
2014-01-14,14-00095,MISC. SERVICE--LOST UC KEYS,SAN FRANCISCO,2014-01-13,20:30,NA,University of California-Berkeley
2014-01-14,14-00096,BURGLARY--BURGLARY -REPORT,GOLDMAN SCHOOL PUBLIC,2014-01-09,15:00,NA,University of California-Berkeley
2014-01-14,14-00097,MISC. SERVICE--LOST PROPERTY,REC SPRT FAC,2014-01-14,15:09,NA,University of California-Berkeley
2014-01-14,14-00099,DRUG VIOLATIONS--POSSESSION OF NARCOTICS,UNIT-3 SPENS/BLACK,2014-01-14,15:34,NA,University of California-Berkeley
2014-01-14,14-00098,LARCENY/THEFT--GRAND THEFT -REPORT,GOLDMAN SCHOOL PUBLIC,2014-01-08,12:00,NA,University of California-Berkeley
2014-01-14,14-00100,MISC. SERVICE--CIVIL ADVICE,WHEELER HALL,2014-01-14,16:15,NA,University of California-Berkeley
2014-01-15,14-00101,MEDICAL EVENT--MENTALLY ILL COMMITMENT,EVANS HALL,2014-01-15,9:30,NA,University of California-Berkeley
2014-01-15,14-00102,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,LAWRENCE BERKELEY,2014-01-15,13:51,NA,University of California-Berkeley
2014-01-15,14-00103,FORGERY AND--FRAUDULENT USE OF CREDIT,HILGARD HALL,2013-12-12,0:00,NA,University of California-Berkeley
2014-01-15,14-00104,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,UNIT-1,2014-01-14,15:00,NA,University of California-Berkeley
2014-01-16,14-00105,MEDICAL EVENT--INJURY OR ILLNESS,LAWRENCE HALL OF,2014-01-16,0:30,NA,University of California-Berkeley
2014-01-16,14-00106,FORGERY AND--FRAUDULENT USE OF CREDIT,1608 4TH ST,2014-01-11,0:01,NA,University of California-Berkeley
2014-01-16,14-00107,MISC. SERVICE--LOST UC KEYS,UNKNOWN,2013-12-31,0:01,NA,University of California-Berkeley
2014-01-16,14-00108,FORGERY AND--FRAUDULENT USE OF CREDIT,DWINELLE HALL,2013-12-19,0:00,NA,University of California-Berkeley
2014-01-16,14-00109,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,WHEELER HALL,2014-01-16,11:00,NA,University of California-Berkeley
2014-01-16,14-00110,ALL OTHER OFFENSES--WARRANT ARREST,TELE DWIGHT,2014-01-16,16:49,NA,University of California-Berkeley
2014-01-16,14-00111,ALL OTHER OFFENSES--WARRANT ARREST,2500 BLK HASTE,2014-01-16,22:21,NA,University of California-Berkeley
2014-01-17,14-00069,SUPPLEMENT--SUPPLEMENT,PEOPLES PARK,2014-01-17,3:19,NA,University of California-Berkeley
2014-01-17,14-00112,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,SATHER TOWER,2014-01-17,0:15,NA,University of California-Berkeley
2014-01-17,14-00113,ALL OTHER OFFENSES--UNLICENSED DRIVER,SHATTUCK ALLSTON,2014-01-17,1:49,NA,University of California-Berkeley
2014-01-17,14-00114,DISORDERLY CONDUCT--DRUNK IN PUBLIC,KROEBER PLAZA,2014-01-17,7:44,NA,University of California-Berkeley
2014-01-17,14-00115,MISC. SERVICE--LOST UC KEYS,UNKNOWN,2013-09-01,0:01,NA,University of California-Berkeley
2014-01-17,14-00116,MISC. SERVICE--FOUND PROPERTY,PEOPLES PARK,2014-01-17,11:15,NA,University of California-Berkeley
2014-01-17,14-00117,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,UVA-150,2014-01-16,18:00,NA,University of California-Berkeley
2014-01-17,14-00118,MISC. SERVICE--PROPERTY DAMAGE,LBNL-71B,2014-01-17,0:00,NA,University of California-Berkeley
2014-01-17,14-00119,MISC. SERVICE--LOST PROPERTY,CAMPUS,2014-01-17,12:00,NA,University of California-Berkeley
2014-01-17,14-00120,LARCENY/THEFT--PETTY THEFT -REPORT,LI KA SHING,2014-01-15,11:30,NA,University of California-Berkeley
2014-01-17,14-00121,MEDICAL EVENT--INJURY OR ILLNESS,UNDERHILL LOT,2014-01-17,18:11,NA,University of California-Berkeley
2014-01-17,14-00122,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,KITTREDGE/SHATTUCK,2014-01-17,19:01,NA,University of California-Berkeley
2014-01-17,14-00123,DRUG VIOLATIONS--POSSESION OF,LEVINE FRICKE SOFTBALL,2014-01-17,21:59,NA,University of California-Berkeley
2014-01-18,14-00124,DISORDERLY CONDUCT--DRUNK IN PUBLIC,DURANT/ W TELE,2014-01-18,2:06,NA,University of California-Berkeley
2014-01-18,14-00125,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,UNIT-2,2014-01-17,22:00,NA,University of California-Berkeley
2014-01-18,14-00126,MEDICAL EVENT--INJURY OR ILLNESS,EDWARDS TRACK,2014-01-18,12:04,NA,University of California-Berkeley
2014-01-18,14-00127,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,405 RED OAK AVE,2014-01-17,19:00,NA,University of California-Berkeley
2014-01-18,14-00128,ALL OTHER OFFENSES--VIOLATION OF COURT ORDER,2467 TELEGRAPH AV,2014-01-18,17:08,NA,University of California-Berkeley
2014-01-18,14-00129,ALL OTHER OFFENSES--DRIVING ON SUSPENDED,BOWD AND DWIGHT,2014-01-18,20:09,NA,University of California-Berkeley
2014-01-18,14-00130,DRUG VIOLATIONS--POSS OF PARAPHERNALIA,CHANNING AND TELE,2014-01-18,20:39,NA,University of California-Berkeley
2014-01-18,14-00131,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,GOLDMAN SCHOOL PUBLIC,2014-01-18,22:39,NA,University of California-Berkeley
2014-01-19,14-00132,MEDICAL EVENT--INJURY OR ILLNESS,MAX MARTINEZ,2014-01-19,1:00,NA,University of California-Berkeley
2014-01-19,14-00133,MEDICAL EVENT--INJURY OR ILLNESS,CKC-8,2014-01-19,1:32,NA,University of California-Berkeley
2014-01-19,14-00134,TOW--EXPIRED REGISTRATION OVER,DWIGHT HILLEGASS,2014-01-19,9:37,NA,University of California-Berkeley
2014-01-19,14-00135,ALL OTHER OFFENSES--WARRANT ARREST,UNIVERSITY VILLAGE,2014-01-19,13:23,NA,University of California-Berkeley
2014-01-19,14-00136,MEDICAL EVENT--INJURY OR ILLNESS,BANCROFT/TELEGRAPH,2014-01-19,17:46,NA,University of California-Berkeley
2014-01-19,14-00138,WEAPONS VIOLATIONS--POSS KNIFE ON UNIV,PEOPLES PARK,2014-01-19,22:36,NA,University of California-Berkeley
2014-01-19,14-00137,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,PEOPLES PARK,2014-01-19,22:57,NA,University of California-Berkeley
2014-01-20,14-00139,MEDICAL EVENT--INJURY OR ILLNESS,MAX MARTINEZ,2014-01-20,0:09,NA,University of California-Berkeley
2014-01-20,14-00140,MEDICAL EVENT--INJURY OR ILLNESS,MAX MARTINEZ,2014-01-19,23:00,NA,University of California-Berkeley
2014-01-20,14-00141,MEDICAL EVENT--INJURY OR ILLNESS,UNIT-1 DEUTSCH,2014-01-20,1:48,NA,University of California-Berkeley
2014-01-20,14-00142,MEDICAL EVENT--INJURY OR ILLNESS,STERN HALL,2014-01-20,1:40,NA,University of California-Berkeley
2014-01-20,14-00143,MOTOR VEHICLE THEFT--RECOVERED STOLEN VEHICLE,HARRISON AND 6TH,2014-01-20,2:54,NA,University of California-Berkeley
2014-01-20,14-00144,OUTSIDE ASSIST--OUTSDE ASSIST BPD COVER,TELE BAN,2014-01-20,6:00,NA,University of California-Berkeley
2014-01-20,14-00145,MEDICAL EVENT--INJURY OR ILLNESS,PEOPLES PARK,2014-01-20,7:10,NA,University of California-Berkeley
2014-01-20,14-00146,MISC. SERVICE--PROPERTY DAMAGE,HILDEBRAND HALL,2014-01-19,8:45,NA,University of California-Berkeley
2014-01-20,14-00147,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,EDWARDS TRACK,2014-01-20,9:25,NA,University of California-Berkeley
2014-01-20,14-00150,ALL OTHER OFFENSES--VIOLATION OF PROBATION,335 OHLONE,2014-01-20,12:09,NA,University of California-Berkeley
2014-01-20,14-00148,ALL OTHER OFFENSES--WARRANT ARREST,UNIVERSITY VILLAGE,2014-01-20,14:32,NA,University of California-Berkeley
2014-01-20,14-00149,ALL OTHER OFFENSES--WARRANT ARREST,2401 TELEGRAPH AV,2014-01-20,14:44,NA,University of California-Berkeley
2014-01-20,14-00153,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,EVANS HALL,2014-01-20,13:00,NA,University of California-Berkeley
2014-01-20,14-00151,MEDICAL EVENT--INJURY OR ILLNESS,REC SPRT FAC,2014-01-20,19:02,NA,University of California-Berkeley
2014-01-20,14-00152,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,STERN HALL,2014-01-20,15:30,NA,University of California-Berkeley
2014-01-20,14-00154,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,660 KINKEAD WAY,2014-01-16,0:00,NA,University of California-Berkeley
2014-01-20,14-00155,ALL OTHER OFFENSES--WARRANT ARREST,UNIVERSITY VILLAGE,2014-01-20,22:38,NA,University of California-Berkeley
2014-01-21,14-00156,FIRE--FIRE OF UNKNOWN TYPE,UNIT-2 DAVIDSON,2014-01-21,0:16,NA,University of California-Berkeley
2014-01-21,14-00157,MEDICAL EVENT--INJURY OR ILLNESS,UNDERHILL LOT,2014-01-21,2:47,NA,University of California-Berkeley
2014-01-21,14-00158,LARCENY/THEFT--PETTY THEFT -REPORT,BARROWS HALL,2014-01-20,15:00,NA,University of California-Berkeley
2014-01-21,14-00159,OUTSIDE ASSIST--OUTSIDE ASSIST - BPD,SHATTUCK N/UNIVERSITY,2014-01-20,19:00,NA,University of California-Berkeley
2014-01-21,14-00160,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,VALLEY LSB,2014-01-21,11:00,NA,University of California-Berkeley
2014-01-21,14-00161,MEDICAL EVENT--INJURY OR ILLNESS,HAAS BUSINESS SCHOOL,2014-01-21,12:48,NA,University of California-Berkeley
2014-01-21,14-00162,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,BOALT HALL,2014-01-16,11:00,NA,University of California-Berkeley
2014-01-21,14-00163,MEDICAL EVENT--INJURY OR ILLNESS,LBNL-26,2014-01-21,8:00,NA,University of California-Berkeley
2014-01-21,14-00164,MISC. SERVICE--LOST UC KEYS,SAN DIEGO,2014-01-04,18:00,NA,University of California-Berkeley
2014-01-21,14-00165,MEDICAL EVENT--INJURY OR ILLNESS,HAVILAND HALL,2014-01-21,17:37,NA,University of California-Berkeley
2014-01-21,14-00166,MEDICAL EVENT--INJURY OR ILLNESS,REC SPRT FAC,2014-01-21,19:05,NA,University of California-Berkeley
2014-01-21,14-00167,ALL OTHER OFFENSES--EXCLUSION FROM CAMPUS,SATHER TOWER,2014-01-21,19:27,NA,University of California-Berkeley
2014-01-21,14-00168,MEDICAL EVENT--INJURY OR ILLNESS,UNIVERSITY VILLAGE,2014-01-18,0:00,NA,University of California-Berkeley
2014-01-21,14-00169,MISC. SERVICE--CIVIL ADVICE,CAMPUS,2014-01-21,17:00,NA,University of California-Berkeley
2014-01-22,14-00171,DISORDERLY CONDUCT--DRUNK IN PUBLIC,PIED N CHANN,2014-01-22,1:51,NA,University of California-Berkeley
2014-01-22,14-00170,MEDICAL EVENT--INJURY OR ILLNESS,UNIT-2 DAVIDSON,2014-01-22,2:06,NA,University of California-Berkeley
2014-01-22,14-00172,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,CKC-8,2014-01-22,11:17,NA,University of California-Berkeley
2014-01-22,14-00178,LARCENY/THEFT--GRAND THEFT -REPORT,2401 BANCROFT WAY,2014-01-22,11:43,NA,University of California-Berkeley
2014-01-22,14-00173,DISORDERLY CONDUCT--PROWLING/PRIV PROP,2130 CENTER ST,2014-01-22,12:55,NA,University of California-Berkeley
2014-01-22,14-00174,ALL OTHER OFFENSES--RULE VIOLATION,HAAS PAVILION,2014-01-18,12:30,NA,University of California-Berkeley
2014-01-22,14-00175,ALL OTHER OFFENSES--RULE VIOLATION,COLLEGE HASTE,2014-01-22,21:24,NA,University of California-Berkeley
2014-01-23,13-00900,SUPPLEMENT--SUPPLEMENT,UCPD,2014-01-23,7:21,NA,University of California-Berkeley
2014-01-23,14-00176,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,LBNL-65,2014-01-23,5:18,NA,University of California-Berkeley
2014-01-23,14-00177,MEDICAL EVENT--INJURY OR ILLNESS,VALLEY LSB,2014-01-23,7:43,NA,University of California-Berkeley
2014-01-23,14-00179,MISC. SERVICE--LOST UC KEYS,LECONTE HALL,2014-01-01,11:59,NA,University of California-Berkeley
2014-01-23,14-00180,VANDALISM--MALICIOUS MISCHIEF - REPORT,BOWLES HALL,2014-01-22,1:00,NA,University of California-Berkeley
2014-01-23,14-00181,FORGERY AND--FRAUDULENT USE OF CREDIT,2251 COLLEGE AV,2014-01-19,8:00,NA,University of California-Berkeley
2014-01-23,14-00182,MISC. SERVICE--LOST UC KEYS,CLARK KERR CAMPUS,2014-01-21,11:45,NA,University of California-Berkeley
2014-01-23,14-00183,MISC. SERVICE--LOST PROPERTY,SOUTH KOREA,2014-01-16,9:00,NA,University of California-Berkeley
2014-01-23,14-00185,LARCENY/THEFT--PETTY THEFT -REPORT,DWINELLE HALL,2014-01-23,13:27,NA,University of California-Berkeley
2014-01-23,14-00186,FIRE ALARM--FIRE ALARM SOUNDING,HILDEBRAND HALL,2014-01-23,13:42,NA,University of California-Berkeley
2014-01-23,14-00184,ALL OTHER OFFENSES--RULE VIOLATION,UCPD,2014-01-15,0:00,NA,University of California-Berkeley
2014-01-23,14-00187,TRAFFIC--ACCIDENT / MINOR INJURIES,WEST CRESCENT,2014-01-23,16:45,NA,University of California-Berkeley
2014-01-23,14-00188,DISORDERLY CONDUCT--DRUNK IN PUBLIC,HASTE / DANA,2014-01-23,22:22,NA,University of California-Berkeley
2014-01-23,14-00189,MEDICAL EVENT--INJURY OR ILLNESS,UNIT-2 TOWLE,2014-01-23,23:28,NA,University of California-Berkeley
