case_number,time_occurred,time_reported,university,date_reported,date_occurred,location,incident
13000022,00:14,00:14,University of Iowa,2013-01-04,2013-01-04,BROTHERS BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000023,00:47,00:47,University of Iowa,2013-01-04,2013-01-04,100 BLK S DUBUQUE,PUBLIC INTOX
13000024,01:41,01:41,University of Iowa,2013-01-04,2013-01-04,118 S DUBUQUE ST,INTERFERENCE W/OFFICIAL ACTS PUBLIC INTOX 2ND CONV
13000025,01:59,01:59,University of Iowa,2013-01-04,2013-01-04,CLINTON/WASHINGTON,OWI/DRUGGED 1ST OFFENSE
13000026,00:00,08:11,University of Iowa,2013-01-04,2012-11-05,HOSPITAL,THEFT 2ND - BY DECEPTION PROHIBITED ACTS:DRUGS
13000027,00:00,08:01,University of Iowa,2013-01-04,2013-01-02,"MAPF, LEVEL 3",THEFT 5TH DEGREE
13000029,00:00,18:30,University of Iowa,2013-01-04,2012-11-30,BOWEN SCIENCE BLDG,STOLEN UI PROPERTY THEFT 5TH DEGREE
13000030,21:45,21:45,University of Iowa,2013-01-04,2013-01-04,SPORTS COLUMN BAR,POSSESSION/SUPPLY ALCOHOL U/21
13000032,00:36,00:36,University of Iowa,2013-01-05,2013-01-05,1100 N DUBUQUE ST,DRUG RELATED POSSESSION:CONTROL SUBSTANCE
13000034,02:40,02:40,University of Iowa,2013-01-05,2013-01-05,WASHINGTON/CAPITOL,OWI/DRUGGED 1ST OFFENSE
13000036,02:40,02:42,University of Iowa,2013-01-05,2013-01-05,"HOSPITAL, ER",PUBLIC INTOX
13000038,11:06,11:06,University of Iowa,2013-01-05,2013-01-05,"UCC, 2ND FL",CTW ISSUED UNAUTHORIZED PERSONS/ACTIVITY
13000041,15:12,15:12,University of Iowa,2013-01-07,2013-01-07,MEDICAL EDUCATION BLDG,SUSPICIOUS PERSONS/ACTIVITY
13000043,01:49,01:49,University of Iowa,2013-01-08,2013-01-08,COLLEGE/CLINTON,OWI/DRUGGED 1ST OFFENSE
13000045,15:25,15:25,University of Iowa,2013-01-08,2013-01-08,OFF CAMPUS,ASSIST OTHER AGENCY
13000050,23:56,23:56,University of Iowa,2013-01-08,2013-01-08,SPORTS COLUMN BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000051,00:06,00:06,University of Iowa,2013-01-09,2013-01-09,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS PUBLIC INTOX"
13000052,00:24,00:24,University of Iowa,2013-01-09,2013-01-09,JOES PLACE BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS"
13000054,16:20,16:20,University of Iowa,2013-01-09,2013-01-09,"LOT 64, SOUTHWEST SIDE",STRIKING UNATTENDED VEHICLE
13000060,00:02,00:02,University of Iowa,2013-01-10,2013-01-10,BLUE MOOSE BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS"
13000062,00:51,00:51,University of Iowa,2013-01-10,2013-01-10,HOPE LODGE,PUBLIC INTOX
13000063,00:00,06:09,University of Iowa,2013-01-10,2013-01-09,"HAWKS RIDGE, BLDG 3 PARKING",CRIMINAL MISCHIEF 4TH DEGREE THEFT 5TH DEGREE
13000064,12:10,12:10,University of Iowa,2013-01-10,2013-01-10,"IMU, RIVER ROOM",THEFT 4TH DEGREE
13000066,02:10,02:41,University of Iowa,2013-01-11,2013-01-11,HOPE LODGE,HARASSMENT 3RD DEGREE
13000067,01:57,01:57,University of Iowa,2013-01-11,2013-01-11,WASHINGTON/GILBERT,OWI/DRUGGED 1ST OFFENSE
13000068,06:33,06:33,University of Iowa,2013-01-11,2013-01-11,SEASHORE HALL,CTW ISSUED SUSPICIOUS PERSONS/ACTIVITY
13000070,20:16,20:16,University of Iowa,2013-01-11,2013-01-11,BURLINGTON/GILBERT,UNLAWFUL USE OF DRIVER'S LICEN POSSESSION/SUPPLY ALCOHOL U/21 2ND
13000071,20:23,20:23,University of Iowa,2013-01-11,2013-01-11,"CDD, PARKING LOT",HARASSMENT 3RD DEGREE
13000072,20:37,20:37,University of Iowa,2013-01-11,2013-01-11,"HOSPITAL, JPP",SUSPICIOUS PERSONS/ACTIVITY
13000073,22:52,22:52,University of Iowa,2013-01-11,2013-01-11,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS"
13000077,02:01,02:01,University of Iowa,2013-01-12,2013-01-12,DUBUQUE ST RAMP,"CITY,PUBLIC URINATION & DEFECATION"
13000078,02:18,02:18,University of Iowa,2013-01-12,2013-01-12,2ND ST/22ND AVE,OWI/DRUGGED 2ND OFFENSE
13000079,04:34,04:36,University of Iowa,2013-01-12,2013-01-12,S CAPITOL ST/ LAFAYETTE ST,PUBLIC INTOX
13000083,00:00,15:30,University of Iowa,2013-01-12,2013-01-12,"HOSPITAL RAMP I, 2ND LEVEL",THEFT 5TH DEGREE
13000084,23:51,23:51,University of Iowa,2013-01-12,2013-01-12,BO JAMES BAR,"CITY,IN BARS AFTER HOURS UNLAWFUL USE OF DRIVER'S LICEN"
13000085,00:19,00:19,University of Iowa,2013-01-13,2013-01-13,FIELDHOUSE BAR,"CITY, IN BARS AFTER HOURS 3RD OFFENSE CITY,IN BARS AFTER HOURS"
13000086,01:49,01:49,University of Iowa,2013-01-13,2013-01-13,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS FALSIFYING DRIVER LICENSES UNLAWFUL USE OF DRIVER'S LICEN PUBLIC INTOX"
13000087,01:55,01:55,University of Iowa,2013-01-13,2013-01-13,2ND ST/HAWKINS,SUICIDE:THREATENED OWI/DRUGGED 1ST OFFENSE
13000088,06:41,06:41,University of Iowa,2013-01-13,2013-01-13,IMU,CTW ISSUED UNAUTHORIZED PERSONS/ACTIVITY
13000089,00:00,00:00,University of Iowa,2013-01-14,2013-01-14,DC S BAR,"CITY,IN BARS AFTER HOURS"
13000090,00:16,00:16,University of Iowa,2013-01-14,2013-01-14,FIELDHOUSE BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000091,01:13,01:13,University of Iowa,2013-01-14,2013-01-14,IOWA AVE/N DUBUQUE ST,PUBLIC INTOX
13000093,11:34,11:34,University of Iowa,2013-01-14,2013-01-14,"HOSPITAL RAMP II, ACCESS RD N",1050PD:MV/FIXED OBJECT
13000100,00:19,00:19,University of Iowa,2013-01-15,2013-01-15,DC S BAR,"POSSESSION/SUPPLY ALCOHOL U/21 UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000101,01:40,01:40,University of Iowa,2013-01-15,2013-01-15,PINTS BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS 2ND OFFENSE"
13000117,21:42,21:45,University of Iowa,2013-01-15,2013-01-15,CRWC,THEFT 5TH DEGREE
13000119,01:14,01:14,University of Iowa,2013-01-16,2013-01-16,PINTS BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000120,02:07,02:07,University of Iowa,2013-01-16,2013-01-16,MARKET/GILBERT,OWI/DRUGGED 1ST OFFENSE
13000121,10:45,10:45,University of Iowa,2013-01-16,2013-01-16,"HOSPITAL, JPP 4TH FLOOR",CRIMINAL TRESPASS
13000122,11:18,11:18,University of Iowa,2013-01-16,2013-01-16,"HOSPITAL, JPP",ASSAULT ON PO/HCP C/INJURY ASSAULT ON PO/HCP
13000123,11:39,11:39,University of Iowa,2013-01-16,2013-01-16,"MAPF, 2ND LEVEL",1050PD:MV/MOTOR VEH
13000124,00:00,14:19,University of Iowa,2013-01-16,2012-12-26,MERF,THEFT 5TH DEGREE
13000127,22:32,22:32,University of Iowa,2013-01-16,2013-01-16,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS CITY,IN BARS AFTER HOURS 2ND OFFENSE"
13000128,22:55,22:55,University of Iowa,2013-01-16,2013-01-16,DC S BAR,"CITY,IN BARS AFTER HOURS"
13000129,01:03,01:03,University of Iowa,2013-01-17,2013-01-17,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS"
13000130,01:46,01:46,University of Iowa,2013-01-17,2013-01-17,"100 BLK S DUBUQUE, ALLEY","CITY,PUBLIC URINATION & DEFECATION"
13000131,00:00,10:51,University of Iowa,2013-01-17,2013-01-09,"DAUM HALL, 5TH FLOOR LOUNGE",THEFT 2ND DEGREE
13000132,11:26,11:20,University of Iowa,2013-01-17,2013-01-17,"HOSPITAL, 2JCP",ASSIST OTHER AGENCY
13000133,00:00,14:16,University of Iowa,2013-01-17,2012-12-09,"HOSPITAL, ED PATIENT RM",THEFT 5TH DEGREE
13000134,00:00,14:07,University of Iowa,2013-01-17,2012-12-23,IATL,SUSPICIOUS PERSONS/ACTIVITY
13000137,22:35,22:35,University of Iowa,2013-01-17,2013-01-17,UNION BAR,"CITY,IN BARS AFTER HOURS"
13000138,22:46,22:46,University of Iowa,2013-01-17,2013-01-17,DC S BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS"
13000139,00:43,00:43,University of Iowa,2013-01-18,2013-01-18,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS"
13000144,23:04,23:04,University of Iowa,2013-01-18,2013-01-18,PBB,PUBLIC INTOX
13000145,00:07,00:07,University of Iowa,2013-01-19,2013-01-19,UNION BAR,"UNLAWFUL USE OF DRIVER'S LICEN INTERFERENCE W/OFFICIAL ACTS CITY, IN BARS AFTER HOURS 3RD OFFENSE PUBLIC INTOX"
13000146,01:16,01:16,University of Iowa,2013-01-19,2013-01-19,DC S BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000147,01:34,01:34,University of Iowa,2013-01-19,2013-01-19,DC S BAR,PUBLIC INTOX
13000148,02:12,02:12,University of Iowa,2013-01-19,2013-01-19,111 1/2  S DUBUQUE ST,PUBLIC INTOX
13000152,20:06,20:06,University of Iowa,2013-01-19,2013-01-19,CARVER HAWKEYE ARENA,PUBLIC INTOX CRIMINAL TRESPASS
13000153,21:15,21:51,University of Iowa,2013-01-19,2013-01-19,CARVER HAWKEYE ARENA,PUBLIC INTOX
13000154,01:41,01:41,University of Iowa,2013-01-20,2013-01-20,13 S LINN ST,INTOXICATED SUBJECTS
13000155,01:31,01:31,University of Iowa,2013-01-20,2013-01-20,"DAUM, OUTSIDE",INTOXICATED SUBJECTS
13000156,01:53,01:53,University of Iowa,2013-01-20,2013-01-20,W BURLINGTON ST/S MADISON ST,ASSIST OTHER AGENCY
13000161,19:12,19:12,University of Iowa,2013-01-20,2013-01-20,"RIENOW HALL, N EXTERIOR",SUSPICIOUS PERSONS/ACTIVITY
13000163,01:09,01:09,University of Iowa,2013-01-21,2013-01-21,"HOSPITAL, ETC",ASSAULT ON PO/HCP OWI/DRUGGED 1ST OFFENSE
13000164,02:30,02:30,University of Iowa,2013-01-21,2013-01-21,MAYFLOWER HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000165,03:05,03:05,University of Iowa,2013-01-21,2013-01-21,CURRIER HALL,INTOXICATED SUBJECTS
13000166,06:58,06:58,University of Iowa,2013-01-21,2013-01-21,"HOSPITAL, ED TRIAGE AREA",ASSAULT ON PO/HCP W/INT TO C/SER INJURY
13000167,19:16,19:18,University of Iowa,2013-01-21,2013-01-21,"HOSPITAL, EMERGENCY DEPT",CTW ISSUED THEFT 5TH DEGREE
13000168,20:55,20:55,University of Iowa,2013-01-21,2013-01-21,PARKLAWN,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000169,00:47,00:47,University of Iowa,2013-01-22,2013-01-22,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS"
13000170,01:54,01:54,University of Iowa,2013-01-22,2013-01-22,BURGE HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000171,03:46,03:46,University of Iowa,2013-01-22,2013-01-22,RIENOW HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000172,00:00,08:00,University of Iowa,2013-01-22,2013-01-22,MAYFLOWER HALL,ASSIST OTHER AGENCY
13000175,00:34,00:34,University of Iowa,2013-01-23,2013-01-23,DC S BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000176,10:03,10:03,University of Iowa,2013-01-23,2013-01-23,HOSPITAL,ASSIST OTHER AGENCY
13000177,11:02,11:02,University of Iowa,2013-01-23,2013-01-23,HILLCREST. C200 MEN'S BATHROOM,CTW ISSUED SUSPICIOUS PERSONS/ACTIVITY
13000178,17:36,17:36,University of Iowa,2013-01-23,2013-01-23,LINDQUIST CENTER,SEXUAL ABUSE 3RD DEGREE
13000179,00:00,08:36,University of Iowa,2013-01-24,2013-01-23,"MED LABS, BIKE RACK",THEFT 3RD DEGREE
13000180,00:00,09:22,University of Iowa,2013-01-24,2013-01-23,"MAPF, LEVEL 4",THEFT 2ND DEGREE
13000181,17:06,17:06,University of Iowa,2013-01-24,2013-01-24,"MED LABS, NW BIKE RACK",THEFT 4TH DEGREE
13000182,14:34,14:34,University of Iowa,2013-01-20,2013-01-20,CARVER HAWKEYE ARENA,PERSONAL INJURY
13000183,22:27,22:27,University of Iowa,2013-01-24,2013-01-24,"LIBRARY, 2ND FL GROUP STUDY AREA",THEFT 3RD DEGREE
13000184,23:14,23:14,University of Iowa,2013-01-24,2013-01-24,DUBUQUE/KIMBALL,POSSESSION/SUPPLY ALCOHOL U/21 PUBLIC INTOX
13000185,00:12,00:12,University of Iowa,2013-01-25,2013-01-25,"LIBRARY, 1ST FL",CTW ISSUED CRIMINAL TRESPASS
13000186,01:24,01:24,University of Iowa,2013-01-25,2013-01-25,DUBUQUE/CHURCH,PUBLIC INTOX
13000187,08:35,08:35,University of Iowa,2013-01-25,2013-01-25,"HOSPITAL, HALLWAY OUTSIDE OF COMPASS CAFE",DOMESTIC DISTURBANCE
13000189,16:39,16:39,University of Iowa,2013-01-25,2013-01-25,BURGE HALL,DRUG PARAPHERNALIA
13000190,20:37,20:37,University of Iowa,2013-01-25,2013-01-25,UNION BAR,POSSESSION/SUPPLY ALCOHOL U/21
13000191,20:49,20:49,University of Iowa,2013-01-25,2013-01-25,100 BLK E COLLEGE,PUBLIC INTOX
13000192,21:35,21:35,University of Iowa,2013-01-25,2013-01-25,MARTINIS BAR,POSSESSION/SUPPLY ALCOHOL U/21
13000193,21:43,21:43,University of Iowa,2013-01-25,2013-01-25,SUMMIT BAR,POSSESSION/SUPPLY ALCOHOL U/21
13000194,22:22,22:22,University of Iowa,2013-01-25,2013-01-25,DC S BAR,"CITY,IN BARS AFTER HOURS"
13000195,22:28,22:28,University of Iowa,2013-01-25,2013-01-25,SPORTS COLUMN BAR,POSSESSION/SUPPLY ALCOHOL U/21
13000196,22:54,22:54,University of Iowa,2013-01-25,2013-01-25,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS INTERFERENCE W/OFFICIAL ACTS UNLAWFUL USE OF DRIVER'S LICEN PUBLIC INTOX"
13000197,00:41,00:41,University of Iowa,2013-01-26,2013-01-26,SPORTS COLUMN BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000198,01:25,01:26,University of Iowa,2013-01-26,2013-01-26,RIENOW HALL,POSSESSION OF PRESCRIPTION DRUGS SUSPICIOUS PERSONS/ACTIVITY
13000199,11:05,11:05,University of Iowa,2013-01-26,2013-01-26,"NRPR, LEVEL 2 SW CORNER",1050PD:MV/MOTOR VEH
13000200,12:12,12:12,University of Iowa,2013-01-26,2013-01-26,"CRWC, WOMEN'S LOCKER RM",THEFT 5TH DEGREE
13000201,15:53,15:53,University of Iowa,2013-01-26,2013-01-26,RIENOW HALL,LOST/MISSING:ADULT
13000202,22:12,22:12,University of Iowa,2013-01-26,2013-01-26,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS"
13000203,22:35,22:35,University of Iowa,2013-01-26,2013-01-26,BROTHERS BAR,"CITY,IN BARS AFTER HOURS"
13000204,22:46,22:46,University of Iowa,2013-01-26,2013-01-26,MARTINIS BAR,"CITY,IN BARS AFTER HOURS"
13000205,22:55,22:55,University of Iowa,2013-01-26,2013-01-26,UNION BAR,"FALSIFYING DRIVER LICENSES UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000207,21:51,21:52,University of Iowa,2013-01-26,2013-01-26,CAPITOL/BURLINGTON,ASSIST OTHER AGENCY
13000208,23:43,23:43,University of Iowa,2013-01-26,2013-01-26,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS"
13000209,23:55,23:55,University of Iowa,2013-01-26,2013-01-26,DC S BAR,"CITY,IN BARS AFTER HOURS PROVIDE FALSE ID INFO"
13000210,00:24,00:24,University of Iowa,2013-01-27,2013-01-27,SPORTS COLUMN BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS POSSESSION/SUPPLY ALCOHOL U/21"
13000211,00:08,00:08,University of Iowa,2013-01-27,2013-01-27,BURGE HALL,SUSPICIOUS PERSONS/ACTIVITY
13000212,00:36,00:36,University of Iowa,2013-01-27,2013-01-27,MAYLFOWER HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000213,01:03,01:03,University of Iowa,2013-01-27,2013-01-27,AIRLINER BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS"
13000214,00:49,00:49,University of Iowa,2013-01-27,2013-01-27,NORTH CAMPUS RAMP,FALSIFYING DRIVER LICENSES SUSPICIOUS PERSONS/ACTIVITY
13000215,01:33,01:33,University of Iowa,2013-01-27,2013-01-27,AIRLINER BAR,"POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS PUBLIC INTOX"
13000216,01:22,01:22,University of Iowa,2013-01-27,2013-01-27,S GILBERT ST/E BURLINGTON ST,INTOXICATED SUBJECTS
13000217,01:43,01:43,University of Iowa,2013-01-27,2013-01-27,BURLINGTON/GILBERT,OWI/DRUGGED 1ST OFFENSE
13000218,01:53,01:53,University of Iowa,2013-01-27,2013-01-27,IOWA/LINN,SUSPICIOUS PERSONS/ACTIVITY
13000219,03:54,03:54,University of Iowa,2013-01-27,2013-01-27,323 E BURLINGTON ST,1050PD:POLICE VEH/FIXED OBJECT
13000220,00:00,14:57,University of Iowa,2013-01-27,2013-01-25,VAN ALLEN HALL,PROPERTY DAMAGE
13000221,19:15,19:15,University of Iowa,2013-01-27,2013-01-27,BURGE HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000222,22:43,22:43,University of Iowa,2013-01-27,2013-01-27,FIELDHOUSE BAR,"CITY,IN BARS AFTER HOURS"
13000223,00:41,00:41,University of Iowa,2013-01-28,2013-01-28,STUDIO 13 BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000224,00:00,07:18,University of Iowa,2013-01-28,2013-01-26,"MAPF, 2ND LEVEL",STRIKING UNATTENDED VEHICLE
13000225,00:00,12:41,University of Iowa,2013-01-28,2013-01-21,"HARDIN LIBRARY, 3RD FL N SIDE",THEFT 5TH DEGREE
13000226,01:57,01:57,University of Iowa,2013-01-29,2013-01-29,10 W WASHINGTON ST,HABITUAL OFFENDER
13000227,16:30,16:30,University of Iowa,2013-01-29,2013-01-29,15398 STACIE ST,SUSPICIOUS PERSONS/ACTIVITY
13000228,17:06,17:10,University of Iowa,2013-01-29,2013-01-29,SEAMANS CENTER,SUICIDE:THREATENED
13000229,00:00,17:18,University of Iowa,2013-01-29,2013-01-26,MAYFLOWER HALL,BURGLARY 3RD DEGREE
13000231,20:16,20:20,University of Iowa,2013-01-29,2013-01-29,CRWC,THEFT 4TH DEGREE
13000232,09:30,09:30,University of Iowa,2013-01-30,2013-01-30,"SPORTS MEDICINE & REHABILITATION, PARKING LOT",1050PD:MV/MOTOR VEH
13000233,10:18,10:18,University of Iowa,2013-01-30,2013-01-30,SEAMANS CENTER,PERSONAL INJURY
13000234,11:24,11:24,University of Iowa,2013-01-30,2013-01-30,"HOSPITAL RAMP III, LEVEL 4, WEST WALL",STRIKING UNATTENDED VEHICLE
13000235,00:00,13:32,University of Iowa,2013-01-30,2013-01-28,"FIELD HOUSE, S GYM",THEFT 3RD DEGREE
13000236,00:00,15:02,University of Iowa,2013-01-30,2013-01-20,"HOSPITAL, 2 JPW",HARASSMENT 3RD DEGREE
13000237,00:00,15:55,University of Iowa,2013-01-30,2013-01-23,100 BLK HAWKINS DR,PROPERTY DAMAGE
13000238,00:00,18:49,University of Iowa,2013-01-30,2013-01-27,"MAPF, LOBBY",THEFT 3RD DEGREE
13000239,23:23,23:26,University of Iowa,2013-01-30,2013-01-30,HILLCREST,SUSPICIOUS PERSONS/ACTIVITY
13000240,00:25,00:25,University of Iowa,2013-01-31,2013-01-31,MARTINIS BAR,"CITY,IN BARS AFTER HOURS"
13000241,03:26,03:26,University of Iowa,2013-01-31,2013-01-31,MAYFLOWER HALL,SUSPICIOUS PERSONS/ACTIVITY
13000242,00:00,18:22,University of Iowa,2013-01-31,2013-01-28,MULTI TENANT FACILITY,THEFT 5TH - BY DECEPTION
13000243,22:15,22:15,University of Iowa,2013-01-31,2013-01-31,MARTINIS BAR,"CITY,IN BARS AFTER HOURS"
13000244,23:59,23:59,University of Iowa,2013-01-31,2013-01-31,MAYFLOWER HALL,"CITY,PUBLIC URINATION & DEFECATION PUBLIC INTOX"
13000245,00:24,00:24,University of Iowa,2013-02-01,2013-02-01,"HOSPITAL, 6 JPP",CTW ISSUED SUSPICIOUS PERSONS/ACTIVITY
13000246,02:35,02:35,University of Iowa,2013-02-01,2013-02-01,MAYFLOWER HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000247,15:17,15:17,University of Iowa,2013-02-01,2013-02-01,HAWKINS/EVASHEVSKI DR,1050PD:CAMBUS/MOTOR VEH
13000248,22:54,22:54,University of Iowa,2013-02-01,2013-02-01,DC S BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000249,23:15,23:15,University of Iowa,2013-02-01,2013-02-01,DC S BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000252,00:28,00:28,University of Iowa,2013-02-02,2013-02-02,DC S BAR,"INTERFERENCE W/OFFICIAL ACTS POSSESSION/SUPPLY ALCOHOL U/21 CITY,IN BARS AFTER HOURS PUBLIC INTOX"
13000253,00:52,00:52,University of Iowa,2013-02-02,2013-02-02,RIENOW HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000254,02:14,02:14,University of Iowa,2013-02-02,2013-02-02,BURGE HALL LOBBY,PUBLIC INTOX
13000255,03:22,03:22,University of Iowa,2013-02-02,2013-02-02,"MAYFLOWER HALL, 5TH FL",CRIMINAL MISCHIEF 5TH DEGREE ASSAULT - SIMPLE
13000259,18:35,18:35,University of Iowa,2013-02-02,2013-02-02,CRWC,THEFT 5TH DEGREE
13000260,00:00,20:01,University of Iowa,2013-02-02,2013-01-30,BURGE HALL,SUSPICIOUS PERSONS/ACTIVITY
13000261,22:16,22:16,University of Iowa,2013-02-02,2013-02-02,UNION BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000263,22:45,22:45,University of Iowa,2013-02-02,2013-02-02,TCB BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000264,23:17,23:17,University of Iowa,2013-02-02,2013-02-02,DC S BAR,"UNLAWFUL USE OF DRIVER'S LICEN CITY,IN BARS AFTER HOURS"
13000265,01:03,01:03,University of Iowa,2013-02-03,2013-02-03,100 BLK MYRTLE AVE,OWI/DRUGGED 1ST OFFENSE
13000266,02:01,02:02,University of Iowa,2013-02-03,2013-02-03,BURGE HALL,POSSESSION/SUPPLY ALCOHOL U/21 SUSPICIOUS PERSONS/ACTIVITY POSSESSION OF PRESCRIPTION DRUGS
13000267,02:35,02:35,University of Iowa,2013-02-03,2013-02-03,BURLINGTON/CLINTON,PERSONS U/AGE 21 (.02 VIOL)
13000268,02:54,02:54,University of Iowa,2013-02-03,2013-02-03,BOWERY/GILBERT,OWI/DRUGGED 2ND OFFENSE
13000270,23:44,23:44,University of Iowa,2013-02-03,2013-02-03,COLLEGE/DUBUQUE,PUBLIC INTOX
13000271,02:11,02:11,University of Iowa,2013-02-04,2013-02-04,BURGE HALL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000273,19:37,19:37,University of Iowa,2013-02-04,2013-02-04,"LIBRARY, N EXT",SMOKING IN PROHIBITED AREA
13000274,19:51,19:51,University of Iowa,2013-02-04,2013-02-04,"LIBRARY, N EXT",SMOKING IN PROHIBITED AREA
13000275,22:14,22:14,University of Iowa,2013-02-04,2013-02-04,SLATER HALL,DRUG PARAPHERNALIA
13000276,00:45,00:45,University of Iowa,2013-02-05,2013-02-05,CURRIER HALL,DRUG PARAPHERNALIA
13000277,00:00,08:40,University of Iowa,2013-02-05,2012-09-30,HOSPITAL,DRUG RELATED SUSPICIOUS PERSONS/ACTIVITY
13000278,00:00,15:33,University of Iowa,2013-02-05,2013-01-31,HAWKRIDGE DR,SUSPICIOUS PERSONS/ACTIVITY
13000279,00:00,18:15,University of Iowa,2013-02-05,2013-01-29,"PARKLAWN, S302 HALLWAY",THEFT 4TH DEGREE
13000285,00:29,00:29,University of Iowa,2013-02-06,2013-02-06,SUMMIT BAR,"CITY,IN BARS AFTER HOURS"
13000286,00:42,00:42,University of Iowa,2013-02-06,2013-02-06,2ND ST/1ST AVE,OWI/DRUGGED 1ST OFFENSE
