case_number,date_reported,time_reported,date_occurred,time_occurred,location,incident,university
CFS14-01-08-000126,2014-01-08,6:41,NA,NA,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,FIRE ALARM,Ohio University
CFS14-01-08-000130,2014-01-08,7:32,NA,NA,98 WEST GREEN DRIVE Common Name: SARGENT HALL,FIRE ALARM,Ohio University
CFS14-01-08-000134,2014-01-08,10:52,NA,NA,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT BROWN HOUSE,TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12,Ohio University
CFS14-01-08-000135,2014-01-08,11:04,NA,NA,OXBOW TRAIL Common Name: STOCKER HALL,FIRE ALARM,Ohio University
CFS14-01-08-000137,2014-01-08,11:45,2000-01-01,0:00,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT SCOTT QUAD,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-01-08-000138,2014-01-08,11:48,NA,NA,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER,FIRE ALARM,Ohio University
CFS14-01-08-000146,2014-01-08,22:08,NA,NA,S. SHAFER ST. Common Name: WREN STADIUM,FIRE ALARM,Ohio University
CFS14-01-09-000149,2014-01-09,1:40,NA,NA,UNION STREET Common Name: UNION STREET,TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13,Ohio University
CFS14-01-09-000150,2014-01-09,2:47,NA,NA,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: TRAFFIC CIRCLE,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-01-09-000160,2014-01-09,10:43,NA,NA,UPPER SEIGFRED Common Name: PARKING LOT 39,ANIMAL COMPLAINT,Ohio University
CFS14-01-09-000162,2014-01-09,12:34,NA,NA,35 SOUTH CONGRESS Common Name: BROMLEY HALL,FIRE ALARM,Ohio University
CFS14-01-09-000175,2014-01-09,22:15,NA,NA,"Common Name: BUILDING 16 Location Detail: BLDG 17, RIDGES",FIRE ALARM,Ohio University
CFS14-01-09-000178,2014-01-09,23:56,NA,NA,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER,FIRE ALARM,Ohio University
CFS14-01-10-000193,2014-01-10,15:42,NA,NA,N. MCKINLEY AVE. Common Name: NELSON DINING HALL,FIRE ALARM,Ohio University
CFS14-01-11-000201,2014-01-11,1:50,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: BY ADAMS HALL,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-01-11-000202,2014-01-11,2:21,2014-01-11,2:21,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 254/HALLWAY,ALCOHOL OFFENSE,Ohio University
CFS14-01-11-000209,2014-01-11,8:59,2014-01-11,8:59,S.GREEN DR. Common Name: PARKING LOT 58 Location Detail: AT WRAY HOUSE,TRAFFIC FAILURE TO YIELD - DRIVEWAY OR LOT 4511.44,Ohio University
CFS14-01-11-000221,2014-01-11,19:12,NA,NA,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL,FIRE ALARM,Ohio University
CFS14-01-12-000227,2014-01-12,1:38,NA,NA,EAST GREEN DRIVE Common Name: EAST GREEN DRIVE Location Detail: MORTON,TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13,Ohio University
CFS14-01-12-000228,2014-01-12,1:53,2014-01-12,1:54,COLLEGE STREET Common Name: COLLEGE STREET,INTOXICATED PERSON,Ohio University
CFS14-01-12-000229,2014-01-12,2:06,2014-01-12,2:06,UNIVERSITY TERRACE Common Name: GALBREATH CHAPEL,TRESPASSING OFFENSES,Ohio University
CFS14-01-12-000241,2014-01-12,15:57,NA,NA,CHURCH ST. Common Name: SEIGFRED,FIRE ALARM,Ohio University
CFS14-01-12-000245,2014-01-12,18:23,NA,NA,SOUTH GREEN DRIVE Common Name: ADAMS HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-13-000251,2014-01-13,0:28,NA,NA,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL,FIRE ALARM,Ohio University
CFS14-01-13-000252,2014-01-13,1:45,NA,NA,UNION STREET Common Name: UNION STREET Location Detail: JEFF HILL,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-01-13-000254,2014-01-13,3:01,2014-01-13,3:01,1 PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: FRONT STEPS,ALCOHOL OFFENSE,Ohio University
CFS14-01-13-000261,2014-01-13,11:32,NA,NA,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 141,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-13-000267,2014-01-13,17:16,2014-01-13,17:16,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 243,DRUG OFFENSES,Ohio University
CFS14-01-13-000269,2014-01-13,20:26,NA,NA,127 SOUTH GREEN DRIVE Common Name: MARTZOLFF HOUSE Location Detail: ROOM 124,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-13-000273,2014-01-13,23:37,NA,NA,55 HOSPITAL DRIVE Common Name: O'BLENESS MEMORIAL HOSPIT,RAPE,Ohio University
CFS14-01-13-000274,2014-01-13,23:51,NA,NA,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 454,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-14-000275,2014-01-14,2:53,2014-01-14,2:53,35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: LOBBY,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-14-000282,2014-01-14,10:26,NA,NA,35 SOUTH CONGRESS Common Name: BROMLEY HALL,FIRE ALARM,Ohio University
CFS14-01-14-000283,2014-01-14,13:43,2000-01-01,0:00,MORTON HALL LOT Common Name: PARKING LOT 90,TRAFFIC CRASH,Ohio University
CFS14-01-14-000289,2014-01-14,16:33,NA,NA,PARK PLACE Common Name: PARK PLACE Location Detail: IN FRONT OF BAKER STUDENT CENTER,TRAFFIC PROHIBITED PARKING 4511.68,Ohio University
CFS14-01-14-000290,2014-01-14,16:58,NA,NA,98 WEST GREEN DRIVE Common Name: SARGENT HALL,FIRE ALARM,Ohio University
CFS14-01-14-000292,2014-01-14,17:33,NA,NA,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 318,FIRE ALARM,Ohio University
CFS14-01-14-000293,2014-01-14,17:35,NA,NA,101 WEST GREEN DRIVE Common Name: RYORS HALL,FIRE ALARM,Ohio University
CFS14-01-14-000295,2014-01-14,22:21,NA,NA,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL,FIRE ALARM,Ohio University
CFS14-01-14-000296,2014-01-14,22:40,NA,NA,E.UNION ST. Common Name: MUSIC BUILDING Location Detail: 5TH FLOOR LIBRARY,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-15-000304,2014-01-15,8:28,2014-01-14,22:00,STATE ROUTE 682 Common Name: STATE ROUTE 682,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-15-000305,2014-01-15,11:28,NA,NA,69 SOUTH GREEN DRIVE Common Name: BROWN HALL,FIRE ALARM,Ohio University
CFS14-01-16-000329,2014-01-16,9:46,2014-01-16,7:10,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,LARCENY-THEFT THEFT - FROM BUILDINGS 2913,Ohio University
CFS14-01-16-000331,2014-01-16,12:18,2014-01-16,12:18,SHAFER STREET Common Name: SHAFER STREET Location Detail: AT OU PARKING LOT 125,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-01-16-000342,2014-01-16,19:27,2000-01-01,0:00,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 243,POSSESSION OF DRUG PARAPHERNALIA,Ohio University
CFS14-01-16-000343,2014-01-16,22:48,2014-01-16,22:48,"125 SOUTH GREEN DRIVE Common Name: FOSTER HOUSE Location Detail: OUTSIDE, BEHIND",INTOXICATED PERSON,Ohio University
CFS14-01-16-000346,2014-01-16,23:12,2014-01-16,23:12,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: 4TH FLOOR WOMEN'S RESTROOM,ALCOHOL OFFENSE,Ohio University
CFS14-01-17-000351,2014-01-17,2:09,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: CONSTRUCTION SITE BY PEDEN,FIRE FIRE OUTSIDE (NO STRUCTURE INVOLVED),Ohio University
CFS14-01-17-000352,2014-01-17,2:28,2014-01-17,2:28,46 EAST GREEN STREET Common Name: JEFFERSON HALL Location Detail: FRONT OF,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-17-000360,2014-01-17,10:31,2014-01-17,10:31,NA,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-01-17-000361,2014-01-17,11:07,NA,NA,SOUTH GREEN Common Name: PARKING LOT 77,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-01-17-000373,2014-01-17,17:48,NA,NA,69 SOUTH GREEN DRIVE Common Name: BROWN HALL,FIRE ALARM,Ohio University
CFS14-01-17-000380,2014-01-17,20:14,NA,NA,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL,FIRE ALARM,Ohio University
CFS14-01-17-000383,2014-01-17,22:23,2014-01-17,22:23,"70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: FIRST FLOOR, ATHENS, OH 45701",POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-17-000386,2014-01-17,23:54,NA,NA,71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: ROOM 227,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-18-000387,2014-01-18,0:55,2014-01-18,0:55,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: @ RICHLAND AVE,ALCOHOL OFFENSE,Ohio University
CFS14-01-18-000388,2014-01-18,1:20,NA,NA,COURT STREET Common Name: COURT STREET Location Detail: COURTSIDE APTS,INTOXICATED PERSON,Ohio University
CFS14-01-18-000389,2014-01-18,1:23,2014-01-18,1:23,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: BELOW THE OLD BRIDGE,ALCOHOL OFFENSE,Ohio University
CFS14-01-18-000392,2014-01-18,1:53,NA,NA,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: WALKWAY,ALCOHOL OFFENSE,Ohio University
CFS14-01-18-000395,2014-01-18,2:23,2014-01-18,2:23,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: BY ADAMS HALL,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-01-18-000396,2014-01-18,2:37,NA,NA,UNION STREET Common Name: UNION STREET,TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32,Ohio University
CFS14-01-18-000398,2014-01-18,3:10,NA,NA,WEST UNION STREET Common Name: HDL CENTER,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-01-18-000400,2014-01-18,3:21,2014-01-18,3:21,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: THE SUMMIT 366 RICHLAND AVE,OPERATIONS OUTSTANDING WARRANTS,Ohio University
CFS14-01-18-000401,2014-01-18,4:24,2014-01-18,3:55,45 EAST GREEN STREET Common Name: LINCOLN HALL,PUBLIC PEACE MAKING FALSE ALARMS 2917.32,Ohio University
CFS14-01-18-000408,2014-01-18,12:33,2014-01-18,8:00,UNIVERSITY TERRACE Common Name: ELLIS HALL Location Detail: GROUND FLOOR,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-18-000425,2014-01-18,23:58,NA,NA,MILL STREET Common Name: MILL STREET Location Detail: @ STEWART,INTOXICATED PERSON,Ohio University
CFS14-01-19-000426,2014-01-19,0:37,NA,NA,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: ROOM 316,FIRE ALARM,Ohio University
CFS14-01-19-000428,2014-01-19,1:34,NA,NA,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: NEW BRIDGE,TRAFFIC TIME FOR LIGHTED LIGHTS ON MOTOR VEHICLES 4513.03,Ohio University
CFS14-01-19-000429,2014-01-19,1:41,NA,NA,DAIRY LANE Common Name: DAIRY LANE,TRAFFIC TAIL LIGHTS AND ILLUMINATION OF REAR LICENSE PLATE 4513.05,Ohio University
CFS14-01-19-000432,2014-01-19,2:01,2014-01-19,2:01,SOUTH GREEN DR.- REAR PICKERING Common Name: PARKING LOT 51,ALCOHOL OFFENSE,Ohio University
CFS14-01-19-000433,2014-01-19,3:06,2014-01-19,3:06,SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: 3RD FLOOR,JUSTICE & PUB. ADMIN. OBSTRUCTING OFFICIAL BUSINESS 2921.31,Ohio University
CFS14-01-19-000438,2014-01-19,4:34,NA,NA,EDGEHILL DRIVE Common Name: EDGEHILL DRIVE Location Detail: BEHIND LINCOLN HALL,TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32,Ohio University
CFS14-01-19-000443,2014-01-19,7:35,2014-01-19,2:00,135 SOUTH GREEN DRIVE Common Name: EWING HOUSE,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-20-000456,2014-01-20,2:14,NA,NA,MULBERRY ST Common Name: MULBERRY ST Location Detail: MORTON HILL NEAR SHIVELY,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-01-20-000457,2014-01-20,2:24,2014-01-20,2:24,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL,SEX OFFENSE,Ohio University
CFS14-01-20-000458,2014-01-20,2:53,NA,NA,71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: ROOM 231,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-20-000460,2014-01-20,3:44,2014-01-20,3:44,EAST GREEN Common Name: EAST GREEN Location Detail: BEHIND JEFFERSON HALL,INTOXICATED PERSON,Ohio University
CFS14-01-20-000476,2014-01-20,20:21,NA,NA,122 SOUTH GREEN DRIVE Common Name: FENZEL HOUSE Location Detail: ROOM 242,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-21-000482,2014-01-21,0:05,NA,NA,71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: ROOM 227,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-21-000492,2014-01-21,8:51,2014-01-17,17:00,ACCELERATOR LOT Common Name: PARKING LOT 3,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-01-21-000496,2014-01-21,9:46,2014-01-21,9:46,SOUTH GREEN DRIVE Common Name: PARKING LOT 87,TRAFFIC CRASH,Ohio University
CFS14-01-21-000498,2014-01-21,14:50,2013-12-11,8:00,46 EAST GREEN STREET Common Name: JEFFERSON HALL Location Detail: ROOM 266,BURGLARY OFFENSES,Ohio University
CFS14-01-21-000502,2014-01-21,16:45,2014-01-13,0:00,136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE,THEFT OFFENSE,Ohio University
CFS14-01-22-000518,2014-01-22,0:19,NA,NA,50 EAST GREEN STREET Common Name: BUSH Location Detail: ROOM 317/SMOKE DETECTOR,FIRE ALARM,Ohio University
CFS14-01-22-000526,2014-01-22,10:14,2014-01-22,10:14,END OF MILL ST. Common Name: PARKING LOT 153,TRAFFIC CRASH,Ohio University
CFS14-01-22-000532,2014-01-22,16:34,2014-01-22,10:00,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-22-000539,2014-01-22,18:49,NA,NA,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: 2ND FLOOR NEAR PEDIATRICS KID ZONE,CHILD ABUSE ENDANGERING CHILDREN 2919.22,Ohio University
CFS14-01-22-000544,2014-01-22,20:29,2014-01-22,20:29,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 236,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-23-000552,2014-01-23,1:09,2014-01-23,1:09,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: BY SCOTT QUAD,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-01-23-000561,2014-01-23,10:49,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT CLIPPINGER HALL,TRAFFIC OBSTRUCTED VIEW 4511.70B,Ohio University
CFS14-01-23-000567,2014-01-23,13:46,2014-01-23,13:46,60 E.GREEN DR. Common Name: TIFFIN HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-23-000576,2014-01-23,18:53,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT PEDEN,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-01-23-000586,2014-01-23,22:10,2014-01-23,22:10,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 215,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-24-000592,2014-01-24,1:51,NA,NA,N. MCKINLEY AVE Common Name: NELSON COMMONS Location Detail: DOOR ALARM,EMERGENCY CALL,Ohio University
CFS14-01-24-000611,2014-01-24,12:08,NA,NA,N. MCKINLEY AVE Common Name: NELSON COMMONS,FIRE ALARM,Ohio University
CFS14-01-24-000612,2014-01-24,14:10,2014-01-24,14:10,SOUTH GREEN DRIVE - WALTER HALL Common Name: PARKING LOT 134,TRAFFIC CRASH,Ohio University
CFS14-01-24-000618,2014-01-24,16:15,2013-12-01,12:00,122 SOUTH GREEN DRIVE Common Name: FENZEL HOUSE,BURGLARY OFFENSES,Ohio University
CFS14-01-24-000628,2014-01-24,21:30,2014-01-24,21:30,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 229,ALCOHOL OFFENSE,Ohio University
CFS14-01-24-000629,2014-01-24,22:53,2014-01-24,22:53,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: IN FRONT NEAR CATWALK,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-01-24-000633,2014-01-24,23:11,NA,NA,Common Name: ADAMS GARAGE Location Detail: ENTRANCE,PARKING COMPLAINT,Ohio University
CFS14-01-25-000638,2014-01-25,0:32,2014-01-25,0:32,N. MCKINLEY AVE Common Name: NELSON COMMONS,ALCOHOL OFFENSE,Ohio University
CFS14-01-25-000641,2014-01-25,1:18,2014-01-25,1:18,Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: BEHIND ELLIS/ALDEN/DUMPSTERS,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-01-25-000643,2014-01-25,1:48,2014-01-25,1:48,UNION STREET Common Name: UNION STREET Location Detail: JEFF HILL,ALCOHOL OFFENSE,Ohio University
CFS14-01-25-000646,2014-01-25,2:19,NA,NA,COURT STREET Common Name: COURT STREET Location Detail: WENDY'S,INTOXICATED PERSON,Ohio University
CFS14-01-25-000649,2014-01-25,3:31,2014-01-25,3:31,EAST UNION STREET Common Name: MCCRACKEN HALL,TRESPASSING OFFENSES,Ohio University
CFS14-01-25-000654,2014-01-25,7:22,NA,NA,RICHLAND AVENUE Common Name: GROVER CENTER,FIRE ALARM,Ohio University
CFS14-01-25-000655,2014-01-25,7:25,2014-01-24,20:30,136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE Location Detail: GROUND FLOOR,LARCENY-THEFT THEFT FROM ANY COIN-OPERATED MACHINES 2911,Ohio University
CFS14-01-25-000662,2014-01-25,14:38,2014-01-25,2:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 341,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-25-000667,2014-01-25,16:35,NA,NA,SOUTH GREEN DRIVE Common Name: ADAMS HALL,FIRE ALARM,Ohio University
CFS14-01-25-000672,2014-01-25,19:51,NA,NA,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL,FIRE ALARM,Ohio University
CFS14-01-25-000674,2014-01-25,22:17,NA,NA,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL Location Detail: 3RD/4TH FLOORS,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-25-000678,2014-01-25,23:23,NA,NA,VAN VORHEES & RACE Common Name: MORTON HALL,TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21,Ohio University
CFS14-01-25-000679,2014-01-25,23:41,NA,NA,SOUTH GREEN DR. - REAR PICKERING Common Name: PARKING LOT 52,NOISE COMPLAINT,Ohio University
CFS14-01-26-000680,2014-01-26,0:34,NA,NA,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: NEW BRIDGE,TRAFFIC TIME FOR LIGHTED LIGHTS ON MOTOR VEHICLES 4513.03,Ohio University
CFS14-01-26-000691,2014-01-26,6:08,NA,NA,STATE STREET Common Name: EAST STATE STREET Location Detail: @ TRAFFIC LIGHT,OPERATIONS ARREST RECORD CHECK,Ohio University
CFS14-01-26-000693,2014-01-26,6:26,2014-01-26,6:26,MORTON HALL LOT Common Name: PARKING LOT 90,TRAFFIC CRASH,Ohio University
CFS14-01-26-000694,2014-01-26,6:52,NA,NA,CONGRESS STREET Common Name: CONGRESS STREET Location Detail: @ WASHINGTON ST.,RECOVERED PROPERTY,Ohio University
CFS14-01-26-000712,2014-01-26,18:54,NA,NA,PRESIDENT STREET Common Name: BENTLEY HALL,FIRE ALARM,Ohio University
CFS14-01-27-000726,2014-01-27,9:46,2014-01-24,17:00,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: 2ND. FLOOR LOUNGE,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-27-000745,2014-01-27,19:39,2014-01-27,19:39,35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: PULL STATION BY 504,FIRE ALARM,Ohio University
CFS14-01-27-000747,2014-01-27,19:54,NA,NA,UNION STREET Common Name: UNION STREET Location Detail: @ UNTR,TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13,Ohio University
CFS14-01-27-000751,2014-01-27,22:04,2014-01-27,22:04,WEST GREEN DRIVE Common Name: WEST GREEN DRIVE Location Detail: @ JAMES,TRAFFIC TIME FOR LIGHTED LIGHTS ON MOTOR VEHICLES 4513.03,Ohio University
CFS14-01-28-000757,2014-01-28,1:26,2014-01-28,1:26,Common Name: NORTH RIDGE DRIVE,TRAFFIC CRASH,Ohio University
CFS14-01-28-000765,2014-01-28,7:47,2014-01-28,7:47,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: LOBBY,ALCOHOL OFFENSE,Ohio University
CFS14-01-28-000767,2014-01-28,9:32,NA,NA,16 WEST GREEN DRIVE Common Name: GROSVENOR HALL,FIRE ALARM,Ohio University
CFS14-01-28-000779,2014-01-28,15:21,NA,NA,CHURCH ST. Common Name: SEIGFRED,FIRE ALARM,Ohio University
CFS14-01-28-000788,2014-01-28,19:08,2014-01-27,9:00,OXBOW DRIVE - BOYD Common Name: PARKING LOT 119,TRAFFIC CRASH,Ohio University
CFS14-01-28-000792,2014-01-28,20:32,NA,NA,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 204,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-01-28-000795,2014-01-28,22:11,NA,NA,69 SOUTH GREEN DRIVE Common Name: BROWN HALL,FIRE ALARM,Ohio University
CFS14-01-29-000808,2014-01-29,12:12,NA,NA,W.STATE ST. RENT PARK Common Name: INNOVATION CENTER,FIRE ALARM,Ohio University
CFS14-01-29-000810,2014-01-29,13:28,NA,NA,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL,FIRE ALARM,Ohio University
CFS14-01-29-000811,2014-01-29,14:57,NA,NA,59 EAST GREEN DRIVE Common Name: SHIVELY HALL,FIRE ALARM,Ohio University
CFS14-01-29-000814,2014-01-29,15:12,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL,FIRE ALARM,Ohio University
CFS14-01-29-000826,2014-01-29,19:39,2014-01-29,0:00,NA,DRUG OFFENSES,Ohio University
CFS14-01-30-000849,2014-01-30,10:53,NA,NA,NA,TELECOMMUNICATIONS HARASSMENT,Ohio University
CFS14-01-30-000853,2014-01-30,15:47,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL,FIRE ALARM,Ohio University
