case_number,date_reported,time_reported,incident,location,university,date_occurred,time_occurred
130160158,2013-01-16,22:56,Violation of controlled substances,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130170047,2013-01-17,08:12,Stalking,NA,University of Michigan-Ann Arbor,NA,NA
130170052,2013-01-17,08:38,Larceny from a building,SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
130170055,2013-01-17,09:19,Ambulance request,SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
130170056,2013-01-17,09:40,Larceny from a building,MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
130170059,2013-01-17,09:59,Property damage (accidental),THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
130170072,2013-01-17,11:17,Ambulance request,CHEMISTRY BUILDING,University of Michigan-Ann Arbor,NA,NA
130170073,2013-01-17,11:22,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130170080,2013-01-17,11:58,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
130170084,2013-01-17,12:18,Traffic Accident (off roadway),LOT NW-46,University of Michigan-Ann Arbor,NA,NA
130170089,2013-01-17,13:03,Property damage (accidental),ELECTRICAL ENGINEERING,University of Michigan-Ann Arbor,NA,NA
130170103,2013-01-17,14:09,Personal injury (non-traffic),SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130170113,2013-01-17,14:40,Larceny from a building,HUTCHINS HALL,University of Michigan-Ann Arbor,NA,NA
130170131,2013-01-17,17:20,Larceny from a building,BENTLEY HISTORICAL LIBRARY,University of Michigan-Ann Arbor,NA,NA
130170133,2013-01-17,17:40,Larceny from a building,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
130170149,2013-01-17,19:44,"Assault, non-aggravated",M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
130170150,2013-01-17,19:51,Personal injury (non-traffic),MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
130170165,2013-01-17,22:38,Larceny from a building,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130170174,2013-01-17,23:51,Suspicious circumstances,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130180003,2013-01-18,00:19,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130180004,2013-01-18,00:20,Minors in possession of alcohol,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130180015,2013-01-18,01:57,"Assault, non-aggravated",LOT W-13,University of Michigan-Ann Arbor,NA,NA
130180016,2013-01-18,02:01,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130180028,2013-01-18,06:53,Assist other agency,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130180091,2013-01-18,14:16,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130180098,2013-01-18,15:07,Ambulance request,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130180106,2013-01-18,15:57,Traffic Accident (off roadway),FLETCHER CARPORT,University of Michigan-Ann Arbor,NA,NA
130180126,2013-01-18,20:10,Larceny from a building,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130180134,2013-01-18,21:43,Violation of controlled substances,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130180139,2013-01-18,22:18,Suspicious circumstances,NQ RESIDENTIAL & ACADEMIC,University of Michigan-Ann Arbor,NA,NA
130180155,2013-01-18,23:47,Suspicious circumstances,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130190002,2013-01-19,00:05,Suspicious circumstances,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130190010,2013-01-19,00:43,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
130190011,2013-01-19,00:43,Suspicious circumstances,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130190018,2013-01-19,01:21,"Assault, non-aggravated",NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
130190020,2013-01-19,01:28,Ambulance request,WEST QUAD,University of Michigan-Ann Arbor,NA,NA
130190024,2013-01-19,01:42,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130190027,2013-01-19,02:35,Suspicious circumstances,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130190050,2013-01-19,09:21,Malicious destruction,OCKER FIELD,University of Michigan-Ann Arbor,NA,NA
130190059,2013-01-19,10:31,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130190111,2013-01-19,22:01,Suspicious circumstances,VERA BAITS II THIEME HOUSE,University of Michigan-Ann Arbor,NA,NA
130190113,2013-01-19,22:17,Suspicious circumstances,ALICE LLOYD HALL,University of Michigan-Ann Arbor,NA,NA
130190114,2013-01-19,22:19,Violation of controlled substances,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
130190117,2013-01-19,22:37,Suspicious circumstances,VERA BAITS II CONGER HOUSE,University of Michigan-Ann Arbor,NA,NA
130200031,2013-01-20,01:25,Ambulance request,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130200051,2013-01-20,03:14,Ambulance request,MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
130200052,2013-01-20,03:21,Obstructing Justice,PIERPONT  COMMONS,University of Michigan-Ann Arbor,NA,NA
130200120,2013-01-20,15:28,Larceny from a building,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
130200146,2013-01-20,20:58,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
130200148,2013-01-20,21:55,"Robbery, strong arm",NA,University of Michigan-Ann Arbor,NA,NA
130200154,2013-01-20,23:16,Suspicious circumstances,WEST QUAD,University of Michigan-Ann Arbor,NA,NA
130210002,2013-01-21,00:10,Suspicious circumstances,NORTHWOOD I,University of Michigan-Ann Arbor,NA,NA
130210003,2013-01-21,00:36,Minors in possession of alcohol,NORTHWOOD II,University of Michigan-Ann Arbor,NA,NA
130210007,2013-01-21,01:18,Ambulance request,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130210023,2013-01-21,05:23,Property damage (accidental),NA,University of Michigan-Ann Arbor,NA,NA
130210025,2013-01-21,05:29,Suspicious circumstances,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130210075,2013-01-21,10:30,Larceny (other),MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130210091,2013-01-21,12:51,Larceny from a building,EAST HALL,University of Michigan-Ann Arbor,NA,NA
130210111,2013-01-21,15:08,Larceny from a building,CANCER CENTER,University of Michigan-Ann Arbor,NA,NA
130210134,2013-01-21,18:21,Larceny from a building,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130210149,2013-01-21,19:44,"Burglary, w/forced entry",NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
130210166,2013-01-21,22:39,Suspicious circumstances,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130220038,2013-01-22,06:58,Traffic violation,NA,University of Michigan-Ann Arbor,NA,NA
130220047,2013-01-22,08:05,Property damage (accidental),NA,University of Michigan-Ann Arbor,NA,NA
130220051,2013-01-22,08:23,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130220059,2013-01-22,09:13,"Smoke, smell of",TRAVERWOOD II,University of Michigan-Ann Arbor,NA,NA
130220063,2013-01-22,09:26,Property damage (accidental),ART AND ARCHITECTURE,University of Michigan-Ann Arbor,NA,NA
130220074,2013-01-22,10:19,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130220080,2013-01-22,10:52,Abandoned Vehicles,LOT M-15,University of Michigan-Ann Arbor,NA,NA
130220093,2013-01-22,12:48,Traffic Accident (off roadway),M-18 P2 NORTH SIDE,University of Michigan-Ann Arbor,NA,NA
130220097,2013-01-22,13:29,Larceny from a building,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
130220108,2013-01-22,15:15,Traffic Accident w/Injuries,NA,University of Michigan-Ann Arbor,NA,NA
130220114,2013-01-22,16:26,MDOP - other grafitti,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130220122,2013-01-22,17:49,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130220138,2013-01-22,19:46,Ambulance request,VERA BAITS II CROSS HOUSE,University of Michigan-Ann Arbor,NA,NA
130220141,2013-01-22,20:10,Personal injury (non-traffic),NORTHWOOD II,University of Michigan-Ann Arbor,NA,NA
130220142,2013-01-22,20:11,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130220157,2013-01-22,22:05,Larceny from a building,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130220160,2013-01-22,22:10,Property damage (accidental),MICHIGAN STADIUM,University of Michigan-Ann Arbor,NA,NA
130230035,2013-01-23,06:46,Ambulance request,DOMINO FARMS - LOBBY C **,University of Michigan-Ann Arbor,NA,NA
130230064,2013-01-23,09:33,Traffic Accident (off roadway),MOTT ER LOT,University of Michigan-Ann Arbor,NA,NA
130230074,2013-01-23,10:06,Malicious destruction,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
