case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
N/A,NA,NA,2019-02-20,12:00,"Christenbury
Bus Stop",East Carolina University,Stalking
N/A,NA,NA,2019-07-04,12:07,Ross Hall,East Carolina University,Stalking
N/A,NA,NA,2019-08-28,22:45,Tyler Hall,East Carolina University,Stalking
N/A,NA,NA,2019-09-07,22:30,Scott Hall,East Carolina University,Rape
N/A,NA,NA,2019-09-08,NA,Legacy Hall,East Carolina University,Rape
N/A,NA,NA,2019-09-10,NA,Legacy Hall,East Carolina University,Rape
N/A,NA,NA,2019-09-14,00:00,White Hall,East Carolina University,Dating Violence
N/A,NA,NA,2019-09-15,01:00,Clement Hall,East Carolina University,Attempted Rape
N/A,NA,NA,2019-10-23,03:00,Jones hall,East Carolina University,Aggravated Assault
N/A,NA,NA,2019-11-02,23:00,Gateway East,East Carolina University,Fondling
N/A,NA,NA,2019-11-22,05:00,Jones Hall,East Carolina University,Dating Violence (x2)
N/A,NA,NA,2019-11-22,23:15,Clement Hall,East Carolina University,Dating Violence
N/A,NA,NA,2019-12-04,NA,"College Hill
Suites",East Carolina University,Attempted Rape
N/A,NA,NA,NA,NA,"Basement of
Scott Hall",East Carolina University,Dating Violence
N/A,NA,NA,NA,NA,Captain's Quarters Apartments,East Carolina University,Rape
N/A,NA,NA,NA,NA,Clement Hall,East Carolina University,Rape Rape Rape Rape
N/A,NA,NA,NA,NA,"College Hill
Greenway",East Carolina University,Attempted Fondling
N/A,NA,NA,NA,NA,"College Hill
Suites",East Carolina University,Rape
N/A,NA,NA,NA,NA,Cotten Hall,East Carolina University,Rape
N/A,NA,NA,NA,NA,"Delta Sigma Phi
Fraternity House",East Carolina University,Rape
N/A,NA,NA,NA,NA,"Gateway
Residence Hall",East Carolina University,Rape
N/A,NA,NA,NA,NA,Gateway East,East Carolina University,Stalking
N/A,NA,NA,NA,NA,Gateway West,East Carolina University,Stalking Rape Rape
N/A,NA,NA,NA,NA,Greene Hall,East Carolina University,Rape Rape
N/A,NA,NA,NA,NA,Jarvis Hall,East Carolina University,Fondling Rape
N/A,NA,NA,NA,NA,Jones Hall,East Carolina University,Second Degree Rape Rape Rape
N/A,NA,NA,NA,NA,Legacy Hall,East Carolina University,Rape Rape Stalking (x2)
N/A,NA,NA,NA,NA,Multiple Locations On- Campus,East Carolina University,Stalking
N/A,NA,NA,NA,NA,Not Indicated,East Carolina University,Stalking
N/A,NA,NA,NA,NA,Off - Campus,East Carolina University,Rape
N/A,NA,NA,NA,NA,Reade St. PVA (R2),East Carolina University,Dating Violence
N/A,NA,NA,NA,NA,Residence Hall on College Hill,East Carolina University,Rape
N/A,NA,NA,NA,NA,Residence Hall- Unspecified,East Carolina University,Fondling
N/A,NA,NA,NA,NA,Sci & Tech Bldg.,East Carolina University,Fondling
N/A,NA,NA,NA,NA,Scott Hall,East Carolina University,"Rape Arson Assault on a Female Dating Violence (previously listed as ""Assault on a Female""
Rape Attempted Fondling"
N/A,NA,NA,NA,NA,Student Recreation Center,East Carolina University,Stalking
N/A,NA,NA,NA,NA,Theta Chi House,East Carolina University,Rape
N/A,NA,NA,NA,NA,Tyler Hall,East Carolina University,Rape Rape Rape Rape Rape
N/A,NA,NA,NA,NA,Umstead Hall,East Carolina University,Attempted Rape
N/A,NA,NA,NA,NA,"Unknown
Residence Hall",East Carolina University,Rape
N/A,NA,NA,NA,NA,Unknown Residence Hall on West End of Campus,East Carolina University,Rape
N/A,NA,NA,NA,NA,Various On- Campus Locations,East Carolina University,Stalking
"NA",2015-10-31,01:26,2015-10-31,01:00,Residence Hall,East Carolina University,Sexual Assault
"NA",2016-08-11,12:56,NA,NA,ECU Campus,East Carolina University,Stalking
"NA",2016-11-07,20:00,2016-11-07,20:00,Legacy Hall,East Carolina University,Fondling
"NA",NA,NA,2015-10-19,17:00,Fleming Hall,East Carolina University,Dating Violance
"NA",NA,NA,2015-11-01,01:15,"Off Campus
Locatioon",East Carolina University,Sexual Assault
"NA",NA,NA,NA,NA,Aycock Hall,East Carolina University,Aggravated Assaullt
OCA,2017-09-22,NA,2017-09-22,NA,ECU,East Carolina University,Assault on a School
OCA,2018-02-13,NA,2018-02-13,NA,Jarvis Hall- Bike,East Carolina University,Larceny
OCA,2018-02-17,NA,2018-02-17,NA,Fletcher Hall,East Carolina University,Possession of Marijuana < 1/2
OCA,2018-02-18,NA,2018-02-18,NA,Railroad Tracks,East Carolina University,Possession of Marijuana < 1/2
OCA,2018-02-27,NA,2018-02-27,NA,PVA Ashton,East Carolina University,Possession of Marijuana
"OCA
2014-",2014-12-29,13:00,2014-12-17,23:00,Tyler Hall,East Carolina University,Sexual Assault
"OCA
2014-0010",2014-01-09,21:48,2014-01-09,21:48,10th & Cotanche Sts.,East Carolina University,"Driving While License
Revoked"
"OCA
2014-0011",2014-01-10,00:59,2014-01-10,00:59,Mall Area,East Carolina University,Underage Consumption Fraudulent Identification
"oca
2014-0014",2014-01-10,14:27,2014-01-08,17:00,"Lakeside
Annex 8",East Carolina University,"Larceny from
Building"
"OCA
2014-0015",2014-01-12,01:28,2014-01-12,01:28,Third St. & Eastern St.,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0023",2014-01-13,09:13,2011-01-13,09:13,Science & Tech. Rm 143,East Carolina University,Larceny
"OCA
2014-0024",2014-01-13,11:40,2014-01-13,11:40,Moye Blvd. @ Farm Dr.,East Carolina University,OFA Other Agency/ DWLR
"OCA
2014-0025",2014-01-13,10:25,2014-01-12,21:45,"Gold Lot PVA
566",East Carolina University,Damage to Property
"OCA
2014-0028",2014-01-15,00:01,2014-01-15,00:01,Jones Hall,East Carolina University,False Fire Alarm
"OCA
2014-0030",2014-01-15,10:17,2014-01-15,10:17,Charles Blvd.,East Carolina University,"Driving While License
Revoked"
"OCA
2014-0036",2014-01-16,23:27,2014-01-15,23:27,"Jones Galley
(Conv. Store)",East Carolina University,Larceny
"OCA
2014-0037",2014-01-17,02:37,2014-01-17,02:37,"14th & Charles
Sts.",East Carolina University,"Driving While
Impaired"
"OCA
2014-0039",2014-01-17,08:45,2014-01-17,08:45,"Howell
Science",East Carolina University,"Communicating
Threats"
"OCA
2014-0040",2014-01-17,13:58,2014-01-15,18:00,"132 Cotten
Hall",East Carolina University,Larceny
"OCA
2014-0041",2014-01-17,14:11,2014-01-16,23:55,"Garrett Bike
Rack",East Carolina University,Larceny
"OCA
2014-0042",2014-01-17,13:41,2014-01-17,13:41,Charles Blvd.,East Carolina University,"Poss. < 1/2 oz Marijuana Poss Drug Paraphenalia
Expired Registration"
"OCA
2014-0044",2014-01-17,20:25,2014-01-17,19:20,Aycock Hall,East Carolina University,Larceny
"OCA
2014-0045",2014-01-17,23:45,2014-01-17,23:45,Reade St.,East Carolina University,PWISD Marijuana (f) Maintaining Vehicle for Sale of CS Possession Drug Paraphenalia
"OCA
2014-0048",2014-01-17,12:42,2014-01-17,12:42,"5th St.& Moye
Bvd.",East Carolina University,"Resist, Delay, Obstruct DWLR"
"OCA
2014-0054",2014-01-19,14:47,2014-01-19,14:47,Charles Blvd.,East Carolina University,Warrant Service
"OCA
2014-0055",2014-01-19,17:42,2014-01-19,17:42,Charles Blvd,East Carolina University,Warrant Service
"OCA
2014-0056",2014-01-19,16:24,2014-01-19,16:24,"College Hill
Suites",East Carolina University,"Possession Drug
Paraphenalia"
"OCA
2014-0061",2014-01-21,13:54,2014-01-21,02:24,Reade St. PVA,East Carolina University,"B&E Motor Vehicle
Larceny From MV"
"OCA
2014-0062",2014-01-21,17:16,2014-01-21,17:00,"College Hill
Suites",East Carolina University,Assault
"OCA
2014-0063",2014-01-21,18:04,2014-01-21,18:04,Clement Hall,East Carolina University,Larceny of Mail
"OCA
2014-0067",2014-01-22,15:00,2014-01-22,15:00,"10th & Greene
Sts.",East Carolina University,DWI DWLR
"OCA
2014-0068",2014-01-22,16:44,2014-01-21,13:00,Science & Tech,East Carolina University,Larceny
"OCA
2014-0069",2014-01-22,15:20,2014-01-22,15:20,Fletcher Hall,East Carolina University,"Felony Possession of Schedule II Misdeameanor Possession of Marijuana
Poss of Drug
Paraphenalia"
"OCA
2014-0073",2014-01-23,16:50,2014-01-22,14:15,"Fletcher Hall
Bike Rack",East Carolina University,Larceny
"OCA
2014-0075",2014-01-24,10:42,2014-01-15,13:38,Minges,East Carolina University,Larceny from Vehicle
"OCA
2014-0077",2014-01-24,16:27,2014-01-15,10:11,Jones Hall,East Carolina University,"Obtaining Property by
False Pretenses"
"OCA
2014-0079",2014-01-25,01:33,2014-01-25,01:33,Founders Drive @ 10t St.,East Carolina University,Underage Consumption of Alcohol
"OCA
2014-0080",2014-01-25,02:06,2014-01-25,02:06,"E. 5th & Reade
Cir.",East Carolina University,Underage Consumption of Alcohol
"OCA
2014-0081",2014-01-25,02:42,2014-01-25,02:42,5th St. & Founders Dr.,East Carolina University,"DWI
Failure to Stop For
Blue Lights
No Headlights
Driving While License
Revoked"
"OCA
2014-0084",2014-01-25,18:00,2014-01-25,03:08,"Reade St. Lot
No.2",East Carolina University,"Injury to Personal
Property"
"OCA
2014-0086",2014-01-27,01:46,2014-01-27,01:46,"White/Clement
Hall Area",East Carolina University,"Injury to Personal
Property"
"OCA
2014-0090",2014-01-27,18:00,2014-01-27,18:00,"608 Green
Street",East Carolina University,Fraud
"OCA
2014-0093",2014-01-28,11:30,2014-01-28,11:30,Ficklen Stad. Parking Lot.,East Carolina University,Hit & Run
"OCA
2014-0094",2014-01-28,14:15,2014-01-28,09:25,Bates Building,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0094",2014-02-01,14:35,2014-02-01,14:35,Clement Hall,East Carolina University,"Larceny from
Building
Obtaining Property by False Pretenses Possession of Stolen Goods"
"OCA
2014-0095",2014-01-28,20:22,2014-01-28,20:11,Rawl Building,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0097",2014-01-29,13:28,2014-01-29,00:30,Cotton Hall,East Carolina University,Larceny of Building
"OCA
2014-0100",2014-01-30,14:38,2014-01-30,13:57,Tyler,East Carolina University,"Possession of
Marijauna
Drug Paraphenalia (2)"
"OCA
2014-0101",2014-01-31,03:08,2014-01-31,03:08,5th & Chancellor Way,East Carolina University,"DWI
Careless and Reckless
Driving"
"OCA
2014-0102",2014-01-31,09:00,2014-01-17,18:30,Murphy Center,East Carolina University,Larceny
"OCA
2014-0103",2014-01-31,15:16,2014-01-29,15:30,North Rec. Complex,East Carolina University,"Damage to Real
Property"
"OCA
2014-0104",2014-01-31,15:00,2014-01-30,18:30,Scott Hall,East Carolina University,Larceny
"OCA
2014-0105",2014-01-31,21:57,2014-01-31,21:57,Tyler Hall,East Carolina University,"Possession of
Marijauna
Warrant Service For
Other Agency"
"OCA
2014-0107",2014-02-02,16:15,2014-02-02,03:00,"Student Rec
PVA",East Carolina University,Damage to Property
"OCA
2014-0108",2014-02-03,09:11,2014-02-02,17:00,"College Hill
Drive",East Carolina University,"Injury to Personal
Property"
"OCA
2014-0112",2014-02-03,20:01,2014-02-03,20:00,Greene,East Carolina University,"Obtain Property
False Pretenses"
"OCA
2014-0113",2014-02-03,20:16,2014-02-03,20:16,Student Rec.,East Carolina University,Larceny of Bicycle
"OCA
2014-0114",2014-02-04,02:06,2014-02-04,02:06,Greene,East Carolina University,Possession of Marijauna Possession of Drug Paraphenalia
"OCA
2014-0119",2014-02-04,22:18,2014-02-04,22:18,Umstead PVA,East Carolina University,Possession of Marijuana Possession of Drug Paraphenalia
"OCA
2014-0120",2014-02-04,23:40,2014-02-04,23:40,Tenth St.,East Carolina University,DWI Careless and Reckless Driving Speeding
"OCA
2014-0121",2014-02-05,10:04,2014-02-04,16:30,Wards Sport medicine,East Carolina University,Larceny
"OCA
2014-0125",2014-02-05,19:32,2014-02-05,19:30,"Mendenhall
PVA",East Carolina University,"Breaking and
Entering a Vehicle"
"OCA
2014-0126",2014-02-05,21:15,2014-02-05,21:15,Clement Hall,East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2014-0127",2014-02-05,22:44,2014-02-05,NA,Jones Hall,East Carolina University,Warrant Service
"OCA
2014-0128",2014-02-06,14:35,2014-01-21,15:45,"Wright
Auditorium",East Carolina University,"Larceny from
Building"
"OCA
2014-0129",2014-02-06,14:49,2014-02-04,18:00,"Reade St. lot
No. 1",East Carolina University,"Larceny from Motor
Vehicle"
"OCA
2014-0130",2014-02-06,16:04,2014-02-06,10:30,"Bernstein
Pharmacy",East Carolina University,"Larceny from
Building"
"OCA
2014-0131",2014-02-06,18:30,2014-02-01,17:00,"Reade St. Lot
No. 1",East Carolina University,"Larceny from Motor
Vehicle"
"OCA
2014-0132",2014-02-06,17:34,2014-01-31,03:30,Scott Hall,East Carolina University,2nd Degree Rape
"OCA
2014-0133",2014-02-07,02:52,2014-02-07,02:52,"Fourth & Ash
Sts.",East Carolina University,Underage Possession of Alcohol
"OCA
2014-0134",2014-02-07,21:50,2014-02-07,21:50,Greene Hall,East Carolina University,"Underage Alcohol
(6)
False Identification
Card (1)"
"OCA
2014-0135",2014-02-07,22:41,2014-02-07,22:41,Fletcher Hall,East Carolina University,"Underage Alcohol
(4)"
"OCA
2014-0138",2014-02-08,19:43,2014-02-09,19:43,Student Rec. Center,East Carolina University,Larceny
"OCA
2014-0142",2014-02-10,13:46,2014-02-10,15:00,Umstead,East Carolina University,Larceny
"OCA
2014-0144",2014-02-10,14:44,2014-02-10,14:22,Joyner Library,East Carolina University,Larceny
"OCA
2014-0145",2014-02-10,21:10,2014-02-10,21:10,Fifth Street,East Carolina University,DWI
"OCA
2014-0146",2014-02-11,00:17,2014-02-11,00:17,Tenth & College Hill,East Carolina University,Possession of Less than 1/2 oz of Marijuana Possession of Drug Paraphenalia
"OCA
2014-0147",2014-02-11,01:50,2014-02-11,01:50,10th & Cedar,East Carolina University,DWI
"OCA
2014-0148",2014-02-11,03:20,2014-02-10,21:30,"Mendenhall
PVA",East Carolina University,Hit & Run
"OCA
2014-0149",2014-02-11,07:40,2014-02-06,07:40,Brody School of Med.,East Carolina University,Larceny
"OCA
2014-0150`",2014-02-11,08:04,2014-02-11,19:30,Rivers,East Carolina University,Larceny
"OCA
2014-0151",2014-02-11,20:57,2014-02-11,20:57,Clement Hall,East Carolina University,Possession of < 1/2 oz of Marijauna
"OCA
2014-0152",2014-02-12,01:43,2014-02-12,01:43,"Fifth & Rotary
Sts.",East Carolina University,"Possession Schedule
II
Possession of Drug
Paraphenalia"
"OCA
2014-0153",2014-02-12,09:21,2014-02-12,09:20,Scott Hall,East Carolina University,Larceny
"OCA
2014-0156",2014-02-12,13:36,2014-02-12,13:36,Joyner Library,East Carolina University,Larceny
"OCA
2014-0157",2014-02-12,15:22,2014-02-12,14:45,Student Rec. Center,East Carolina University,Larceny
"OCA
2014-0158",2014-02-12,17:01,2014-02-12,16:50,Student Rec. Center,East Carolina University,Larceny
"OCA
2014-0159",2014-02-13,12:20,2014-02-12,22:40,Clement Hall,East Carolina University,Larceny
"OCA
2014-0162",2014-02-14,02:58,2014-02-14,02:58,"Cotanche &
7th Sts.",East Carolina University,"DWI
Improper Passing on
Right
Safe Movement
Violation"
"OCA
2014-0167",2014-02-14,21:13,2014-02-14,21:13,Cotton Hall,East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2014-0169",2014-02-15,01:04,2014-02-15,01:04,"Fifth & Jarvis
Sts.",East Carolina University,"Warrant Service Other Agency Possession Marijuana
<1/2 oz"
"OCA
2014-0170",2014-02-15,13:38,2014-02-10,08:00,"Mendenhall
PVA",East Carolina University,"Injury to Personal
Property"
"OCA
2014-0171",2014-02-15,13:40,2014-02-15,13:40,Cotten Hall,East Carolina University,"Possession Marijauna
<1/2 oz Possession Drug Paraphenalia"
"OCA
2014-0172",2014-02-15,23:07,2014-02-15,22:58,White Hall,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0173",2014-02-16,00:56,2014-02-16,00:45,Mendenhall,East Carolina University,Damage to Property
"OCA
2014-0174",2014-02-16,02:45,2014-02-16,02:45,Clement Hall,East Carolina University,Intoxicated and Disruptive Underage Consumption of Alcohol
"OCA
2014-0175",2014-02-16,04:00,2014-02-16,04:00,Jones Hall,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0176",2014-02-16,03:46,2014-02-16,03:46,"College Hill
Dr.",East Carolina University,"DWI
Aid & Abet DWI"
"OCA
2014-0178",2014-02-15,23:15,2014-02-15,22:15,ScottHall,East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2014-0179",2014-02-16,21:05,2014-02-16,21:05,Aycock Hall,East Carolina University,"Underage Possession of Alcohol
Possession of < 1/2 oz Marijauna Possession of Drug Paraphenalia"
"OCA
2014-0180",2014-02-17,01:47,2014-02-17,01:47,Scott Hall,East Carolina University,"Felony Possession of
Schedule II"
"OCA
2014-0181",2014-02-17,11:48,2014-02-16,22:50,Scott Hall,East Carolina University,Larceny
"OCA
2014-0182",2014-02-17,11:48,2014-02-17,11:48,Aycock Hall,East Carolina University,"Injury to Personal
Property"
"OCA
2014-0183",2014-02-17,11:26,2014-02-17,08:00,"Teddy Bear
Clinic",East Carolina University,Larceny
"OCA
2014-0188",2014-02-18,02:15,2014-02-18,02:15,Scott Hall,East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2014-0190",2014-02-18,20:04,2014-02-18,18:30,Bates Building,East Carolina University,Larceny
"OCA
2014-0191",2014-02-19,15:24,2014-02-11,12:00,Tyler Hall,East Carolina University,"Larceny From
Building"
"OCA
2014-0192",2014-02-19,16:55,2014-02-19,11:00,Rivers,East Carolina University,"Larceny From Motor
Vehicle"
"OCA
2014-0193",2014-02-19,17:53,2014-02-19,17:53,Cotten Hall,East Carolina University,Possession of Schedule II Possession < 1/2 oz Marijuana Possession of Drug Paraphenalia
"OCA
2014-0195",2014-02-19,22:15,2014-02-19,22:15,Tenth St. & Charles Blvd,East Carolina University,"Warrant Service
Other Agency"
"OCA
2014-0196",2014-02-19,23:00,2014-02-19,23:00,"First & Reade
Sts.",East Carolina University,Possession w/intend to Sell & Deliver Marijuana Possession Drug Paraphenalia
"OCA
2014-0197",2014-02-19,23:58,2014-02-19,23:58,Charles & Twelth Sts.,East Carolina University,Possession of < 1/2 oz of Marijuana
"OCA
2014-0198",2014-02-20,10:22,2014-02-19,22:15,Joyner Library,East Carolina University,"Larceny From
Building"
"OCA
2014-0201",2014-02-21,01:48,2014-02-21,01:47,Fourth & Reade Sts.,East Carolina University,Simple Assault
"OCA
2014-0203",2014-02-21,02:37,2014-02-21,02:35,"Reade St. Bus
Stop",East Carolina University,Larceny
"OCA
2014-0205",2014-02-21,14:30,2014-02-21,14:30,"College Hill
Suites",East Carolina University,"Simple Possession of
Marijuana"
"OCA
2014-0207",2014-02-22,01:28,2014-02-22,01:28,Johnston & Harding Sts.,East Carolina University,"Possession Marijuana
Underage Alcohol"
"OCA
2014-0209",2014-02-22,21:01,2014-02-22,19:38,Tyler Hall,East Carolina University,"First Degree
Trespassing"
"OCA
2014-0210",2014-02-22,23:06,NA,23:06,E. 10th & College Hill Dr.,East Carolina University,"Simple Possession of
Marijuana Possession of Drug Paraphenalia Transporting Open Container
Driving While a
License"
"OCA
2014-0211",2014-02-23,01:40,NA,01:40,"College Hill
Dr.",East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2014-0212",2014-02-23,01:40,2014-02-23,11:00,"Aycock
Residents Hall",East Carolina University,"Damage to Real
Property"
"OCA
2014-0213",2014-02-23,11:53,NA,11:45,PVA @ Bloxton Bld.,East Carolina University,"Damage to Personal
Property"
"OCA
2014-0214",2014-02-23,19:40,NA,11:45,Reade St. PVA,East Carolina University,"Damage to Personal
Property"
"OCA
2014-0215",2014-02-23,21:27,2014-02-23,21:27,White Hall,East Carolina University,Possession of Drug Paraphenalia (2) PWISD Marijauna Possess Adderall w/o perscription (3) _
"OCA
2014-0217",2014-02-24,02:25,NA,02:25,Tenth & Brewster Sts.,East Carolina University,DWI
"OCA
2014-0219",2014-02-24,17:10,NA,12:45,Clark leClair,East Carolina University,Larceny
"OCA
2014-0220",2014-02-24,16:42,NA,16:42,Cotten Hall,East Carolina University,"Injury to Real
Property"
"OCA
2014-0221",2014-02-24,17:36,2014-02-23,17:15,Jarvis Hall,East Carolina University,"Failure to Report
Accident"
"OCA
2014-0224",2014-02-25,14:38,2014-02-25,10:00,Student Rec. Center,East Carolina University,Larceny
"OCA
2014-0225",2014-02-25,14:52,2014-02-23,20:00,"East Carolina
Heart Inst.",East Carolina University,Damage to Property
"OCA
2014-0226",2014-02-25,15:16,2014-02-25,15:10,Clement Hall,East Carolina University,Simple Assault
"OCA
2014-0228",2014-02-25,15:47,2014-02-25,15:47,Health Science,East Carolina University,False Fire Alarm
"OCA
2014-0229",2014-02-25,19:02,2014-02-25,16:00,Aycock Hall,East Carolina University,Larceny Larceny
"OCA
2014-0234",2014-02-26,11:00,2014-02-25,17:59,"SW of Carol
Belk Bld",East Carolina University,Larceny
"OCA
2014-0235",2014-02-26,19:22,2014-02-25,19:21,Scott Hall,East Carolina University,"PWSID Marijuana
(1)
Possession of Drug Paraphenalia Weapon on Education Property (m)
Underage Consumption of Alcohol"
"OCA
2014-0235",2014-02-27,16:37,2014-02-27,16:37,Scott Hall,East Carolina University,Underage Possession of Alcohol
"OCA
2014-0239",2014-02-28,02:00,2014-02-28,02:00,Scott Hall,East Carolina University,Underage of Consumption of Alcohol
