case_number,date_reported,time_reported,date_occurred,time_occurred,incident,location,university
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Fraud,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Fraud,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Not Counted For UCR,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Not Counted For UCR,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Theft Non-Motor Vehicle,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000850,2013-01-07,12:25,2013-01-04,13:00,Theft Non-Motor Vehicle,701 S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00000876,2013-01-07,16:15,2013-01-07,13:30,Theft Non-Motor Vehicle,802  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00000876,2013-01-07,16:15,2013-01-07,13:30,Theft Non-Motor Vehicle,802  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00000876,2013-01-07,16:15,2013-01-07,13:30,Theft Non-Motor Vehicle,802  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00000878,2013-01-07,16:19,2012-10-03,10:00,Theft Non-Motor Vehicle,900 E CAMPUS Columbia MO 65201,University of Missouri-Columbia
2013-00000878,2013-01-07,16:19,2012-10-03,10:00,Theft Non-Motor Vehicle,900 E CAMPUS Columbia MO 65201,University of Missouri-Columbia
2013-00000878,2013-01-07,16:19,2012-10-03,10:00,Theft Non-Motor Vehicle,900 E CAMPUS Columbia MO 65201,University of Missouri-Columbia
2013-00000926,2013-01-08,01:15,2013-01-08,01:15,Driving Under The Influence,LOCUST Columbia MO 65201,University of Missouri-Columbia
2013-00000926,2013-01-08,01:15,2013-01-08,01:15,Not Counted For UCR,LOCUST Columbia MO 65201,University of Missouri-Columbia
2013-00001162,2013-01-09,17:56,2012-11-01,23:00,Forcible Rape,402  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00001162,2013-01-09,17:56,2012-11-01,23:00,Forcible Rape,402  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00001162,2013-01-09,17:56,2012-11-01,23:00,Forcible Rape,402  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00001216,2013-01-10,01:47,2013-01-10,01:47,Not Counted For UCR,ROCK QUARRY / HINKSON Columbia MO,University of Missouri-Columbia
2013-00001217,2013-01-10,01:51,2013-01-10,01:51,Driving Under The Influence,ROCK QUARRY / ROLLING ROCK Columbia MO,University of Missouri-Columbia
2013-00001217,2013-01-10,01:51,2013-01-10,01:51,Not Counted For UCR,ROCK QUARRY / ROLLING ROCK Columbia MO,University of Missouri-Columbia
2013-00001227,2013-01-10,04:24,2013-01-10,04:24,Not Counted For UCR,521 S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00001227,2013-01-10,04:24,2013-01-10,04:24,"Possession Marijuana, Hashish, etc.",521 S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00001227,2013-01-10,04:24,2013-01-10,04:24,"Possession Marijuana, Hashish, etc.",521 S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00001270,2013-01-10,16:57,2012-12-14,08:00,Theft Non-Motor Vehicle,1202  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001270,2013-01-10,16:57,2012-12-14,08:00,Theft Non-Motor Vehicle,1202  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001270,2013-01-10,16:57,2012-12-14,08:00,Theft Non-Motor Vehicle,1202  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001337,2013-01-11,00:58,2013-01-11,00:58,Driving Under The Influence,ELM Columbia MO 65201,University of Missouri-Columbia
2013-00001337,2013-01-11,00:58,2013-01-11,00:58,Not Counted For UCR,ELM Columbia MO 65201,University of Missouri-Columbia
2013-00001361,2013-01-11,09:27,2013-01-09,09:00,Vandalism,506 S 6TH Columbia MO 65201,University of Missouri-Columbia
2013-00001361,2013-01-11,09:27,2013-01-09,09:00,Vandalism,506 S 6TH Columbia MO 65201,University of Missouri-Columbia
2013-00001361,2013-01-11,09:27,2013-01-09,09:00,Vandalism,506 S 6TH Columbia MO 65201,University of Missouri-Columbia
2013-00001369,2013-01-11,11:16,2013-01-11,11:00,Simple Assault,15  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001369,2013-01-11,11:16,2013-01-11,11:00,Simple Assault,15  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001388,2013-01-11,17:55,2013-01-11,17:00,Discoderly Conduct,1101  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001388,2013-01-11,17:55,2013-01-11,17:00,Discoderly Conduct,1101  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001644,2013-01-13,17:57,2013-01-13,17:57,Not Counted For UCR,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001672,2013-01-13,21:55,2013-01-13,21:23,Theft Non-Motor Vehicle,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00001759,2013-01-14,08:58,2013-01-11,06:00,Theft Non-Motor Vehicle,2401  LEMONE INDUSTRIAL Columbia MO 65201,University of Missouri-Columbia
2013-00001759,2013-01-14,08:58,2013-01-11,06:00,Theft Non-Motor Vehicle,2401  LEMONE INDUSTRIAL Columbia MO 65201,University of Missouri-Columbia
2013-00001759,2013-01-14,08:58,2013-01-11,06:00,Theft Non-Motor Vehicle,2401  LEMONE INDUSTRIAL Columbia MO 65201,University of Missouri-Columbia
2013-00001760,2013-01-14,08:59,2013-01-12,17:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00001760,2013-01-14,08:59,2013-01-12,17:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00001760,2013-01-14,08:59,2013-01-12,17:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00001806,2013-01-14,16:27,2013-01-11,12:00,Motor Vehicle Theft,400  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00001806,2013-01-14,16:27,2013-01-11,12:00,Motor Vehicle Theft,400  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00001896,2013-01-15,01:49,2013-01-15,01:49,Driving Under The Influence,3101 S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00001896,2013-01-15,01:49,2013-01-15,01:49,Not Counted For UCR,3101 S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00001918,2013-01-15,09:47,2013-01-15,09:47,Not Counted For UCR,W NIFONG Columbia MO 65203,University of Missouri-Columbia
2013-00001918,2013-01-15,09:47,2013-01-15,09:47,Not Counted For UCR,W NIFONG Columbia MO 65203,University of Missouri-Columbia
2013-00001970,2013-01-15,18:10,2013-01-10,19:00,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001970,2013-01-15,18:10,2013-01-10,19:00,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001970,2013-01-15,18:10,2013-01-10,19:00,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00001970,2013-01-15,18:10,2013-01-10,19:00,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002020,2013-01-16,01:50,2013-01-16,01:50,Driving Under The Influence,ASHLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002020,2013-01-16,01:50,2013-01-16,01:50,"Possession Marijuana, Hashish, etc.",ASHLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002069,2013-01-16,12:32,2013-01-14,07:30,Forgery and Counterfeiting,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002069,2013-01-16,12:32,2013-01-14,07:30,Forgery and Counterfeiting,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002069,2013-01-16,12:32,2013-01-14,07:30,Forgery and Counterfeiting,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Vandalism,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Vandalism,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002146,2013-01-16,21:06,2012-12-19,17:00,Vandalism,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002150,2013-01-16,21:26,2012-12-14,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002150,2013-01-16,21:26,2012-12-14,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002150,2013-01-16,21:26,2012-12-14,17:00,Theft Non-Motor Vehicle,907  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002285,2013-01-17,17:36,2013-01-16,12:00,Theft Non-Motor Vehicle,MISSOURI ORTHOPEDIC INSTITUTE Columbia MO,University of Missouri-Columbia
2013-00002285,2013-01-17,17:36,2013-01-16,12:00,Theft Non-Motor Vehicle,MISSOURI ORTHOPEDIC INSTITUTE Columbia MO,University of Missouri-Columbia
2013-00002285,2013-01-17,17:36,2013-01-16,12:00,Theft Non-Motor Vehicle,MISSOURI ORTHOPEDIC INSTITUTE Columbia MO,University of Missouri-Columbia
2013-00002336,2013-01-18,01:19,2013-01-18,01:19,Driving Under The Influence,S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00002336,2013-01-18,01:19,2013-01-18,01:19,Not Counted For UCR,S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00002424,2013-01-18,14:03,2013-01-18,14:03,All Other Offenses (Except Traffic),1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002424,2013-01-18,14:03,2013-01-18,14:03,All Other Offenses (Except Traffic),1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002424,2013-01-18,14:03,2013-01-18,14:03,"Poss/Opium, Cocaine, Heroin, etc.",1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002424,2013-01-18,14:03,2013-01-18,14:03,"Poss/Opium, Cocaine, Heroin, etc.",1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002489,2013-01-18,22:53,2013-01-18,22:53,Not Counted For UCR,S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00002489,2013-01-18,22:53,2013-01-18,22:53,Not Counted For UCR,S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00002491,2013-01-19,00:19,2013-01-19,00:19,Driving Under The Influence,E STADIUM Columbia MO 65201,University of Missouri-Columbia
2013-00002491,2013-01-19,00:19,2013-01-19,00:19,Not Counted For UCR,E STADIUM Columbia MO 65201,University of Missouri-Columbia
2013-00002491,2013-01-19,00:19,2013-01-19,00:19,Not Counted For UCR,E STADIUM Columbia MO 65201,University of Missouri-Columbia
2013-00002493,2013-01-19,00:44,2013-01-19,00:44,All Other Offenses (Except Traffic),S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00002493,2013-01-19,00:44,2013-01-19,00:44,Liquor Laws,S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00002493,2013-01-19,00:44,2013-01-19,00:44,Not Counted For UCR,S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00002493,2013-01-19,00:44,2013-01-19,00:44,Not Counted For UCR,S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00002493,2013-01-19,00:44,2013-01-19,00:44,Not Counted For UCR,S 5TH Columbia MO 65201,University of Missouri-Columbia
2013-00002509,2013-01-19,03:55,2013-01-19,03:55,Liquor Laws,1003  MARYLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002576,2013-01-19,14:43,2013-01-19,14:43,Theft Non-Motor Vehicle,308  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002576,2013-01-19,14:43,2013-01-19,14:43,Theft Non-Motor Vehicle,308  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002576,2013-01-19,14:43,2013-01-19,14:43,Theft Non-Motor Vehicle,308  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002614,2013-01-19,20:32,2013-01-19,20:32,All Other Offenses (Except Traffic),HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002614,2013-01-19,20:32,2013-01-19,20:32,Not Counted For UCR,HITT Columbia MO 65201,University of Missouri-Columbia
2013-00002655,2013-01-19,23:17,2013-01-19,23:17,"Possession Marijuana, Hashish, etc.",1005  MARYLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002656,2013-01-19,23:44,2013-01-19,23:44,All Other Offenses (Except Traffic),ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002656,2013-01-19,23:44,2013-01-19,23:44,"Possession Marijuana, Hashish, etc.",ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002695,2013-01-20,08:51,2013-01-19,07:30,Simple Assault,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002695,2013-01-20,08:51,2013-01-19,07:30,Simple Assault,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00002707,2013-01-20,13:53,2013-01-18,20:03,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002707,2013-01-20,13:53,2013-01-18,20:03,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002781,2013-01-20,21:15,2013-01-20,21:15,"Possession Marijuana, Hashish, etc.",1400  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00002783,2013-01-20,21:34,2013-01-20,21:34,"Possession Marijuana, Hashish, etc.",ASHLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002783,2013-01-20,21:34,2013-01-20,21:34,"Possession Marijuana, Hashish, etc.",ASHLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002783,2013-01-20,21:34,2013-01-20,21:34,"Possession Marijuana, Hashish, etc.",ASHLAND Columbia MO 65201,University of Missouri-Columbia
2013-00002791,2013-01-20,23:19,2013-01-20,23:19,"Possession Marijuana, Hashish, etc.",502  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00002791,2013-01-20,23:19,2013-01-20,23:19,"Possession Marijuana, Hashish, etc.",502  KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00002792,2013-01-20,23:42,2013-01-20,00:40,"Possession Marijuana, Hashish, etc.",904  VIRGINIA Columbia MO 65201,University of Missouri-Columbia
2013-00002792,2013-01-20,23:42,2013-01-20,00:40,Liquor Laws,904  VIRGINIA Columbia MO 65201,University of Missouri-Columbia
2013-00002792,2013-01-20,23:42,2013-01-20,00:40,"Possession Marijuana, Hashish, etc.",904  VIRGINIA Columbia MO 65201,University of Missouri-Columbia
2013-00002793,2013-01-21,00:55,2013-01-21,00:55,Liquor Laws,KENTUCKY Columbia MO 65201,University of Missouri-Columbia
2013-00002798,2013-01-21,01:28,2013-01-21,01:28,Liquor Laws,BURNAM Columbia MO 65201,University of Missouri-Columbia
2013-00002865,2013-01-21,16:57,2013-01-21,16:45,All Other Offenses (Except Traffic),512  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00002925,2013-01-22,00:14,2013-01-22,00:14,All Other Offenses (Except Traffic),UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00002925,2013-01-22,00:14,2013-01-22,00:14,All Other Offenses (Except Traffic),UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00002925,2013-01-22,00:14,2013-01-22,00:14,Liquor Laws,UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00002929,2013-01-22,01:15,2013-01-22,01:15,Driving Under The Influence,1000  ELM Columbia MO 65201,University of Missouri-Columbia
2013-00002929,2013-01-22,01:15,2013-01-22,01:15,Not Counted For UCR,1000  ELM Columbia MO 65201,University of Missouri-Columbia
2013-00002930,2013-01-22,01:56,2013-01-22,01:56,Driving Under The Influence,HINKSON Columbia MO 65201,University of Missouri-Columbia
2013-00002930,2013-01-22,01:56,2013-01-22,01:56,Not Counted For UCR,HINKSON Columbia MO 65201,University of Missouri-Columbia
2013-00002993,2013-01-22,16:16,2013-01-22,16:16,"Possession Marijuana, Hashish, etc.",800  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003031,2013-01-22,13:36,2013-01-22,11:15,Theft Non-Motor Vehicle,820  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00003031,2013-01-22,13:36,2013-01-22,11:15,Theft Non-Motor Vehicle,820  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00003031,2013-01-22,13:36,2013-01-22,11:15,Theft Non-Motor Vehicle,820  CONLEY Columbia MO 65201,University of Missouri-Columbia
2013-00003041,2013-01-22,20:13,2013-01-22,20:00,All Other Offenses (Except Traffic),905  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003041,2013-01-22,20:13,2013-01-22,20:00,All Other Offenses (Except Traffic),905  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003041,2013-01-22,20:13,2013-01-22,20:00,Forgery and Counterfeiting,905  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003041,2013-01-22,20:13,2013-01-22,20:00,Not Counted For UCR,905  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003046,2013-01-22,21:04,2013-01-22,21:04,"Possession Marijuana, Hashish, etc.",800  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003046,2013-01-22,21:04,2013-01-22,21:04,"Weapons Carrying, Possessing, etc.",800  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003118,2013-01-23,10:44,2013-01-21,11:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00003118,2013-01-23,10:44,2013-01-21,11:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00003118,2013-01-23,10:44,2013-01-21,11:30,Theft Non-Motor Vehicle,3600 E NEW HAVEN Columbia MO 65201,University of Missouri-Columbia
2013-00003121,2013-01-23,11:49,2013-01-23,11:49,Not Counted For UCR,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003138,2013-01-23,16:58,2013-01-23,16:19,Vandalism,703  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003138,2013-01-23,16:58,2013-01-23,16:19,Vandalism,703  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003138,2013-01-23,16:58,2013-01-23,16:19,Vandalism,703  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003153,2013-01-23,21:18,2013-01-23,21:00,Arson,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003153,2013-01-23,21:18,2013-01-23,21:00,Vandalism,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003177,2013-01-24,02:04,2013-01-24,02:04,Liquor Laws,ROLLINS/PROVIDENCE Columbia MO,University of Missouri-Columbia
2013-00003178,2013-01-24,02:17,2013-01-24,02:17,Driving Under The Influence,E BURNAM Columbia MO 65203,University of Missouri-Columbia
2013-00003178,2013-01-24,02:17,2013-01-24,02:17,Not Counted For UCR,E BURNAM Columbia MO 65203,University of Missouri-Columbia
2013-00003178,2013-01-24,02:17,2013-01-24,02:17,Not Counted For UCR,E BURNAM Columbia MO 65203,University of Missouri-Columbia
2013-00003247,2013-01-24,10:16,2013-01-16,10:00,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003247,2013-01-24,10:16,2013-01-16,10:00,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003247,2013-01-24,10:16,2013-01-16,10:00,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003247,2013-01-24,10:16,2013-01-16,10:00,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003251,2013-01-24,11:29,2013-01-18,16:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003251,2013-01-24,11:29,2013-01-18,16:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003251,2013-01-24,11:29,2013-01-18,16:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003270,2013-01-24,15:08,2013-01-24,13:25,All Other Offenses (Except Traffic),1115  UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00003270,2013-01-24,15:08,2013-01-24,13:25,All Other Offenses (Except Traffic),1115  UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00003270,2013-01-24,15:08,2013-01-24,13:25,All Other Offenses (Except Traffic),1115  UNIVERSITY Columbia MO 65201,University of Missouri-Columbia
2013-00003322,2013-01-25,00:53,2013-01-25,00:53,Liquor Laws,ROLLINS ST / TIGER AVE Columbia MO,University of Missouri-Columbia
2013-00003327,2013-01-25,01:18,2013-01-25,01:18,All Other Offenses (Except Traffic),S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00003327,2013-01-25,01:18,2013-01-25,01:18,Liquor Laws,S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00003380,2013-01-25,13:38,2012-11-22,17:00,All Other Offenses (Except Traffic),Columbia MO,University of Missouri-Columbia
2013-00003380,2013-01-25,13:38,2012-11-22,17:00,All Other Offenses (Except Traffic),Columbia MO,University of Missouri-Columbia
2013-00003380,2013-01-25,13:38,2012-11-22,17:00,Vandalism,Columbia MO,University of Missouri-Columbia
2013-00003380,2013-01-25,13:38,2012-11-22,17:00,Vandalism,Columbia MO,University of Missouri-Columbia
2013-00003428,2013-01-25,20:42,2013-01-25,17:30,Theft Non-Motor Vehicle,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003428,2013-01-25,20:42,2013-01-25,17:30,Theft Non-Motor Vehicle,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003428,2013-01-25,20:42,2013-01-25,17:30,Theft Non-Motor Vehicle,1  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00003431,2013-01-25,20:50,2013-01-24,21:30,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00003431,2013-01-25,20:50,2013-01-24,21:30,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00003431,2013-01-25,20:50,2013-01-24,21:30,Theft Non-Motor Vehicle,1000  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00003443,2013-01-25,22:24,2013-01-25,22:24,Liquor Laws,S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00003447,2013-01-25,22:54,2013-01-25,22:50,Liquor Laws,HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003455,2013-01-26,00:19,2013-01-26,00:19,Discoderly Conduct,206 S 6TH Columbia MO 65201,University of Missouri-Columbia
2013-00003462,2013-01-26,01:25,2013-01-26,01:25,Driving Under The Influence,S ROCK QUARRY Columbia MO 65201,University of Missouri-Columbia
2013-00003462,2013-01-26,01:25,2013-01-26,01:25,Not Counted For UCR,S ROCK QUARRY Columbia MO 65201,University of Missouri-Columbia
2013-00003462,2013-01-26,01:25,2013-01-26,01:25,Not Counted For UCR,S ROCK QUARRY Columbia MO 65201,University of Missouri-Columbia
2013-00003470,2013-01-26,02:21,2013-01-26,02:21,Liquor Laws,601  ROLLINS Columbia MO 65201,University of Missouri-Columbia
2013-00003569,2013-01-26,22:48,2013-01-26,22:48,Simple Assault,903  HITT Columbia MO 65201,University of Missouri-Columbia
2013-00003569,2013-01-26,22:48,2013-01-26,22:48,Simple Assault,903  HITT Columbia MO 65201,University of Missouri-Columbia
