Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intrusion Alarm,18UV000179,01/10/2018,1714,01/10/2018,1714,Nolan House,Closed
Intrusion Alarm,18UV000180,01/10/2018,1803,01/10/2018,1803,Southwick,Closed
Intrusion Alarm,18UV000181,01/10/2018,1828,01/10/2018,1828,460 S Prospect St,Closed
Agency Assist/MV Accident,18UV000185,01/11/2018,0749,01/11/2018,0749,Williston Rd,Closed; Assist to SBPD
Suspicious Activity,18UV000190,01/11/2018,1133,01/11/2018,1133,Bailey Howe,Closed
Fire,18UV000193,01/11/2018,1427,01/11/2018,1427,Kalkin,Closed
Fire Alarm,18UV000194,01/11/2018,1615,01/11/2018,1615,Kalkin,Closed
Intrusion Alarm,18UV000195,01/11/2018,1813,01/11/2018,1813,Southwick,Closed
Intrusion Alarm,18UV000196,01/11/2018,1901,01/11/2018,1901,460 S Prospect St,Closed
Intrusion Alarm,18UV000202,01/12/2018,0123,01/12/2018,0123,Waterman,Closed
Blue Light Alarm/Intoxication,18UV000204,01/12/2018,0318,01/12/2018,0318,Patrick Gym,Closed; non-affiliate referred to ACT 1
Alcohol Violation,18UV000215,01/12/2018,1944,01/12/2018,1944,Patrick Gym,Closed; Affiliate referred to CSC 
Intoxication,18UV000217,01/12/2018,2348,01/12/2018,2348,Redstone Lofts,Closed; Affiliate transported to UVMMC by UVM Rescue; Report to CSC 
Agency Assist/Intrusion Alarm,18UV000223,01/13/2018,0228,01/13/2018,0228,4 Market St,Closed; Assist to SBPD
Fire Alarm,18UV000225,01/13/2018,1136,01/13/2018,1136,Davis Center,Closed
Fire Alarm,18UV000228,01/13/2018,1507,01/13/2018,1507,Davis Center,Closed
Motorist Assist,18UV000232,01/13/2018,1936,01/13/2018,1936,Pearl St @ Jeanne Mance,Closed
Agency Assist,18UV000234,01/13/2018,2138,01/13/2018,2138,284 East Ave,Closed; assist to U.S. Secret Service
Motorist Assist,18UV000235,01/13/2018,2231,01/13/2018,2231,Loomis St / N Prospect St,Closed
Agency Assist,18UV000242,01/14/2018,0342,01/14/2018,0342,Winooski Falls Way,Closed; assist to WPD & St. Michael's Rescue
Agency Assist / Intoxication,18UV000241,01/14/2018,0500,01/14/2018,0500,111 Colchester Ave,Closed; assist to WPD; non affiliate transported to ACT 1
Intrusion Alarm,18UV000243,01/14/2018,0542,01/14/2018,0542,460 S Prospect St,Closed
Traffic Hazard / Motorist Assist,18UV000245,01/14/2018,0558,01/14/2018,0558,322 S Prospect St,Closed
Parking Violation,18UV000251,01/14/2018,1500,01/14/2018,1500,CCRH Outside,Closed
Agency Assist / Accident,18UV000254,01/14/2018,1727,01/14/2018,1727,S Prospect St / College St,Closed; assist to BPD
Motor Vehicle Complaint,18UV000255,01/14/2018,1728,01/14/2018,1728,Davis Rd / S Prospect St,Closed
Blue Light Alarm,18UV000258,01/14/2018,1810,01/14/2018,1810,Simpson Outside,Closed
Alcohol Offense,18UV000259,01/14/2018,1826,01/14/2018,1826,Mason,Closed; report to CSC
Burglary,18UV000260,01/14/2018,1831,12/15/2017-01/14/2018,Unk,Patterson,Closed
Agency Assist,18UV000261,01/14/2018,1903,01/14/2018,1903,155 Dorset St,Closed; assist to SBPD
Citizen Assist,18UV000263,01/14/2018,2103,01/14/2018,2103,CCRH,Closed
Motorist Assist,18UV000266,01/14/2018,2218,01/14/2018,2218,East Ave / Main St,Closed
Larceny,18UV000267,01/14/2018,2231,12/15/2017-01/14/2018,Unk,Christie Wright Patterson,Open incident
Medical Assist / Intoxication,18UV000268,01/14/2018,2314,01/14/2018,2314,Millis,Closed; affiliate transported to UVMMC via UVM Rescue; report to CSC
Intrusion Alarm,18UV000275,01/15/2018,0320,01/15/2018,0320,460 S Prospect St,Closed
Intrusion Alarm,18UV000278,01/15/2018,1146,01/15/2018,1146,322 S Prospect St,Closed
Parking Violation,18UV000279,01/15/2018,1219,01/15/2018,1219,Living & Learning Lot,Closed
Citizen Assist,18UV000283,01/15/2018,1915,01/15/2018,1915,CCRH,Closed
Citizen Assist,18UV000284,01/15/2018,1934,01/15/2018,1934,Patrick Gym Lot,Closed
Property Damage,18UV000285,01/15/2018,1948,01/15/2018,1948,Marsh Life Science,Closed
Fire Alarm/UVM Policy Violation,18UV000287,01/15/2018,2009,01/15/2018,2009,Living & Learning,Closed; Report to CSC
Drugs,18UV000297,01/16/2018,2008,01/16/2018,2008,University Heights North,Closed; Unsubstantiated
Property Damage,18UV000300,01/16/2018,2137,01/16/2018,2137,PFG Road,Closed
Citizen Assist,18UV000305,01/17/2018,0031,01/17/2018,0031,Redstone Lofts,Closed
Citizen Assist,18UV000307,01/17/2018,1153,01/17/2018,1153,284 East Ave,Closed
Fire Alarm,18UV000309,01/17/2018,1409,01/17/2018,1409,Pomeroy,Closed
Property Damage,18UV000310,01/17/2018,1452,01/17/2018,0600-0900,CCRH Lot,Closed
Agency Assist/Fraud,18UV000311,01/17/2018,1603,01/17/2018,1603,212 Colchester Ave,Closed; Assist to Conference and Events Services
Motorist Assist,18UV000312,01/17/2018,1630,01/17/2018,1630,"I 89 Southbound, Colchester",Closed
Motorist Assist,18UV000313,01/17/2018,1843,01/17/2018,1843,Main St / Summit St,Closed
Intrusion Alarm,18UV000317,01/17/2018,1933,01/17/2018,1933,Fleming Museum,Closed
Intrusion Alarm,18UV000318,01/17/2018,1943,01/17/2018,1943,Nolan House,Closed
Fire Alarm / Medical Assist,18UV000320,01/17/2018,2340,01/17/2018,2340,CCRH,Closed; Affiliate transported to UVMMC via UVM Rescue
Noise,18UV000322,01/18/2018,0056,01/18/2018,0056,Mason,Closed; 4 affiliates and 1 non-affiliate warned for excessive noise
Intrusion Alarm,18UV000323,01/18/2018,0555,01/18/2018,0555,Englesby House,Closed
Fire Alarm,18UV000324,01/18/2018,0707,01/18/2018,0707,Southwick,Closed
Vandalism,18UV000327,01/18/2018,0956,01/17/2018-01/18/2018,0956-0956,Lafayette,Closed
Panic Alarm,18UV000332,01/18/2018,1152,01/18/2018,1152,Student Health Center,Closed
Fire Alarm,18UV000333,01/18/2018,1306,01/18/2018,1306,Fleming Museum,Closed
Animal Problem,18UV000335,01/18/2018,1451,01/18/2018,1351-1451,Davis Center Visitors Lot,Closed
Sexual Assault / Voyeurism,18UV000337,01/18/2018,1530,09/01/2016-01/18/2018,Unk.,Austin,Closed; Subject cited into court for Voyeurism; Report to Title IX. 
Intrusion Alarm,18UV000340,01/18/2018,1829,01/18/2018,1829,Waterman,Closed
Intoxication,18UV000345,01/19/2018,0218,01/19/2018,0218,Wing Davis Wilks,Closed; Affiliate transported to ACT 1; Report to CSC 
Assist Citizen/Trespass,18UV000347,01/19/2018,0530,01/19/2018,0530,109 S Prospect St,Closed
Fire Alarm,18UV000348,01/19/2018,0902,01/19/2018,0902,Wing Davis Wilks,Closed
Agency Assist,18UV000349,01/19/2018,0941,01/19/2018,0941,Wilks,Closed; assist to Shelburne PD
Threats / Harassment,18UV000351,01/19/2018,1214,01/13/2018,Unk,Robinson,Open incident
Citizen Assist,18UV000353,01/19/2018,1317,01/17/2018,Unk,Dewey,Closed
Burglary,18UV000354,01/19/2018,1330,01/19/2018,1100-1300,Austin,Open incident
Larceny,18UV000355,01/19/2018,1528,12/20/17 - 01/20/18,Unk,Catholic Center,Open incident
Property Damage / Unlawful Mischief,18UV000356,01/19/2018,1639,01/19/2018,1639,Waterman Parking Lot,Closed
Intrusion Alarm,18UV000360,01/19/2018,2145,01/19/2018,2145,460 S Prospect St,Closed
Motorist Assist,18UV000361,01/19/2018,2237,01/19/2018,2237,East Ave / Main St,Closed
Parking Violation,18UV000365,01/19/2018,2325,01/19/2018,2325,Slade Hall Parking Lot,Closed
Citizen Assist,18UV000370,01/20/2018,0052,01/20/2018,0052,"College Parkway, Colchester",Closed
Citizen Assist,18UV000375,01/20/2018,0217,01/20/2018,0217,Buell St / S Willard St,Closed
Traffic / DUI,18UV000376,01/20/2018,0255,01/20/2018,0255,Williston Rd @ Staples Plaza,Closed; non affiliate cited into court for DUI
Animal Problem,18UV000378,01/20/2018,0936,01/20/2018,0936,Redstone Lofts Outside,Closed
Fire Alarm,18UV000380,01/20/2018,1103,01/20/2018,1103,University Hgts North 3,Closed
Blue Light Alarm,18UV000382,01/20/2018,1237,01/20/2018,1237,Redstone Path,Closed
Medical Assist,18UV000389,01/20/2018,1746,01/20/2018,1746,CCRH,Closed; affiliate transported to UVMMC via UVM Rescue
Drugs,18UV000391,01/20/2018,1912,01/20/2018,1912,University Hgts North 3,Closed; non substantiated
Drugs,18UV000392,01/20/2018,1934,01/20/2018,1934,Harris,Closed; report to CSC
Agency Assist,18UV000400,01/20/2018,2202,01/20/2018,2202,1214 Williston Rd,Closed; assist to SBPD
Drugs,18UV000401,01/20/2018,2303,01/20/2018,2303,University Hgts North 2,Closed; report to CSC
Drugs,18UV000402,01/20/2018,2311,01/20/2018,2311,CCRH,Closed; report to CSC
Drugs,18UV000403,01/20/2018,2316,01/20/2018,2316,University Hgts South 1,Closed; report to CSC
Vandalism,18UV000404,01/20/2018,2329,01/20/2018,0930 & 2144,Mercy,Open incident
Vandalism,18UV000408,01/21/2018,0110,Unk,Unk,CCRH,Open incident
Medical Assist / Alcohol Offense,18UV000410,01/21/2018,0159,01/21/2018,0159,Wright,Closed; affiliate transported to UVMMC by UVM Rescue; Report to CSC
Traffic / DUI,18UV000411,01/21/2018,0216,01/21/2018,0216,"Interstate 89, So. Burlington",Closed; non affiliate cited into court for DUI
Citizen Assist,18UV000412,01/21/2018,0220,01/21/2018,0220,Millis,Closed
Noise,18UV000432,01/22/2018,0242,01/22/2018,0242,Redstone Lofts,Closed; noise warning issued
Agency Assist,18UV000433,01/22/2018,0412,01/22/2018,0412,284 East Ave,Closed; assist to Richmond Police
Citizen Assist,18UV000434,01/22/2018,0537,01/22/2018,0537,Harris Outside,Closed
Theft of Service,18UV000435,01/22/2018,0738,01/22/2018,0738,Robinson Lot,Closed; Report to CSC
Fire Alarm,18UV000440,01/22/2018,1613,01/22/2018,1613,McAuley,Closed
Motor Vehicle Complaint,18UV000441,01/22/2018,1744,01/22/2018,1744,Davis Center Lot,Closed
Intrusion Alarm,18UV000442,01/22/2018,1747,01/22/2018,1747,Nolan House,Closed
Intrusion Alarm,18UV000443,01/22/2018,1806,01/22/2018,1806,Nolan House,Closed
Fire Alarm,18UV000444,01/22/2018,1821,01/22/2018,1821,Christie Wright Patterson,Closed
Fire Alarm,18UV000446,01/23/2018,0136,01/23/2018,0136,Marsh,Closed
Intrusion Alarm,18UV000448,01/23/2018,0654,01/23/2018,0654,Bioresearch Facility,Closed
Vandalism,18UV000449,01/23/2018,0738,01/22/2018 - 01/23/2018,1500 - 0738,Given,Open
Intrusion Alarm,18UV000451,01/23/2018,0827,01/23/2018,0827,Nolan House,Closed
Petit Larceny,18UV000454,01/23/2018,1202,01/23/2018,0900 - 1202,Davis Center,Open
Accident /  LSA,18UV000455,01/23/2018,1248,01/23/2018,0700 - 1248,UVM Grounds Garage,Closed
Mental Health Issue,18UV000459,01/23/2018,1418,01/23/2018,1418,284 East Ave,Closed
Recovered Stolen Property,18UV000460,01/23/2018,1436,01/23/2018,1436,Williams Bike Rack,Closed
Citizen Assist / Fraud,18UV000464,01/23/2018,1620,01/23/2018,1620,284 East Ave,Closed
Medical Assist,18UV000471,01/23/2018,2051,01/23/2018,2051,Harris Hall,Closed; Affiliate transported to UVMMC by UVM Rescue
Citizen Assist / Property Damage,18UV000472,01/23/2018,2138,01/23/2018,2138,CCRH,Closed
Medical Assist,18UV000477,01/24/2018,0224,01/24/2018,0224,Austin,Closed; Affiliate transported to UVMMC by UVM Rescue
Welfare Check,Welfare Check,01/24/2018,0303,01/24/2018,0303,"Staples Lot, Williston Rd",Closed
Accident - LSA,18UV000481,01/24/2018,0511,01/24/2018,0511,109 S Prospect St Lot,Closed
Accident - Property Damage,18UV000483,01/24/2018,0940,01/24/2018,0940,Wheeler House Lot,Closed
Suspicious Behavior,18UV000484,01/24/2018,1001,12/02/2017 - 01/24/2018,Various,Patrick Gym,Closed
Panic Alarm,18UV000485,01/24/2018,1413,01/24/2018,1413,1 S Prospect St,Closed
Fire Alarm,18UV000486,01/24/2018,1545,01/24/2018,1545,University Heights South,Closed
Citizen Assist,18UV000488,01/24/2018,1618,01/24/2018,1618,284 East Ave,Closed
Medical Assist / Special Event,18UV000489,01/24/2018,1814,01/24/2018,1814,Patrick Gym,Closed; Non-affiliate transported by UVM Rescue to UVMMC.
Stalking / Mental Health Issue,18UV000490,01/24/2018,1928,Fall 2017 - 01/24/2018,Various,McAuley,Closed; Report to Title IX
Intrusion Alarm,18UV000491,01/24/2018,2022,01/24/2018,2022,Nolan House,Closed
Citizen Assist / Safety Planning,18UV000499,01/25/2018,0836,01/25/2018,0836,Given,Closed
Welfare Check,18UV000502,01/25/2018,1003,01/25/2018,1003,56 Student Ln Colchester,Closed
Blue Light Alarm,18UV000504,01/25/2018,1249,01/25/2018,1249,Simpson Hall,Closed
Simple Assault,18UV000507,01/25/2018,1327,01/25/2018,1000,Davis Center,Closed
Medical Assist,18UV000513,01/25/2018,1759,01/25/2018,1759,PFG Fitness Center,Closed; Affiliate transported by UVM Rescue to UVMMC.
Property Damage,18UV000514,01/25/2018,1838,01/25/2018,1030 - 1838,PFG Garage,Closed
Drugs,18UV000515,01/25/2018,1932,01/25/2018,1932,Harris,Closed; Report to CSC
Medical Assist / Intoxication,18UV000518,01/26/2018,0017,01/26/2018,0017,Hamilton,Closed; Affiliate transported by UVM Rescue to UVMMC; Report to CSC
Disturbance / Medical Assist / Intoxication,18UV000522,01/26/2018,0312,01/26/2018,0312,Harris Millis,"Closed; Affiliate transported by UVM rescue to UVMMC, subsequently taken to corrections for detox. Report to CSC"
Agency Assist / Accident,18UV000523,01/26/2018,0801,01/26/2018,0801,Main St / University Pl,Closed; assist to BPD
ATM Alarm,18UV000524,01/26/2018,0938,01/26/2018,0938,Davis Center,Closed
Welfare Check / Agency Assist,18UV000525,01/26/2018,1050,01/26/2018,1050,UVM Campus,Closed; referred to UVM Cares & assist to BPD
Vandalism,18UV000526,01/26/2018,1105,01/20/2018,1600-Unk,Gutterson Garage,Open incident
Fire Alarm,18UV000528,01/26/2018,1511,01/26/2018,1511,UVM Outing Club,Closed
Obstruction of Justice,18UV000529,01/26/2018,1523,Unk,Unk,UVM Campus,Closed
Citizen Assist,18UV000530,01/26/2018,1829,01/26/2018,1829,Medical Education Center,Closed
Intrusion Alarm,18UV000531,01/26/2018,2117,01/26/2018,2117,460 S Prospect St,Closed
911 Hang Up,18UV000532,01/26/2018,2202,01/26/2018,2202,Simpson,Closed
Mental Health Issue / Alcohol Offense / Drugs,18UV000533,01/26/2018,2207,01/26/2018,2207,Simpson,Closed; report to UVM Cares & CSC; affiliate transported to UVMMC via UVM Rescue
Intrusion Alarm,18UV000534,01/26/2018,2217,01/26/2018,2217,460 S Prospect St,Closed
Noise,18UV000537,01/27/2018,0003,01/27/2018,0003,Redstone Lofts,Closed; report to CSC
Suspicious Behavior,18UV000538,01/27/2018,0034,01/27/2018,0000,Wilks,Closed; Unfounded
Citizen Assist,18UV000540,01/27/2018,0049,01/27/2018,0049,Millis,Closed
Citizen Assist,18UV000542,01/27/2018,0107,01/27/2018,0107,Harris,Closed
Intrusion Alarm,18UV000545,01/27/2018,0230,01/27/2018,0230,Nolin House,Closed
Citizen Assist,18UV000548,01/27/2018,0327,01/27/2018,0327,Pearl St / N Willard St,Closed
Welfare Check,18UV000549,01/27/2018,0939,01/27/2018,0939,Wright Hall,Closed; affiliate referred to Crisis Services & UVM Cares
Intrusion Alarm,18UV000550,01/27/2018,0939,01/27/2018,0939,Nolin House,Closed
Medical Assist,18UV000552,01/27/2018,1227,01/27/2018,1227,Living & Learning Marche,Closed; affiliate transported to UVMMC by BFD Rescue
Intrusion Alarm,18UV000553,01/27/2018,1526,01/27/2018,1526,Nolin House,Closed
Intrusion Alarm,18UV000556,01/27/2018,1851,01/27/2018,1851,Nolin House,Closed
Intrusion Alarm,18UV000558,01/27/2018,1938,01/27/2018,1938,Nolin House,Closed
Intrusion Alarm,18UV000564,01/27/2018,2245,01/27/2018,2245,Nolin House,Closed
Mental Health Issue,18UV000565,01/27/2018,2248,01/27/2018,2248,McAuley Hall,Closed; affiliate referred to Crisis Services
Medical Assist / Intoxication / Drugs,18UV000568,01/28/2018,0015,01/28/2018,0015,Living & Learning,Closed; affiliate transported to UVMMC by UVM Rescue; Report to CSC
Alcohol Offense,18UV000569,01/28/2018,0110,01/28/2018,0110,Davis,Closed; report to CSC
Suspicious Behavior,18UV000570,01/28/2018,0205,01/28/2018,0205,Wing,Closed
Medical Assist / Alcohol Offense,18UV000573,01/28/2018,0321,01/28/2018,0321,CCRH,Closed; non affiliate assessed  by UVM Rescue no transport
Recovered Property,18UV000574,01/28/2018,0337,01/28/2018,0337,Waterman Parking Lot,Closed
Agency Assist / Suspicious Behavior,18UV000575,01/28/2018,0403,01/28/2018,0403,100 W Canal St,Closed; assist to WPD
Intrusion Alarm,18UV000577,01/28/2018,1201,01/28/2018,1201,Nolan House,Closed
Welfare Check,18UV000578,01/28/2018,1221,01/28/2018,1221,Harris,Closed
Property Damage,18UV000580,01/28/2018,1625,01/25/2018 - 01/26/2018,Unknown,PFG Garage,Closed
Traffic / DUI,18UV000593,01/29/2018,0043,01/29/2018,0043,870 Williston Rd,Closed; Non-Affiliate cited into court for DUI
Suspicious Odor / Agency Assist,18UV000596,01/29/2018,0812,01/29/2018,0812,Perkins Outside,Closed; Assist to BFD
Intrusion Alarm,18UV000597,01/29/2018,0823,01/29/2018,0823,Nolan House,Closed
Mental Health Issue / Disturbance,18UV000599,01/29/2018,1017,01/29/2018,1017,Old Mill,Closed. Referred to CARES and CSC.
Suspicious Behavior / Disturbance,18UV000601,01/29/2018,1116,01/28/2018,1330,Living and Learning Marche,Closed
Mental Health Issue / Disturbance,18UV000602,01/29/2018,1400,01/29/2018,1400,Votey Building,Closed. Referred to CARES and CSC.
Intrusion Alarm,18UV000604,01/29/2018,1730,01/29/2018,1730,Nolan House,Closed
Intrusion Alarm,18UV000605,01/29/2018,1742,01/29/2018,1742,Nolan House,Closed
Intrusion Alarm,18UV000608,01/29/2018,2019,01/29/2018,2019,460 S Prospect St,Closed
Medical Assist,18UV000613,01/29/2018,2351,01/29/2018,2351,Coolidge,Closed; Affiliate trasnported to UVMMC by UVM Rescue.
Welfare Check,18UV000620,01/30/2018,1044,01/30/2018,1044,University Hts South,Closed
Suspicious Event / Drugs,18UV000623,01/30/2018,1256,09/2017-01/2018,Various,UVM Campus,Closed
Accident - LSA,18UV000627,01/30/2018,1426,01/30/2018,Unknown,Harris Millis Lot,Closed
Larceny from Building,18UV000628,01/30/2018,1626,01/30/2018,1540 - 1555,Given,Closed
Drugs,18UV000632,01/30/2018,1810,01/30/2018,1810,University Heights North,Closed; Unfounded
Suspicious Behavior,18UV000638,01/30/2018,2032,01/30/2018,2032,Patrick Gym Fitness Center,Closed
Intrusion Alarm,18UV000640,01/30/2018,2229,01/30/2018,2229,Englesby House,Closed
Medical Assist,18UV000649,01/31/2018,0112,01/31/2018,0112,Harris,Closed; Affiliate transported by UVM Rescue to UVMMC.
ATM Alarm,18UV000655,01/31/2018,1044,01/31/2018,1044,1 S Prospect St,Closed
Agency Assist / Search,18UV000658,01/31/2018,1249,01/31/2018,1249,27 W Allen St,Closed; Assist to WPD
Citizen Assist,18UV000660,01/31/2018,1431,01/31/2018,1431,Living and Learning,Closed
Intrusion Alarm,18UV000664,01/31/2018,1806,01/31/2018,1806,460 S Prospect St,Closed
Vandalism,18UV000665,01/31/2018,2002,Unknown,Unknown,Jeanne Mance Hall,Closed
Intrusion Alarm,18UV000668,01/31/2018,2140,01/31/2018,2140,Nolan House,Closed
Intoxication / Drugs,18UV000670,01/31/2018,2205,01/31/2018,2205,Redstone Campus,Closed; Affiliate transported to ACT 1; Report to CSC
Welfare Check,18UV000679,02/01/2018,0251,02/01/2018,0251,801 Williston Rd,Closed
Suspicious Activity,18UV000682,02/01/2018,0815,Unk,Unk,Davis Center & Various UVM Campus Locations,Closed
Fire Alarm,18UV000688,02/01/2018,1331,02/01/2018,1331,Hunt,Closed
Intrusion Alarm,18UV000689,02/01/2018,1728,02/01/2018,1728,460 S Prospect St,Closed
Medical Assist,18UV000690,02/01/2018,1747,02/01/2018,1747,CCRH,Closed; affiliate transported to UVMMC by UVM Rescue
Agency Assist / False Pretenses,18UV000691,02/01/2018,1759,02/01/2018,1759,"54 Student Ln, Colchester",Closed; assist to CPD
Medical Assist,18UV000692,02/01/2018,1805,02/01/2018,1805,Fleming,Closed; affiliate transported to UVMMC by UVM Rescue
Vandalism - Graffiti,18UV000693,02/01/2018,1913,Unk,Unk,Redstone Lofts Outside,Open incident
Medical Assist,18UV000697,02/01/2018,2128,02/01/2018,2128,CCRH,Closed; affiliate transported to UVMMC by UVM Rescue
Intrusion Alarm,18UV000708,02/02/2018,0110,02/02/2018,0110,460 S Prospect St,Closed
Welfare Check,18UV000709,02/02/2018,0212,02/02/2018,0212,East Commuter Lot,Closed
Citizen Assist,18UV000710,02/02/2018,0218,02/02/2018,0218,Main St / S Prospect St,Closed
Noise,18UV000711,02/02/2018,0233,02/02/2018,0233,Redstone Apts,Closed; non substantiated
Drugs,18UV000712,02/02/2018,0244,02/02/2018,0244,Coolidge,Closed; report to CSC
Intoxication,18UV000713,02/02/2018,0348,02/02/2018,0348,Main St / N Willard St,Closed; non substantiated
Elevator Alarm,18UV000714,02/02/2018,0443,02/02/2018,0443,Living & Learning,Closed
Intrusion Alarm,18UV000716,02/02/2018,0545,02/02/2018,0545,Morrill,Closed
Property Damage,18UV000719,02/02/2018,0729,02/02/2018,0525,PFG Parking Lot,Closed
