id,date,description,location,address,disposition,narrative,status,latitude,longitude
1800000299,2018-01-02 07:55:00.0,TRAFFIC VIOLATION,,BONISTEEL BLVD / MURFIN AVE,CITATION<br>,"During a traffic stop, the driver was cited for disregarding a stop sign. ",  ,42.29021108,-83.71841258
1800000295,2018-01-02 07:41:00.0,CRASH - OFF ROAD,LOT NW25,1700 CRAM CIR,<br>,"Vehicle struck a parked vehicle resulting in no injuries. 
",CASE FOLDER #1890300009 - CLOSED AS OF 01/17/2018 ,42.29759142,-83.71544052
1800000257,2018-01-02 02:18:00.0,FRAUDULENT ACTIVITY,,1300 BLK MCINTYRE ST,<br>,Fraudulent activity reported on a credit card. No initial suspects.,CASE FOLDER #1890300008 - CLOSED AS OF 01/11/2018 ,42.29961003,-83.70929990
1800000887,2018-01-03 22:42:00.0,TRAFFIC STOP,,HUBBARD ST / S HURON PKWY,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for defective vehicle equipment.",  ,42.29530947,-83.70453211
1800000852,2018-01-03 20:32:00.0,TRAFFIC VIOLATION,,CHURCH ST / GEDDES AVE,CITATION<br>,"During a traffic stop, the driver was cited for driving at night without headlights.",  ,42.27755784,-83.73447030
1800000850,2018-01-03 20:24:00.0,TRAFFIC STOP,,E MEDICAL CENTER DR / E HOSPITAL DR,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for a potential safety violation and for not having possession of driver&#39;s license.",  ,42.28142277,-83.72842345
1800000846,2018-01-03 20:11:00.0,TRAFFIC STOP,,HILL ST / S DIVISION ST,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for an expired vehicle registration.",  ,42.27179120,-83.74440630
1800000842,2018-01-03 20:07:00.0,TRAFFIC STOP,LOT M34,200 S OBSERVATORY ST,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for disregarding a traffic control device.",  ,42.27982941,-83.73064582
1800000838,2018-01-03 19:41:00.0,TRAFFIC STOP,,FULLER CT / BONISTEEL BLVD,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving at night without headlights.",  ,42.28736776,-83.71908159
1800000820,2018-01-03 18:45:00.0,DRUG VIOLATION - VCSA,SOUTH QUADRANGLE,600 E MADISON ST,UTL/GOA<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27370450,-83.74213790
1800000811,2018-01-03 18:06:00.0,DRUG VIOLATION - VCSA,UH PSYCHIATRIC EMERGENCY SERVICES,1500 E MEDICAL CENTER DR,<br>,Suspected marijuana was confiscated from a patient.,CASE FOLDER #1890300031 - CLOSED AS OF 01/19/2018 ,42.28478006,-83.72860870
1800000800,2018-01-03 17:42:00.0,DRUG VIOLATION - VCSA,BAITS VERA II CONGER HOUSE,1430 HUBBARD RD,UTL/GOA<br>,Report of smell of marijuana.  Source could not be located.,  ,42.29354003,-83.72313302
1800000789,2018-01-03 17:16:00.0,DRUG VIOLATION - VCSA,COOK MARTHA BUILDING,906 S UNIVERSITY AVE,UTL/GOA<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27453432,-83.73796245
1800000766,2018-01-03 16:01:00.0,FRAUDULENT ACTIVITY,UNIVERSITY HOSPITAL,1500 E MEDICAL CENTER DR,INFORMATION ONLY<br>,Initial report of a subject using a fraudulent prescription to obtain medication. Officer awaiting call back from complainant.,CASE FOLDER #1890300040 - CLOSED AS OF 02/01/2018 ,42.28463232,-83.72943174
1800000732,2018-01-03 13:52:00.0,OBSTRUCTING JUSTICE,CAMPUS SAFETY SERVICES BUILDING,1239 KIPKE DR,<br>,A bench warrant was canceled for a subject who appeared in court. (#17-1577 failure to appear for          trespassing).,CASE FOLDER #1890300027 - CLOSED AS OF 01/17/2018 WITH ARREST ON 01/03/2018,42.26519173,-83.74395283
1800000728,2018-01-03 13:41:00.0,INDECENT EXPOSURE,UNIVERSITY HOSPITAL,1500 E MEDICAL CENTER DR,<br>,A patient reportedly inappropriately exposed himself to staff. ,CASE FOLDER #1890300028 - CLOSED AS OF 01/17/2018 ,42.28463232,-83.72943174
1800000679,2018-01-03 11:13:00.0,LARCENY,SIMPSON CIRCLE PARKING STRUCTURE,1535 E HOSPITAL DR,<br>,A license plate reportedly was taken from a vehicle between 8:15 am and 11:15 am. No suspects.,CASE FOLDER #1890300024 - CLOSED AS OF 01/17/2018 ,42.28198538,-83.72921177
1800000675,2018-01-03 11:01:00.0,CRASH - OFF ROAD,MEDICAL CENTER DR PARKING STRUCT,1600 E MEDICAL CENTER DR,ASSISTANCE PROVIDED<br>,A vehicle struck another vehicle parked in the structure resulting in no injury. Officer determined there was no damage to either vehicle. ,  ,42.28335515,-83.72753209
1800000633,2018-01-03 08:54:00.0,LARCENY,MOTT CHILDRENS VON VOIGTLANDER WOMENS HOSPITALS,1540 E HOSPITAL DR,UNFOUNDED INCIDENT<br>,A parking permit reportedly was taken from a valet parked vehicle. Officer determined no larceny occurred.,  ,42.28202194,-83.72749663
1800000598,2018-01-03 07:08:00.0,CRASH - HIT/RUN,SIMPSON CIRCLE PARKING STRUCTURE,1535 E HOSPITAL DR,ASSISTANCE PROVIDED<br>,A vehicle reportedly struck another vehicle in the structure. Officer determined no damage occurred.,  ,42.28198538,-83.72921177
1800000557,2018-01-03 01:55:00.0,TRAFFIC STOP,,1200 BLOCK S UNIVERSITY,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for defective vehicle equipment.",  ,0.00000000,0.00000000
1800001228,2018-01-04 23:16:00.0,ALCOHOL VIOLATION,SOUTH QUADRANGLE,600 E MADISON ST,DISCIPLINARY REFERRAL<br>,"While investigating a noise complaint, ten subjects were found with alcohol. Alcohol was poured out.",CASE FOLDER #1890300054 - CLOSED AS OF 01/08/2018 ,42.27370450,-83.74213790
1800001213,2018-01-04 22:07:00.0,TRAFFIC STOP,,E HOOVER AVE / MARY ST,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving at night without headlights.",  ,42.26968370,-83.74182824
1800001211,2018-01-04 21:55:00.0,TRAFFIC STOP,,FULLER CT / BONISTEEL BLVD,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving at night without headlights.",  ,42.28736776,-83.71908159
1800001183,2018-01-04 19:44:00.0,TRAFFIC STOP,,WILLARD ST / E UNIVERSITY AVE,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving at night without headlights.",  ,42.27376516,-83.73576449
1800001181,2018-01-04 19:31:00.0,TRAFFIC STOP,,E ANN ST / ZINA PITCHER PL,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for failure to yield.",  ,42.28230623,-83.73352011
1800001180,2018-01-04 19:24:00.0,TRAFFIC STOP,,WASHINGTON HTS / E MEDICAL CENTER DR,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving the wrong way on a one-way street.",  ,42.28148630,-83.72676288
1800001177,2018-01-04 19:12:00.0,TRAFFIC STOP,,E ANN ST / ZINA PITCHER PL,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for driving at night without headlights.",  ,42.28230623,-83.73352011
1800001174,2018-01-04 18:43:00.0,TRAFFIC VIOLATION,,CHURCH ST / S UNIVERSITY AVE,CITATION<br>,"During a traffic stop, the driver was cited for disregarding a stop sign.",  ,42.27502683,-83.73458589
1800001146,2018-01-04 16:51:00.0,LARCENY,,200 ARNETT,SRMS UPDATE<br>,"A laptop computer reportedly was taken from an office sometime between Dec. 20, 2017 and January 3, 2018. No suspects.",CASE FOLDER #1890300050 - CLOSED AS OF 01/18/2018 ,0.00000000,0.00000000
1800001133,2018-01-04 16:12:00.0,TRAFFIC VIOLATION,LOT NW54,2400 STONE RD,CITATION<br>,"During a traffic stop, the driver was cited for driving the wrong way on a one-way street.",  ,42.29347492,-83.69853860
1800001113,2018-01-04 15:00:00.0,LARCENY,UPJOHN RACHEL BUILDING,4250 PLYMOUTH RD,<br>,A wallet reportedly was taken from an office between 12:45 and 3 pm. No suspects.,CASE FOLDER #1890300046 - CLOSED AS OF 01/17/2018 ,42.30767061,-83.67526924
1800001104,2018-01-04 14:30:00.0,LARCENY,CANCER CENTER,1400 E MEDICAL CENTER DR,<br>,Shoes reportedly were taken from an office between 4:30 pm January 2 and 8:30 am January 3. No suspects.,CASE FOLDER #1890300044 - CLOSED AS OF 01/04/2018 ,42.28446559,-83.73136983
1800001102,2018-01-04 14:27:00.0,LARCENY,TISCH PRESTON ROBERT TENNIS BLD,2250 S STATE ST,<br>,"An unknown subject reportedly attempted to take tennis rackets from the building. Subject returned the rackets when confronted and then left the building.
",CASE FOLDER #1890300045 - CLOSED AS OF 01/17/2018 ,42.25353788,-83.74343192
1800001029,2018-01-04 10:44:00.0,CRASH - NO INJURY,,1482 BLK E MEDICAL CENTER DR,CRASH REPORT<br>,"A vehicle struck another vehicle resulting in no injuries and major damage to the struck vehicle, which was towed. The striking vehicle left the scene. ",  ,42.28142101,-83.72806693
1800001004,2018-01-04 09:22:00.0,FRAUDULENT ACTIVITY,300 N INGALLS BUILDING,300 N INGALLS ST,<br>,Subject reported that sometime prior to this date an unknown subject attempted to file an unemployment claim using his name. ,CASE FOLDER #1890300038 - CLOSED AS OF 01/17/2018 ,42.28349468,-83.73778260
1800001002,2018-01-04 09:08:00.0,CRASH - INJURY,UNIV HOSPITALS CHILD CARE CENTER,2601 GLAZIER WAY,CRASH REPORT<br>,A vehicle struck a pedestrian resulting in injury. The pedestrian was taken by ambulance to UM-Emerg Dept.  for treatment. ,  ,42.28841966,-83.70778822
1800000930,2018-01-04 02:18:00.0,MINOR IN POSSESSION,WEST QUADRANGLE,541 THOMPSON ST,CITATION<br>,Three subjects were cited for minor in possession of alcohol.,  ,42.27493073,-83.74257361
1800001587,2018-01-05 23:52:00.0,TRAFFIC VIOLATION,,S STATE ST / E WASHINGTON ST,CITATION<br>,"During a traffic stop, a subject was cited for open intoxicants in a motor vehicle. ",CASE FOLDER #1890300079 - CLOSED AS OF 01/11/2018 WITH ARREST ON 01/06/2018,42.28029377,-83.74083587
1800001559,2018-01-05 22:36:00.0,TRAFFIC VIOLATION,,S STATE ST / E WASHINGTON ST,CITATION<br>,"During a traffic stop, the driver was cited for defective vehicle equipment.",  ,42.28029377,-83.74083587
1800001557,2018-01-05 22:31:00.0,DRUG VIOLATION - VCSA,SOUTH QUADRANGLE,600 E MADISON ST,DISCIPLINARY REFERRAL<br>,"Suspected marijuana was confiscated from a subject. 
",CASE FOLDER #1890300077 - CLOSED AS OF 01/11/2018 ,42.27370450,-83.74213790
1800001551,2018-01-05 22:06:00.0,NOISE COMPLAINT / ALCOHOL,OH ARTHUR AND HAZEL VANDENBERG HALL,623 OXFORD RD,DISCIPLINARY REFERRAL<br>,"Eight subjects found with alcohol, which was poured out.  To be handled internally by staff.  ",CASE FOLDER #1890300078 - CLOSED AS OF 01/09/2018 ,42.27441301,-83.72562256
1800001494,2018-01-05 18:53:00.0,FRAUDULENT ACTIVITY,UNIVERSITY HOSPITAL,1500 E MEDICAL CENTER DR,ASSISTANCE PROVIDED<br>,"Subject reported that his personal information was used by an unknown subject to file a fraudulent unemployment claim. 
",  ,42.28463232,-83.72943174
1800001484,2018-01-05 18:24:00.0,DISORDERLY CONDUCT,MUNGER GRADUATE RESIDENCES,540 THOMPSON ST,UTL/GOA<br>,"Subject reportedly screaming at pedestrians. Officer was unable to locate the subject.
",  ,42.27594785,-83.74314164
1800001446,2018-01-05 15:19:00.0,SUSPICIOUS INCIDENT OR PERSON,UNIVERSITY HOSPITAL,1500 E MEDICAL CENTER DR,<br>,"Initial third-hand report that a subject&#39;s personal information was fraudulently used to obtain medical services on Dec 9, 2017, by an unknown subject. 
",CASE FOLDER #1890300075 - CLOSED AS OF 01/22/2018 ,42.28463232,-83.72943174
1800001440,2018-01-05 15:00:00.0,CRASH - NO INJURY,,S OBSERVATORY ST / E MEDICAL CENTER DR,CRASH REPORT <br>,Two-vehicle crash resulted in no injury.,  ,42.28140913,-83.73107757
1800001415,2018-01-05 13:33:00.0,CRASH - INJURY,,S STATE ST / E EISENHOWER PKWY,CRASH REPORT<br>,Three-vehicle crash resulted in two subjects taken to the U-M Emerg Dept for evaluation and two vehicles towed from the scene. ,  ,42.24379745,-83.73924183
1800001395,2018-01-05 12:25:00.0,LARCENY,UNIVERSITY HOSPITAL,1500 E MEDICAL CENTER DR,CASE FOLDER #1890300071<br>,An electronic parking permit reportedly was taken from a valet-parked vehicle Jan 3 between 7 and 8:30am.,CASE FOLDER #1890300071 - CLOSED AS OF 01/18/2018 ,42.28463232,-83.72943174
1800001393,2018-01-05 12:14:00.0,HARASSMENT,EAST HALL,530 CHURCH ST,<br>,Subject reported receiving a telephone call about 10:30am containing disturbing content from an unknown subject. ,CASE FOLDER #1890300072 - CLOSED AS OF 01/17/2018 ,42.27576387,-83.73520283
1800001366,2018-01-05 10:55:00.0,FRAUDULENT ACTIVITY,PALMER COMMONS,100 WASHTENAW AVE,SRMS UPDATE<br>,"Subject reported unauthorized charges had been made Jan 4 to his debit card. He was working with his bank to cancel the card. No suspects. 

",CASE FOLDER #1890300120 - CLOSED AS OF 01/17/2018 ,42.28066837,-83.73389703
1800001353,2018-01-05 10:25:00.0,OBSTRUCTING JUSTICE,CAMPUS SAFETY SERVICES BUILDING,1239 KIPKE DR,<br>,"A bench warrant was canceled for a subject who appeared in court (#13-135 failure to appear embezzlement).  
",CASE FOLDER #1890300068 - CLOSED AS OF 01/17/2018 WITH ARREST ON 01/05/2018,42.26519173,-83.74395283
1800001308,2018-01-05 07:30:00.0,FRAUDULENT ACTIVITY,MOTT CHILDRENS VON VOIGTLANDER WOMENS HOSPITALS,1540 E HOSPITAL DR,<br>,Subject reported an unknown person filed an unemployment claim in her name. ,CASE FOLDER #1890300067 - CLOSED AS OF 01/23/2018 ,42.28202194,-83.72749663
1800001302,2018-01-05 06:46:00.0,FRAUDULENT ACTIVITY,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,<br>,Subject reported an unknown person attempted to file an unemployment claim in her name. The claim was denied.,CASE FOLDER #1890300065 - CLOSED AS OF 01/17/2018 ,42.28089639,-83.72886493
1800001272,2018-01-05 02:21:00.0,FRAUDULENT ACTIVITY,EAST QUADRANGLE,701 E UNIVERSITY AVE,<br>,Subject reported that around 2 am an unknown subject had demanded money in exchange for not posting an explicit video online.,CASE FOLDER #1890300062 - CLOSED AS OF 02/02/2018 ,42.27295044,-83.73515401
1800001269,2018-01-05 02:18:00.0,ALCOHOL VIOLATION,EAST QUADRANGLE,701 E UNIVERSITY AVE,MEDICAL AMNESTY<br>,A subject was taken by ambulance to Mott Hospital Emerg Dept for treatment. ,CASE FOLDER #1890300063 - CLOSED AS OF 01/08/2018 ,42.27295044,-83.73515401
1800001264,2018-01-05 02:02:00.0,DRUG VIOLATION - VCSA,,S UNIVERSITY AVE / S STATE ST,<br>,"A subject was arrested, processed and released pending warrant authorization for possession of suspected marijuana.",CASE FOLDER #1890300058 - CLOSED AS OF 06/26/2018 WITH ARREST ON 01/05/2018,42.27495513,-83.74069181
1800001263,2018-01-05 01:45:00.0,ALCOHOL VIOLATION,SOUTH QUADRANGLE,600 E MADISON ST,MEDICAL AMNESTY<br>,A subject was taken by ambulance to Mott Hospital Emerg Dept for treatment. ,CASE FOLDER #1890300059 - CLOSED AS OF 03/26/2018 ,42.27370450,-83.74213790
1800001256,2018-01-05 01:03:00.0,MINOR IN POSSESSION,EAST QUADRANGLE,701 E UNIVERSITY AVE,DISCIPLINARY REFERRAL<br>,"Subjects found with alcohol, which was poured out.  To be handled internally by staff.  ",CASE FOLDER #1890300061 - CLOSED AS OF 01/08/2018 ,42.27295044,-83.73515401
1800001254,2018-01-05 00:55:00.0,MINOR IN POSSESSION,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,DISCIPLINARY REFERRAL<br>,"Subjects found with alcohol, which was poured out.  To be handled internally by staff.  ",CASE FOLDER #1890300060 - CLOSED AS OF 01/08/2018 ,42.28089639,-83.72886493
1800001252,2018-01-05 00:46:00.0,TRAFFIC VIOLATION,,GEDDES AVE / CHURCH ST,CITATION<br>,"During a traffic stop, the driver was cited for disregarding a stop sign.",  ,42.27755784,-83.73447030
1800001244,2018-01-05 00:25:00.0,TRAFFIC STOP,,WASHTENAW COURT/GEDDES,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for an improper turn.",  ,0.00000000,0.00000000
1800001238,2018-01-05 00:05:00.0,DRUG VIOLATION - VCSA,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,UTL/GOA<br>,Report of smell of marijuana.  Source could not be located.,CASE FOLDER #1890300053 - CLOSED AS OF 01/08/2018 ,42.28089639,-83.72886493
1800001836,2018-01-06 23:39:00.0,TRAFFIC VIOLATION,,BONISTEEL BLVD / FULLER RD,CITATION<br>,"During a traffic stop, the driver was cited for expired vehicle registration.   ",  ,42.28736776,-83.71908159
1800001820,2018-01-06 22:30:00.0,MINOR IN POSSESSION,BAITS VERA II COMAN HOUSE,1440 HUBBARD RD,DISCIPLINARY REFERRAL<br>,"Subjects found with alcohol, which was poured out.  To be handled internally by staff.  ",CASE FOLDER #1890300089 - CLOSED AS OF 01/10/2018 ,42.29405082,-83.72309160
1800001818,2018-01-06 22:23:00.0,DRUG VIOLATION - VCSA,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,<br>,"A subject was arrested, processed and released pending warrant authorization for possession of suspected marijuana.",CASE FOLDER #1890300088 - CLOSED AS OF 10/16/2018 WITH ARREST ON 01/06/2018,42.28089639,-83.72886493
1800001780,2018-01-06 19:06:00.0,CRASH,,1200 BLK S UNIVERSITY AVE,"CRASH REPORT, CITATION<br>","Vehicle struck a parked vehicle resulting in no injuries. The driver was cited for driving at night without headlights and no proof of insurance. 
",  ,42.27503513,-83.73383725
1800001774,2018-01-06 17:50:00.0,TRAFFIC VIOLATION,,WASHTENAW AVE / PALMER DR,"CITATION, VERBAL WARNING<br>","During a traffic stop, the driver was cited for expired vehicle registration and warned for failure to change address. ",  ,42.28025114,-83.73351876
1800001716,2018-01-06 12:33:00.0,TRAFFIC VIOLATION,,HAYWARD ST / DRAPER RD,CITATION<br>,"During a traffic stop, the driver was cited for disregarding a stop sign.  ",  ,42.29399505,-83.71008984
1800001630,2018-01-06 03:16:00.0,PROPERTY DAMAGE - MDOP,FLETCHER HALL,915 SYBIL ST,<br>,Graffiti was found spraypainted on the building. Unknown timeframe. No suspects. ,CASE FOLDER #1890300083 - CLOSED AS OF 02/19/2018 ,42.27017570,-83.74274393
1800001627,2018-01-06 02:50:00.0,HARASSMENT,SOUTH QUADRANGLE,600 E MADISON ST,INFORMATION ONLY<br>,"Third-party report that a subject indicated she was being harassed by a class teaching assistant. The subject did not wish to file a police report. 
",CASE FOLDER #1890300085 - CLOSED AS OF 01/10/2018 ,42.27370450,-83.74213790
1800001607,2018-01-06 01:00:00.0,LARCENY,WEST QUADRANGLE,541 THOMPSON ST,<br>,Several subjects reportedly were in possession of stolen material from a crosswalk. The subjects initially were not located. ,CASE FOLDER #1890300084 - CLOSED AS OF 02/06/2018 ,42.27493073,-83.74257361
1800001592,2018-01-06 00:10:00.0,MINOR IN POSSESSION,SOUTH QUADRANGLE,600 E MADISON ST,DISCIPLINARY REFERRAL<br>,"Ten subjects were found with alcohol, which was poured out.  To be handled internally by staff.  ",CASE FOLDER #1890300082 - CLOSED AS OF 01/09/2018 ,42.27370450,-83.74213790
1800001590,2018-01-06 00:03:00.0,DRUG VIOLATION - VCSA,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,DISCIPLINARY REFERRAL<br>,Possible marijuana violation to be handled internally by staff.,CASE FOLDER #1890300080 - CLOSED AS OF 01/09/2018 ,42.28089639,-83.72886493
1800002038,2018-01-07 21:22:00.0,LARCENY,BAITS VERA II COMAN HOUSE,1440 HUBBARD RD,<br>,"Headphones reportedly stolen from a lounge between 3:20 and 8pm. No suspects. 
",CASE FOLDER #1890300103 - CLOSED AS OF 01/17/2018 ,42.29405082,-83.72309160
1800002026,2018-01-07 19:23:00.0,DRUG VIOLATION - VCSA,WEST QUADRANGLE,541 THOMPSON ST,ASSISTANCE PROVIDED<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27493073,-83.74257361
1800002025,2018-01-07 19:22:00.0,TRAFFIC STOP / DWLS,,WASHTENAW AVE / FAIR OAKS PKWY,"CITATION, VERBAL WARNING<br>","During a traffic stop, the driver was cited for driving with a suspended license and no proof of insurance, and warned for defective vehicle equipment.  The vehicle was impounded. ",CASE FOLDER #1890300102 - CLOSED AS OF 01/13/2018 WITH ARREST ON 01/07/2018,42.26866199,-83.72322595
1800002006,2018-01-07 18:22:00.0,FRAUDULENT ACTIVITY,, KILBURN PARK CIR,INFORMATION ONLY<br>,"Subject reported his personal information had been used to file a fraudulent unemployment claim. No suspects. 
",  ,42.32135201,-83.69535909
1800002002,2018-01-07 17:54:00.0,TRAFFIC VIOLATION,,FULLER CT / BONISTEEL BLVD,CITATION<br>,"During a traffic stop, the driver was cited for disregarding a stop sign.   ",  ,42.28736776,-83.71908159
1800001994,2018-01-07 17:21:00.0,TRAFFIC VIOLATION,,S STATE ST / E HOOVER AVE,CITATION<br>,"During a traffic stop, the driver was cited for an expired vehicle registration and warned for disregarding a red light.
",  ,42.26970464,-83.74058444
1800001928,2018-01-07 11:03:00.0,SUSPICIOUS INCIDENT OR PERSON / CRIMINAL SEXUAL CONDUCT,SOUTH QUADRANGLE,600 E MADISON ST,CASE FOLDER #1890300100<br>,Subject may have been sexually assaulted overnight. Possible person of interest. Resources provided to subject.  2/6/18 UPDATE -- Offense classification was revised to Criminal Sexual Conduct. ,CASE FOLDER #1890300100 - CLOSED AS OF 02/06/2020 ,42.27370450,-83.74213790
1800001928,2018-01-07 11:03:00.0,SUSPICIOUS INCIDENT OR PERSON / CRIMINAL SEXUAL CONDUCT,SOUTH QUADRANGLE,600 E MADISON ST,CASE FOLDER #1890300100<br>,Subject may have been sexually assaulted overnight. Possible person of interest. Resources provided to subject.  2/6/18 UPDATE -- Offense classification was revised to Criminal Sexual Conduct. ,CASE FOLDER #1890300100 - CLOSED AS OF 02/06/2020 WITH ARREST ON 12/06/2018,42.27370450,-83.74213790
1800001928,2018-01-07 11:03:00.0,SUSPICIOUS INCIDENT OR PERSON / CRIMINAL SEXUAL CONDUCT,SOUTH QUADRANGLE,600 E MADISON ST,CASE FOLDER #1890300100<br>,Subject may have been sexually assaulted overnight. Possible person of interest. Resources provided to subject.  2/6/18 UPDATE -- Offense classification was revised to Criminal Sexual Conduct. ,CASE FOLDER #1890300100 - CLOSED AS OF 02/06/2020 WITH ARREST ON 12/11/2018,42.27370450,-83.74213790
1800001921,2018-01-07 10:21:00.0,DRUG VIOLATION - VCSA,BARBOUR BETSY HOUSE,420 S STATE ST,ASSISTANCE PROVIDED<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27727331,-83.74155880
1800001861,2018-01-07 02:35:00.0,MINOR IN POSSESSION,MOSHER ELIZA M HALL & JORDAN MYRA B HALL,200 S OBSERVATORY ST,DISCIPLINARY REFERRAL<br>,Possible alcohol violation to be handled internally by staff.,CASE FOLDER #1890300093 - CLOSED AS OF 01/10/2018 ,42.28007133,-83.73153362
1800001860,2018-01-07 02:18:00.0,DRUG VIOLATION - VCSA,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,<br>,"A subject was arrested, processed and released pending warrant authorization for possession of suspected marijuana.",CASE FOLDER #1890300090 - CLOSED AS OF 08/01/2018 WITH ARREST ON 01/07/2018,42.28089639,-83.72886493
1800001853,2018-01-07 01:36:00.0,MINOR IN POSSESSION,MARKLEY MARY BUTLER HALL,1503 WASHINGTON HTS,DISCIPLINARY REFERRAL<br>,"Possible alcohol violations with three subjects to be handled internally by staff. One was taken to Mott Hospital Emerg Dept for treatment. 
",CASE FOLDER #1890300092 - CLOSED AS OF 01/18/2018 ,42.28089639,-83.72886493
