Master ID	Date/Time Reported	Day of Week	Date/Time Occurred	MPD Case #	Nature of Calls	Address/Location	Comments	Disposition	Clery Geography	Clery Offense	Clery Count	Clery	Not on Campus	Name Log	Number Cited	Misc Information	Added to Clery Wall Map	Greek Row	Alcohol/Drug Transport	Residence Life	IR # from DOS	DOS ID	Clery Case #	Referral Count	AC ID	Confirmed with MPD	Double Checked/Complete	Question for MPD	Clery Reportable/Not in Advocate
14	01/07/19 @12:11	Monday	Same	19-M00147	Sex Offense	118 E 4th St; MPD	Not on campus or related	ACT				NO	x									0			0				
15	01/07/19 @17:22	Monday	Same	19-M00161	Citizen Assist	W 7th St. & Ash St.	Car was sliding on ice and almost hit a dumpster	CLO				NO										0			0				
16	01/07/19 @18:37	Monday	Same	19-M00164	Alarm; Fire	727 Elm ST; Beta Theta Pi	False alarm	CLO				NO										0			0				
17	01/08/19 @00:46	Tuesday	Same	19-M00168	Other Calls	901 Paradise Creek St; Bldg	Reporting things that occurred in her family while living in NY	ACT				NO										0			0				
18	01/08/19 @09:39	Tuesday	Same	19-M00178	Found Property	1006 Railroad St; Transportation	Found bicycle'	CLO				NO										0			0				
19	01/08/19 @12:41	Tuesday	Same	19-M00186	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
20	01/08/19 @14:02	Tuesday	Same	19-M00188	Fraud	1000 Paradise Creek St;	1 female suspected of using UI Ski Club bank account to make fraudulent purchases	ACT				NO										0			4				
21	01/08/19 @14:15	Tuesday	Same	19-M00189	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
22	01/08/19 @19:07	Tuesday	Same	19-M00200	Fall	Sweet Ave & S Main ST	Dislocated ankle	CLO				NO										0			0				
23	01/08/19 @19:51	Tuesday	Same	19-M00204	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
24	01/09/19 @09:28	Wednesday	Same	19-M00216	Wanted Person	Moscow	"Man from AZ with warrant arrested in Moscow, not on campus"	CLO				NO	x									0			0				
25	01/09/19 @15:04	Wednesday	Same	19-M00227	Harassment	609 Elm ST;	Female's ex-boyfriend sent snapchat messages asking to be friends	ACT				NO										0			0				
26	01/09/19 @20:02	Wednesday	Same	19-M00238	Drugs	1080 W 6th St; Wallace; Ballard; 302	"Odor of marijuana, UTL"	CLO	OC OCH	Drug - Referral	1	YES					No				00002-2019	1	R00001-2019	YES	0				
27	01/10/19 @10:51	Thursday	Same	19-M00248	Deliver Message	Moscow	Not on campus or related	CLO				NO	x									0			0				
28	01/10/19 @15:50	Thursday	Same	19-M00257	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO										0			0				
29	01/10/19 @16:42	Thursday	Same	19-M00260	Trespassing	908 Blake Ave; Steele House	"Unknown person entered the residence over night, nothing missing or broken"	CLO				NO										0			0				
30	01/10/19 @17:26	Thursday	Same	19-M00263	Drugs	Moscow	Not on campus or related	ACT				NO	x									0			0				
31	01/11/19 @15:34	Friday	Same	19-M00292	Accident; Non-Injury	Perimeter DR & W Pullman Rd	"Three vehicle crash, minor damage"	ACT				NO										0			0				
32	01/11/19 @16:48	Friday	Same	19-M00293	Theft; Other	507 Idaho Ave; Pi Beta Phi	"Stolen license plate, no suspects"	ACT				NO										0			0				
33	01/11/19 @23:28	Friday	Same	19-M00305	Battery	709 Deakin Ave; SUB	"Unknown female hit another female in the head, no suspects"	ACT				NEED MORE				Female Vic: Abbigail Dooley						0			0				
34	01/12/19 @01:29	Saturday	Same	19-M00307	Suspicious	North of Campus	Nothing in the call	CLO				NO										0			0				
35	01/12/19 @01:45	Saturday	Same	19-M00309	DUI	509 University Ave; Perch	1 male arrested for Excessive DUI after being stopped for speeding	ACT				NO									00020-2019	0			5				
36	01/12/19 @05:38	Saturday	Same	19-M00310	Found Property	Moscow	Keys	CLO				NO										0			0				
37	01/12/19 @15:16	Saturday	Same	19-M00327	Accident; Non-Injury	728 Elm St; Delta Gamma	Information exchange	ACT				NO										0			0				
38	01/12/19 @18:04	Saturday	Same	19-M00328	Accident; Non-Injury	710 Deakin Ave; Vandal Store	"Non-reportable, info exchange"	CLO				NO										0			0				
39	01/12/19 @20:53	Saturday	Same	19-M00330	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO										0			0				
40	01/13/19 @07:37	Sunday	Same	19-M00342	Gun Check	861 Perimeter DR; UI Security	Gun check	CLO				NO										0			0				
41	01/13/19 @08:29	Sunday	Same	19-M00343	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
42	01/13/19 @11:57	Sunday	Same	19-M00345	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
43	01/13/19 @11:59	Sunday	Same	19-M00347	Gun Check	861 Perimeter Dr; UI Security	Gun check					NO										0			0				
44	01/13/19 @14:01	Sunday	Same	19-M00348	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
45	01/13/19 @14:19	Sunday	Same	19-M00349	Animal; Vicious	Harden Rd; UI Sheep Farm	Dogs bit two sheep	CLO				NO										0			0				
46	01/13/19 @15:24	Sunday	Same	19-M00351	Fire Other	500 Queen Rd; Towards Campus	Unfounded	CLO				NO										0			0				
47	01/13/19 @16:43	Sunday	Same	19-M00354	Traffic Offense	1101 Blake Ave; Farm House	UTL on speeding vehicle	UTL				NO										0			0				
48	01/13/19 @16:49	Sunday	Same	19-M00355	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
49	01/13/19 @16:55	Sunday	Same	19-M00356	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
50	01/13/19 @20:13	Sunday	Same	19-M00358	Alarm; Fire	901 Paradise Creek St; UI	False alarm	CLO				NO										0			0				
51	01/14/19 @08:39	Monday	Same	19-M00369	Alarm; Fire	901 Paradise Creek St; UI	False alarm	CLO				NO										0			0				
52	01/14/19 @08:49	Monday	Same	19-M00372	Parking Problem	S Line St & W 6th ST	Parking problem	CLO				NO										0			0				
53	01/14/19 @09:17	Monday	Same	19-M00373	Accident; Non-Injury	Nez Perce Dr; Between Golf Course	Non-injury accident	ACT				NO										0			0				
54	01/14/19 @13:38	Monday	Same	19-M00384	Accident; Non-Injury	628 Deakin Ave	Non-injury accident	CLO				NO										0			0				
55	01/14/19 @15:48	Monday	Same	19-M00389	Missing Person	Moscow	Not on campus or related	CLO				NO	x									0			0				
56	01/14/19 @19:37	Monday	Same	19-M00393	Suicidal Person	1080 W 6th St; Wallace Complex	"Not suicidal, she is a cutter and was treated by EMS/refused transport"	CLO				NO									00010-2019	0			0				
57	01/14/19 @21:56	Monday	Same	19-M00398	Unconsciousness	1080 W 6th St; Wallace Complex	"Subject was feeling ill, checked by EMS"	CLO				NO										0			0				
58	01/15/19 @08:39	Tuesday	Same	19-M00402	Abandoned Vehicle	875 Perimeter Dr; UI Facilities	Towed abandon vehicle	CLO				NO										0			0				
59	01/15/19 @10:14	Tuesday	Same	19-M00405	Allergies	875 S Line St; Einstein Bagels	Transported to GMC regarding allergies	CLO				NO										0			0				
60	01/15/19 @10:55	Tuesday	Same	19-M00409	Fraud	Moscow	Not ud campus or related	ACT				NO	x									0			0				
61	01/15/19 @13:57	Tuesday	Same	19-M00415	Drugs	Moscow	"Controlled heroin purchase, not on campus"	ACT				NO	x									0			0				
62	01/15/19 @18;56	Tuesday	Same	19-M00430	Alarm; Elevator	901 Paradise Creek St; Ele	Accidental activation	CLO				NO										0			0				
63	01/15/19 @19:54	Tuesday	Same	19-M00432	Found Property	1000 Paradise Creek St;	Guy found his bike	CLO				NO										0			0				
64	01/16/19 @09:39	Wednesday	Same	19-M00440	Theft; Other	1 UI Campus; University of Idaho	"Wallet was found in the Grid, but was missing $200 cash, no suspect"	ACT				NO										0			0				
65	01/16/19 @10:41	Wednesday	Same	19-M00445	Suspicious	Stadium Dr & Idaho Ave; WE	"Broken back window on car, no suspects not theft/burglary"	CLO				NO										0			0				
66	01/16/19 @12:53	Wednesday	Same	19-M00448	Fraud	509 University Ave; The Perch	"Attempted Avista scam, didn't send money"	CLO				NO										0			0				
67	01/16/19 @17:31	Wednesday	Same	19-M00456	Accident; Non-Injury	1355 W 6th St; At 6th & JA	Non-injury accident	CLO				NO										0			0				
68	01/16/19 @17:48	Wednesday	Same	19-M00457	Drugs	Moscow	"Controlled purchase of methamphetamine, not on campus"	ACT				NO	x									0			0				
69	01/16/19 @19:19	Wednesday	Same	19-M00460	Alarm; Fire	706 Elm ST; Delta Zeta	False alarm	CLO				NO										0			0				
70	01/16/19 @19:29	Wednesday	Same	19-M00461	Order Violation	1000 Paradise Creek St; UI	Unfounded	CLO				NO										0			0				
71	01/17/19 @19:31	Thursday	Same	19-M00482	Theft; Other	728 Elm St; Delta Gamma	"Theft of tramadol from bag, no suspects"	ACT				NO										0			0				
72	01/17/19 @23:49	Thursday	Same	19-M00488	DUI	Blake Ave & Taylor Ave	1 - arrested for DUI	ACT	PP	Alcohol - Arrest	1	NO			1		No				00031-2019	3	R00002-2019		7				
73	01/18/19 @13:52	Friday	Same	19-M00504	Welfare Check	901 Paradise Creek St; LLC	"On-going welfare check from mother in NY state, daughter doesn't want contact"	CLO				NO										0			0				
74	01/18/19 @14:48	Friday	Same	19-M00505	Other Calls	Moscow	Questions about parking on street	CLO				NO										0			0				
75	01/18/19 @15:48	Friday	Same	19-M00510	Other Calls	Moscow	Subject heard his name on police scanner . . . . . . .	CLO				NO										0			0				
76	01/18/19 @16:03	Friday	Same	19-M00511	Accident; Hit Run	College Ave; Lot 2 Purple	Door ding from another car	ACT				NO										0			0				
77	01/18/19 @17:22	Friday	Same	19-M00513	Harassment	1080 W 6th St; Wallace	Civil	CLO				NO										0			0				
78	01/18/19 @19:02	Friday	Same	19-M00514	Theft; Automobile	Sweet Ave; UI Transportation	"Unfounded, she lent the car to a friend"	CLO				NO										0			0				
79	01/19/19 @00:13	Saturday	Same	19-M00522	Breathing	1080 W 6th St; Wallace; Gooding	Shortness of breath	CLO				NO									00027-2019	0			0				
80	01/19/19 @01:55	Saturday	Same	19-M00523	DUI	W 6th St & S Asbury St	"1 - 20 YOM, arrested for DUI - Came to a stop on Asbury just off of W 6th St - Not a campus location"	ACT				NO									00034-2019	2			8				
81	01/19/19 @13:16	Saturday	Same	19-M00529	Alarm; Elevator	1001 University Ave; Elev	Accidental activation	CLO				NO										0			0				
82	01/19/19 @22:18	Saturday	Same	19-M00542	Drugs	1215 Nez Perce Dr; Golf Course	2 - cited for marijuana and paraphernalia	CLO	OC	Drug - Arrest	2	YES			2		No				N/A	0	R00014-2019		6				
83	01/20/19 @08:32	Sunday	Same	19-M00547	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
84	01/20/19 @08:33	Sunday	Same	19-M00548	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
85	01/20/19 @13:39	Sunday	Same	19-M00552	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
86	01/20/19 @14:43	Sunday	Same	19-M00554	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
87	01/20/19 @17:37	Sunday	Same	19-M00558	Theft; Other	Greek Row	"Stolen coat, no suspects"	ACT				NO										0			0				
88	01/21/19 @08:34	Monday	Same	19-M00569	Breathing	W 7th St & Elm ST	1 - transported to GMC by EMS	CLO				NO										0			9				
89	01/21/19 @10:03	Sunday	Same	19-M00572	Alarm; Elevator	901 Paradise Creek St; Elev	Accidental activation	CLO				NO										0			0				
90	01/21/19 @10:09	Sunday	Same	19-M00573	Other Calls	Moscow	Not on campus or related	CLO				NO	x									0			0				
91	01/21/19 @10:28	Monday	Same	19-M00576	Alarm; Burglary	1215 Nez Perce DR; UI Golf Course	Employee error	EE				NO										0			0				
92	01/21/19 @11:10	Monday	Same	19-M00578	Alarm; Fire	901 Paradise Creek St; 6	False alarm	CLO				NO									00028-2019	0			0				
93	01/21/19 @11:35	Monday	Same	19-M00580	Alarm; Elevator	1080 W 6th; Elev South	Accidental activation	CLO				NO										0			0				
94	01/21/19 @12:36	Monday	Same	19-M00582	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
95	01/21/19 @17:55	Monday	Same	19-M00590	Alarm; Elevator	1080 W 6th St; Eloev North	Accidental activation	CLO				NO										0			0				
96	01/21/19 @18:59	Monday	Same	19-M00593	Welfare Check	1080 W 6th St; Wallace	"Stressed student who is on the spectrum, was code 4"	ACT				NO									00030-2019	0			0				
97	01/21/19 @19:10	Monday	Same	19-M00594	Suicidal Person	Moscow	Unfounded	CLO				NO										0			0				
98	01/22/19 @00;34	Tuesday	Same	19-M00595	Alarm; Fire	727 Nez Perce Dr; AGR	Burned popcorn	CLO				NO										0			0				
99	01/22/19 @14:13	Tuesday	Same	19-M00605	Theft; Automobile	W 7th St & Ash ST; Purple	Unfounded car was parked ileaglly and towed	CLO				NO										0			0				
100	01/22/19 @17:14	Tuesday	Same	19-M00614	Agency Assist	Moscow	Not on campus or related	CLO				NO	x									0			0				
101	01/22/19 @17:23	Tuesday	Same	19-M00613	Alarm; Burglary	503 University Ave; Delta	False alarm	CLO				NO										0			0				
102	01/22/19 @17:54	Tuesday	Same	19-M00616	Public Program	728 Elm St; Delta Gamma	Cop talk	CLO		Public Program		NO										0			0				
103	01/22/19 @18:49	Tuesday	Same	19-M00618	Accident; Non-Injury	Blake Ave & Nez Perce Dr	Non-injury accident	ACT				NO										0			0				
104	01/23/19 @13:08	Wednesday	Same	19-M00637	Domestic Dispute	Moscow	Unfounded and not on campus	CLO				NO	x									0			0				
105	01/23/19 @17:57	Wednesday	Same	19-M00645	Traffic Offense	Nez Perce Dr; Towards Lewiston	UTL	UTL				NO										0			0				
106	01/23/19 @19:48	Wednesday	Same	19-M00648	Accident; Non-Injury	770 University Ave; Life Sci	No damage	CLO				NO										0			0				
107	01/24/19 @12:42	Thursday	Same	19-M00661	Animal; Sick	Moscow	Not on campus or related	ACT				NO	x									0			0				
108	01/24/19 @15:26	Thursday	Same	19-M00665	Citizen Assist	975 S Line St; UI Commons	Unknown citizen assist	ACT				NO										0			0				
109	01/24/19 @15:45	Thursday	Same	19-M00667	Sex Offense	1080 W 6th ST; Wallace Complex	This occurred in Coeur d' Alene but was reported in Moscow	CLO				NO	x									0			0				
110	01/24/19 @15:48	Thursday	Same	19-M00669	Accident; Hit Run	620 Idaho Ave; Phi Kappa Tau	Hit and run with no suspect	CLO				NO										0			0				
111	01/24/19 @22:01	Thursday	Same	19-M00678	Alarm; Elevator	1080 W 6th ST; Wallace; Willey	Accidental activation	CLO				NO										0			0				
112	01/25/19 @00:27	Friday	Same	19-M00681	Drugs	901 Paradise Creek St; LLC	"Odor of marijuana, UTL -- Male was not on scene at time of officer arrival but officer did confirm smell of marijuana coming from the room"	CLO	OC OCH	Drug - Referral		YES					No				00039-2019	5	R00003-2019	1	0				
113	01/26/19 @02:09	Saturday	Same	19-M00710	DUI	Sweet Ave & S Main ST	"NEED EXACT LOCATION -- 1 - 19 YOM, arrested for DUI"	ACT		Alcohol - Arrest	1	NO			1		No					0			10				
114	01/26/19 @12:05	Saturday	Same	19-M00717	Missing Person	Moscow	Found person	CLO				NO										0			0				
115	01/26/19 @20:32	Saturday	Same	19-M00726	Citizen Assist	Moscow	Not on campus or related	CLO				NO	x									0			0				
116	01/27/19 @08:00	Sunday	Same	19-M00739	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
117	01/27/19 @08:27	Sunday	Same	19-M00740	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
118	01/27/19 @12:17	Sunday	Same	19-M00742	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
119	01/27/19 @12:18	Sunday	Same	19-M00744	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
120	01/27/19 @13:34	Sunday	Same	19-M00746	Attempt to Locate	Moscow	Not on campus or related	CLO				NO	x									0			0				
121	01/27/19 @20:56	Sunday	Same	19-M00753	Suspicious	Farm Rd; UI; Herbology Building	"Unfounded, UI worker on lunch break"	CLO				NO										0			0				
122	01/28/19 @11:21	Monday	Same	19-M00762	Lost Property	975 S Line St; UI Commons	Lost AMX card	CLO				NO										0			0				
123	01/28/19 @17:13	Monday	Same	19-M00772	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
124	01/28/19 @19:17	Monday	Same	19-M00773	Alarm; Elevator	1080 W 6th st; Wallace - Gooding	Accidental activation	CLO				NO										0			0				
125	01/29/19 @00:26	Tuesday	Same	19-M00777	Alarm; Elevator	1080 W 6th ST; Elev So; Gooding	"Person stuck, EMS and elevator company called"	CLO				NO										0			0				
126	01/29/19 @08:24	Tuesday	Same	19-M00779	Alarm; Fire	728 Elm St; Delta Gamma	Cooking eggs??..	CLO				NO										0			0				
127	01/29/19 @09:00	Tuesday	Same	19-M00781	Accident; Non-Injury	Stadium Dr & W 6th ST	UTL	UTL				NO										0			0				
128	01/29/19 @13:48	Tuesday	Same	19-M00793	Welfare Check	975 S Line St; UI Commons	UTL on report of woman walking with kids not adequately clothed for cold	UTL				NO										0			0				
129	01/29/19 @14:38	Tuesday	Same	19-M000795	Vin Inspection	875 Perimeter Dr; UI Facilities	Vin inspection	CLO				NO										0			0				
130	01/29/19 @15:01	Tuesday	Same	19-M00797	Fraud	901 Paradise Creek St; Building	"DR# for Amazon, victim had items sent to his friends and they never got there"	CLO				NO										0			0				
131	01/29/19 @15:27	Tuesday	Same	19-M00798	Accident; Hit Run	850 Rayburn St; UI Library	No damage NR	CLO				NO										0			0				
132	01/29/19 @16:40	Tuesday	Same	19-M00805	Theft; Other	Moscow	Not on campus or related	CLO				NO	x									0			0				
133	01/29/19 @20:14	Tuesday	Same	19-M00810	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO										0			0				
134	01/30/19 @12:35	Wednesday	Same	19-M00820	Suspicious	777 Deakin Ave; Pi Kappa	"Plumbers found a piece of wood wrapped in cloth in ceiling, info only"	CLO				NO										0			0				
135	01/30/19 @13:08	Wednesday	Same	19-M00822	Communications	851 Campus Dr; University	Accidental dial	CLO				NO										0			0				
136	01/30/19 @13:09	Wednesday	Same	19-M00823	Breathing	807 Rayburn St; Chemistry	"Male professor collapsed and died, had stage 4 lung cancer"					NO										0			0				
137	01/30/19 @15:48	Wednesday	Same	19-M00834	Threatening	706 Elm ST;	"Unfounded, student indicated the sorority was ""shooting themselves in the foot"" for kicking her out"	CLO				NO										0			0				
138	01/30/19 @23:19	Wednesday	Same	19-M00840	Other Calls	1080 W 6th St; Wallace Complex	"Potentially suicidal male, went to GMC"	CLO				NO										0			0				
139	01/31/19 @05:41	Thursday	Same	19-M00843	Harassment	Moscow	Auto recovery / reposession	CLO				NO										0			0				
140	01/31/19 @13:00	Thursday	Same	19-M00855	Wanted Person	Moscow	Ufnounded	UNF				NO										0			0				
141	01/31/19 @13:57	Thursday	Same	19-M00858	Other Calls	1 UI Campus; UI	Female sexual assault victim refuse to speak with MPD detective	CLO				NEED MORE										0			0				
142	02/01/19 @11:30	Friday	Same	19-M00886	Found Property	975 S Line St; UI commons	"Found debit card, returned to owner"	ACT				NO										0			0				
143	02/01/19 @22:08	Friday	Same	19-M00905	Traffic Offense	Deakin Ave & College Ave	UTL	UTL				NO										0			0				
144	02/01/19 @22:53	Friday	Same	19-M00906	Drugs	1080 W 6th ST; Wallace Complex	4 cited for marijuana	ACT	OC OCH	"Drug - Arrest, Drug - Referral"	4	YES			4		No				00053-2019	4	R00005-2019	YES	11				
145	02/01/19 @23:05	Friday	Same	19-M00907	Suicide Attempt	901 Paradise Creek St; LLC	"Accidental overdose, transported to GMC"	CLO				NO										0			0				
146	02/02/19 @13:08	Saturday	Same	19-M00919	Communications	921 Campus Dr; 133 Education	Accidental activation	CLO				NO										0			0				
147	02/02/19 @20:06	Saturday	Same	19-M00927	Custodial Int.	Moscow	Not on campus or related	CLO				NO	x									0			0				
148	02/02/19 @23:43	Saturday	Same	19-M00933	Welfare Check	Moscow	Not on campus or related	CLO				NO	x									0			0				
149	02/03/19 @00:24	Sunday	Same	19-M00935	Accident; Hit Run	735 Nez Perce Dr; Sigma Chi	Information exchange	CLO				NO										0			0				
150	02/03/19 @00:50	Sunday	Same	19-M00937	Alcohol Offense	W 7th ST & Elm ST; Lot 16	"1 - 19 yof, cited for alcohol"	ACT	OC	Alcohol - Arrest	1	YES			1		No				00060-2019	6	R00004-2019		12				
151	02/03/19 @08:01	Sunday	Same	19-M00945	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
152	02/03/19 @08:26	Sunday	Same	19-M00947	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
153	02/03/19 @12:46	Sunday	Same	19-M00954	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
154	02/03/19 @12:47	Sunday	Same	19-M00956	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
155	02/03/19 @12:58	Sunday	Same	19-M00955	Suspicious	Moscow; UI Campus	"Unknown male called campus secuirty and asked if they wanted to buy marijunana, no info available to follow up or identify caller"	CLO				NO										0			0				
156	02/03/19 @14:04	Sunday	Same	19-M00959	Suspicious	710 Deakin Ave; Vandal Store	"Employee found a baggie of what appears to be methamphetamine, near clothes rack, reviewed video footage and unable to identify how it got there"	CLO				NO										0			0				
157	02/03/19 @14:53	Sunday	Same	19-M00961	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO										0			0				
158	02/04/19 @09:27	Monday	Same	19-M00972	Alarm; Elevator	1080 W 6th st; Elevator	Accidental activation	ACT				NO										0			0				
159	02/04/19 @11:10	Monday	Same	19-M00976	Alarm; Elevator	832 Ash St; Student Health	Accidental activation	CLO				NO										0			0				
160	02/04/19 @11:37	Monday	Same	19-M00979	Theft; Other	514 Taylor Ave; 6	"Unfounded, he misplaced his monowheel"	ACT				NO										0			0				
161	02/04/19 @12:16	Monday	Same	19-M00982	Unconsciousness	1000 Paradise Creek St; UI	Student lost consciousness while exercising at SRC - she refused transport	CLO				NO										0			0				
162	02/05/19 @13:30	Tuesday	Same	19-M01013	Accident; Non-Injury	Perimeter Dr & W Pullman Rd	State accident report	ACT				NO										0			0				
163	02/05/19 @17:11	Tuesday	Same	19-M01019	Citizen Assist	W 6th St & Rayburn St; Gold	Headlights left on	CLO				NO										0			0				
164	02/06/19 @08:32	Wednesday	Same	19-M01029	Seizures	625 Stadium Dr; Hartung Theater	"Epileptic student had seizure, refused transport"	CLO				NO										0			0				
165	02/05/19 @13:10	Tuesday	Same	S00027-2019(This case is a burglary) I spoke to Deanna Vance on 10/20/20 and SO has no record of stalking)	Stalking	Wallace; Ballard; HUB	Possible stalking of student See Report					NEED MORE										0			0				
166	02/06/19 @14:09	Wednesday	Same	19-M01047	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO										0			0				
167	02/06/19 @21:02	Wednesday	Same	19-M01058	Alarm; Elevator	1080 W 6th St; Wallace; Wiley	Accidental activation	CLO				NO										0			0				
168	02/06/19 @22:21	Wednesday	Same	19-M01060	Noise Complaint	707 Railroad St; 9	1 - warned for noise	WRN				NO										0			0				
169	02/07/19 @15:27	Thursday	Same	19-M01082	Accident; Non-Injury	1101 Blake Ave;	State accident report	CAC				NO										0			0				
170	02/08/19 @10:32	Friday	Same	19-M01097	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
171	02/08/19 @13:37	Friday	Same	19-M01104	Suspicious	Blake Ave & Nez Perce DR	This stems from the Vandleer incident and no crime was committed in Moscow	ACT				NO									00070-2019	0			0				
172	02/08/19 @15:58	Friday	Same	19-M01113	Fraud	901 Paradise Creek ST; 531	Foreign student with fraudulent charges in Japan  NR	CLO				NO										0			0				
173	02/08/19 @17:43	Friday	Same	19-M01116	Intoxication	Railroad St & College Ave	"Intoxicated male, soiled himself, wife can and got him"	CLO				NO										0			0				
174	02/09/19 @12:08	Saturday	Same	19-M01134	Gas Leak	374 Taylor Ave; 1	"Odor of unleaded gasoline, MVFD on scene"	CLO				NO										0			0				
175	02/09/19 @12:56	Saturday	Same	19-M01135	Alarm; Elevator	1080 W 6th ST; Wallace	Accidental activation	CLO				NO										0			0				
176	02/10/19 @00:41	Sunday	Same	19-M01143	Alarm; Elevator	1080 W 6th ST; Elev So; Wallace	Accidental activation	CLO				NO										0			0				
177	02/10/19 @08:00	Sunday	Same	19-M01146	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
178	02/10/19 @08:05	Sunday	Same	19-M00148	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
179	02/10/19 @08:07	Sunday	Same	19-M01147	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
180	02/10/19 @11:18	Sunday	Same	19-M01154	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
181	02/10/19 @12:09	Sunday	Same	19-M01155	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
182	02/10/19 @17:07	Sunday	Same	19-M01161	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO										0			0				
