"Thursday, January 21, 2021"	0.569571759													
Master ID	Date/Time Reported	Day of Week	Date/Time Occurred	MPD Case #	Nature of Calls	Address/Location	Comments	Disposition	Clery Geography	Clery Offense	Clery Count	Clery	Not on Campus	Name Log
18	01/06/18 @04:37	Saturday	Same	18-M00137	Burglary	804 Elm St; Phi Delta Theta	"1 -  21 YOM, arrested for unlawful entry and mal/misch - Subject Broke a window to gain access per definition of Burg this will be considered a Burg"	CLO	NC	Burglary	1	YES		
19	01/08/18 @10:54	Monday	Same	18-M00168	Vehicle Prowl	1001 Paradise Creek St;	Stereo and knives stolen from inside unlocked car	CLO			0	NO		
20	01/08/18 @17:54	Monday	Same	18-M00180	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO			0	NO		
21	01/08/18 @19:23	Monday	Same	18-M00182	Drugs	1080 W 6th ST; Gooding; 225	Unfounded	CLO			0	NO		
22	01/08/18 @21:33	Monday	Same	18-M00184	Extra Patrol	1080 W 6th ST; Wallace; Willey	MPD foot patrols	CLO			0	NO		
23	01/08/18 @23:15	Monday	Same	18-M00185	Drugs	1001 Paradise Creek ST; Theophulis Tower; 519	"1 - 18 YOM, cited for marijuana"	CAC	OC OCH	Drug - Arrest	1	YES		
24	01/09/18 @10:01	Tuesday	Same	18-M00192	Communications	1028 W 6th St; Shoup Hall	911 mis-dial	CLO			0	NO		
25	01/09/18 @10:13	Tuesday	Same	18-M00193	Traffic Offense	706 Deakin Ave; UI Bookstore	"1 - 37 YOM, for resisting and obstructing, failure to purchase DL and running a red light"	CAA			0	NO		
26	01/09/18 @11:06	Tuesday	Same	18-M00194	Public Program	709 Deakin Ave; UI Pitman Center	Public program to international students	CLO		Public Program	0	NO		
27	01/09/18 @11:27	Tuesday	Same	18-M00195	Accident; Unk Injury	727 Nez Perce Dr;	Elderly female driver had medical problem and crsashed	CLO			0	NO		
28	01/09/18 @11:41	Tuesday	Same	18-M00196	Alarm; Elevator	901 Paradise Creek ST; Elev	Accidental activation	CLO			0	NO		
29	01/09/18 @13:18	Tuesday	Same	18-M00200	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO			0	NO		
30	01/09/18 @17:34	Tuesday	Same	18-M00206	Extra Patrol	UI Campus	MPD foot / vehicle patrols	CLO			0	NO		
31	01/09/18 @19:54	Tuesday	Same	18-M00208	Extra Patrol	851 Campus Dr; UI Administration Bldg	MPD foot patrols	CLO			0	NO		
32	01/09/18 @21:47	Tuesday	Same	18-M00213	Drugs	1080 W 6th ST; Wallace; Gooding; 522	"1 - 19 YOM
1 - 19 YOM, and 
1 - 18 YOM, cited for marijuana violations"	CAC	OC OCH	Drug - Arrest	3	YES		
33	01/09/18 @21:51	Tuesday	Same	18-M00214	Drugs	1001 Paradise Creek ST; Theophulis Tower; 402	"1 - 18 YOF, cited for marijuana - 1 Female in Advocate was also on site and warned"	CAC	OC OCH	"Drug - Arrest, Drug - Referral"	2	YES		
34	01/10/18 @00:25	Wednesday	Same	18-M00218	Suspicious	706 Elm St; Delta Zeta	Unidentified male shouting outside sorority	UTL			0	NO		
35	01/10/18 @00:35	Wednesday	Same	18-M00219	Extra Patrol	Greek Row	MPD foot patrols	CLO			0	NO		
36	01/10/18 @08:45	Wednesday	Same	18-M00221	Alarm; Elevator	901 Paradise Creek ST; LLC	Accidental activation	CLO			0	NO		
37	01/10/18 @18:33	Wednesday	Same	18-M00237	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO			0	NO		
38	01/10/18 @21:31	Wednesday	Same	18-M00239	Malicious Mischief	709 Deakin Ave; SUB	Unidentified person keyed car	CLO			0	NO		
39	01/11/18 @00:47	Thursday	Same	18-M00243	Noise Complaint	707 Railroad St; 11	"Loud noise, residents warned"	WRN			0	NO		
40	01/11/18 @03:12	Thursday	Same	18-M00245	Parking Problem	S Line St; LLC	"Needed a car moved, owner notified"	CLO			0	NO		
41	01/11/18 @10:10	Thursday	Same	18-M00248	Accident; Non-Injury	805 Elm ST;	Information exchange	CLO			0	NO		
42	01/11/18 @15:31	Thursday	Same	18-M00258	Accident; Non-Injury	1000 Paradise Creek St;	State accident report taken	CLO			0	NO		
43	01/11/18 @16:11	Thursday	Same	18-M00260	Accident; Non-Injury	W 6th St & Perimeter Dr;	State accident report taken	CLO			0	NO		
44	01/11/18 @18:34	Thursday	Same	18-M00261	Extra Patrol	UI Campus	MPD foot patrols	CLO			0	NO		
45	01/12/18 @06:11	Friday	Same	18-M00268	Extra Patrol	1 UI Campus; UI Campus	MPD foot patrols at residence life	CLO			0	NO		
46	01/12/18 @09:04	Friday	Same	18-M00272	Code Violations	918 Blake Ave	Dumpster over-filled and LSI couldn't dump iit	CLO			0	NO		
47	01/12/18 @11:43	Friday	Same	18-M00277	Agency Assist	S Line St & Paradise Creek	"Gas leak, Avista notified"	CLO			0	NO		
48	01/12/18 @23:57	Friday	Same	18-M00299	Extra Patrol	UI Campus; Old Greek	MPD foot patrols	CLO			0	NO		
49	01/13/18 @04:07	Saturday	Same	18-M00305	Extra Patrol	UI Campus	MPD foot patrols	CLO			0	NO		
50	01/13/18 @12:03	Saturday	Same	18-M00311	Found Property	UI	MPD foot patrols	CLO			0	NO		
51	01/13/18 @17:22	Saturday	Same	18-M00319	Extra Patrol	Stadium Dr & Paradise Creek ST	MPD foot patrols	CLO			0	NO		
52	01/13/18 @21:37	Saturday	Same	18-M00325	Extra Patrol	UI Campus	MPD foot patrols	CLO			0	NO		
53	01/14/18 @03:02	Sunday	Same	18-M00333	Extra Patrol	UI Campus	MPD foot patrols	CLO			0	NO		
54	01/14/18 @23:36	Sunday	Same	18-M00355	Extra Patrol	UI Campus	MPD foot patrols	CLO			0	NO		
55	01/15/18 @07:53	Monday	Same	18-M00358	Gun Check	861 Periemter Dr; UI Security	Gun Check	CLO			0	NO		
56	01/15/18 @13:02	Monday	Same	18-M00372	Welfare Check	727 Nez Perce Dr; Alpha Gamma	Female student having issues with medication	CLO			0	NO		
57	01/15/18 @20:24	Monday	Same	18-M00385	Extra Patrol	975 S Line ST; UI Commons	Extra MPD foot and vehicle patrols	CLO			0	NO		
58	01/15/18 @20:32	Monday	Same	18-M00387	Extra Patrol	UI Campus	Extra MPD foot and vehicle patrols	CLO			0	NO		
59	01/15/18 @22:12	Monday	Same	18-M00389	Malicious Mischief	908 Blake Ave; Steel House	Steel House was egged	CLO			0	NO		
60	01/15/18 @22:49	Monday	Same	18-M00390	Extra Patrol	UI Campus	Extra MPD foot and vehicle patrols	CLO			0	NO		
61	01/15/18 @23:00	Monday	Same	18-M00391	Alarm; Fire	901 Paradise Creek St; 6	False alarm	CLO			0	NO		
62	01/15/18 @23:12	Monday	Same	18-M00392	Alarm; Elevator	901 Paradise Creek St;	Accidental activation	CLO			0	NO		
63	01/16/18 @03:34	Tuesday	Same	18-M00398	Domestic Dispute	707 Railroad St; 8	"Male and female arguing, male left the apartment"	CLO			0	NO		
64	01/16/18 @10:43	Tuesday	Same	18-M00405	Alarm; Elevator	921 Campus Dr; Education Bldg	Accidental activation	CLO			0	NO		
65	01/16/18 @14:07	Tuesday	Same	18-M00410	Accident; Non-Injury	Deakin Ave; Green Lot	Non-reportable collision	CLO			0	NO		
66	01/16/18 @16:11	Tuesday	Same	18-M00413	Alarm; Elevator	921 Campus Dr; 133; Elev 1	Accidental activation	CLO			0	NO		
67	01/17/18 @00:03	Wednesday	Same	18-M00421	Extra Patrol	Paradise Creek St;	Extra MPD foot and vehicle patrols	CLO			0	NO		
68	01/17/18 @01:36	Wednesday	Same	18-M00423	Welfare Check	727 Nez Perce Dr; Alpha Gamma	Female student having issues with medication	CLO			0	NO		
69	01/17/18 @10:52	Wednesday	Same	18-M00429	Public Program	685 S Line; IRIC	Active shooter response / walk through at IRIC	CLO		Public Program		NO		
70	01/17/18 @11:32	Wednesday	Same	18-M00432	Alarm; Elevator	921 Campus Dr; Education Bldg	Accidental activation	CLO				NO		
71	01/17/18 @11:38	Wednesday	Same	18-M00433	Found Property	975 S Line St; UI Commons	"Keys, blue tooth speaker and other items turned in to MPD"	CLO				NO		
72	01/17/18 @11:39	Wednesday	Same	18-M00434	Found Property	975 S Line St; UI Commons	ID cards turned into MPD 	CLO				NO		
73	01/17/18 @11:40	Wednesday	Same	18-M00435	Found Property	975 S Line St; UI Commons	"Wallet turned into MPD, unable to get through to owner"	CLO				NO		
74	01/17/18 @11:41	Wednesday	Same	18-M00436	Found Property	975 S Line St; UI Commons	"Wallet turned into MPD, unable to get through to owner"	CLO				NO		
75	01/17/18 @13:24	Wednesday	Same	18-M00442	Alarm; Elevator	921 Campus Dr; 133;	Accidental activation	CLO				NO		
76	01/17/18 @15:05	Wednesday	Same	18-M00445	MHP Transport	1210 Blake Ave; Mary Forney Hall	Mental hold transport of female student from ealier calls	CLO				NO		
77	01/17/18 @15:25	Wednesday	Same	18-M00449	Accident; Hit Run	1 UI Campus; UI	"Hit and run, no suspects"	CLO				NO		
78	01/17/18 @22:29	Wednesday	Same	18-M00459	Welfare Check	901 Paradise Creek St; LLC; 8; 206	"Report of suicidal male, unfounded"	CLO				NO		
79	01/18/18 @01:11	Thursday	Same	18-M00462	Drugs	620 Idaho Ave; Phi Kappa Tau	"(4 total - 1 Alcohol Arrest / 2 Drug Arrests / 1 Drug Referral )1 - 19 YOF, 1 - 19 YOM, cited for marijuana -- 1 subject in Advocate also warned was a student - Confirm this geography w/ MPD - Map shows it would be PP NOT OC"	CAC	OC	"Alcohol - Arrest, Drug - Arrest, Drug - Referral"	4	YES		
80	01/18/18 @05:58	Thursday	Same	18-M00464	Drugs	426 Taylor Ave; Parking Lot	"Report of people smoking MJ in a car, UTL"	CLO				NO		
81	01/18/18 @06:52	Thursday	Same	18-M00465	Found Property	901 Paradise Creek St; LLC	Wallet returned to owner	CLO				NO		
82	01/18/18 @10:08	Thursday	Same	18-M00469	Alarm; Fire	805 Elm St; Kappa Kappa Gamma	False alarm	CLO				NO		
83	01/18/18 @16:07	Thursday	Same	18-M00482	Public Program	415 W 6th ST; UI Human Resources	Active shooter response program at HR	CLO		Public Program		NO		
84	01/18/18 @16:37	Thursday	Same	18-M00483	Public Program	709 Deakin Ave; Pitman Center	Nikkita Oliver speech at Pitman Center	CLO		Public Program		NO		
85	01/18/18 @17:12	Thursday	Same	18-M00485	Traffic Offense	S Line St & W 6th ST;	"Unknown traffic offense, the RP didn't talk to officer"	CLO				NO		
86	01/18/18 @22:50	Thursday	Same	18-M00493	Welfare Check	727 Nez Perce DR; Alpha Gamma	Female student having issues with medication	CLO				NO		
87	01/18/18 @23:21	Thursday	Same	18-M00495	Extra Patrol	UI Campus	Extra MPD foot and vehicle patrols	CLO				NO		
88	01/19/18 @02:08	Friday	Same	18-M00497	Extra Patrol	UI Campus	Extra MPD foot and vehicle patrols	CLO				NO		
89	01/19/18 @03:10	Friday	Same	18-M00498	Welfare Check	W 3rd St; Facing the Rec Ctr	"Drunk guy wondering around, he went home - Over 21"	CLO				NO		
90	01/19/18 @20:09	Friday	Same	18-M00525	Welfare Check	Moscow	"Therapist hadn't heard from client, they were put in touch"	CLO				NO	x	
91	01/19/18 @23:59	Friday	Same	18-M00529	Citizen Dispute	Deakin Ave & University Ave	"Report of a fight, but neither subject was cooperative and wen their separate ways"	CLO				NO		
92	01/20/18 @00:32	Saturday	Same	18-M00532	Alarm; Elevator	901 Paradise Creek St; Elev	Accidental activation	CLO				NO		
93	01/20/18 @19:23	Saturday	Same	18-M00554	Extra Patrol	1000 Stadium Dr; Kibbie Dome	Extra MPD foot and vehicle patrols	CLO				NO		
94	01/21/18 @00:04	Sunday	Same	18-M00561	Extra Patrol	UI Campus	Extra MPD foot and vehicle patrols	CLO				NO		
95	01/21/18 @00:20	Sunday	Same	18-M00562	Unsecured Premise	710 Deakin Ave; Vandal Bookstore	"Unlocked door, bldg searched and responsible contacted"	CLO				NO		
96	01/21/18 @11;47	Sunday	Same	18-M00573	Extra Patrol	Elm ST; Greek Row	Extra MPD foot and vehicle patrols	CLO				NO		
97	01/21/18 @20:59	Sunday	01/20/18	18-M00583	Sex Offense	1080 W 6th ST; Wallace Complex/ See Also 18-M00985	"Counted as Fondling from the Title IX Side of things. 

Report of a male touching another male's penis while he was asleep, this is a battery, not a sex offense. See Also 18-M00985"	ACT	OC OCH	Fondling	1	YES		
98	01/22/18 @04:50	Monday	Same	18-M00589	Drugs	Stadium Dr & Paradise Creek	"Report of marijuana in a parked car, items seized and destroyed"	CLO	OC	Drug - Referral	1	YES		
99	01/22/18 @23:47	Monday	Same	18-M00617	Suspicious	UI Rec Center	"Local man with dimentia issues was yelling, warned by officers"	CLO				NO		
100	01/23/18 @03:16	Tuesday	Same	18-M00618	Extra Patrol	UI Campus	MPD extra foot/vehicle patrols	CLO				NO		
101	01/23/18 @03:25	Tuesday	Same	18-M00619	Noise Complaint	1306 Deakin Ave; Upper	1 warned for noise	WRN				NO		
102	01/23/18 @09:24	Tuesday	Same	18-M00623	Fraud	975 S Line St; UI Commons	Report of credit card fraud	ACT				NO		
103	01/23/18 @10:39	Tuesday	Same	18-M00626	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
104	01/23/18 @11:25	Tuesday	Same	18-M00628	Drugs	1080 W 6th ST; Wallace; Gooding	"Glass pipe found in vacant room, destroyed"	CLO	OC OCH	Drug - Referral	1	YES		
105	01/23/18 @12:19	Tuesday	Same	18-M00631	Fraud	Moscow	Not on campus or realted	CLO				NO	X	
106	01/23/18 @13:27	Tuesday	Same	18-M00634	Vin Inspection	Moscow	Vin check	CLO				NO		
107	01/23/18 @19:56	Tuesday	Same	18-M00644	Alarm; Elevator	901 Paradise Creek ST; LLC	Accidental activation	CLO				NO		
108	01/23/18 @23:43	Tuesday	Same	18-M00647	Extra Patrol	1080 W 6th ST; Wallace Complex	MPD extra foot/vehicle patrols	CLO				NO		
109	01/24/18 @12:16	Wednesday	Same	18-M00653	Lost Property	UI	Lost set of keys	CLO				NO		
110	01/24/18 @13:15	Wednesday	Same	18-M00655	Welfare Check	1010 Blake Ave; Hampton Music	"Female doing strange things, she was okay"	CLO				NO		
111	01/24/18 @18:00	Wednesday	Same	18-M00664	Extra Patrol	1000 Stadium Dr; Kibbie Dome	MPD extra foot/vehicle patrols	CLO				NO		
112	01/24/18 @21:46	Wednesday	Same	18-M00666	Alarm; Elevator	901 Paradise Creek St; Ele	Accidental activation	CLO				NO		
113	01/24/18 @21:57	Wednesday	Same	18-M00667	Extra Patrol	Elm ST; Greek Row	MPD extra foot/vehicle patrols	CLO				NO		
114	01/25/18 @10:23	Thursday	Same	18-M00675	Property Damage	UI Campus	Unknown person scratched the victim's pickup	CLO				NO		
115	01/25/18 @10:27	Thursday	Same	18-M00676	Malicious Mischief	700 Deakin Ave; Lot 18	"This is actually a vehicle burglary, window broken and items taken"	CLO				NO		
116	01/25/18  @11:05	Thursday	Same	18-M00678	Harassment	975 S Line St; UI Commons	"Report of a male student following a female student on and off campus, male was warned if he countinued he'd be charged with 2nd degree stalking"	CLO	OC	Stalking 	1	YES		
117	01/25/18 @16:45	Thursday	Same	18-M00688	Harassment	Moscow	Not on campus or related	CLO				NO	X	
118	01/25/18 @23:01	Thursday	Same	18-M00699	Drugs	1001 Paradise Creek St; Theophilus Tower; 504	2 cited for paraphernalia; 2 - were cited for being present in a place where drugs were being used	CLO	OC OCH	Drug - Arrest	4	YES		
119	01/26/18 @05:08	Friday	Same	18-M00703	Alarm; Burglary	1215 Nez Perce Dr; UI Golf Course	Accidental activation	EE				NO		
120	01/26/18 @08:03	Friday	Same	18-M00704	DWLS	908 Blake Ave; Steel House	"Female cited for DWP, not a student"	CAC				NO		
121	01/26/18 @09:16	Friday	Same	18-M00708	Vin Inspection	Moscow	Vin check	CLO				NO		
122	01/26/18 @09:26	Friday	Same	18-M00709	Public Program	880 W 3rd St; UI Parking Services	Active shooter planning	CLO		Public Program		NO		
123	01/26/18 @11:36	Friday	Same	18-M00712	Accident; Hit Run	UI Campus; Purple Lot	"Damaged pickup fender and door, no suspects"	CLO				NO		
124	01/26/18 @18:35	Friday	Same	18-M00730	Extra Patrol	UI Campus	MPD extra foot/vehicle patrols	CLO				NO		
125	01/26/18 @22:09	Friday	Same	18-M00735	Drugs	1080 W 6th ST; LLC 2	"1 - cited for marijuana, 1 - cited for being present in a place where drugs were being used"	CAC	OC OCH	Drug - Arrest	2	YES		
126	01/26/18 @22:37	Friday	Same	18-M00738	Alcohol Offense	709 Deakin Ave; Bruce Pitman Ctr	"1 -  20 YOM, cited for MIP"	CLO	OC	Alcohol - Arrest	1	YES		
127	01/27/18 @08:30	Saturday	Same	18-M00751	Welfare Check	1080 W 6th ST; MSC 1241	"ROTC student didn't show up, he was contacted and fine"	CLO				NO		
128	01/27/18 @09:42	Saturday	Same	18-M00753	Vehicle Prowl	804 Elm ST; Phi Delta Theta	Window broken out of vehicle and items stolen	CLO				NO		
129	01/27/18 @18:18	Saturday	Same	18-M00765	Other Calls	Moscow	Not on campus or related	CLO				NO	x	
130	01/27/18 @22:03	Saturday	Same	18-M00769	Extra Patrol	851 Campus Dr; UI Administration	MPD extra foot/vehicle patrols	CLO				NO		
131	01/27/18 @22:53	Saturday	Same	18-M00771	Extra Patrol	Old Greek Row	MPD extra foot/vehicle patrols	CLO				NO		
132	01/28/18 @00:45	Sunday	Same	18-M00780	Noise Complaint	415 College Ave; A	People warned for noise	WRN				NO		
133	01/28/18 @17:52	Sunday	Same	18-M00794	Drugs	901 Paradise Creek St; Blg 5; LLC ; 304	1 W/M Student - Cited for Marijuana	CAC	OC OCH	Drug - Arrest	1	YES		
134	01/28/18 @18:56	Sunday	Same	18-M00795	Drugs	1080 W 6th ST; Wiley; 501	"Report of marijuana, unfounded"	CLO				NO		
135	01/28/18 @22:27	Sunday	Same	18-M00799	Extra Patrol	1080 W 6th ST; Wallace Complex	MPD extra foot/vehicle patrols	CLO				NO		
136	01/28/18 @23:14	Sunday	Same	18-M00800	Welfare Check	620 Idaho Ave; Phi Kappa Tau	Depressed male was checked on and was fine	CLO				NO		
137	01/29/18 @00:14	Monday	Same	18-M00801	Alarm; Elevator	1001 Paradise Creek St; Theo Tower	Accidental Activation	CLO				NO		
138	01/29/18 @00:33	Monday	Same	18-M00802	Extra Patrol	1080 W 6th ST; Wallace Complex	Extra foot patrol in residence halls	CLO				NO		
139	01/29/18 @09:06	Monday	Same	18-M00807	Theft; Automobile	Moscow	"Not stolen, was towed"	CLO				NO		
140	01/29/18 @10:54	Monday	Same	18-M00811	Vehicle Prowl	507 Idaho Ave; Bi Beta Phi	Garmin stolen from inside unlocked Jeep	CLO				NO		
141	01/29/18 @14:24	Monday	Same	18-M00820	Alarm; Fire	804 Elm St; Pi Delta Theta	False alarm	CLO				NO		
142	01/29/18 @15:19	Monday	Same	18-M00825	Domestic Dispute	415 College Ave; 15	Verbal only	CLO				NO		
143	01/29/18 @18:52	Monday	Same	18-M00830	Drugs	601 Campus Dr; Ridenbaugh	1 -  20 YOM cited for smoking marijuana in Ridenbaugh	CAC	OC	Drug - Arrest	1	YES		
144	01/29/18 @22:13	Monday	Same	18-M00832	Extra Patrol	1080 W 6th ST; Wallace Complex	Extra foot patrol in parking lot of residence halls	CLO				NO		
145	01/30/18 @00:01	Tuesday	Same	18-M00834	Extra Patrol	1080 W 6th ST; Wallace Complex	Extra foot patrol in parking lot of residence halls	CLO				NO		
146	01/30/18 @03:22	Tuesday	Same	18-M00837	Extra Patrol	UI Campus	Extra foot and vehicle patrols on campus	CLO				NO		
147	01/30/18 @11:46	Tuesday	Same	18-M00845	Harassment	518 Taylor Ave; 6	"Female reported being contacted by someone she met when she was 16, unwanted social media contacts"	ACT				NO		
148	01/30/18 @13:36	Tuesday	Same	18-M00848	Unconsciousness	921 Campus Dr; College of	"Grad student passed out during lecture, video of child birth"	CLO				NO		
149	01/30/18 @13:50	Tuesday	Same	18-M00849	Alarm; Elevator	901 Paradise Creek ST; LLC	Accidental Activation	CLO				NO		
150	01/30/18 @14:08	Tuesday	Same	18-M00850	Alarm; Elevator	1080 W 6th St; Wallace;	Accidental Activation	CLO				NO		
151	01/30/18 @15:41	Tuesday	Same	18-M00852	Accident; Non-Injury	706 Deakin Ave; UI Bookstore	Information exchange	CLO				NO		
152	01/30/18 @16:28	Tuesday	Same	18-M00853	Lost Property	UI Campus	Keys	CLO				NO		
153	01/30/18 @16:31	Tuesday	Same	18-M00854	Communications	609 Elm ST; Delta Delta	Accidental 911	CLO				NO		
154	01/31/18 @01:25	Wednesday	Same	18-M00865	Malicious Mischief	620 Idaho Ave; Phi Kappa	"1 - 19 YOM, cited for alcohol"	CAC	NC	Alcohol - Arrest	1	YES		
155	01/31/18 @06:01	Wednesday	Same	18-M00868	Extra Patrol	1000 Stadium Dr; Kibbie Dome	Extra foot and vehicle patrols on campus	CLO				NO		
156	01/31/18 @13:13	Wednesday	Same	18-M00879	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental Activation	CLO				NO		
157	01/31/18 @14:44	Wednesday	Same	18-M00882	Gun Check	8651 Perimeter Dr; UI Security	Gun check	CLO				NO		
158	01/31/18 @16:39	Wednesday	Same	18-M00884	Lost Property	UI	Lost ID and debit card	CLO				NO		
159	02/01/18 @07:07	Thursday	Same	18-M00896	Found Property	Stadium Dr	"Someone found a debit card, no belonging to person above"	CLO				NO		
160	02/01/18 @11:33	Thursday	Same	18-M00902	Suicide Attempt	701 Nez Perce Dr; AKL	"Report of suicidal student, officers met with student, not suicidal"	CLO				NO		
161	02/01/18 @12:34	Thursday	Same	18-M00906	Malicious Mischief	415 W 6th ST; HR	Student drove on freshly seeded ground and got a parking ticket too	CLO				NO		
162	02/01/18 @13:36	Thursday	Same	18-M00909	Alarm; Elevator	975 W 6th ST; College of F.	Accidental Activation	ACT				NO		
163	02/01/18 @14:58	Thursday	Same	18-M00913	Alarm; Elevator	820 Idaho Ave; Morrill Hall	Accidental Activation	CLO				NO		
164	02/01/18 @16:02	Thursday	Same	18-M00917	Communications	966 University Ave; University	UI phone technicians having problems	CLO				NO		
165	02/01/18 @16:05	Thursday	Same	18-M00918	Communications	875 Perimeter Dr; 135B	UI phone technicians having problems	CLO				NO		
166	02/01/18 @16:12	Thursday	Same	18-M00919	Alarm; Elevator	606 Rayburn St; Agri	Accidental Activation	CLO				NO		
167	02/01/18 @16:13	Thursday	Same	18-M00921	Drugs	1080 W 6th ST; Ballard; 323	Student turned his pipe over to officer because he quit smoking	CLO	OC OCH	Drug - Referral	1	YES		
168	02/01/18 @16:23	Thursday	Same	18-M00920	Welfare Check	701 Nez Perce DR; AKL	"Report of suicidal student, officers met with student, not suicidal"	CLO				NO		
169	02/01/18 @16:23	Thursday	Same	18-M00934	Abandoned Vehicle	Stadium Dr & Paradise Creek St	Report of abandon vehicle	ACT				NO		
170	02/01/18 @18:08	Thursday	Same	18-M00925	Extra Patrol	1000 Stadium Dr; Kibbie Dome	Extra foot and vehicle patrols on campus	CLO				NO		
171	02/01/18 @21:11	Thursday	Same	18-M00929	Citizen Dispute	1000 Paradise Creek St; UI SRC	Student upset he couldn't play soccer because the room was reserved	CLO				NO		
172	02/02/18 @00:25	Friday	Same	18-M00931	Welfare Check	S Line ST & W 6th ST	"Drunk female vomiting from a car, she was code 4"	CLO				NO		
173	02/02/18 @09:41	Friday	Same	18-M00935	Communications	860 Idaho Ave; UI Food	UI phone technicians having problems	CLO				NO		
174	02/02/18 @09:59	Friday	Same	18-M00936	Threatening	342 Taylor Ave; 3	"Unfounded, male upset his girlfriend moved on"	CLO				NO		
175	02/02/18 @10:00	Friday	Same	18-M00937	Communications	966 University Ave; TLC	UI phone technicians having problems	CLO				NO		
176	02/02/18 @10:21	Friday	Same	18-M00938	Communications	966 University Ave; TLC	UI phone technicians having problems	CLO				NO		
177	02/02/18 @18:57	Friday	Same	18-M00954	Alarm; Elevator	1080 W 6th ST; Wallace/Wiley	Accidental Activation	CLO				NO		
178	02/02/18 @19:16	Friday	Same	18-M00955	Extra Patrol	Greek Row	Extra foot and vehicle patrols on campus	CLO				NO		
179	02/02/18 @22:40	Friday	Same	18-M00960	Extra Patrol	Greek Row	Extra foot and vehicle patrols on campus	CLO				NO		
180	02/03/18 @10:37	Saturday	Same	18-M00980	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
181	02/03/18 @12:23	Saturday	Same	18-M00983	Harassment	1 UI Campus	Extra foot and vehicle patrols on campus	CLO				NO		
182	02/03/18 @17:31	Saturday	Same	18-M00993	Extra Patrol	975 S Line ST; UI Commons	Extra patrol at the Commons	CLO				NO		
183	02/03/18 @18:02	Saturday	Same	18-M00995	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
184	02/03/18 @21:34	Saturday	Same	18-M00999	Extra Patrol	403 College Ave; The Yacht	Extra Patrol at Yacht Club	CLO				NO		
185	02/04/18 @00:26	Sunday	Same	18-M01005	Citizen Dispute	805 Elm ST; Kappa Kappa Gamma	Unable to locate	UTL				NO		
186	02/04/18 @01:04	Sunday	Same	18-M01008	Domestic Dispute	Elm ST & University Ave	Unable to locate	UTL				NO		
187	02/04/18 @01:18	Sunday	Same	18-M01009	Battery	UI Campus	"Male at Gritman, claims he was beat up outside PHI TAU, simple battery not aggravated, possibly linked to the above two calls"	CLO				NO		
