month,year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad,date,closure_1_rounded,closure_2_rounded,closure_1_end_rounded,closure_2_end_rounded,treatment_1,treatment_2,treatment_plus_1,treatment_plus_2,treatment_plus_3,treatment_plus_4,treatment_plus_5,treatment_plus_6,treatment_minus_1,treatment_minus_2,treatment_minus_3,treatment_minus_4,treatment_minus_5,treatment_minus_6
11,2014,Arkansas State University-Main Campus,0,26,9,6,5,26,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-11-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
12,2014,Arkansas State University-Main Campus,0,8,5,7,4,8,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-12-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
1,2015,Arkansas State University-Main Campus,1,20,11,8,6,20,3,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-01-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
2,2015,Arkansas State University-Main Campus,0,8,9,13,5,8,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-02-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
3,2015,Arkansas State University-Main Campus,0,5,6,9,6,5,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-03-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
4,2015,Arkansas State University-Main Campus,0,24,9,6,9,24,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-04-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
5,2015,Arkansas State University-Main Campus,1,5,2,5,2,5,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-05-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
6,2015,Arkansas State University-Main Campus,0,7,4,11,7,7,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-06-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
7,2015,Arkansas State University-Main Campus,0,9,6,2,6,9,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-07-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
8,2015,Arkansas State University-Main Campus,1,32,10,3,5,32,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-08-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
9,2015,Arkansas State University-Main Campus,0,27,3,13,11,27,5,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-09-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
10,2015,Arkansas State University-Main Campus,1,32,17,17,4,32,5,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-10-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
11,2015,Arkansas State University-Main Campus,1,23,22,12,3,23,6,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-11-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
12,2015,Arkansas State University-Main Campus,0,15,17,8,7,15,6,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592,2015-12-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
1,2016,Arkansas State University-Main Campus,0,22,6,2,4,22,4,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-01-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
2,2016,Arkansas State University-Main Campus,0,23,13,17,2,23,4,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-02-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
3,2016,Arkansas State University-Main Campus,0,15,8,13,10,15,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-03-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
4,2016,Arkansas State University-Main Campus,1,10,7,8,10,10,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-04-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
5,2016,Arkansas State University-Main Campus,0,8,0,6,3,8,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-05-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
6,2016,Arkansas State University-Main Campus,0,14,7,1,5,14,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-06-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
7,2016,Arkansas State University-Main Campus,0,12,3,2,9,12,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-07-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
8,2016,Arkansas State University-Main Campus,0,22,7,9,8,22,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-08-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
9,2016,Arkansas State University-Main Campus,4,39,14,43,5,39,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-09-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
10,2016,Arkansas State University-Main Campus,1,56,21,27,7,56,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-10-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0
11,2016,Arkansas State University-Main Campus,2,18,11,2,4,18,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-11-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,1,0,0,0
12,2016,Arkansas State University-Main Campus,0,18,9,2,5,18,3,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839,2016-12-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,1,0,0,0,0
1,2017,Arkansas State University-Main Campus,0,21,7,7,2,21,4,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-01-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,Arkansas State University-Main Campus,1,24,7,4,1,24,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-02-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,Arkansas State University-Main Campus,1,12,7,4,6,12,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-03-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,Arkansas State University-Main Campus,1,26,9,6,4,26,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-04-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0
5,2017,Arkansas State University-Main Campus,0,8,9,6,6,8,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-05-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0
6,2017,Arkansas State University-Main Campus,1,4,4,1,9,4,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-06-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0
7,2017,Arkansas State University-Main Campus,1,3,9,4,10,3,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-07-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,1,0,0,0,0,0,0,0,0
8,2017,Arkansas State University-Main Campus,1,16,12,3,18,16,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-08-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,0
9,2017,Arkansas State University-Main Campus,0,42,11,6,2,42,2,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-09-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
10,2017,Arkansas State University-Main Campus,1,41,11,9,1,41,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-10-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
11,2017,Arkansas State University-Main Campus,0,9,11,11,1,9,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-11-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
12,2017,Arkansas State University-Main Campus,0,10,3,2,1,10,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604,2017-12-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
1,2018,Arkansas State University-Main Campus,1,6,2,2,3,6,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9350,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13709,1737,126,8534,5175,3739,5611,1152,88,302,2768,4300,10281,6789,2887,3902,9350,2018-01-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
2,2018,Arkansas State University-Main Campus,4,23,9,1,3,23,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9350,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13709,1737,126,8534,5175,3739,5611,1152,88,302,2768,4300,10281,6789,2887,3902,9350,2018-02-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
3,2018,Arkansas State University-Main Campus,0,16,10,2,0,16,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,48,9350,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13709,1737,126,8534,5175,3739,5611,1152,88,302,2768,4300,10281,6789,2887,3902,9350,2018-03-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
