year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio
2018,Arkansas State University-Main Campus,17,112,80,57,12,112,5,0,2,106458,Public,4-year,29791,23101,23101,24192,24192,30882,15147,15147,21837,0.77,76,9350,6789,0.13,0.03,0.01,0.75,0.01,0.76,0.03,0.12,0.8,0.17,0.03,13709,7456,48,0.97,0.55,0.28,0.35,0,0.28,0.02,0.01,0.05,5931,AR,1,-90.679988,35.842388,Semester,520,608,588,510,18
2019,Arkansas State University-Main Campus,9,103,90,54,10,103,7,0,4,106458,Public,4-year,31348,24388,24388,23824,23824,30784,15913,15913,22873,0.8,75,8928,6439,0.13,0.03,0.01,0.75,0.01,0.74,0.04,0.13,NA,NA,NA,13356,7089,53,NA,NA,0.28,0.35,0,0.28,0.02,0.02,0.05,6332,NA,NA,-90.679988,35.842388,Semester,503,610,610,510,18
2014,Ball State University,13,103,26,198,40,103,7,0,0,150136,Public,4-year,38046,22780,22780,22780,22780,38046,15142,15142,30408,0.6,81,16415,15018,0.07,0.03,0.01,0.79,0.01,0.8,0.04,0.07,0.84,0.15,0,20655,16455,59,0.89,0.67,0.37,0.32,0,0.13,0.03,0.01,0.14,9804,IN,1,-85.408863,40.198942,Semester,500,590,600,500,15
2015,Ball State University,15,88,105,205,39,88,2,0,3,150136,Public,4-year,39198,23680,23680,23680,23680,39198,15564,15564,31082,0.61,82,16602,14716,0.07,0.04,0.01,0.79,0.01,0.79,0.04,0.07,NA,NA,NA,21196,16111,60,0.88,0.66,0.38,0.3,0,0.13,0.03,0.01,0.16,9953,IN,1,-85.408863,40.198942,Semester,500,590,600,510,14
2016,Ball State University,22,156,189,226,43,156,4,0,5,150136,Public,4-year,39714,23940,23940,23940,23940,39714,15434,15434,31208,0.62,81,17011,15110,0.07,0.04,0.01,0.78,0.01,0.79,0.04,0.08,0.83,0.17,0,21998,16389,58,0.9,0.69,0.38,0.3,0,0.13,0.03,0.01,0.15,9408,IN,1,-85.409043,40.203431,Semester,490,580,590,500,14
2017,Ball State University,43,174,283,205,53,174,0,0.18904109589041096,9,150136,Public,4-year,40448,24280,24280,24342,24342,40510,15670,15670,31838,0.62,78,17004,15203,0.08,0.05,0.02,0.78,0.01,0.78,0.05,0.08,0.81,0.19,0,22513,16440,62,0.9,0.66,0.39,0.31,0,0.14,0.03,0,0.13,10171,IN,1,-85.409043,40.203431,Semester,530,610,630,550,17
2018,Ball State University,29,228,281,161,47,228,0,0.0821917808219178,11,150136,Public,4-year,41122,24550,24550,24550,24550,41122,15736,15736,32308,0.65,78,16069,14828,0.08,0.06,0.02,0.78,0.01,0.79,0.05,0.08,0.84,0.15,0,21795,16039,63,0.91,0.64,0.38,0.3,0,0.15,0.03,0.01,0.14,10910,IN,1,-85.409043,40.203431,Semester,NA,NA,NA,NA,16
2019,Ball State University,22,182,236,236,52,182,0,0,11,150136,Public,4-year,41742,24962,24962,24626,24626,41406,16026,16026,32806,0.77,75,16702,14693,0.08,0.06,0.02,0.76,0.01,0.77,0.06,0.08,0.89,0.1,0,22443,15851,67,NA,NA,0.35,0.29,0,0.14,0.05,0.04,0.13,11137,NA,NA,-85.409043,40.203431,Semester,NA,NA,NA,NA,14
2014,California Polytechnic State University-San Luis Obispo,18,79,18,20,18,79,0,0,10,110422,Public,4-year,35843,24683,24683,24683,24683,35843,13235,13235,24395,0.31,93,19246,18578,0.01,0.15,0.12,0.59,0.12,0.59,0.15,0.01,0.83,0.16,0.01,20186,19306,75,0.52,0.27,0.45,0.3,0,0.1,0.05,0,0.11,11377,CA,1,-120.65856,35.29889,Quarter,580,680,640,550,22
2015,California Polytechnic State University-San Luis Obispo,9,86,65,168,10,86,0,0.2273972602739726,4,110422,Public,4-year,36574,25414,25414,25414,25414,36574,13405,13405,24565,0.31,93,20049,19318,0.01,0.16,0.12,0.57,0.12,0.57,0.16,0.01,0.81,0.18,0.01,20944,19982,76,0.46,0.25,0.46,0.32,0,0.1,0.05,0,0.07,10555,CA,1,-120.65856,35.29889,Quarter,580,690,650,550,22
2016,California Polytechnic State University-San Luis Obispo,12,183,100,146,13,183,0,0,4,110422,Public,4-year,37236,26076,26076,26076,26076,37236,13569,13569,24729,0.29,95,20426,19703,0.01,0.16,0.12,0.56,0.13,0.56,0.16,0.01,0.83,0.16,0.01,21306,20340,80,0.63,0.31,0.45,0.3,0,0.1,0.08,0.01,0.07,9781,CA,1,-120.65731100000001,35.299513,Quarter,590,700,660,560,21
2017,California Polytechnic State University-San Luis Obispo,15,224,88,138,31,224,0,0,5,110422,Public,4-year,39033,27153,27153,27153,27153,39033,14019,14019,25899,0.35,95,21351,20584,0.01,0.17,0.13,0.55,0.13,0.55,0.17,0.01,0.84,0.15,0.01,22370,21375,82,0.64,0.32,0.43,0.32,0,0.09,0.05,0.01,0.1,10503,CA,1,-120.65731100000001,35.299513,Quarter,600,700,680,600,22
2018,California Polytechnic State University-San Luis Obispo,16,176,72,161,18,176,0,0.136986301369863,3,110422,Public,4-year,40182,28302,28302,28302,28302,40182,14532,14532,26412,0.3,94,21098,20333,0.01,0.17,0.13,0.54,0.13,0.54,0.17,0.01,0.83,0.16,0.01,22013,20996,82,0.63,0.3,0.37,0.42,0,0.08,0.05,0.01,0.09,10341,CA,1,-120.65731100000001,35.299513,Quarter,620,730,700,620,21
2019,California Polytechnic State University-San Luis Obispo,15,170,96,114,16,170,0,0,3,110422,Public,4-year,42817,28927,28927,29425,29425,43315,14719,14719,28609,0.28,94,20503,19685,0.01,0.17,0.13,0.54,0.14,0.54,0.18,0.01,0.8,0.18,0.01,21426,20379,82,NA,NA,0.41,0.35,0,0.09,0.05,0.01,0.1,10861,NA,NA,-120.65731100000001,35.299513,Quarter,620,740,700,620,20
2014,California State University-Chico,3,100,6,153,38,100,0,0,3,110538,Public,4-year,33574,22414,22414,22168,22168,33328,11206,11206,22366,0.71,87,16079,14884,0.02,0.25,0.06,0.49,0.06,0.49,0.26,0.02,0.97,0.01,0.01,17287,15771,59,0.76,0.5,0.27,0.32,0,0.18,0.01,0,0.22,2390,CA,1,-121.846333,39.728003,Semester,440,550,550,440,26
2015,California State University-Chico,5,59,10,199,33,59,0,0,3,110538,Public,4-year,34656,23496,23496,22258,22258,33418,11262,11262,22422,0.63,84,16127,14934,0.02,0.28,0.06,0.46,0.06,0.45,0.29,0.02,0.97,0.01,0.01,17220,15706,64,0.77,0.52,0.31,0.39,0,0.23,0.01,0,0.06,2339,CA,1,-121.846333,39.728003,Semester,450,560,550,440,25
2016,California State University-Chico,8,62,14,220,30,62,0,0,6,110538,Public,4-year,35006,23846,23846,22670,22670,33830,11310,11310,22470,0.65,86,16471,15246,0.02,0.3,0.06,0.44,0.06,0.44,0.31,0.02,0.98,0.01,0.01,17557,16005,69,0.77,0.52,0.29,0.4,0,0.24,0.01,0.01,0.05,3127,CA,1,-121.844859,39.729712,Semester,440,550,550,440,25
2017,California State University-Chico,9,47,13,157,34,47,1,0,6,110538,Public,4-year,36300,24420,24420,23570,23570,35450,11708,11708,23588,0.68,84,16710,15446,0.02,0.32,0.05,0.43,0.05,0.42,0.33,0.03,0.98,0.01,0.01,17875,16223,66,0.76,0.47,0.26,0.42,0,0.23,0.01,0,0.08,3475,CA,1,-121.844859,39.729712,Semester,490,580,590,500,25
2018,California State University-Chico,4,79,8,126,13,79,0,0,3,110538,Public,4-year,36504,24624,24624,24464,24464,36344,12074,12074,23954,0.65,85,16483,15254,0.03,0.33,0.05,0.43,0.06,0.42,0.34,0.03,0.98,0.01,0.01,17578,16001,66,0.76,0.46,0.21,0.49,0,0.21,0.01,0,0.07,3573,CA,1,-121.844859,39.729712,Semester,500,590,600,500,24
2019,California State University-Chico,6,76,11,109,15,76,0,0,3,110538,Public,4-year,37874,25994,25994,25788,25788,37668,12572,12572,24452,0.72,84,16164,15000,0.03,0.34,0.05,0.44,0.06,0.43,0.34,0.03,0.99,0.01,0.01,17110,15721,67,NA,NA,0.22,0.44,0,0.22,0.01,0.01,0.09,3586,NA,NA,-121.844859,39.729712,Semester,490,590,600,500,24
2014,Clemson University,11,163,93,184,4,103,0,0.04657534246575343,0,217882,Public,4-year,47166,29150,29150,28590,28590,46606,20792,20792,38808,0.52,92,17260,16572,0.06,0.03,0.02,0.77,0.02,0.83,0.03,0.06,0.61,0.39,0,21857,19462,82,0.92,0.43,0.43,0.14,0,0.19,0.09,0.04,0.12,39230,SC,1,-82.834463,34.677329,Semester,590,680,660,560,16
2015,Clemson University,11,169,158,226,15,133,0,0,0,217882,Public,4-year,46738,27820,27820,27820,27820,46738,21806,21806,40724,0.51,93,18016,17238,0.06,0.03,0.02,0.78,0.02,0.83,0.03,0.07,0.61,0.39,0.01,22698,20125,81,0.92,0.41,0.47,0.16,0,0.2,0.05,0.01,0.12,30371,SC,1,-82.834463,34.677329,Semester,590,690,660,560,18
2016,Clemson University,10,84,137,188,23,63,0,0,0,217882,Public,4-year,48544,28662,28662,28662,28662,48544,22006,22006,41888,0.51,92,18599,17883,0.07,0.03,0.02,0.78,0.02,0.83,0.03,0.07,0.62,0.37,0,23406,20774,81,0.96,0.42,0.45,0.14,0,0.19,0.06,0,0.16,27987,SC,1,-82.835114,34.679381,Semester,590,680,660,560,18
2017,Clemson University,9,82,96,204,20,67,0,0,0,217882,Public,4-year,50516,29574,29574,29574,29574,50516,21608,21608,42550,0.47,93,19402,18642,0.06,0.04,0.02,0.78,0.02,0.83,0.04,0.07,0.58,0.41,0,24387,21491,82,0.93,0.4,0.42,0.14,0,0.18,0.08,0.03,0.15,31356,SC,1,-82.835114,34.679381,Semester,600,700,690,620,16
2018,Clemson University,5,77,77,113,11,43,0,0.09041095890410959,0,217882,Public,4-year,53024,31270,31270,31270,31270,53024,22088,22088,43842,0.47,93,19669,18971,0.06,0.04,0.02,0.77,0.03,0.81,0.05,0.06,0.6,0.39,0.01,24951,21940,83,0.92,0.42,0.45,0.14,0,0.19,0.09,0.02,0.1,31204,SC,1,-82.835114,34.679381,Semester,610,710,690,610,16
2019,Clemson University,10,125,63,145,9,58,0,0,0,217882,Public,4-year,55454,32462,32462,32462,32462,55454,22842,22842,45834,0.51,93,20195,19486,0.06,0.05,0.02,0.76,0.03,0.8,0.06,0.06,0.58,0.41,0.01,25822,22615,84,NA,NA,0.43,0.14,0,0.19,0.09,0.03,0.12,31994,NA,NA,-82.835114,34.679381,Semester,610,710,690,620,16
2014,College of Charleston,8,72,38,73,1,71,0,0,0,217819,Public,4-year,44332,27342,27342,26003,26003,42993,16230,16230,33220,0.78,79,10440,9608,0.07,0.04,0.02,0.8,0.02,0.8,0.04,0.07,0.55,0.44,0.01,11456,9873,67,0.76,0.43,0.66,0.1,0,0.18,0.02,0,0.04,6786,SC,1,-79.937251,32.783142,Semester,510,610,620,520,15
2015,College of Charleston,13,123,55,102,8,122,0,0,0,217819,Public,4-year,45559,28015,28015,25711,25711,43255,16602,16602,34146,0.77,79,10468,9590,0.08,0.05,0.02,0.8,0.02,0.79,0.05,0.08,0.56,0.43,0.01,11531,9878,68,0.8,0.45,0.66,0.1,0,0.18,0.02,0.01,0.03,6647,SC,1,-79.937251,32.783142,Semester,510,600,610,520,15
2016,College of Charleston,13,89,46,67,7,67,0,0.2540983606557377,0,217819,Public,4-year,47147,28989,28989,27838,27838,45996,17072,17072,35230,0.84,79,10375,9524,0.08,0.05,0.02,0.79,0.02,0.79,0.05,0.08,0.58,0.41,0.01,11294,9815,69,0.79,0.47,0.66,0.1,0,0.19,0.02,0,0.02,6654,SC,1,-79.937251,32.783142,Semester,500,590,600,500,15
2017,College of Charleston,11,48,25,69,4,34,0,0,0,217819,Public,4-year,48057,29669,29669,28638,28638,47026,17750,17750,36138,0.8,78,9895,9083,0.08,0.05,0.02,0.77,0.02,0.77,0.05,0.08,0.56,0.43,0.01,10863,9342,69,0.82,0.48,0.66,0.12,0,0.18,0.02,0,0.02,7464,SC,1,-79.939794,32.784225,Semester,520,600,630,550,15
2018,College of Charleston,11,71,54,63,5,33,0,0,0,217819,Public,4-year,49421,30239,30239,29518,29518,48700,18073,18073,37255,0.79,79,9880,9103,0.08,0.06,0.02,0.77,0.02,0.77,0.06,0.08,0.52,0.47,0.01,10783,9358,71,0.83,0.46,0.66,0.12,0,0.18,0.02,0,0.02,8928,SC,1,-79.939794,32.784225,Semester,520,610,640,550,15
2019,College of Charleston,6,69,23,61,2,27,0,0,0,217819,Public,4-year,50551,30221,30221,29648,29648,49978,18098,18098,38428,0.78,81,9600,8762,0.08,0.06,0.02,0.77,0.02,0.77,0.06,0.07,0.49,0.5,0.01,10545,9025,66,NA,NA,0.65,0.12,0,0.18,0.02,0.01,0.02,9759,NA,NA,-79.939794,32.784225,Semester,530,620,640,550,14
2014,Delaware State University,NA,NA,NA,NA,NA,NA,NA,0,NA,130934,Public,4-year,30218,21862,21862,27003,27003,35359,14500,14500,22856,0.44,69,4012,3479,0.66,0.05,0.01,0.12,0.01,0.11,0.05,0.68,0.38,0.61,0.01,4397,3774,43,0.97,0.78,0.25,0.34,0,0.28,0,0.02,0.1,5369,DE,1,-75.54053,39.187173,Semester,410,490,480,410,16
2015,Delaware State University,NA,NA,NA,NA,NA,NA,NA,0,NA,130934,Public,4-year,30664,22057,22057,27180,27180,35787,14877,14877,23484,0.44,72,3943,3596,0.68,0.05,0.01,0.12,0.01,0.1,0.05,0.7,0.42,0.52,0,4288,3901,42,0.98,0.8,0.24,0.36,0,0.29,0,0.01,0.1,5455,DE,1,-75.54053,39.187173,Semester,400,490,480,410,15
2016,Delaware State University,NA,NA,NA,NA,NA,NA,NA,0,NA,130934,Public,4-year,30664,22058,22058,27199,27199,35805,14696,14696,23302,0.41,73,3993,3593,0.69,0.06,0.01,0.11,0.01,0.1,0.06,0.7,0.32,0.63,0.03,4328,3882,43,0.97,0.76,0.23,0.33,0,0.31,0,0,0.13,6254,DE,1,-75.54053,39.187173,Semester,410,490,480,410,16
2017,Delaware State University,10,35,90,161,20,35,0,0,0,130934,Public,4-year,32456,23420,23420,28104,28104,37140,15232,15232,24268,0.45,71,4050,3571,0.68,0.06,0.01,0.1,0,0.09,0.06,0.69,0.34,0.57,0.05,4352,3834,37,0.99,0.76,0.28,0.32,0,0.26,0,0.01,0.13,6937,DE,1,-75.54053,39.187173,Semester,400,490,500,420,15
2018,Delaware State University,5,33,116,142,18,33,0,0,0,130934,Public,4-year,32456,23420,23420,28104,28104,37140,15232,15232,24268,0.49,72,4208,3678,0.68,0.06,0.01,0.09,0.01,0.08,0.06,0.7,0.36,0.57,0.03,4586,4020,40,0.98,0.77,0.29,0.34,0,0.27,0,0,0.1,7350,DE,1,-75.54053,39.187173,Semester,400,490,520,440,15
2019,Delaware State University,11,31,94,108,15,31,0,0,0,130934,Public,4-year,33728,24692,24692,29640,29640,38676,16146,16146,25182,0.53,70,4315,3790,0.66,0.06,0.01,0.09,0,0.09,0.06,0.67,0.41,0.55,0.04,4768,4207,42,NA,NA,0.25,0.29,0,0.24,0,0,0.21,5158,NA,NA,-75.54053,39.187173,Semester,400,500,520,420,16
2014,DePauw University,6,104,41,97,3,104,157,0,0,150400,Private not-for-profit,4-year,55896,55896,55896,54596,54596,54596,45596,45596,45596,0.57,93,2215,2186,0.06,0.03,0.03,0.68,0.03,0.68,0.03,0.06,0.39,0.56,0.06,2215,2186,80,0.99,0.49,NA,NA,NA,NA,NA,NA,NA,NA,IN,1,-86.863556,39.63953,Four-one-four plan,560,660,640,530,10
2015,DePauw University,5,138,56,94,3,138,183,0,0,150400,Private not-for-profit,4-year,58478,58478,58478,56678,56678,56678,47678,47678,47678,0.65,94,2265,2229,0.05,0.04,0.03,0.69,0.03,0.69,0.04,0.05,0.39,0.54,0.08,2265,2229,82,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,IN,1,-86.863556,39.63953,Four-one-four plan,550,670,620,510,10
2016,DePauw University,7,105,94,95,1,105,227,0,0,150400,Private not-for-profit,4-year,60888,60888,60888,58548,58548,58548,49548,49548,49548,0.65,92,2225,2190,0.06,0.05,0.03,0.68,0.03,0.68,0.05,0.06,0.34,0.54,0.12,2225,2190,85,0.99,0.45,NA,NA,NA,NA,NA,NA,NA,NA,IN,1,-86.863556,39.63953,Four-one-four plan,530,660,620,510,9
2017,DePauw University,1,93,72,68,0,93,226,0,0,150400,Private not-for-profit,4-year,62567,62567,62567,59938,59938,59938,50938,50938,50938,0.67,89,2158,2140,0.05,0.07,0.04,0.67,0.04,0.67,0.07,0.05,0.4,0.46,0.13,2158,2140,81,1,0.45,NA,NA,NA,NA,NA,NA,NA,NA,IN,1,-86.860363,39.640904,Four-one-four plan,550,680,650,560,9
2018,DePauw University,4,53,72,67,1,53,204,0,0,150400,Private not-for-profit,4-year,64924,64924,64924,61804,61804,61804,52804,52804,52804,0.63,91,2156,2139,0.05,0.08,0.04,0.66,0.04,0.66,0.08,0.05,0.36,0.5,0.14,2156,2139,85,0.99,0.37,NA,NA,NA,NA,NA,NA,NA,NA,IN,1,-86.860363,39.640904,Four-one-four plan,560,680,660,560,9
2019,DePauw University,8,67,42,50,1,67,146,0,0,150400,Private not-for-profit,4-year,66946,66946,66946,64446,64446,64446,54446,54446,54446,0.64,86,1972,1943,0.06,0.09,0.03,0.63,0.03,0.63,0.09,0.06,0.37,0.46,0.17,1972,1943,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.860363,39.640904,Four-one-four plan,570,700,660,560,8
2014,East Carolina University,3,191,112,119,3,191,0,0,1,198464,Public,4-year,36299,21102,21102,21102,21102,36299,17786,17786,32983,0.77,81,22252,18903,0.16,0.05,0.03,0.69,0.03,0.68,0.06,0.17,0.84,0.15,0,27511,21352,59,0.76,0.65,0.29,0.47,0,0.13,0.04,0.01,0.05,6648,NC,1,-77.366199,35.606347,Semester,490,570,550,470,18
2015,East Carolina University,14,174,166,195,8,173,0,0.038356164383561646,5,198464,Public,4-year,36218,20644,20644,20644,20644,36218,17382,17382,32956,0.69,80,23039,19336,0.16,0.06,0.03,0.69,0.03,0.68,0.06,0.17,0.85,0.15,0,28289,21841,62,0.75,0.61,0.3,0.48,0,0.14,0.05,0,0.03,6680,NC,1,-77.366199,35.606347,Semester,500,570,560,480,18
2016,East Carolina University,19,155,191,152,11,153,0,0,8,198464,Public,4-year,37120,21162,21162,21162,21162,37120,18048,18048,34006,0.7,83,22969,19754,0.15,0.06,0.03,0.68,0.03,0.67,0.06,0.16,0.84,0.16,0,28962,22366,61,0.79,0.63,0.31,0.47,0,0.13,0.05,0,0.03,6337,NC,1,-77.368291,35.607186,Semester,490,570,560,480,18
2017,East Carolina University,14,103,262,126,8,101,0,0,6,198464,Public,4-year,38277,22000,22000,22000,22000,38277,19605,19605,35882,0.79,83,23265,19999,0.16,0.06,0.03,0.67,0.03,0.67,0.07,0.16,0.88,0.11,0,29131,22652,62,0.81,0.66,0.32,0.47,0,0.13,0.05,0.02,0.03,6946,NC,1,-77.368291,35.607186,Semester,510,590,590,520,19
2018,East Carolina University,13,81,245,133,6,80,0,0,5,198464,Public,4-year,37949,21672,21672,21672,21672,37949,18048,18048,34325,0.82,81,23071,19562,0.16,0.06,0.03,0.67,0.02,0.66,0.07,0.16,0.88,0.11,0,28718,22087,65,0.79,0.63,0.31,0.47,0,0.13,0.04,0.01,0.04,7433,NC,1,-77.368291,35.607186,Semester,520,590,600,520,18
2019,East Carolina University,13,63,194,124,6,63,0,0,5,198464,Public,4-year,38665,22388,22388,22388,22388,38665,18878,18878,35155,0.79,82,23081,19204,0.16,0.07,0.03,0.66,0.02,0.65,0.07,0.16,0.88,0.11,0,28651,21752,66,NA,NA,0.3,0.47,0,0.14,0.05,0.01,0.03,8261,NA,NA,-77.368291,35.607186,Semester,520,590,600,520,18
2014,Emory University,29,14,41,415,22,14,0,0.07945205479452055,15,139658,Private not-for-profit,4-year,61344,61344,61344,61344,61344,61344,52874,52874,52874,0.27,95,7829,7732,0.1,0.06,0.15,0.45,0.21,0.4,0.07,0.09,0.17,0.66,0.17,14769,13354,89,0.51,0.29,NA,NA,NA,NA,NA,NA,NA,NA,GA,1,-84.325782,33.798836,Semester,650,750,710,630,8
2015,Emory University,23,29,33,316,19,29,0,0,6,139658,Private not-for-profit,4-year,63058,63058,63058,63058,63058,63058,49928,49928,49928,0.24,94,6867,6751,0.1,0.06,0.14,0.45,0.19,0.4,0.08,0.09,0.14,0.66,0.2,13788,12383,89,0.55,0.33,NA,NA,NA,NA,NA,NA,NA,NA,GA,1,-84.325782,33.798836,Semester,650,770,720,620,8
2016,Emory University,12,17,13,288,33,17,0,0,7,139658,Private not-for-profit,4-year,65080,65080,65080,65080,65080,65080,51594,51594,51594,0.25,94,6861,6714,0.1,0.07,0.14,0.45,0.18,0.41,0.09,0.09,0.15,0.67,0.18,14067,12480,91,0.58,0.32,NA,NA,NA,NA,NA,NA,NA,NA,GA,1,-84.325512,33.790183,Semester,660,770,730,630,9
2017,Emory University,19,20,17,259,38,20,0,0,8,139658,Private not-for-profit,4-year,66950,66950,66950,66950,66950,66950,53056,53056,53056,0.22,93,6937,6794,0.1,0.07,0.14,0.44,0.19,0.41,0.09,0.08,0.13,0.68,0.19,14263,12630,91,0.58,0.32,NA,NA,NA,NA,NA,NA,NA,NA,GA,1,-84.325512,33.790183,Semester,680,780,740,670,9
